READ SERR 1
@28.pco
!
0.100062184 6.21847212E-5 0.252225369
0.100186631 6.22620573E-5 0.252344489
0.100311235 6.23394953E-5 0.252463907
0.100435987 6.24170207E-5 0.252583563
0.100560904 6.24946479E-5 0.252703518
0.100685969 6.25723769E-5 0.25282377
0.100811191 6.26501933E-5 0.252944291
0.100936569 6.27281115E-5 0.253065079
0.101062104 6.28061316E-5 0.253186136
0.101187795 6.2884239E-5 0.253307492
0.101313643 6.29624483E-5 0.253429145
0.10143964 6.30407521E-5 0.253551036
0.101565801 6.31191579E-5 0.253673255
0.101692118 6.31976582E-5 0.253795713
0.101818591 6.32762603E-5 0.253918499
0.101945229 6.33549571E-5 0.254041553
0.102072015 6.34337484E-5 0.254164875
0.102198958 6.35126416E-5 0.254288495
0.102326065 6.35916294E-5 0.254412413
0.102453329 6.36707191E-5 0.254536599
0.102580748 6.37499033E-5 0.254661083
0.102708325 6.38291895E-5 0.254785836
0.102836065 6.39085774E-5 0.254910886
0.102963962 6.398806E-5 0.255036235
0.103092015 6.40676371E-5 0.255161881
0.103220232 6.41473234E-5 0.255287796
0.103348605 6.4227097E-5 0.255414009
0.103477143 6.43069798E-5 0.25554052
0.103605837 6.43869571E-5 0.255667299
0.103734687 6.44670363E-5 0.255794406
0.103863701 6.45472101E-5 0.255921781
0.103992879 6.4627493E-5 0.256049454
0.104122214 6.47078632E-5 0.256177425
0.104251713 6.47883426E-5 0.256305695
0.104381368 6.48689165E-5 0.256434262
0.104511186 6.49495996E-5 0.256563127
0.104641162 6.50303773E-5 0.256692261
0.104771309 6.51112496E-5 0.256821722
0.104901612 6.5192231E-5 0.256951481
0.105032079 6.5273307E-5 0.257081538
0.105162703 6.53544921E-5 0.257211864
0.10529349 6.54357718E-5 0.257342517
0.105424449 6.55171534E-5 0.257473469
0.105555564 6.55986369E-5 0.257604718
0.105686843 6.56802222E-5 0.257736295
0.105818287 6.57619094E-5 0.257868141
0.105949886 6.58436984E-5 0.258000284
0.106081657 6.5925582E-5 0.258132756
0.106213592 6.60075748E-5 0.258265525
0.106345691 6.60896694E-5 0.258398592
0.106477953 6.61718659E-5 0.258531988
0.106610373 6.62541643E-5 0.258665681
0.106742963 6.63365645E-5 0.258799672
0.106875725 6.64190666E-5 0.258933961
0.107008643 6.65016705E-5 0.259068578
0.107141726 6.65843763E-5 0.259203494
0.107274979 6.66671913E-5 0.259338707
0.107408397 6.67501008E-5 0.259474248
0.107541978 6.68331195E-5 0.259610087
0.107675731 6.691624E-5 0.259746253
0.107809648 6.69994624E-5 0.259882718
0.107943729 6.70827867E-5 0.260019511
0.108077981 6.71662201E-5 0.260156602
0.108212397 6.72497554E-5 0.26029402
0.108346976 6.73333925E-5 0.260396779
0.108481728 6.74171315E-5 0.260489136
0.108616643 6.75009796E-5 0.260581702
0.108751729 6.75849296E-5 0.260674447
0.108886987 6.76689888E-5 0.26076743
0.109022409 6.77531425E-5 0.260860652
0.109157994 6.78374054E-5 0.260954052
0.109293759 6.79217774E-5 0.261047661
0.109429687 6.80062512E-5 0.261141509
0.10956578 6.80908342E-5 0.261235565
0.109702051 6.81755118E-5 0.26132983
0.109838486 6.82603059E-5 0.261424303
0.109975092 6.83452017E-5 0.261519015
0.110111862 6.84301995E-5 0.261613905
0.110248812 6.85153063E-5 0.261709034
0.110385925 6.86005151E-5 0.261804402
