READ SERR 1
@130-21-25.pco
!
0.100062184 6.21847212E-5 0.173326358
0.100186631 6.22620573E-5 0.173327997
0.100311235 6.23394953E-5 0.173329651
0.100435987 6.24170207E-5 0.173331305
0.100560904 6.24946479E-5 0.173332974
0.100685969 6.25723769E-5 0.173334628
0.100811191 6.26501933E-5 0.173336297
0.100936569 6.27281115E-5 0.173337966
0.101062104 6.28061316E-5 0.17333965
0.101187795 6.2884239E-5 0.173341319
0.101313643 6.29624483E-5 0.173343003
0.10143964 6.30407521E-5 0.173344702
0.101565801 6.31191579E-5 0.173346385
0.101692118 6.31976582E-5 0.173348084
0.101818591 6.32762603E-5 0.173349783
0.101945229 6.33549571E-5 0.173351496
0.102072015 6.34337484E-5 0.173353195
0.102198958 6.35126416E-5 0.173354909
0.102326065 6.35916294E-5 0.173356637
0.102453329 6.36707191E-5 0.173358351
0.102580748 6.37499033E-5 0.17336008
0.102708325 6.38291895E-5 0.173361808
0.102836065 6.39085774E-5 0.173363551
0.102963962 6.398806E-5 0.17336528
0.103092015 6.40676371E-5 0.173367023
0.103220232 6.41473234E-5 0.173368782
0.103348605 6.4227097E-5 0.173370525
0.103477143 6.43069798E-5 0.173372284
0.103605837 6.43869571E-5 0.173374042
0.103734687 6.44670363E-5 0.173375815
0.103863701 6.45472101E-5 0.173377573
0.103992879 6.4627493E-5 0.173379362
0.104122214 6.47078632E-5 0.173381135
0.104251713 6.47883426E-5 0.173382923
0.104381368 6.48689165E-5 0.173384696
0.104511186 6.49495996E-5 0.173386499
0.104641162 6.50303773E-5 0.173388287
0.104771309 6.51112496E-5 0.17339009
0.104901612 6.5192231E-5 0.173391894
0.105032079 6.5273307E-5 0.173393711
0.105162703 6.53544921E-5 0.173395514
0.10529349 6.54357718E-5 0.173397347
0.105424449 6.55171534E-5 0.173399165
0.105555564 6.55986369E-5 0.173400998
0.105686843 6.56802222E-5 0.173402816
0.105818287 6.57619094E-5 0.173404664
0.105949886 6.58436984E-5 0.173406497
0.106081657 6.5925582E-5 0.173408344
0.106213592 6.60075748E-5 0.173410192
0.106345691 6.60896694E-5 0.173412055
0.106477953 6.61718659E-5 0.173413917
0.106610373 6.62541643E-5 0.17341578
0.106742963 6.63365645E-5 0.173417643
0.106875725 6.64190666E-5 0.17341952
0.107008643 6.65016705E-5 0.173421398
0.107141726 6.65843763E-5 0.173423275
0.107274979 6.66671913E-5 0.173425168
0.107408397 6.67501008E-5 0.17342706
0.107541978 6.68331195E-5 0.173428953
0.107675731 6.691624E-5 0.17343086
0.107809648 6.69994624E-5 0.173432767
0.107943729 6.70827867E-5 0.173434675
0.108077981 6.71662201E-5 0.173436597
0.108212397 6.72497554E-5 0.173438519
0.108346976 6.73333925E-5 0.173440441
0.108481728 6.74171315E-5 0.173442379
0.108616643 6.75009796E-5 0.173444301
0.108751729 6.75849296E-5 0.173446253
0.108886987 6.76689888E-5 0.17344819
0.109022409 6.77531425E-5 0.173450142
0.109157994 6.78374054E-5 0.173452094
0.109293759 6.79217774E-5 0.173454061
0.109429687 6.80062512E-5 0.173456013
0.10956578 6.80908342E-5 0.173457995
0.109702051 6.81755118E-5 0.173459962
0.109838486 6.82603059E-5 0.173461944
0.109975092 6.83452017E-5 0.173463926
0.110111862 6.84301995E-5 0.173465908
0.110248812 6.85153063E-5 0.173467904
0.110385925 6.86005151E-5 0.173469901
0.110523216 6.8685833E-5 0.173471913
0.110660672 6.877126E-5 0.173473924
