READ SERR 1
@214-30.pco
!
0.100062184 6.21847212E-5 1.09037101
0.100186631 6.22620573E-5 1.09232628
0.100311235 6.23394953E-5 1.09428608
0.100435987 6.24170207E-5 1.09625041
0.100560904 6.24946479E-5 1.09821939
0.100685969 6.25723769E-5 1.1001929
0.100811191 6.26501933E-5 1.10217094
0.100936569 6.27281115E-5 1.10415351
0.101062104 6.28061316E-5 1.10614085
0.101187795 6.2884239E-5 1.1081326
0.101313643 6.29624483E-5 1.11012912
0.10143964 6.30407521E-5 1.11213017
0.101565801 6.31191579E-5 1.11413586
0.101692118 6.31976582E-5 1.11614621
0.101818591 6.32762603E-5 1.11768627
0.101945229 6.33549571E-5 1.11881042
0.102072015 6.34337484E-5 1.11993706
0.102198958 6.35126416E-5 1.12106645
0.102326065 6.35916294E-5 1.12219834
0.102453329 6.36707191E-5 1.12333286
0.102580748 6.37499033E-5 1.12447
0.102708325 6.38291895E-5 1.12560987
0.102836065 6.39085774E-5 1.12675226
0.102963962 6.398806E-5 1.12789738
0.103092015 6.40676371E-5 1.12904501
0.103220232 6.41473234E-5 1.13019538
0.103348605 6.4227097E-5 1.13134849
0.103477143 6.43069798E-5 1.13250411
0.103605837 6.43869571E-5 1.13366246
0.103734687 6.44670363E-5 1.13482344
0.103863701 6.45472101E-5 1.13598716
0.103992879 6.4627493E-5 1.13715363
0.104122214 6.47078632E-5 1.13832259
0.104251713 6.47883426E-5 1.13949442
0.104381368 6.48689165E-5 1.14066887
0.104511186 6.49495996E-5 1.14184606
0.104641162 6.50303773E-5 1.14302599
0.104771309 6.51112496E-5 1.14420855
0.104901612 6.5192231E-5 1.14539385
0.105032079 6.5273307E-5 1.14658201
0.105162703 6.53544921E-5 1.14777279
0.10529349 6.54357718E-5 1.14896631
0.105424449 6.55171534E-5 1.15016258
0.105555564 6.55986369E-5 1.15136158
0.105686843 6.56802222E-5 1.15256345
0.105818287 6.57619094E-5 1.15496409
0.105949886 6.58436984E-5 1.15737641
0.106081657 6.5925582E-5 1.15979421
0.106213592 6.60075748E-5 1.16221774
0.106345691 6.60896694E-5 1.16464674
0.106477953 6.61718659E-5 1.16708136
0.106610373 6.62541643E-5 1.16952157
0.106742963 6.63365645E-5 1.17196727
0.106875725 6.64190666E-5 1.17441869
0.107008643 6.65016705E-5 1.17687571
0.107141726 6.65843763E-5 1.17933846
0.107274979 6.66671913E-5 1.1818068
0.107408397 6.67501008E-5 1.18428075
