,Unnamed: 0,alive,dead,MCMC_iter,BH_NS,sim_num,system_num,inclination,dincl,ratio
0,938-18.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,18.0,0.0
1,938-9.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,9.0,0.0
2,938-3.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,3.0,0.0
3,938-19.0-64.82,3.8971362200000144,46.029197835999994,3,0.1,0,938,64.82,19.0,0.07805772832487122
4,938-24.0-64.82,11.09326471,38.849686186,3,0.1,0,938,64.82,24.0,0.22211872768792432
5,938-26.0-64.82,12.390991269999995,37.528927506,3,0.1,0,938,64.82,26.0,0.2482173764264459
6,938-14.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,14.0,0.0
7,938-11.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,11.0,0.0
8,938-8.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,8.0,0.0
9,938-7.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,7.0,0.0
10,938-10.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,10.0,0.0
11,938-29.0-64.82,14.035524369999983,35.89728229600001,3,0.1,0,938,64.82,29.0,0.2810882325098097
12,938-23.0-64.82,10.15112764,39.765371466,3,0.1,0,938,64.82,23.0,0.2033621712621234
13,938-12.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,12.0,0.0
14,938-1.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,1.0,0.0
15,938-30.0-64.82,14.521466729999995,35.429076376,3,0.1,0,938,64.82,30.0,0.29071689369190656
16,938-20.0-64.82,6.266085810000009,43.640796196000004,3,0.1,0,938,64.82,20.0,0.12555554581123046
17,938-32.0-64.82,15.203838610000009,34.725829295999986,3,0.1,0,938,64.82,32.0,0.30450510182890644
18,938-13.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,13.0,0.0
19,938-21.0-64.82,7.893426249999987,42.018673766000006,3,0.1,0,938,64.82,21.0,0.1581465465782775
20,938-16.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,16.0,0.0
21,938-34.0-64.82,15.88479525000002,34.038518125999985,3,0.1,0,938,64.82,34.0,0.3181839140035211
22,938-37.0-64.82,16.710301180000002,33.249338306,3,0.1,0,938,64.82,37.0,0.3344760160785921
23,938-17.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,17.0,0.0
24,938-22.0-64.82,9.116110349999996,40.786354276,3,0.1,0,938,64.82,22.0,0.18267855943232014
25,938-38.0-64.82,16.95478853000001,32.980076405999995,3,0.1,0,938,64.82,38.0,0.3395380873009358
26,938-33.0-64.82,15.606581610000006,34.346566276,3,0.1,0,938,64.82,33.0,0.31242438705997844
27,938-2.0-64.82,0.0,49.9689445,3,0.1,0,938,64.82,2.0,0.0
