,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
5406749,661,10.0,0.0,18.792690057830672,37.0,12.0,0.2,0,1.0,40.65508491100001,9.286834173999988,0.8140473104729113
2496390,164,10.0,0.0,29.619921050056337,36.02,39.0,0.2,0,1.0,31.49234796000001,18.466689545999987,0.6303633843269664
3017938,950,10.0,0.0,40.50325772268196,38.11,23.0,0.2,0,1.0,27.68328285000001,22.233694285999995,0.5545865242315503
1190420,870,10.0,0.0,42.34701669711429,57.25,38.0,0.2,0,1.0,18.81158493999999,31.106149366000015,0.3768517381955551
881994,950,10.0,0.0,40.50325772268196,26.06,20.0,0.2,0,1.0,39.749026840000006,10.161049155999997,0.7964128694812177
3329256,870,10.0,0.0,42.34701669711429,7.38,39.0,0.2,0,1.0,43.26485004300001,6.665307399999987,0.8665073826853227
5402218,809,10.0,0.0,28.53919143719163,88.0,42.0,0.2,0,1.0,2.8591942200000067,47.053015506,0.05728446477717476
4366060,950,10.0,0.0,40.50325772268196,31.09,20.0,0.2,0,1.0,34.23721042999999,15.680739356000005,0.6858697237521997
2951850,463,10.0,0.0,36.82945307840063,45.42,16.0,0.2,0,1.0,30.49576565,19.421447946,0.6109268417266726
1239066,453,10.0,0.0,31.06511686001145,29.01,39.0,0.2,0,1.0,33.22569244,16.733254195999994,0.6650599077294765
3776652,948,10.0,0.0,43.42721184299677,60.9,23.0,0.2,0,1.0,10.71532851,39.19945447599999,0.21467244509518185
982573,899,10.0,0.0,44.37160371546218,3.48,45.0,0.2,0,1.0,44.214113354,5.745590177999996,0.8849955109457395
3479613,899,10.0,0.0,44.37160371546218,57.46,33.0,0.2,0,1.0,19.179993279999987,30.77290164600001,0.3839615963882203
5381289,179,10.0,0.0,26.408239126718197,59.0,28.0,0.2,0,1.0,20.90771677,29.037738946000005,0.41861099213681263
1471933,948,10.0,0.0,43.42721184299677,56.93,26.0,0.2,0,1.0,16.000969290000018,33.913867585999995,0.3205653928059531
5203730,678,10.0,0.0,39.90542332846381,43.0,20.0,0.2,0,1.0,29.15973198,20.788086476000004,0.5838039153939699
73842,948,10.0,0.0,43.42721184299677,38.12,45.0,0.2,0,1.0,26.74851799,23.205566116000014,0.5354620842059883
2694553,899,10.0,0.0,44.37160371546218,45.19,44.0,0.2,0,1.0,25.14574815000001,24.789454176,0.5035675631358612
5242581,278,10.0,0.0,34.49645655757421,55.0,7.0,0.2,0,1.0,17.489197039999993,32.454782636000004,0.3501762805738972
5384512,830,10.0,0.0,35.725344527995865,83.0,37.0,0.2,0,1.0,3.815827380000009,46.116250186,0.07642036073817009
5059206,517,10.0,0.0,14.504035866170769,58.0,42.0,0.2,0,1.0,24.00964603,25.914989576,0.4809178021744938
2883931,678,10.0,0.0,39.90542332846381,66.51,21.0,0.2,0,1.0,8.067548659999987,41.89107161600001,0.16148461697761532
