,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
5122753,777,10.0,0.0,39.48029918337181,26.0,32.0,0.2,0,1.0,42.20643355200001,7.7044797319999905,0.8456353685984379
5218402,48,10.0,0.0,32.96606060778068,68.0,31.0,0.2,0,1.0,18.910191069999982,30.972858576000014,0.3790905168027622
5188108,3,10.0,0.0,12.031480146169601,88.0,29.0,0.2,0,1.0,17.716404889999982,32.21375255300002,0.3548237337369692
4619631,991,10.0,0.0,40.50325772268196,40.54,25.0,0.2,0,1.0,25.86580438000001,24.052351235999993,0.5181642643004499
1349311,103,10.0,0.0,20.11121775969163,61.57,31.0,0.2,0,1.0,21.588566830000016,28.344013855999993,0.4323543172294512
977110,881,10.0,0.0,29.938962136889728,41.43,17.0,0.2,0,1.0,36.75018771,13.150611245999995,0.7364649159706733
5276290,69,10.0,0.0,40.2467023956005,44.0,23.0,0.2,0,1.0,27.59065446000001,22.33746040599999,0.552607574590978
854679,881,10.0,0.0,29.938962136889728,56.98,12.0,0.2,0,1.0,19.760526230000007,30.189832856,0.39560328677473816
4811187,991,10.0,0.0,40.50325772268196,33.65,31.0,0.2,0,1.0,29.204819,20.740407135999998,0.5847369460391625
5345295,48,10.0,0.0,32.96606060778068,59.0,34.0,0.2,0,1.0,23.79113722000001,26.13349838599999,0.4765410289172099
5082853,239,10.0,0.0,40.443073354301575,29.0,29.0,0.2,0,1.0,39.67916024,10.241159536,0.7948498811314987
5025033,69,10.0,0.0,40.2467023956005,38.0,25.0,0.2,0,1.0,31.29419236000001,18.616563696,0.6270029715616376
5261751,767,10.0,0.0,26.878231207733336,42.0,18.0,0.2,0,1.0,38.37350788,11.552063266000008,0.7686142992291927
4679621,991,10.0,0.0,40.50325772268196,45.26,10.0,0.2,0,1.0,19.917305760000012,30.010512046,0.3989220165277577
621242,51,10.0,0.0,44.76357392073154,46.88,31.0,0.2,0,1.0,28.07425175,21.863605306000007,0.5621837500659611
3098114,142,10.0,0.0,31.52863959628417,45.36,45.0,0.2,0,1.0,28.85279717,21.06154925600001,0.5780461778213486
4476729,35,10.0,0.0,25.74563413285565,15.93,36.0,0.2,0,1.0,59.562829276,0.2735785200000009,0.9954278919795334
1640997,991,10.0,0.0,40.50325772268196,52.38,22.0,0.2,0,1.0,17.14955023,32.760724216000014,0.3436076122673861
3611780,991,10.0,0.0,40.50325772268196,40.48,33.0,0.2,0,1.0,25.62113603,24.330246545999998,0.512921459001019
5224744,789,10.0,0.0,41.76806868092354,79.0,43.0,0.2,0,1.0,12.373880929999995,37.555389096,0.2478281962375269
3067716,991,10.0,0.0,40.50325772268196,40.35,35.0,0.2,0,1.0,25.65208749,24.296255726,0.5135723397084139
4831653,991,10.0,0.0,40.50325772268196,47.31,10.0,0.2,0,1.0,16.279002960000007,33.660105845999986,0.3259770418258675
5273710,991,10.0,0.0,40.50325772268196,59.0,17.0,0.2,0,1.0,1.5605540299999898,48.369950966000005,0.031254521261601664
231536,991,10.0,0.0,40.50325772268196,45.42,19.0,0.2,0,1.0,22.15294148,27.782401726,0.4436325067119635
4877773,239,10.0,0.0,40.443073354301575,73.8,42.0,0.2,0,1.0,16.291437920000007,33.643482345999985,0.32625340810031545
5104184,777,10.0,0.0,39.48029918337181,29.0,34.0,0.2,0,1.0,38.30406869,11.63020210600001,0.7670897778098394
2586985,108,10.0,0.0,19.57368422433964,86.38,27.0,0.2,0,1.0,6.429346720000006,43.52885920599999,0.12869450775561075
433085,579,10.0,0.0,17.78117168148629,63.85,5.0,0.2,0,1.0,21.8638609,28.051121876000014,0.4380220063005315
2597116,777,10.0,0.0,39.48029918337181,61.42,36.0,0.2,0,1.0,21.8424948,28.072487976000012,0.4375939564683622
1849088,991,10.0,0.0,40.50325772268196,36.88,15.0,0.2,0,1.0,30.59063896000001,19.328983735999987,0.6127978800298746
2437102,991,10.0,0.0,40.50325772268196,56.79,35.0,0.2,0,1.0,17.874051939999994,32.083832105999996,0.3577824057468488
392610,274,10.0,0.0,38.87522740614053,38.46,24.0,0.2,0,1.0,32.63375544000001,17.309500655999994,0.6534166570411831
2234119,221,10.0,0.0,29.31704943779373,64.18,11.0,0.2,0,1.0,15.714622100000007,34.221445716,0.3146948245485378
1035548,48,10.0,0.0,32.96606060778068,78.25,36.0,0.2,0,1.0,14.670763560000005,35.231477125999994,0.2939900765641545
2096299,142,10.0,0.0,31.52863959628417,53.34,13.0,0.2,0,1.0,29.80279791000001,20.145853805999998,0.5966687164941692
5079334,579,10.0,0.0,17.78117168148629,75.0,25.0,0.2,0,1.0,16.382681720000004,33.55223854599999,0.32808066244484924
3227147,991,10.0,0.0,40.50325772268196,64.37,35.0,0.2,0,1.0,13.719095419999995,36.187462595999996,0.2748956442879044
1124095,48,10.0,0.0,32.96606060778068,26.44,42.0,0.2,0,1.0,37.71539736,12.193632226000005,0.7556828428212828
1720558,35,10.0,0.0,25.74563413285565,25.89,40.0,0.2,0,1.0,36.27714447999999,13.677185046000009,0.7262062132396079
4797401,991,10.0,0.0,40.50325772268196,19.92,32.0,0.2,0,1.0,36.97894916999999,12.977482775999999,0.7402239857716838
4937581,103,10.0,0.0,20.11121775969163,90.0,45.0,0.2,0,1.0,21.561613055999995,28.34793168,0.432013819602075
5239155,69,10.0,0.0,40.2467023956005,57.0,44.0,0.2,0,1.0,21.52283989000001,28.420352095999988,0.4309464220074933
2225249,888,10.0,0.0,18.6150978894912,52.26,43.0,0.2,0,1.0,28.07425175,21.863605306000007,0.5621837500659611
454421,991,10.0,0.0,40.50325772268196,58.91,39.0,0.2,0,1.0,17.712380289999984,32.203352746000014,0.3548456410972777
5007750,579,10.0,0.0,17.78117168148629,58.0,37.0,0.2,0,1.0,26.7696378,23.178658696000014,0.5359469627186141
4988012,22,10.0,0.0,40.11796100648079,65.0,43.0,0.2,0,1.0,21.620495590000008,28.308556736,0.4330243532129163
5068789,3,10.0,0.0,12.031480146169601,39.0,37.0,0.2,0,1.0,37.75743129999999,12.169726086000006,0.7562503710773548
3189419,991,10.0,0.0,40.50325772268196,72.2,45.0,0.2,0,1.0,13.140051419999995,36.77259359600001,0.26326097155916744
5052283,22,10.0,0.0,40.11796100648079,75.0,44.0,0.2,0,1.0,17.878047359999993,32.075841266000005,0.3578910041188431
5272920,881,10.0,0.0,29.938962136889728,72.0,41.0,0.2,0,1.0,17.09145384,32.822906146,0.34241556627779696
1857005,51,10.0,0.0,44.76357392073154,65.94,33.0,0.2,0,1.0,18.469441399999994,31.487289596,0.3697087666020187
2725774,991,10.0,0.0,40.50325772268196,56.65,34.0,0.2,0,1.0,17.72481786999998,32.18689995600001,0.35512337867815835
5279572,3,10.0,0.0,12.031480146169601,81.0,28.0,0.2,0,1.0,15.702185710000006,34.238144076000005,0.3144189431124235
1818980,991,10.0,0.0,40.50325772268196,72.6,41.0,0.2,0,1.0,11.35645717,38.557554956,0.22752042334990874
1564860,777,10.0,0.0,39.48029918337181,81.41,38.0,0.2,0,1.0,12.339642319999996,37.594311916,0.24711927001975145
742346,991,10.0,0.0,40.50325772268196,13.11,33.0,0.2,0,1.0,41.594388048,8.312771810000001,0.8334352859659377
3540846,991,10.0,0.0,40.50325772268196,50.78,37.0,0.2,0,1.0,21.018050920000007,28.912963066,0.4209418003386271
3430662,991,10.0,0.0,40.50325772268196,79.02,45.0,0.2,0,1.0,9.399827969999986,40.53949233600001,0.1882249880936132
1623578,991,10.0,0.0,40.50325772268196,34.9,29.0,0.2,0,1.0,28.82003364,21.102206826000003,0.5772984820188137
1140181,767,10.0,0.0,26.878231207733336,49.08,28.0,0.2,0,1.0,28.40523573000001,21.497421446,0.569212890404183
360425,991,10.0,0.0,40.50325772268196,64.22,29.0,0.2,0,1.0,10.83751569999999,39.067524556,0.2171627483798496
2753061,35,10.0,0.0,25.74563413285565,59.38,8.0,0.2,0,1.0,8.560892520000005,41.34589078599999,0.17153765385978662
3247041,991,10.0,0.0,40.50325772268196,38.82,35.0,0.2,0,1.0,26.29645824,23.639268086000012,0.5266061029797865
4982889,108,10.0,0.0,19.57368422433964,49.0,25.0,0.2,0,1.0,33.4040028,16.542468815999992,0.6687960474328934
2811640,991,10.0,0.0,40.50325772268196,17.53,43.0,0.2,0,1.0,34.51982236999999,15.435009696000009,0.6910206869356027
1377658,991,10.0,0.0,40.50325772268196,60.55,30.0,0.2,0,1.0,14.21853278999999,35.700885956,0.2848296944791512
4458318,991,10.0,0.0,40.50325772268196,45.99,31.0,0.2,0,1.0,22.82271691999999,27.109785286000005,0.4570713645761891
2964286,991,10.0,0.0,40.50325772268196,48.36,7.0,0.2,0,1.0,7.410356170000003,42.492168506,0.14849661852006302
