,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
4803219,899,10.0,0.0,44.37160371546218,59.66,16.0,0.2,0,1.0,7.701655319999998,42.241935976,0.15420707882928766
507808,948,10.0,0.0,43.42721184299677,42.8,35.0,0.2,0,1.0,25.13331415000001,24.804984755999993,0.503287350602571
5301857,184,10.0,0.0,12.60519977118926,67.0,14.0,0.2,0,1.0,16.21262269000001,33.73908295599998,0.32456594785564197
1523549,870,10.0,0.0,42.34701669711429,12.51,33.0,0.2,0,1.0,43.714616469,6.236829568000009,0.8751421617828586
4219839,950,10.0,0.0,40.50325772268196,46.91,34.0,0.2,0,1.0,22.56260571,27.397106966,0.4516160022040877
908295,950,10.0,0.0,40.50325772268196,79.77,39.0,0.2,0,1.0,3.399708249999999,46.516369536000006,0.06810848129084209
4921026,442,10.0,0.0,22.349468348837988,65.78,13.0,0.2,0,1.0,18.712880159999987,31.216502326000015,0.3747869336306535
800589,950,10.0,0.0,40.50325772268196,39.44,34.0,0.2,0,1.0,26.03645438,23.866747616000005,0.5217391537738791
1705026,870,10.0,0.0,42.34701669711429,25.8,19.0,0.2,0,1.0,42.82952649399999,7.079252238,0.8581561717626042
5050708,605,10.0,0.0,32.73170446904399,27.0,32.0,0.2,0,1.0,34.73317022,15.192948145999999,0.6956913807193452
3634715,870,10.0,0.0,42.34701669711429,31.84,31.0,0.2,0,1.0,30.876266600000008,19.083962375999988,0.6180169153114253
3811266,870,10.0,0.0,42.34701669711429,43.7,2.0,0.2,0,1.0,18.642888319999987,31.302092696000013,0.3732685034764092
2275520,870,10.0,0.0,42.34701669711429,27.09,17.0,0.2,0,1.0,44.00258997700001,5.910388771999992,0.8815861341050818
2627037,950,10.0,0.0,40.50325772268196,30.77,30.0,0.2,0,1.0,30.92548332000001,19.022849045999997,0.6191494661601773
1238328,948,10.0,0.0,43.42721184299677,28.18,30.0,0.2,0,1.0,33.22360426,16.737430556,0.6649903145993317
1369931,948,10.0,0.0,43.42721184299677,72.33,44.0,0.2,0,1.0,13.36517934,36.577638796,0.2676096351552508
5107661,605,10.0,0.0,32.73170446904399,25.0,29.0,0.2,0,1.0,37.47782948999999,12.422649546000006,0.7510514971802603
4997794,510,10.0,0.0,40.973935613974454,63.0,27.0,0.2,0,1.0,15.913910950000016,34.00940242599999,0.3187671224893183
1433187,948,10.0,0.0,43.42721184299677,59.63,31.0,0.2,0,1.0,15.992764350000016,33.922072525999994,0.3204010140257442
706677,899,10.0,0.0,44.37160371546218,63.61,45.0,0.2,0,1.0,18.311693219999988,31.590706056000005,0.3669501564187675
5139817,661,10.0,0.0,18.792690057830672,53.0,40.0,0.2,0,1.0,22.37262625,27.542028186,0.4482175926648141
2904813,950,10.0,0.0,40.50325772268196,43.54,36.0,0.2,0,1.0,24.17775949,25.733995076,0.4844101294421324
2043123,870,10.0,0.0,42.34701669711429,61.47,39.0,0.2,0,1.0,17.08736306,32.831087706000005,0.3423055563182339
5114387,510,10.0,0.0,40.973935613974454,48.0,4.0,0.2,0,1.0,27.31666139000001,22.636717016,0.5468431217600879
4923968,454,10.0,0.0,37.54629548970925,37.25,31.0,0.2,0,1.0,31.75384277000001,18.175395275999986,0.63597691478378
13873,948,10.0,0.0,43.42721184299677,18.49,39.0,0.2,0,1.0,35.80910453999999,14.133372446000008,0.7170069788496491
3732465,184,10.0,0.0,12.60519977118926,55.24,14.0,0.2,0,1.0,30.03678479000001,19.876879585999987,0.6017747878363066
1518054,950,10.0,0.0,40.50325772268196,49.49,33.0,0.2,0,1.0,21.20295936000001,28.713684665999995,0.4247673250821121
2451412,948,10.0,0.0,43.42721184299677,25.29,38.0,0.2,0,1.0,32.69393606,17.257909776000005,0.6545090679399412
826054,899,10.0,0.0,44.37160371546218,67.79,26.0,0.2,0,1.0,8.560892520000005,41.34589078599999,0.17153765385978662
1149508,870,10.0,0.0,42.34701669711429,52.92,30.0,0.2,0,1.0,19.56641532,30.336874706,0.3920866802530604
2021,948,10.0,0.0,43.42721184299677,38.47,45.0,0.2,0,1.0,26.64031314,23.266112976,0.5338052674434869
2775304,899,10.0,0.0,44.37160371546218,46.67,39.0,0.2,0,1.0,24.51739226,25.418250365999988,0.4909798086234006
5363456,191,10.0,0.0,12.494418824105525,23.0,38.0,0.2,0,1.0,47.147238811,2.7594976140000087,0.9447069110971222
2654248,950,10.0,0.0,40.50325772268196,44.66,27.0,0.2,0,1.0,23.42916119999999,26.501935536000005,0.4692298533692675
4946007,691,10.0,0.0,42.78659232788753,61.0,37.0,0.2,0,1.0,19.760526230000007,30.189832856,0.39560328677473816
2944230,678,10.0,0.0,39.90542332846381,49.05,13.0,0.2,0,1.0,23.95018698,25.987394035999998,0.4796024655724986
793462,948,10.0,0.0,43.42721184299677,49.92,23.0,0.2,0,1.0,20.16727685000001,29.738167035999993,0.4041097579668568
2150187,948,10.0,0.0,43.42721184299677,38.53,43.0,0.2,0,1.0,26.7054062,23.254480056000013,0.5345369695831278
1704325,948,10.0,0.0,43.42721184299677,52.99,39.0,0.2,0,1.0,20.90409519,29.044982106000003,0.41850813511772383
987074,899,10.0,0.0,44.37160371546218,54.55,44.0,0.2,0,1.0,21.67728791000001,28.248240595999995,0.43419245741975177
3943153,870,10.0,0.0,42.34701669711429,72.16,37.0,0.2,0,1.0,10.496777430000003,39.447379206,0.2101702809099769
3457384,948,10.0,0.0,43.42721184299677,38.3,36.0,0.2,0,1.0,27.11590944000001,22.800810895999998,0.5432229773406001
3611167,899,10.0,0.0,44.37160371546218,44.04,12.0,0.2,0,1.0,26.92462586,23.006393626000005,0.5392364533543984
5361612,191,10.0,0.0,12.494418824105525,49.0,31.0,0.2,0,1.0,30.98707223000001,18.95415752599999,0.6204707489462088
5332626,899,10.0,0.0,44.37160371546217,74.0,43.0,0.2,0,1.0,13.456788320000005,36.476930816,0.26949301099221057
2814611,950,10.0,0.0,40.50325772268196,16.08,42.0,0.2,0,1.0,35.47839306999999,14.441279766000008,0.7107096472077526
4939519,899,10.0,0.0,44.37160371546217,19.0,44.0,0.2,0,1.0,35.25055251999999,14.683700326000006,0.7059393204242916
5175528,515,10.0,0.0,42.95120055927001,47.0,19.0,0.2,0,1.0,29.820272780000003,20.125859566,0.5970486878427574
2987234,948,10.0,0.0,43.42721184299677,59.87,44.0,0.2,0,1.0,18.70433141999999,31.225051066000013,0.3746157170128153
199816,950,10.0,0.0,40.50325772268196,43.84,39.0,0.2,0,1.0,24.087485630000003,25.830701466,0.4825392713817157
2844438,191,10.0,0.0,12.494418824105525,62.41,31.0,0.2,0,1.0,23.99398217,25.937118156000004,0.4805418269043414
4173951,899,10.0,0.0,44.37160371546218,22.5,25.0,0.2,0,1.0,43.63520820499999,6.322617496000003,0.8734408992528784
2424754,948,10.0,0.0,43.42721184299677,29.54,36.0,0.2,0,1.0,31.06168568000001,18.872467935999985,0.622052912298631
73809,948,10.0,0.0,43.42721184299677,38.12,13.0,0.2,0,1.0,31.16353834000001,18.768262325999988,0.6241220609778682
5012483,186,10.0,0.0,23.529012376626852,80.0,33.0,0.2,0,1.0,7.374897099999999,42.538216216,0.14775470031912286
