,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
5246477,251,10.0,0.0,21.672161319172073,67.0,39.0,0.2,0,1.0,16.382681720000004,33.55223854599999,0.32808066244484924
3529730,251,10.0,0.0,21.672161319172073,21.8,28.0,0.2,0,1.0,42.686150997,7.240710591999996,0.8549736482215561
5053302,251,10.0,0.0,21.672161319172073,74.0,38.0,0.2,0,1.0,12.344326529999995,37.584943496,0.2472362709002525
383889,251,10.0,0.0,21.672161319172073,84.13,39.0,0.2,0,1.0,4.7474533499999945,45.200968826,0.0950471134658008
5014704,251,10.0,0.0,21.672161319172073,71.0,45.0,0.2,0,1.0,16.005199550000018,33.905407065999995,0.3206773196154498
75593,251,10.0,0.0,21.672161319172073,82.43,38.0,0.2,0,1.0,5.684528350000006,44.225855546000005,0.11389470299096588
5008060,251,10.0,0.0,21.672161319172073,31.0,30.0,0.2,0,1.0,33.944274799999995,16.011380766,0.6794881263274343
5064116,251,10.0,0.0,21.672161319172073,47.0,38.0,0.2,0,1.0,24.95609236000001,24.997747625999995,0.4995830624231124
942725,251,10.0,0.0,21.672161319172073,30.27,21.0,0.2,0,1.0,39.50063639000001,10.435241265999997,0.7910271781365965
5081839,251,10.0,0.0,21.672161319172073,37.0,32.0,0.2,0,1.0,29.93980043000001,19.983798256,0.5997123848845451
56068,251,10.0,0.0,21.672161319172073,12.52,44.0,0.2,0,1.0,39.33872281000001,10.622267596000004,0.787388770525167
5401816,251,10.0,0.0,21.672161319172073,59.0,30.0,0.2,0,1.0,18.299255639999988,31.607074916000013,0.36667203210755706
5187047,251,10.0,0.0,21.672161319172073,43.0,7.0,0.2,0,1.0,37.54157717,12.416400586000009,0.7514631067205519
5133299,251,10.0,0.0,21.672161319172073,48.0,37.0,0.2,0,1.0,24.51739226,25.418250365999988,0.4909798086234006
5025361,251,10.0,0.0,21.672161319172073,53.0,31.0,0.2,0,1.0,21.86736733,28.044109016000014,0.4381230316332345
5211714,251,10.0,0.0,21.672161319172073,44.0,43.0,0.2,0,1.0,26.098641789999995,23.860788596000003,0.5223967044530906
5012079,251,10.0,0.0,21.672161319172073,62.0,33.0,0.2,0,1.0,17.455938639999992,32.488041036,0.3495103664794306
4954231,251,10.0,0.0,21.672161319172073,67.0,36.0,0.2,0,1.0,15.602298420000007,34.355132656,0.31231186400005845
5156986,251,10.0,0.0,21.672161319172073,25.0,38.0,0.2,0,1.0,34.73317022,15.192948145999999,0.6956913807193452
4934074,251,10.0,0.0,21.672161319172073,11.0,44.0,0.2,0,1.0,40.16205282200001,9.767748721999991,0.8043703675971495
5020767,251,10.0,0.0,21.672161319172073,30.0,31.0,0.2,0,1.0,34.16062350999999,15.765190515999999,0.6842276721258882
4989076,251,10.0,0.0,21.672161319172073,64.0,30.0,0.2,0,1.0,15.369836580000005,34.55119532599999,0.3078829902583145
5204004,251,10.0,0.0,21.672161319172073,50.0,45.0,0.2,0,1.0,23.91881867,26.022008656,0.4789431803735353
4987517,251,10.0,0.0,21.672161319172073,49.0,4.0,0.2,0,1.0,22.14947845,27.789327785999998,0.4435323973369799
5145055,251,10.0,0.0,21.672161319172073,52.0,32.0,0.2,0,1.0,22.38849538,27.519296896,0.4485971901178713
5228175,251,10.0,0.0,21.672161319172073,39.0,9.0,0.2,0,1.0,46.31757720000001,3.6112131759999935,0.9276727285238652
5415703,251,10.0,0.0,21.672161319172073,45.0,43.0,0.2,0,1.0,25.71093083,24.225292386,0.5148753584905074
247605,251,10.0,0.0,21.672161319172073,33.83,26.0,0.2,0,1.0,33.414367330000005,16.532104285999992,0.6690035601893438
5029029,251,10.0,0.0,21.672161319172073,54.0,18.0,0.2,0,1.0,18.630448839999982,31.318443906000013,0.37299022692533945
5227935,251,10.0,0.0,21.672161319172073,87.0,45.0,0.2,0,1.0,7.410356170000003,42.492168506,0.14849661852006302
1305547,251,10.0,0.0,21.672161319172073,55.47,12.0,0.2,0,1.0,13.681784369999995,36.233804936000006,0.2740984241641599
1567545,251,10.0,0.0,21.672161319172073,33.55,23.0,0.2,0,1.0,34.80292343000001,15.115628005999993,0.6971941778923699
5269254,251,10.0,0.0,21.672161319172073,38.0,27.0,0.2,0,1.0,30.35494834000001,19.593818165999988,0.6077216809018433
919935,251,10.0,0.0,21.672161319172073,36.41,25.0,0.2,0,1.0,31.866925970000004,18.048720075999995,0.6384155769642426
883857,251,10.0,0.0,21.672161319172073,73.17,28.0,0.2,0,1.0,5.597451590000008,44.329490476000004,0.11211284645874284
5298092,251,10.0,0.0,21.672161319172073,76.0,37.0,0.2,0,1.0,10.596268539999997,39.338072406,0.21220403312139466
5276838,251,10.0,0.0,21.672161319172073,28.0,28.0,0.2,0,1.0,36.74525912,13.160468426,0.7362934261629692
2544380,251,10.0,0.0,21.672161319172073,52.82,14.0,0.2,0,1.0,18.671668539999985,31.265503556000013,0.3739032018894718
5101727,251,10.0,0.0,21.672161319172073,12.0,35.0,0.2,0,1.0,48.618779522,1.3318772620000034,0.9733361411490664
5121966,251,10.0,0.0,21.672161319172073,55.0,34.0,0.2,0,1.0,21.169234030000013,28.750995806,0.4240612292761081
3772915,251,10.0,0.0,21.672161319172073,25.91,33.0,0.2,0,1.0,35.97591384,13.950750985999994,0.7205751468755239
5292205,251,10.0,0.0,21.672161319172073,45.0,28.0,0.2,0,1.0,26.098641789999995,23.860788596000003,0.5223967044530906
5105080,251,10.0,0.0,21.672161319172073,49.0,27.0,0.2,0,1.0,23.7440956,26.209757965999998,0.4753205990130239
5020353,251,10.0,0.0,21.672161319172073,36.0,14.0,0.2,0,1.0,40.11860951600001,9.817325643999997,0.803401586201515
3534504,251,10.0,0.0,21.672161319172073,28.15,24.0,0.2,0,1.0,39.21568995,10.687130306000004,0.7858411558469975
5056826,251,10.0,0.0,21.672161319172073,56.0,28.0,0.2,0,1.0,19.764294670000005,30.182295976,0.3957085841970845
5331926,251,10.0,0.0,21.672161319172073,61.0,30.0,0.2,0,1.0,17.186859830000003,32.723414616,0.3443551457244576
5027521,251,10.0,0.0,21.672161319172073,19.0,36.0,0.2,0,1.0,39.07648497,10.839826206,0.7828399985772219
5273385,251,10.0,0.0,21.672161319172073,27.0,25.0,0.2,0,1.0,39.63410795000001,10.291371916000001,0.7938653380273549
5162300,251,10.0,0.0,21.672161319172073,70.0,42.0,0.2,0,1.0,15.68157681000001,34.258752976,0.3140062726297033
4864792,251,10.0,0.0,21.672161319172073,67.7,38.0,0.2,0,1.0,15.747672600000007,34.188395215999996,0.3153566808268852
5287299,251,10.0,0.0,21.672161319172073,44.0,9.0,0.2,0,1.0,31.866925970000004,18.048720075999995,0.6384155769642426
5158398,251,10.0,0.0,21.672161319172073,41.0,15.0,0.2,0,1.0,31.55359908,18.391625055999995,0.6317640900775635
4951536,251,10.0,0.0,21.672161319172073,23.0,30.0,0.2,0,1.0,39.67658342000001,10.246313176000001,0.7947572381683283
5005538,251,10.0,0.0,21.672161319172073,47.0,42.0,0.2,0,1.0,24.95609236000001,24.997747625999995,0.4995830624231124
4949658,251,10.0,0.0,21.672161319172073,55.0,24.0,0.2,0,1.0,19.49665566999999,30.414213926000013,0.3906294526185236
4359461,251,10.0,0.0,21.672161319172073,87.35,41.0,0.2,0,1.0,2.5306263399999995,47.41688936600001,0.05066570988026148
883886,251,10.0,0.0,21.672161319172073,73.17,45.0,0.2,0,1.0,15.05838469000001,34.888620055999986,0.30148724165898977
5064173,251,10.0,0.0,21.672161319172073,83.0,39.0,0.2,0,1.0,6.148704120000018,43.77451146599999,0.12316322271765487
4864802,251,10.0,0.0,21.672161319172073,67.7,21.0,0.2,0,1.0,1.9216933100000089,48.02899094599999,0.038471811520163074
247628,251,10.0,0.0,21.672161319172073,33.83,33.0,0.2,0,1.0,31.51953166000001,18.434889945999988,0.6309658013578965
5109766,251,10.0,0.0,21.672161319172073,82.0,42.0,0.2,0,1.0,9.203165559999997,40.751332946000005,0.1842309668846863
5186055,251,10.0,0.0,21.672161319172073,17.0,34.0,0.2,0,1.0,42.05982116999999,7.863826826000005,0.8424829285986858
4644245,251,10.0,0.0,21.672161319172073,57.13,26.0,0.2,0,1.0,18.630448839999982,31.318443906000013,0.3729902269253396
5343740,251,10.0,0.0,21.672161319172073,72.0,41.0,0.2,0,1.0,14.546341649999995,35.399782836,0.29124064779194964
5297013,251,10.0,0.0,21.672161319172073,38.0,23.0,0.2,0,1.0,31.28175490000001,18.631327755999997,0.6267245626881685
4899401,251,10.0,0.0,21.672161319172073,68.08,30.0,0.2,0,1.0,12.473379229999995,37.441872736,0.2498911402570159
5112234,251,10.0,0.0,21.672161319172073,30.0,44.0,0.2,0,1.0,31.27942531000001,18.635986935999988,0.6266486422238575
5240965,251,10.0,0.0,21.672161319172073,71.0,27.0,0.2,0,1.0,7.374897099999999,42.538216216,0.14775470031912286
3520813,251,10.0,0.0,21.672161319172073,25.53,31.0,0.2,0,1.0,37.12115121000001,12.814213465999991,0.7433840015158881
5239080,251,10.0,0.0,21.672161319172073,50.0,30.0,0.2,0,1.0,23.353716679999994,26.584007376,0.4676568089849513
5276091,251,10.0,0.0,21.672161319172073,28.0,43.0,0.2,0,1.0,32.30858488000001,17.629044125999993,0.6469787517568792
1567569,251,10.0,0.0,21.672161319172073,33.55,32.0,0.2,0,1.0,31.86466767000001,18.053236675999987,0.6383414545837874
5103364,251,10.0,0.0,21.672161319172073,26.0,30.0,0.2,0,1.0,37.18528159,12.734107615999994,0.7449065820206503
5337326,251,10.0,0.0,21.672161319172073,55.0,45.0,0.2,0,1.0,22.06241656999999,27.879857226000013,0.4417583520549884
990827,251,10.0,0.0,21.672161319172073,53.34,35.0,0.2,0,1.0,22.03059150999999,27.918630286000013,0.44105975464394975
5279681,251,10.0,0.0,21.672161319172073,30.0,43.0,0.2,0,1.0,31.49234796000001,18.466689545999987,0.6303633843269665
1130379,251,10.0,0.0,21.672161319172073,42.34,39.0,0.2,0,1.0,26.80982707,23.129814826000004,0.5368445998437842
5114773,251,10.0,0.0,21.672161319172073,49.0,7.0,0.2,0,1.0,22.61015948,27.342725125999998,0.4526297061388167
4990883,251,10.0,0.0,21.672161319172073,9.0,40.0,0.2,0,1.0,44.809591885,5.150358146000002,0.8969102622639891
3534517,251,10.0,0.0,21.672161319172073,28.15,30.0,0.2,0,1.0,35.754035829999985,14.195525766000012,0.7158027956117877
2544369,251,10.0,0.0,21.672161319172073,52.82,24.0,0.2,0,1.0,21.014447220000008,28.920170466,0.4208392532840349
990845,251,10.0,0.0,21.672161319172073,53.34,33.0,0.2,0,1.0,21.870869459999994,28.037104756000012,0.4382239472462581
5065889,251,10.0,0.0,21.672161319172073,18.0,29.0,0.2,0,1.0,48.39329324199999,1.509821552000005,0.9697449436125872
1305563,251,10.0,0.0,21.672161319172073,55.47,38.0,0.2,0,1.0,21.428682140000017,28.52872006599999,0.4289390799713436
4644239,251,10.0,0.0,21.672161319172073,57.13,19.0,0.2,0,1.0,15.926347100000017,33.99272552599999,0.3190433287758012
5043856,251,10.0,0.0,21.672161319172073,39.0,39.0,0.2,0,1.0,28.214949570000005,21.706590836000004,0.5651858764880758
5052667,251,10.0,0.0,21.672161319172073,24.0,44.0,0.2,0,1.0,33.64205932,16.269567656,0.6740325122275974
5084794,251,10.0,0.0,21.672161319172073,54.0,24.0,0.2,0,1.0,20.24189376000001,29.71460461599999,0.4051904040120751
4723634,251,10.0,0.0,21.672161319172073,24.5,25.0,0.2,0,1.0,42.62304726700001,7.306565671999984,0.853662681484702
4899390,251,10.0,0.0,21.672161319172073,68.08,23.0,0.2,0,1.0,6.246645110000008,43.660236896,0.1251660063485636
5081308,251,10.0,0.0,21.672161319172073,72.0,28.0,0.2,0,1.0,7.268285319999991,42.655443346000006,0.145587789898994
5248419,251,10.0,0.0,21.672161319172073,80.0,44.0,0.2,0,1.0,11.3688938,38.540316336,0.2277914991846265
1284015,251,10.0,0.0,21.672161319172073,38.59,25.0,0.2,0,1.0,30.432012820000004,19.51186610599999,0.6093241749422386
4953131,251,10.0,0.0,21.672161319172073,69.0,25.0,0.2,0,1.0,7.771014059999987,42.16731199600001,0.15561222559373947
5117168,251,10.0,0.0,21.672161319172073,69.0,39.0,0.2,0,1.0,15.403322070000002,34.509095296,0.3086070137026189
247606,251,10.0,0.0,21.672161319172073,33.83,27.0,0.2,0,1.0,33.051420490000005,16.868432675999998,0.6620896976618323
5320537,251,10.0,0.0,21.672161319172073,47.0,31.0,0.2,0,1.0,24.95609236000001,24.997747625999995,0.4995830624231124
942727,251,10.0,0.0,21.672161319172073,30.27,35.0,0.2,0,1.0,32.89764686,17.037062046,0.6588132299304768
5099117,251,10.0,0.0,21.672161319172073,34.0,25.0,0.2,0,1.0,33.621483559999994,16.300315546,0.6734830106705649
2927113,251,10.0,0.0,21.672161319172073,64.17,45.0,0.2,0,1.0,18.70433141999999,31.225051066000013,0.3746157170128153
3815832,251,10.0,0.0,21.672161319172073,32.99,29.0,0.2,0,1.0,32.91434343,17.013982895999998,0.6592318599884646
5110112,251,10.0,0.0,21.672161319172073,17.0,41.0,0.2,0,1.0,37.97903207,11.925507746,0.7610336095679909
201772,251,10.0,0.0,21.672161319172073,33.46,30.0,0.2,0,1.0,32.369353610000005,17.555066405999998,0.6483671437670409
3537314,251,10.0,0.0,21.672161319172073,80.15,41.0,0.2,0,1.0,9.981997579999991,39.96431648600001,0.19985453915197007
5336942,251,10.0,0.0,21.672161319172073,69.0,26.0,0.2,0,1.0,8.784743370000001,41.158526116,0.1758944390387282
5061253,251,10.0,0.0,21.672161319172073,35.0,28.0,0.2,0,1.0,31.93811110000001,17.966285405999987,0.6399859198008756
815620,251,10.0,0.0,21.672161319172073,14.16,45.0,0.2,0,1.0,37.9606101,11.948419485999999,0.7605960367269562
4214103,251,10.0,0.0,21.672161319172073,72.63,36.0,0.2,0,1.0,12.314767139999995,37.619187096,0.2466211083904433
4723638,251,10.0,0.0,21.672161319172073,24.5,24.0,0.2,0,1.0,44.084619882000005,5.8209481619999925,0.8833607473044317
75597,251,10.0,0.0,21.672161319172073,82.43,43.0,0.2,0,1.0,9.511764989999987,40.41746734600001,0.1905049315797674
5086035,251,10.0,0.0,21.672161319172073,48.0,13.0,0.2,0,1.0,24.43642507,25.508741185999998,0.4892650661076618
5227864,251,10.0,0.0,21.672161319172073,80.0,43.0,0.2,0,1.0,11.055953839999995,38.89669139600001,0.22132869616346487
5059297,251,10.0,0.0,21.672161319172073,70.0,30.0,0.2,0,1.0,11.055953839999995,38.89669139600001,0.22132869616346487
5158232,251,10.0,0.0,21.672161319172073,57.0,43.0,0.2,0,1.0,21.20654065000001,28.706522085999993,0.4248695529297726
4930953,251,10.0,0.0,21.672161319172073,41.0,37.0,0.2,0,1.0,27.57821736000001,22.352690575999993,0.5523275762449378
4384951,251,10.0,0.0,21.672161319172073,57.26,21.0,0.2,0,1.0,16.78079057,33.170570065999996,0.3359426120998607
4944138,251,10.0,0.0,21.672161319172073,34.0,14.0,0.2,0,1.0,45.23110842599999,4.6804319340000085,0.9062254560720592
3337333,251,10.0,0.0,21.672161319172073,86.61,43.0,0.2,0,1.0,6.191457330000018,43.720862526000005,0.12404667520689758
201766,251,10.0,0.0,21.672161319172073,33.46,35.0,0.2,0,1.0,31.27942531000001,18.635986935999988,0.6266486422238574
4995946,251,10.0,0.0,21.672161319172073,33.0,35.0,0.2,0,1.0,31.521835260000003,18.430282745999992,0.6310410152421116
5145342,251,10.0,0.0,21.672161319172073,52.0,45.0,0.2,0,1.0,23.23180137,26.719226916000004,0.4650915540113371
5158853,251,10.0,0.0,21.672161319172073,40.0,12.0,0.2,0,1.0,35.97765978,13.947259105999999,0.7206353176487362
5035885,251,10.0,0.0,21.672161319172073,50.0,28.0,0.2,0,1.0,23.235133739999995,26.712562176,0.4651893008053044
3023234,251,10.0,0.0,21.672161319172073,18.42,45.0,0.2,0,1.0,35.94228332999999,13.991387306000002,0.7198005448469309
5289382,251,10.0,0.0,21.672161319172073,35.0,20.0,0.2,0,1.0,35.13630316999999,14.814526556000006,0.7034178083274387
919948,251,10.0,0.0,21.672161319172073,36.41,17.0,0.2,0,1.0,35.631422469999976,14.328832196000016,0.7131953731662747
5310065,251,10.0,0.0,21.672161319172073,37.0,24.0,0.2,0,1.0,31.75611514000001,18.170850535999985,0.6360513744432349
5331926,251,10.0,0.0,21.672161319172073,61.0,30.0,0.2,0,1.0,17.186859830000003,32.723414616,0.3443551457244576
3534513,251,10.0,0.0,21.672161319172073,28.15,33.0,0.2,0,1.0,34.632776,15.308589716000006,0.6934687408619363
5398227,251,10.0,0.0,21.672161319172073,61.0,23.0,0.2,0,1.0,14.521466729999995,35.429076376,0.29071689369190656
5162802,251,10.0,0.0,21.672161319172073,40.0,37.0,0.2,0,1.0,28.003860820000003,21.942200456000005,0.5606820659040911
4969540,251,10.0,0.0,21.672161319172073,17.0,40.0,0.2,0,1.0,38.44146834000001,11.481217346,0.7700200382204253
5014451,251,10.0,0.0,21.672161319172073,24.0,37.0,0.2,0,1.0,35.569238239999976,14.332412056000011,0.7127868122399779
1130363,251,10.0,0.0,21.672161319172073,42.34,33.0,0.2,0,1.0,27.15215646000001,22.753188206,0.5440731176534382
4984565,251,10.0,0.0,21.672161319172073,57.0,39.0,0.2,0,1.0,20.89166142,29.061041986000003,0.4182288443970507
5088043,251,10.0,0.0,21.672161319172073,51.0,3.0,0.2,0,1.0,7.0230910200000025,42.92729093599999,0.14060134767711013
3791056,251,10.0,0.0,21.672161319172073,19.71,30.0,0.2,0,1.0,43.04612362299999,6.905447980000004,0.8617571428005826
5136439,251,10.0,0.0,21.672161319172073,67.0,21.0,0.2,0,1.0,4.541679990000012,45.367108866,0.09099960335851774
3537305,251,10.0,0.0,21.672161319172073,80.15,37.0,0.2,0,1.0,7.1883468499999985,42.746023386,0.14395589282545088
387659,251,10.0,0.0,21.672161319172073,47.35,10.0,0.2,0,1.0,25.68302774,24.259247966,0.5142542540750595
2060486,251,10.0,0.0,21.672161319172073,14.68,35.0,0.2,0,1.0,43.63600911199999,6.321015682000003,0.8734709341065647
5086229,251,10.0,0.0,21.672161319172073,71.0,42.0,0.2,0,1.0,15.266021980000007,34.66364592599999,0.3057505210877941
4946286,251,10.0,0.0,21.672161319172073,24.0,32.0,0.2,0,1.0,37.68606797,12.251789526000008,0.7546592877561604
5188478,251,10.0,0.0,21.672161319172073,5.0,42.0,0.2,0,1.0,48.681016863,1.2573265100000033,0.9748224225099184
5045152,251,10.0,0.0,21.672161319172073,39.0,17.0,0.2,0,1.0,32.73769915,17.211995196000007,0.6554134029975631
5398565,251,10.0,0.0,21.672161319172073,49.0,15.0,0.2,0,1.0,22.90071982,27.025021786000003,0.4586956364259159
5104641,251,10.0,0.0,21.672161319172073,53.0,12.0,0.2,0,1.0,17.650565259999983,32.273213216000016,0.3535502680047583
5089278,251,10.0,0.0,21.672161319172073,54.0,28.0,0.2,0,1.0,20.90771677,29.037738946000005,0.41861099213681263
4998078,251,10.0,0.0,21.672161319172073,72.0,31.0,0.2,0,1.0,9.986982439999991,39.954346766000015,0.1999743018213489
5165774,251,10.0,0.0,21.672161319172073,66.0,41.0,0.2,0,1.0,17.30288243,32.657348815999995,0.34633311332771977
5025261,251,10.0,0.0,21.672161319172073,11.0,45.0,0.2,0,1.0,39.68173075000001,10.236018516,0.7949423067643805
5278552,251,10.0,0.0,21.672161319172073,40.0,19.0,0.2,0,1.0,30.91067323000001,19.042408915999992,0.6187941144383458
5089457,251,10.0,0.0,21.672161319172073,46.0,32.0,0.2,0,1.0,25.41276578,24.491680786,0.5092284862109615
5010531,251,10.0,0.0,21.672161319172073,37.0,19.0,0.2,0,1.0,33.640029899999995,16.273626496,0.6739644483888353
5164050,251,10.0,0.0,21.672161319172073,82.0,44.0,0.2,0,1.0,10.238183770000004,39.668426206,0.2051468487826268
5020767,251,10.0,0.0,21.672161319172073,30.0,31.0,0.2,0,1.0,34.16062350999999,15.765190515999999,0.6842276721258882
5068478,251,10.0,0.0,21.672161319172073,63.0,21.0,0.2,0,1.0,11.068391419999996,38.879403666,0.22159919974330128
387669,251,10.0,0.0,21.672161319172073,47.35,40.0,0.2,0,1.0,24.75085965,25.15642380599999,0.4959368239672116
919974,251,10.0,0.0,21.672161319172073,36.41,39.0,0.2,0,1.0,29.35921697000001,20.570522446,0.5880106187894871
4979499,251,10.0,0.0,21.672161319172073,41.0,12.0,0.2,0,1.0,34.32161180999998,15.588512726000008,0.6876683263982627
5254747,251,10.0,0.0,21.672161319172073,87.0,41.0,0.2,0,1.0,3.2388528900000098,46.688833496,0.06487087875372094
1130396,251,10.0,0.0,21.672161319172073,42.34,41.0,0.2,0,1.0,26.7696378,23.178658696000014,0.5359469627186141
5136787,251,10.0,0.0,21.672161319172073,49.0,32.0,0.2,0,1.0,23.96910887,25.965229655999998,0.4800125440235816
5136999,251,10.0,0.0,21.672161319172073,54.0,43.0,0.2,0,1.0,22.35331417,27.564777546,0.44779985375192544
4864814,251,10.0,0.0,21.672161319172073,67.7,43.0,0.2,0,1.0,16.958899820000006,32.971853825999986,0.3396483846455741
2060503,251,10.0,0.0,21.672161319172073,14.68,43.0,0.2,0,1.0,38.484534720000006,11.433836185999994,0.7709493323103281
3380837,251,10.0,0.0,21.672161319172073,27.04,28.0,0.2,0,1.0,37.55868215,12.393070146000008,0.7518991911922895
5290025,251,10.0,0.0,21.672161319172073,67.0,32.0,0.2,0,1.0,14.14743638999999,35.771982356,0.2834054711651388
3520840,251,10.0,0.0,21.672161319172073,25.53,41.0,0.2,0,1.0,33.64408611,16.265514076,0.6741004933843852
5239080,251,10.0,0.0,21.672161319172073,50.0,30.0,0.2,0,1.0,23.353716679999994,26.584007376,0.4676568089849513
5073844,251,10.0,0.0,21.672161319172073,76.0,38.0,0.2,0,1.0,11.10086121,38.842089686,0.22227083123534624
387674,251,10.0,0.0,21.672161319172073,47.35,41.0,0.2,0,1.0,24.75085965,25.15642380599999,0.4959368239672116
4982314,251,10.0,0.0,21.672161319172073,41.0,10.0,0.2,0,1.0,36.75018771,13.150611245999995,0.7364649159706733
5134858,251,10.0,0.0,21.672161319172073,7.0,44.0,0.2,0,1.0,43.101080759,6.8470197080000075,0.8629173152936269
3815834,251,10.0,0.0,21.672161319172073,32.99,15.0,0.2,0,1.0,44.255051923,5.7017493399999974,0.8858664046566381
5310349,251,10.0,0.0,21.672161319172073,54.0,42.0,0.2,0,1.0,22.33743095,27.587548446,0.4474199332727152
4384960,251,10.0,0.0,21.672161319172073,57.26,38.0,0.2,0,1.0,20.57492069,29.344748206000013,0.4121606001206599
1283995,251,10.0,0.0,21.672161319172073,38.59,15.0,0.2,0,1.0,34.51982236999999,15.435009696000009,0.6910206869356027
5263305,251,10.0,0.0,21.672161319172073,66.0,23.0,0.2,0,1.0,9.369901229999991,40.57447211600001,0.18760674330796104
919963,251,10.0,0.0,21.672161319172073,36.41,19.0,0.2,0,1.0,34.24112787999999,15.672904456000008,0.6860020374531817
5055539,251,10.0,0.0,21.672161319172073,81.0,41.0,0.2,0,1.0,9.369901229999991,40.57447211600001,0.18760674330796104
5031374,251,10.0,0.0,21.672161319172073,26.0,29.0,0.2,0,1.0,37.75895229,12.166684106000009,0.7563038754379345
5019149,251,10.0,0.0,21.672161319172073,57.0,42.0,0.2,0,1.0,21.112306580000013,28.81151360599999,0.4228904459102366
4384971,251,10.0,0.0,21.672161319172073,57.26,28.0,0.2,0,1.0,18.893940709999985,31.012189046000014,0.378589580125244
5003112,251,10.0,0.0,21.672161319172073,68.0,42.0,0.2,0,1.0,16.57349277,33.336405465999995,0.332068254109273
5175852,251,10.0,0.0,21.672161319172073,33.0,29.0,0.2,0,1.0,32.91434343,17.013982895999998,0.6592318599884646
5057994,251,10.0,0.0,21.672161319172073,74.0,31.0,0.2,0,1.0,7.998145459999987,41.90872889600001,0.16026139811816162
5088268,251,10.0,0.0,21.672161319172073,29.0,20.0,0.2,0,1.0,42.581126195000024,7.353095315999978,0.8527443686214241
387633,251,10.0,0.0,21.672161319172073,47.35,8.0,0.2,0,1.0,26.129464629999994,23.824017686000005,0.5230759382240461
972787,251,10.0,0.0,21.672161319172073,73.09,37.0,0.2,0,1.0,12.411195769999996,37.508723006,0.2486221146651169
5371664,251,10.0,0.0,21.672161319172073,55.0,13.0,0.2,0,1.0,15.266021980000007,34.66364592599999,0.3057505210877941
5252447,251,10.0,0.0,21.672161319172073,76.0,41.0,0.2,0,1.0,12.386318509999995,37.538273026,0.2481005478245801
5185977,251,10.0,0.0,21.672161319172073,59.0,44.0,0.2,0,1.0,20.5624831,29.360848146000013,0.4118812304146374
5208965,251,10.0,0.0,21.672161319172073,52.0,41.0,0.2,0,1.0,22.988799109999995,26.923472086,0.4605841120658588
4999013,251,10.0,0.0,21.672161319172073,10.0,40.0,0.2,0,1.0,43.717782548,6.230497410000009,0.8752610216960616
5020130,251,10.0,0.0,21.672161319172073,42.0,31.0,0.2,0,1.0,27.54775081000001,22.385953775999997,0.5516865019008347
4987517,251,10.0,0.0,21.672161319172073,49.0,4.0,0.2,0,1.0,22.14947845,27.789327785999998,0.4435323973369799
5145580,251,10.0,0.0,21.672161319172073,55.0,41.0,0.2,0,1.0,21.86736733,28.044109016000014,0.4381230316332345
5013303,251,10.0,0.0,21.672161319172073,28.0,23.0,0.2,0,1.0,40.30858246300001,9.607858579999991,0.8075211617806766
5211913,251,10.0,0.0,21.672161319172073,74.0,45.0,0.2,0,1.0,14.646614509999992,35.277499896,0.2933775527972055
5126282,251,10.0,0.0,21.672161319172073,31.0,28.0,0.2,0,1.0,34.63085936,15.312422996000002,0.6934037517427922
5306565,251,10.0,0.0,21.672161319172073,78.0,42.0,0.2,0,1.0,11.721946769999995,38.21597117600001,0.2347303862903422
5092232,251,10.0,0.0,21.672161319172073,79.0,35.0,0.2,0,1.0,6.477501990000008,43.469862566,0.1296865619954294
5286097,251,10.0,0.0,21.672161319172073,51.0,8.0,0.2,0,1.0,18.70043899999999,31.232835906000012,0.3745085623805727
5117888,251,10.0,0.0,21.672161319172073,49.0,43.0,0.2,0,1.0,24.23071530000001,25.677828955999995,0.4855023455645472
5089278,251,10.0,0.0,21.672161319172073,54.0,28.0,0.2,0,1.0,20.90771677,29.037738946000005,0.41861099213681263
1567574,251,10.0,0.0,21.672161319172073,33.55,43.0,0.2,0,1.0,30.014420220000016,19.906690326,0.6012370296198261
5010945,251,10.0,0.0,21.672161319172073,56.0,13.0,0.2,0,1.0,13.706658079999995,36.20441271600001,0.2746215992043689
