,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
2000878,416,10.0,0.0,22.186633368785127,83.69,44.0,0.2,0,1.0,16.13602777400001,33.82373854599999,0.3229804493208848
1799411,950,10.0,0.0,40.50325772268196,59.76,45.0,0.2,0,1.0,18.311693219999988,31.590706056000005,0.3669501564187675
131414,899,10.0,0.0,44.37160371546218,66.82,25.0,0.2,0,1.0,8.772304600000002,41.176094226,0.17562734354226567
694760,899,10.0,0.0,44.37160371546218,54.12,15.0,0.2,0,1.0,15.203838610000007,34.725829295999986,0.30450510182890644
3813556,899,10.0,0.0,44.37160371546218,54.26,34.0,0.2,0,1.0,20.90046908,29.052234326000004,0.4184051643837472
4921532,917,10.0,0.0,41.937580446432364,35.43,15.0,0.2,0,1.0,40.615445700000016,9.329966395999989,0.8131967280985314
4969486,618,10.0,0.0,8.56609656483251,51.0,36.0,0.2,0,1.0,29.93730919000001,19.988780735999995,0.5996325615399247
451703,991,10.0,0.0,40.50325772268196,55.1,15.0,0.2,0,1.0,8.264501089999996,41.678500385999996,0.1654786625904229
1628096,991,10.0,0.0,40.50325772268196,72.43,45.0,0.2,0,1.0,12.953500480000011,36.968334386,0.2594756485768151
5127841,906,10.0,0.0,17.051747934134937,71.0,29.0,0.2,0,1.0,16.71444323,33.241054206,0.3345866638884649
679673,187,10.0,0.0,22.790310945539137,25.78,38.0,0.2,0,1.0,40.84304130600001,9.083891203999986,0.8180562925194622
4671673,914,10.0,0.0,34.2312934930983,75.76,45.0,0.2,0,1.0,12.835570270000016,37.104712706,0.25701837284679496
1641591,950,10.0,0.0,40.50325772268196,51.76,34.0,0.2,0,1.0,20.24189376000001,29.71460461599999,0.4051904040120751
115583,950,10.0,0.0,40.50325772268196,53.0,20.0,0.2,0,1.0,15.797423430000013,34.134387655999994,0.31637994069134273
3291472,251,10.0,0.0,21.672161319172073,43.63,37.0,0.2,0,1.0,26.38351697,23.543380956,0.528442944905265
5396981,661,10.0,0.0,18.792690057830672,58.0,18.0,0.2,0,1.0,13.951948859999973,35.994295796000024,0.2793392967998434
391355,870,10.0,0.0,42.34701669711429,61.32,40.0,0.2,0,1.0,17.389700229999995,32.558334945999995,0.34815584174081265
2940596,899,10.0,0.0,44.37160371546218,42.01,5.0,0.2,0,1.0,37.18528159,12.734107615999994,0.7449065820206503
4387853,870,10.0,0.0,42.34701669711429,59.58,27.0,0.2,0,1.0,14.40152335,35.553443605999995,0.2882901186319424
76870,870,10.0,0.0,42.34701669711429,33.07,12.0,0.2,0,1.0,40.307375409,9.610272687999993,0.8074774542797908
4944410,77,10.0,0.0,36.90593079021321,87.0,36.0,0.2,0,1.0,6.186012800000018,43.731751586,0.1239240754486784
4535578,696,10.0,0.0,21.003292267416693,67.56,39.0,0.2,0,1.0,16.577645070000006,33.32810086599999,0.33217908597658197
5279298,948,10.0,0.0,43.42721184299677,65.0,45.0,0.2,0,1.0,16.88436520000001,33.05873733599999,0.3380720128035581
535038,870,10.0,0.0,42.34701669711429,21.72,31.0,0.2,0,1.0,37.02277816,12.923888155999991,0.7412462310450552
2942582,870,10.0,0.0,42.34701669711429,27.44,16.0,0.2,0,1.0,45.86232884199999,4.050569172000005,0.9188472452378168
3653095,948,10.0,0.0,43.42721184299677,78.15,41.0,0.2,0,1.0,8.560892520000005,41.34589078599999,0.17153765385978662
5000409,164,10.0,0.0,29.619921050056337,41.0,15.0,0.2,0,1.0,37.94366355,11.971378715999998,0.7601649087622953
1308772,899,10.0,0.0,44.37160371546218,19.16,35.0,0.2,0,1.0,38.55385956000001,11.355929946,0.7724708908132176
4047518,899,10.0,0.0,44.37160371546218,23.25,23.0,0.2,0,1.0,45.864388331,4.0464501940000055,0.918926423326405
2476704,870,10.0,0.0,42.34701669711429,19.95,30.0,0.2,0,1.0,38.93017242000001,11.008076005999994,0.7795662372437413
2765628,950,10.0,0.0,40.50325772268196,39.37,20.0,0.2,0,1.0,27.12160431000001,22.789421156,0.5433990597623679
3388452,991,10.0,0.0,40.50325772268196,11.89,45.0,0.2,0,1.0,36.57274317,13.359582465999999,0.732446220042111
5006460,517,10.0,0.0,14.504035866170769,32.0,43.0,0.2,0,1.0,34.17306169,15.750782635999999,0.6845038107813124
3149806,127,10.0,0.0,35.57150426717994,81.66,40.0,0.2,0,1.0,13.706658079999995,36.20441271600001,0.27462159920436896
5172319,696,10.0,0.0,21.003292267416693,25.0,32.0,0.2,0,1.0,37.71859409,12.211611006000005,0.75542638003347
2423958,950,10.0,0.0,40.50325772268196,66.94,35.0,0.2,0,1.0,12.140664889999995,37.812084836,0.24304297474300754
4667620,991,10.0,0.0,40.50325772268196,48.71,42.0,0.2,0,1.0,22.34087682,27.580656706,0.44751984248169147
5155899,696,10.0,0.0,21.003292267416693,52.0,34.0,0.2,0,1.0,23.11653498,26.844514995999997,0.462691136217205
852404,950,10.0,0.0,40.50325772268196,62.89,32.0,0.2,0,1.0,13.37761668,36.560649096,0.2678830846871177
2730090,605,10.0,0.0,32.73170446904399,14.06,34.0,0.2,0,1.0,43.718571653999994,6.228919198000009,0.8752906484040011
3912700,899,10.0,0.0,44.37160371546218,41.98,41.0,0.2,0,1.0,26.333767639999994,23.596069516000014,0.5274154521618643
2136194,870,10.0,0.0,42.34701669711429,81.68,43.0,0.2,0,1.0,7.133268329999997,42.80643247600001,0.14283762647498624
2348446,991,10.0,0.0,40.50325772268196,55.09,22.0,0.2,0,1.0,14.825838329999995,35.085135636000004,0.2970456625450657
247600,251,10.0,0.0,21.672161319172073,33.83,23.0,0.2,0,1.0,34.63085936,15.312422996000002,0.6934037517427922
5398218,3,10.0,0.0,12.031480146169601,43.0,35.0,0.2,0,1.0,36.14420426,13.761651036000002,0.7242477670329996
1844394,899,10.0,0.0,44.37160371546218,46.87,13.0,0.2,0,1.0,23.341277429999995,26.599766366000004,0.46737664365496295
5219181,77,10.0,0.0,36.90593079021321,60.0,19.0,0.2,0,1.0,19.637257090000006,30.320653196,0.3930760309544627
5423059,789,10.0,0.0,41.76806868092354,42.0,12.0,0.2,0,1.0,34.16062350999999,15.765190515999999,0.6842276721258882
4401294,899,10.0,0.0,44.37160371546218,42.92,29.0,0.2,0,1.0,26.395953840000004,23.528008676,0.528723132334306
144246,870,10.0,0.0,42.34701669711429,11.22,36.0,0.2,0,1.0,42.114491801,7.804233864000003,0.8436611960735235
5266103,914,10.0,0.0,34.2312934930983,52.0,12.0,0.2,0,1.0,15.270342600000005,34.65500468599999,0.3058635228418751
1805034,950,10.0,0.0,40.50325772268196,73.12,33.0,0.2,0,1.0,4.816441599999994,45.120741046000006,0.09645000668426364
3841511,950,10.0,0.0,40.50325772268196,18.79,43.0,0.2,0,1.0,33.9502876,15.999355165999999,0.6796902984681498
3566495,950,10.0,0.0,40.50325772268196,47.71,23.0,0.2,0,1.0,21.002009390000005,28.936216526,0.4205597817056422
551110,950,10.0,0.0,40.50325772268196,58.74,44.0,0.2,0,1.0,18.671668539999985,31.265503556000013,0.3739032018894718
591098,870,10.0,0.0,42.34701669711429,19.14,34.0,0.2,0,1.0,37.33159317,12.579882565999995,0.747956108680505
3934875,454,10.0,0.0,37.54629548970925,53.32,33.0,0.2,0,1.0,23.42916119999999,26.501935536000005,0.4692298533692675
3292329,186,10.0,0.0,23.529012376626852,65.52,37.0,0.2,0,1.0,18.295319579999987,31.614947036000004,0.3665642526168146
5076488,492,10.0,0.0,17.037300021376776,50.0,17.0,0.2,0,1.0,44.808940287,5.1516613420000015,0.8968855223110507
4992230,579,10.0,0.0,17.78117168148629,52.0,15.0,0.2,0,1.0,36.74525912,13.160468426,0.7362934261629692
1881532,948,10.0,0.0,43.42721184299677,21.36,42.0,0.2,0,1.0,33.621483559999994,16.300315546,0.6734830106705649
2039075,274,10.0,0.0,38.87522740614053,56.61,21.0,0.2,0,1.0,19.768058590000006,30.174768135999997,0.3958137711838574
5051732,605,10.0,0.0,32.73170446904399,69.0,27.0,0.2,0,1.0,8.087207759999984,41.87141251600001,0.1618781246423865
5099687,618,10.0,0.0,8.56609656483251,51.0,39.0,0.2,0,1.0,29.50915185,20.395031246,0.5913161987489836
5263611,22,10.0,0.0,40.11796100648079,20.0,45.0,0.2,0,1.0,39.747752010000006,10.163598815999997,0.7963669857096808
1065560,991,10.0,0.0,40.50325772268196,43.13,27.0,0.2,0,1.0,24.32417884,25.633741145999995,0.4868933463766408
5104055,789,10.0,0.0,41.76806868092354,52.0,41.0,0.2,0,1.0,23.53854768,26.372765555999997,0.4716074603908064
4265904,830,10.0,0.0,35.725344527995865,22.27,40.0,0.2,0,1.0,35.668732529999986,14.289734476000016,0.7139677149364126
4529810,899,10.0,0.0,44.37160371546218,74.4,30.0,0.2,0,1.0,4.300829540000018,45.636286306,0.0861249086403639
