,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
4959857,251,10.0,0.0,21.672161319172073,49.0,25.0,0.2,0,1.0,23.64131934,26.266710875999998,0.4736977043109354
5157561,251,10.0,0.0,21.672161319172073,63.0,26.0,0.2,0,1.0,14.326904300000002,35.579176595999996,0.2870773269064354
5010631,251,10.0,0.0,21.672161319172073,58.0,43.0,0.2,0,1.0,20.90046908,29.052234326000004,0.4184051643837472
5132128,251,10.0,0.0,21.672161319172073,26.0,42.0,0.2,0,1.0,33.34179671,16.612981295999994,0.6674395931855681
2426884,251,10.0,0.0,21.672161319172073,71.9,41.0,0.2,0,1.0,14.575628779999995,35.366082816,0.2918528082879604
5322061,251,10.0,0.0,21.672161319172073,60.0,22.0,0.2,0,1.0,14.821463589999995,35.093885115999996,0.2969319853357732
5073631,251,10.0,0.0,21.672161319172073,33.0,43.0,0.2,0,1.0,30.30782228000001,19.650755865999987,0.6066590244307554
3134780,251,10.0,0.0,21.672161319172073,13.74,34.0,0.2,0,1.0,46.34883270900001,3.5740355579999927,0.9284088498504302
5111959,251,10.0,0.0,21.672161319172073,38.0,14.0,0.2,0,1.0,36.62672494,13.287257726000005,0.7337968838328962
5172131,251,10.0,0.0,21.672161319172073,20.0,32.0,0.2,0,1.0,40.84760404200001,9.074765731999983,0.8182224567246765
4994610,251,10.0,0.0,21.672161319172073,24.0,30.0,0.2,0,1.0,38.77258753,11.174000536,0.7762810039950166
2927083,251,10.0,0.0,21.672161319172073,64.17,22.0,0.2,0,1.0,10.613608239999994,39.320732706,0.21255128312352745
4944116,251,10.0,0.0,21.672161319172073,44.0,6.0,0.2,0,1.0,37.33159317,12.579882565999995,0.747956108680505
5069485,251,10.0,0.0,21.672161319172073,58.0,42.0,0.2,0,1.0,20.667805699999995,29.237259106000014,0.4141424478726483
5020272,251,10.0,0.0,21.672161319172073,48.0,9.0,0.2,0,1.0,24.635642300000004,25.293670795999994,0.4934103990702337
4948257,251,10.0,0.0,21.672161319172073,40.0,45.0,0.2,0,1.0,27.44266295000001,22.496645186,0.5495202872107328
2927111,251,10.0,0.0,21.672161319172073,64.17,42.0,0.2,0,1.0,18.262560149999988,31.655593586000013,0.36585007223192617
5107012,251,10.0,0.0,21.672161319172073,52.0,30.0,0.2,0,1.0,22.33743095,27.587548446,0.4474199332727152
5026598,251,10.0,0.0,21.672161319172073,28.0,22.0,0.2,0,1.0,41.38350674800001,8.545845289999994,0.8288412538681463
5131422,251,10.0,0.0,21.672161319172073,40.0,32.0,0.2,0,1.0,28.47717002000001,21.482300935999998,0.570005435907843
3291448,251,10.0,0.0,21.672161319172073,43.63,10.0,0.2,0,1.0,31.833003940000005,18.091692236,0.6376203838633052
5214788,251,10.0,0.0,21.672161319172073,29.0,34.0,0.2,0,1.0,33.87806247,16.083628546,0.6780807811158895
1284013,251,10.0,0.0,21.672161319172073,38.59,32.0,0.2,0,1.0,29.177355100000003,20.767871036000003,0.5841870656576978
4950115,251,10.0,0.0,21.672161319172073,51.0,33.0,0.2,0,1.0,22.988799109999995,26.923472086,0.4605841120658588
5332662,251,10.0,0.0,21.672161319172073,40.0,30.0,0.2,0,1.0,28.71260233000001,21.222860355999998,0.5749942182482255
5113904,251,10.0,0.0,21.672161319172073,69.0,27.0,0.2,0,1.0,9.666028529999988,40.24310368600001,0.19367254249516336
1130392,251,10.0,0.0,21.672161319172073,42.34,25.0,0.2,0,1.0,27.93618829000001,22.018107726,0.5592349511051511
4723628,251,10.0,0.0,21.672161319172073,24.5,30.0,0.2,0,1.0,38.37350788,11.552063266000008,0.7686142992291927
3520813,251,10.0,0.0,21.672161319172073,25.53,31.0,0.2,0,1.0,37.12115121000001,12.814213465999991,0.7433840015158881
5144623,251,10.0,0.0,21.672161319172073,34.0,20.0,0.2,0,1.0,36.12487173,13.786156896000008,0.7237853581559242
1284014,251,10.0,0.0,21.672161319172073,38.59,18.0,0.2,0,1.0,32.68746562,17.270850656000007,0.6542947812615348
5120700,251,10.0,0.0,21.672161319172073,54.0,26.0,0.2,0,1.0,20.57492069,29.344748206000013,0.4121606001206598
5354146,251,10.0,0.0,21.672161319172073,75.0,37.0,0.2,0,1.0,11.21485843,38.70877603600001,0.22464026407447893
4950240,251,10.0,0.0,21.672161319172073,32.0,31.0,0.2,0,1.0,32.95589632000001,16.970307715999994,0.660092169159039
4943825,251,10.0,0.0,21.672161319172073,13.0,35.0,0.2,0,1.0,45.89436806599999,4.011366334000006,0.9196211340795336
5288733,251,10.0,0.0,21.672161319172073,61.0,31.0,0.2,0,1.0,17.493247289999992,32.446682136000014,0.3502857831611704
5170218,251,10.0,0.0,21.672161319172073,36.0,15.0,0.2,0,1.0,38.12624996,11.828573946000006,0.7632145802724111
5139507,251,10.0,0.0,21.672161319172073,52.0,29.0,0.2,0,1.0,22.15294148,27.782401726,0.4436325067119636
3134786,251,10.0,0.0,21.672161319172073,13.74,43.0,0.2,0,1.0,39.01856316999999,10.907291906,0.7815301933357718
5350513,251,10.0,0.0,21.672161319172073,61.0,16.0,0.2,0,1.0,7.8508814299999905,42.06645091600001,0.15727766411037192
1130395,251,10.0,0.0,21.672161319172073,42.34,45.0,0.2,0,1.0,26.64031314,23.266112976,0.5338052674434869
