,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
5161526,251,10.0,0.0,21.672161319172073,53.0,18.0,0.2,0,1.0,19.49665566999999,30.414213926000013,0.3906294526185236
3529754,251,10.0,0.0,21.672161319172073,21.8,44.0,0.2,0,1.0,34.69687807,15.240661615999999,0.6948055168149839
5173670,251,10.0,0.0,21.672161319172073,31.0,45.0,0.2,0,1.0,30.76194015,19.145666966,0.6163777814171731
5228285,251,10.0,0.0,21.672161319172073,52.0,22.0,0.2,0,1.0,21.22613174000001,28.68335400599999,0.4252925355317086
5225245,251,10.0,0.0,21.672161319172073,47.0,8.0,0.2,0,1.0,26.80694578,23.135577406000003,0.5367559360219626
5274055,251,10.0,0.0,21.672161319172073,34.0,23.0,0.2,0,1.0,34.51788902999999,15.438876376000009,0.6909552439889205
5401816,251,10.0,0.0,21.672161319172073,59.0,30.0,0.2,0,1.0,18.299255639999988,31.607074916000013,0.36667203210755706
5347029,251,10.0,0.0,21.672161319172073,69.0,40.0,0.2,0,1.0,15.66060486000001,34.283992376,0.3135595385022319
5200559,251,10.0,0.0,21.672161319172073,41.0,27.0,0.2,0,1.0,28.48252848000001,21.471584015999998,0.5701738466934169
430220,251,10.0,0.0,21.672161319172073,70.17,28.0,0.2,0,1.0,9.369901229999991,40.57447211600001,0.18760674330796093
4987939,251,10.0,0.0,21.672161319172073,46.0,27.0,0.2,0,1.0,25.57443293,24.379993065999997,0.511955295653839
5133274,251,10.0,0.0,21.672161319172073,15.0,41.0,0.2,0,1.0,39.12191402999999,10.786282446000003,0.7838775350019522
5195525,251,10.0,0.0,21.672161319172073,59.0,38.0,0.2,0,1.0,19.833991630000007,30.101321335999998,0.3971936982452596
5300768,251,10.0,0.0,21.672161319172073,15.0,40.0,0.2,0,1.0,39.68044639000001,10.238587236,0.7948961249388591
5152342,251,10.0,0.0,21.672161319172073,45.0,25.0,0.2,0,1.0,26.225417449999995,23.722131346000012,0.5250591486904004
5217815,251,10.0,0.0,21.672161319172073,77.0,42.0,0.2,0,1.0,12.310076969999995,37.628567436,0.2465040274205155
5159401,251,10.0,0.0,21.672161319172073,44.0,11.0,0.2,0,1.0,30.444449330000005,19.49699045599999,0.6096029561913923
5136989,251,10.0,0.0,21.672161319172073,33.0,30.0,0.2,0,1.0,32.68962509,17.266531716000006,0.6543662919657142
4955065,251,10.0,0.0,21.672161319172073,70.0,40.0,0.2,0,1.0,15.199512510000007,34.73448149599999,0.3043920842417224
5036599,251,10.0,0.0,21.672161319172073,48.0,29.0,0.2,0,1.0,24.39274939000001,25.55878574599999,0.4883283231153428
2927105,251,10.0,0.0,21.672161319172073,64.17,24.0,0.2,0,1.0,12.230748909999996,37.717293006,0.2448694371356745
5024820,251,10.0,0.0,21.672161319172073,65.0,29.0,0.2,0,1.0,14.230968459999987,35.68399877600001,0.285104233219575
5029128,251,10.0,0.0,21.672161319172073,57.0,11.0,0.2,0,1.0,8.887174230000008,41.050972596,0.17796363691599687
1567574,251,10.0,0.0,21.672161319172073,33.55,43.0,0.2,0,1.0,30.014420220000016,19.906690326,0.6012370296198261
