,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
705173,991,10.0,0.0,40.50325772268196,49.44,39.0,0.2,0,1.0,21.8424948,28.072487976000012,0.4375939564683622
5012342,142,10.0,0.0,31.52863959628417,48.0,42.0,0.2,0,1.0,28.157054160000005,21.772629426000005,0.5639341597569242
3581468,767,10.0,0.0,26.878231207733336,67.49,18.0,0.2,0,1.0,13.331184180000005,36.620755376,0.26688021122892963
5395114,3,10.0,0.0,12.031480146169601,26.0,41.0,0.2,0,1.0,45.85922033999999,4.0567861760000055,0.9187277496908802
3480181,991,10.0,0.0,40.50325772268196,47.0,14.0,0.2,0,1.0,19.29484037,30.638880936000014,0.3864090211053736
5279314,22,10.0,0.0,40.11796100648079,35.0,37.0,0.2,0,1.0,34.67008754,15.271278176000006,0.6942158477835246
5337518,239,10.0,0.0,40.443073354301575,43.0,30.0,0.2,0,1.0,29.90494339000001,20.028639075999997,0.5988944095962355
3515473,991,10.0,0.0,40.50325772268196,11.55,34.0,0.2,0,1.0,42.30604942600001,7.594247853999988,0.8478115709133509
5293982,69,10.0,0.0,40.2467023956005,41.0,15.0,0.2,0,1.0,32.53170968,17.375250945999998,0.6518471426018272
4357962,991,10.0,0.0,40.50325772268196,43.15,33.0,0.2,0,1.0,24.26199766000001,25.640137906,0.4861915704571674
1958372,103,10.0,0.0,20.11121775969163,25.36,30.0,0.2,0,1.0,47.71092885299999,2.203521980000001,0.9558540273763128
3531401,888,10.0,0.0,18.6150978894912,40.46,32.0,0.2,0,1.0,35.768248429999986,14.181313166000011,0.7160873346456826
5355202,991,10.0,0.0,40.50325772268196,55.0,44.0,0.2,0,1.0,20.147405120000013,29.761756195999993,0.40368150032489336
5327485,108,10.0,0.0,19.57368422433964,36.0,39.0,0.2,0,1.0,36.44393351,13.503587736000002,0.7296444868706788
123982,35,10.0,0.0,25.74563413285565,33.66,20.0,0.2,0,1.0,43.354497934000015,6.560648137999992,0.8685639799884268
364631,991,10.0,0.0,40.50325772268196,19.16,43.0,0.2,0,1.0,33.77654651,16.129007475999998,0.6768093691430683
3878747,991,10.0,0.0,40.50325772268196,42.08,9.0,0.2,0,1.0,25.13021352000001,24.811186015999994,0.5031940184592749
4830921,48,10.0,0.0,32.96606060778068,43.45,36.0,0.2,0,1.0,31.012469870000004,18.916980935999998,0.6211257958854466
5247178,22,10.0,0.0,40.11796100648079,38.0,34.0,0.2,0,1.0,33.94628157,16.007367226,0.6795555958010062
5386203,881,10.0,0.0,29.938962136889728,62.0,18.0,0.2,0,1.0,16.569335470000002,33.344720065999994,0.3319573072568616
307722,991,10.0,0.0,40.50325772268196,47.85,14.0,0.2,0,1.0,18.25012399999999,31.671980576000013,0.3655720077308944
2522901,991,10.0,0.0,40.50325772268196,55.24,19.0,0.2,0,1.0,12.835570270000016,37.104712706,0.25701837284679496
1686095,991,10.0,0.0,40.50325772268196,37.05,34.0,0.2,0,1.0,27.12444649000001,22.783736796,0.543486953523488
