,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
5009173,605,10.0,0.0,32.73170446904399,33.0,16.0,0.2,0,1.0,39.69544817000001,10.219736896,0.7952579584251361
334661,870,10.0,0.0,42.34701669711429,4.38,44.0,0.2,0,1.0,42.038436331999996,7.895148592000004,0.8418870064303096
1513896,899,10.0,0.0,44.37160371546218,47.56,5.0,0.2,0,1.0,18.2003765,31.721728075999994,0.3645755052712624
4661852,899,10.0,0.0,44.37160371546218,81.27,39.0,0.2,0,1.0,6.484526280000006,43.46283827600001,0.12982719584192842
5004999,464,10.0,0.0,26.4655685066928,34.0,43.0,0.2,0,1.0,30.352500020000008,19.598714805999986,0.6076428796722937
367872,442,10.0,0.0,22.349468348837988,69.41,43.0,0.2,0,1.0,21.52283989000001,28.420352095999988,0.4309464220074933
1340918,809,10.0,0.0,28.53919143719163,32.91,27.0,0.2,0,1.0,33.56150425999999,16.368478206,0.6721713608222039
1298838,950,10.0,0.0,40.50325772268196,23.61,20.0,0.2,0,1.0,43.745806741,6.199322754000008,0.875877331449894
5363691,948,10.0,0.0,43.42721184299677,30.0,44.0,0.2,0,1.0,29.820272780000003,20.125859566,0.5970486878427574
4549756,950,10.0,0.0,40.50325772268196,63.57,34.0,0.2,0,1.0,13.872832499999983,36.082398626000014,0.27770530107265673
5006872,164,10.0,0.0,29.619921050056337,31.0,41.0,0.2,0,1.0,33.28996436999999,16.666896576,0.6663742224713479
4535143,950,10.0,0.0,40.50325772268196,55.15,43.0,0.2,0,1.0,19.917305760000012,30.010512046,0.3989220165277577
3662381,870,10.0,0.0,42.34701669711429,59.29,17.0,0.2,0,1.0,4.2883921900000175,45.654410415999976,0.08586607010886535
4890829,870,10.0,0.0,42.34701669711429,17.08,28.0,0.2,0,1.0,43.74502055599999,6.2008951240000085,0.8758478037778162
879695,950,10.0,0.0,40.50325772268196,35.17,16.0,0.2,0,1.0,32.08162926000001,17.871535335999997,0.6422341711373565
2541276,899,10.0,0.0,44.37160371546218,34.76,18.0,0.2,0,1.0,35.19344411999999,14.751839396000006,0.7046399908557083
3898884,950,10.0,0.0,40.50325772268196,57.53,31.0,0.2,0,1.0,16.478102760000006,33.444283125999995,0.3300744238792691
2152967,186,10.0,0.0,23.529012376626852,51.78,34.0,0.2,0,1.0,24.41762222,25.530726685999994,0.4888574448367173
2940584,899,10.0,0.0,44.37160371546218,42.01,33.0,0.2,0,1.0,26.70830918,23.248674096,0.5346261409029281
1991989,696,10.0,0.0,21.003292267416693,38.15,14.0,0.2,0,1.0,38.12624996,11.828573946000006,0.7632145802724111
5114553,605,10.0,0.0,32.73170446904399,46.0,8.0,0.2,0,1.0,24.635642300000004,25.293670795999994,0.4934103990702337
131454,899,10.0,0.0,44.37160371546218,40.81,21.0,0.2,0,1.0,28.59003086000001,21.356069106,0.572417683852437
