,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
5261945,251,10.0,0.0,21.672161319172073,39.0,33.0,0.2,0,1.0,28.832469800000002,21.087135896000003,0.5775780757481086
5107322,251,10.0,0.0,21.672161319172073,24.0,36.0,0.2,0,1.0,35.97591384,13.950750985999994,0.7205751468755239
5056749,251,10.0,0.0,21.672161319172073,72.0,44.0,0.2,0,1.0,15.369836580000005,34.55119532599999,0.3078829902583145
5234638,251,10.0,0.0,21.672161319172073,49.0,33.0,0.2,0,1.0,23.99398217,25.937118156000004,0.4805418269043414
5258518,251,10.0,0.0,21.672161319172073,32.0,29.0,0.2,0,1.0,33.60291633999999,16.322969385999993,0.6730559879181179
1284020,251,10.0,0.0,21.672161319172073,38.59,34.0,0.2,0,1.0,28.89273557,21.018985865999998,0.5788767595813763
942736,251,10.0,0.0,21.672161319172073,30.27,28.0,0.2,0,1.0,35.11142812,14.841254955999998,0.7028937377914231
5344440,251,10.0,0.0,21.672161319172073,65.0,31.0,0.2,0,1.0,15.05838469000001,34.888620055999986,0.30148724165898977
4943015,251,10.0,0.0,21.672161319172073,8.0,42.0,0.2,0,1.0,43.84685889599999,6.085824434000004,0.8781194194235585
5277117,251,10.0,0.0,21.672161319172073,43.0,26.0,0.2,0,1.0,27.39410448000001,22.553635326,0.5484553372464969
5203176,251,10.0,0.0,21.672161319172073,38.0,40.0,0.2,0,1.0,28.59003086000001,21.356069106,0.5724176838524371
4999212,251,10.0,0.0,21.672161319172073,41.0,38.0,0.2,0,1.0,27.47716662000001,22.459337956,0.5502420894955034
5150261,251,10.0,0.0,21.672161319172073,86.0,42.0,0.2,0,1.0,5.887559730000016,44.057528856000005,0.11788065446840244
3534499,251,10.0,0.0,21.672161319172073,28.15,27.0,0.2,0,1.0,37.18050976,12.743651275999992,0.7447398010992988
5324854,251,10.0,0.0,21.672161319172073,45.0,42.0,0.2,0,1.0,25.71093083,24.225292386,0.5148753584905074
5214537,251,10.0,0.0,21.672161319172073,33.0,33.0,0.2,0,1.0,31.87143423,18.039703555999992,0.6385635680487309
2426893,251,10.0,0.0,21.672161319172073,71.9,45.0,0.2,0,1.0,15.64816776000001,34.300702176,0.31328371953259737
5106124,251,10.0,0.0,21.672161319172073,60.0,29.0,0.2,0,1.0,17.522161939999993,32.413722236,0.35089319492657417
972798,251,10.0,0.0,21.672161319172073,73.09,36.0,0.2,0,1.0,11.994431110000004,37.915012026,0.2403238817414964
3023216,251,10.0,0.0,21.672161319172073,18.42,39.0,0.2,0,1.0,37.98052505,11.922521785999999,0.7610862954884928
387642,251,10.0,0.0,21.672161319172073,47.35,6.0,0.2,0,1.0,27.27369649000001,22.685334345999998,0.5459212485432532
5380197,251,10.0,0.0,21.672161319172073,44.0,27.0,0.2,0,1.0,26.71784592,23.239137356000004,0.5348170399399518
3815840,251,10.0,0.0,21.672161319172073,32.99,21.0,0.2,0,1.0,36.54786985,13.386135805999999,0.7319234531629941
387635,251,10.0,0.0,21.672161319172073,47.35,11.0,0.2,0,1.0,25.41582016000001,24.485572026000003,0.5093208635395645
2060500,251,10.0,0.0,21.672161319172073,14.68,41.0,0.2,0,1.0,39.42530307000001,10.523717886000004,0.7893108276282266
5257108,251,10.0,0.0,21.672161319172073,59.0,21.0,0.2,0,1.0,15.199512510000007,34.73448149599999,0.3043920842417224
5084248,251,10.0,0.0,21.672161319172073,7.0,40.0,0.2,0,1.0,48.677873761,1.2636127140000033,0.9746981356946084
5241436,251,10.0,0.0,21.672161319172073,48.0,21.0,0.2,0,1.0,24.09070404,25.824264646,0.4826348623305235
5001697,251,10.0,0.0,21.672161319172073,60.0,20.0,0.2,0,1.0,13.59811736,36.321995936,0.2723975660746265
5013816,251,10.0,0.0,21.672161319172073,40.0,16.0,0.2,0,1.0,32.146040340000006,17.802671666,0.6435809663347979
5354146,251,10.0,0.0,21.672161319172073,75.0,37.0,0.2,0,1.0,11.21485843,38.70877603600001,0.22464026407447893
5057874,251,10.0,0.0,21.672161319172073,37.0,33.0,0.2,0,1.0,29.87756149000001,20.061031575999987,0.5982860079881133
4950115,251,10.0,0.0,21.672161319172073,51.0,33.0,0.2,0,1.0,22.988799109999995,26.923472086,0.4605841120658588
5214788,251,10.0,0.0,21.672161319172073,29.0,34.0,0.2,0,1.0,33.87806247,16.083628546,0.6780807811158895
5058348,251,10.0,0.0,21.672161319172073,44.0,37.0,0.2,0,1.0,26.27516487999999,23.666465406000015,0.5261174841415946
4723638,251,10.0,0.0,21.672161319172073,24.5,24.0,0.2,0,1.0,44.084619882000005,5.8209481619999925,0.8833607473044317
5239319,251,10.0,0.0,21.672161319172073,52.0,37.0,0.2,0,1.0,22.81366511999999,27.118837086000013,0.4568900838552138
1284028,251,10.0,0.0,21.672161319172073,38.59,42.0,0.2,0,1.0,28.159771890000005,21.767193966000004,0.5640192911225325
4982478,251,10.0,0.0,21.672161319172073,62.0,37.0,0.2,0,1.0,18.26650620999999,31.647701466000004,0.3659580520354125
4996251,251,10.0,0.0,21.672161319172073,66.0,45.0,0.2,0,1.0,18.02680935,31.915123305999995,0.3609553814060152
5088850,251,10.0,0.0,21.672161319172073,60.0,44.0,0.2,0,1.0,20.23818564000001,29.722020855999993,0.4050861087137491
5078270,251,10.0,0.0,21.672161319172073,46.0,24.0,0.2,0,1.0,25.62417539,24.324167826000004,0.5130135203722189
990830,251,10.0,0.0,21.672161319172073,53.34,40.0,0.2,0,1.0,22.37605948,27.535161726,0.4483172108261318
5407499,251,10.0,0.0,21.672161319172073,32.0,15.0,0.2,0,1.0,49.707308996,0.22387401000000293,0.9955163487720068
919946,251,10.0,0.0,21.672161319172073,36.41,14.0,0.2,0,1.0,39.37025784000001,10.582738036000004,0.7881460791206619
5119254,251,10.0,0.0,21.672161319172073,76.0,31.0,0.2,0,1.0,5.597451590000008,44.329490476000004,0.11211284645874284
5053302,251,10.0,0.0,21.672161319172073,74.0,38.0,0.2,0,1.0,12.344326529999995,37.584943496,0.2472362709002525
2060484,251,10.0,0.0,21.672161319172073,14.68,38.0,0.2,0,1.0,41.117729886000006,8.843236633999993,0.8229970865263398
5034199,251,10.0,0.0,21.672161319172073,47.0,6.0,0.2,0,1.0,28.202510090000004,21.721741366000003,0.564906017967157
4951536,251,10.0,0.0,21.672161319172073,23.0,30.0,0.2,0,1.0,39.67658342000001,10.246313176000001,0.7947572381683283
4943015,251,10.0,0.0,21.672161319172073,8.0,42.0,0.2,0,1.0,43.84685889599999,6.085824434000004,0.8781194194235585
383886,251,10.0,0.0,21.672161319172073,84.13,40.0,0.2,0,1.0,5.9318255300000144,44.01326305599999,0.11876694381642865
5170493,251,10.0,0.0,21.672161319172073,65.0,21.0,0.2,0,1.0,8.411648680000006,41.510618006,0.16849492698132906
5028114,251,10.0,0.0,21.672161319172073,49.0,8.0,0.2,0,1.0,22.875842069999994,27.053277686000005,0.4581663402397755
5059756,251,10.0,0.0,21.672161319172073,54.0,6.0,0.2,0,1.0,4.008074670000012,45.89535737599999,0.08031661362099198
5222093,251,10.0,0.0,21.672161319172073,22.0,25.0,0.2,0,1.0,48.256460785,1.6589098560000028,0.9667655506771418
5331148,251,10.0,0.0,21.672161319172073,68.0,28.0,0.2,0,1.0,11.35645717,38.557554956,0.2275204233499088
5322902,251,10.0,0.0,21.672161319172073,31.0,32.0,0.2,0,1.0,33.31900390999999,16.635774096000002,0.6669833245179889
5222284,251,10.0,0.0,21.672161319172073,52.0,16.0,0.2,0,1.0,19.846429680000007,30.085133205999995,0.3974726311954602
4899412,251,10.0,0.0,21.672161319172073,68.08,42.0,0.2,0,1.0,16.569335470000002,33.344720065999994,0.3319573072568616
5034082,251,10.0,0.0,21.672161319172073,16.0,34.0,0.2,0,1.0,43.142706891,6.799360454000003,0.863855046147169
247603,251,10.0,0.0,21.672161319172073,33.83,20.0,0.2,0,1.0,36.29299276999999,13.65963146600001,0.7265482709884189
919968,251,10.0,0.0,21.672161319172073,36.41,27.0,0.2,0,1.0,31.29651623000001,18.611915955999986,0.6270787291687178
919948,251,10.0,0.0,21.672161319172073,36.41,17.0,0.2,0,1.0,35.631422469999976,14.328832196000016,0.7131953731662747
5119254,251,10.0,0.0,21.672161319172073,76.0,31.0,0.2,0,1.0,5.597451590000008,44.329490476000004,0.11211284645874284
4934074,251,10.0,0.0,21.672161319172073,11.0,44.0,0.2,0,1.0,40.16205282200001,9.767748721999991,0.8043703675971495
5064563,251,10.0,0.0,21.672161319172073,17.0,42.0,0.2,0,1.0,37.60528876,12.340268826000006,0.7529255969411973
3291464,251,10.0,0.0,21.672161319172073,43.63,27.0,0.2,0,1.0,26.9217553,23.012134745999997,0.5391479669458797
2544367,251,10.0,0.0,21.672161319172073,52.82,23.0,0.2,0,1.0,20.90046908,29.052234326000004,0.4184051643837472
5120356,251,10.0,0.0,21.672161319172073,41.0,24.0,0.2,0,1.0,28.89535698,21.013743046000013,0.5789596880117461
5136309,251,10.0,0.0,21.672161319172073,42.0,44.0,0.2,0,1.0,26.7696378,23.178658696000014,0.5359469627186141
5201160,251,10.0,0.0,21.672161319172073,58.0,45.0,0.2,0,1.0,21.014447220000008,28.920170466,0.4208392532840349
5239989,251,10.0,0.0,21.672161319172073,41.0,35.0,0.2,0,1.0,27.68328285000001,22.233694285999995,0.5545865242315503
4644238,251,10.0,0.0,21.672161319172073,57.13,17.0,0.2,0,1.0,14.776099419999996,35.14362927600001,0.2959971900084461
5030619,251,10.0,0.0,21.672161319172073,31.0,31.0,0.2,0,1.0,33.5925251,16.333360625999994,0.6728478546051304
5075918,251,10.0,0.0,21.672161319172073,25.0,42.0,0.2,0,1.0,33.64408611,16.265514076,0.6741004933843852
5371664,251,10.0,0.0,21.672161319172073,55.0,13.0,0.2,0,1.0,15.266021980000007,34.66364592599999,0.3057505210877941
4384969,251,10.0,0.0,21.672161319172073,57.26,16.0,0.2,0,1.0,13.826526799999984,36.12870432600001,0.27677835710790555
5117736,251,10.0,0.0,21.672161319172073,50.0,17.0,0.2,0,1.0,22.06241656999999,27.879857226000013,0.4417583520549884
5319486,251,10.0,0.0,21.672161319172073,35.0,24.0,0.2,0,1.0,33.22569244,16.733254195999994,0.6650599077294767
2544364,251,10.0,0.0,21.672161319172073,52.82,18.0,0.2,0,1.0,19.689672990000005,30.260686096,0.3941848136887286
430217,251,10.0,0.0,21.672161319172073,70.17,25.0,0.2,0,1.0,5.8820746800000165,44.06849895599999,0.1177579004970772
5068675,251,10.0,0.0,21.672161319172073,33.0,39.0,0.2,0,1.0,30.78920925000001,19.113612566,0.616983331394063
1305575,251,10.0,0.0,21.672161319172073,55.47,32.0,0.2,0,1.0,20.66416147,29.244547566000012,0.4140391901360258
5261005,251,10.0,0.0,21.672161319172073,42.0,26.0,0.2,0,1.0,28.00659882,21.936724456000004,0.5607676258391564
5049471,251,10.0,0.0,21.672161319172073,76.0,36.0,0.2,0,1.0,9.999416919999991,39.93693410600001,0.2002432439405448
5268296,251,10.0,0.0,21.672161319172073,39.0,26.0,0.2,0,1.0,29.90494339000001,20.028639075999997,0.5988944095962355
5068674,251,10.0,0.0,21.672161319172073,31.0,38.0,0.2,0,1.0,31.866925970000004,18.048720075999995,0.6384155769642426
5262975,251,10.0,0.0,21.672161319172073,36.0,21.0,0.2,0,1.0,33.62759446,16.288093745999998,0.6736878858851008
5213551,251,10.0,0.0,21.672161319172073,18.0,33.0,0.2,0,1.0,41.948375542,7.987211622000007,0.8400497105247173
5292205,251,10.0,0.0,21.672161319172073,45.0,28.0,0.2,0,1.0,26.098641789999995,23.860788596000003,0.5223967044530906
5158398,251,10.0,0.0,21.672161319172073,41.0,15.0,0.2,0,1.0,31.55359908,18.391625055999995,0.6317640900775635
1284016,251,10.0,0.0,21.672161319172073,38.59,40.0,0.2,0,1.0,28.322552250000008,21.588177776,0.5674641952791701
5109592,251,10.0,0.0,21.672161319172073,72.0,36.0,0.2,0,1.0,12.773385000000017,37.18079444599997,0.2557020281717955
201770,251,10.0,0.0,21.672161319172073,33.46,39.0,0.2,0,1.0,30.57578870000001,19.348661135999986,0.6124411746236637
5380055,251,10.0,0.0,21.672161319172073,80.0,36.0,0.2,0,1.0,6.429346720000006,43.52885920599999,0.12869450775561075
5181401,251,10.0,0.0,21.672161319172073,55.0,11.0,0.2,0,1.0,13.36517934,36.577638796,0.2676096351552507
3772917,251,10.0,0.0,21.672161319172073,25.91,29.0,0.2,0,1.0,37.86450955000001,12.055061715999999,0.7585103114815682
2544368,251,10.0,0.0,21.672161319172073,52.82,21.0,0.2,0,1.0,20.402225850000004,29.532119855999998,0.4085810189668415
5176761,251,10.0,0.0,21.672161319172073,45.0,6.0,0.2,0,1.0,33.95228697,15.995356425999999,0.6797575353218572
5053396,251,10.0,0.0,21.672161319172073,50.0,42.0,0.2,0,1.0,23.90312548,26.044206856,0.4785666093076126
5189811,251,10.0,0.0,21.672161319172073,42.0,24.0,0.2,0,1.0,28.232799790000005,21.686032896000004,0.5655741184412358
5258518,251,10.0,0.0,21.672161319172073,32.0,29.0,0.2,0,1.0,33.60291633999999,16.322969385999993,0.6730559879181179
5242862,251,10.0,0.0,21.672161319172073,16.0,35.0,0.2,0,1.0,42.20546122100001,7.70642439399999,0.8455994138661838
5225754,251,10.0,0.0,21.672161319172073,46.0,10.0,0.2,0,1.0,27.83668989,22.066442756,0.5578144780502323
5277412,251,10.0,0.0,21.672161319172073,45.0,34.0,0.2,0,1.0,25.86580438000001,24.052351235999993,0.5181642643004498
5025440,251,10.0,0.0,21.672161319172073,68.0,25.0,0.2,0,1.0,8.95668800000001,40.971232096,0.17939237169860753
3791065,251,10.0,0.0,21.672161319172073,19.71,41.0,0.2,0,1.0,36.58518039,13.345467376000002,0.7327199230712259
4384974,251,10.0,0.0,21.672161319172073,57.26,37.0,0.2,0,1.0,20.455648280000005,29.475021496,0.4096810311531681
2927109,251,10.0,0.0,21.672161319172073,64.17,21.0,0.2,0,1.0,9.578977599999996,40.34019251600001,0.19188976054170734
1305556,251,10.0,0.0,21.672161319172073,55.47,25.0,0.2,0,1.0,19.36365604999999,30.554811706000013,0.3879056573741199
2060484,251,10.0,0.0,21.672161319172073,14.68,38.0,0.2,0,1.0,41.117729886000006,8.843236633999993,0.8229970865263398
5231633,251,10.0,0.0,21.672161319172073,77.0,39.0,0.2,0,1.0,11.051097489999995,38.90640409600001,0.22120997125878955
4384955,251,10.0,0.0,21.672161319172073,57.26,11.0,0.2,0,1.0,8.092420549999984,41.860986935999996,0.16199937015844168
2426879,251,10.0,0.0,21.672161319172073,71.9,31.0,0.2,0,1.0,10.041704499999991,39.88967430600001,0.20111009830141785
5109101,251,10.0,0.0,21.672161319172073,63.0,28.0,0.2,0,1.0,15.203838610000007,34.725829295999986,0.30450510182890644
4950115,251,10.0,0.0,21.672161319172073,51.0,33.0,0.2,0,1.0,22.988799109999995,26.923472086,0.4605841120658588
5121255,251,10.0,0.0,21.672161319172073,49.0,6.0,0.2,0,1.0,22.87922022,27.046521386,0.4582650048657546
383889,251,10.0,0.0,21.672161319172073,84.13,39.0,0.2,0,1.0,4.7474533499999945,45.200968826,0.0950471134658008
4899403,251,10.0,0.0,21.672161319172073,68.08,40.0,0.2,0,1.0,16.129586100000008,33.830543595999984,0.32284916388620605
5018654,251,10.0,0.0,21.672161319172073,67.0,22.0,0.2,0,1.0,6.594838170000006,43.341711246,0.13206435460850996
5166875,251,10.0,0.0,21.672161319172073,32.0,25.0,0.2,0,1.0,35.17546489,14.773513756000009,0.7042279110309076
942733,251,10.0,0.0,21.672161319172073,30.27,19.0,0.2,0,1.0,41.90604227,8.034572366,0.8391174713294732
56063,251,10.0,0.0,21.672161319172073,12.52,35.0,0.2,0,1.0,46.92343198800001,3.0081119499999933,0.9397552786724328
5182543,251,10.0,0.0,21.672161319172073,28.0,42.0,0.2,0,1.0,32.38836039,17.531678445999994,0.6488047915267853
1305557,251,10.0,0.0,21.672161319172073,55.47,29.0,0.2,0,1.0,20.24189376000001,29.71460461599999,0.4051904040120751
4214110,251,10.0,0.0,21.672161319172073,72.63,44.0,0.2,0,1.0,15.05403712000001,34.89731519599999,0.3013739653086034
3023234,251,10.0,0.0,21.672161319172073,18.42,45.0,0.2,0,1.0,35.94228332999999,13.991387306000002,0.7198005448469309
