,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
4087195,870,10.0,0.0,42.34701669711429,29.36,36.0,0.2,0,1.0,31.16823531000001,18.758868386,0.6242748527889693
2289575,948,10.0,0.0,43.42721184299677,65.29,37.0,0.2,0,1.0,14.621742219999993,35.306763376,0.2928535922607587
1217518,184,10.0,0.0,12.60519977118926,54.89,43.0,0.2,0,1.0,26.7696378,23.178658696000014,0.5359469627186141
3650517,948,10.0,0.0,43.42721184299677,60.7,30.0,0.2,0,1.0,14.991228930000007,34.96883495599999,0.3000642465991904
511243,948,10.0,0.0,43.42721184299677,5.56,44.0,0.2,0,1.0,41.239603906000006,8.711428963999994,0.825600623981652
5020983,381,10.0,0.0,13.256834560828414,82.0,25.0,0.2,0,1.0,7.1883468499999985,42.746023386,0.14395589282545088
5009970,186,10.0,0.0,23.529012376626852,60.0,39.0,0.2,0,1.0,21.050121080000007,28.877293746,0.4216144808090089
3034394,870,10.0,0.0,42.34701669711429,37.83,42.0,0.2,0,1.0,26.92462586,23.006393626000005,0.5392364533543984
277714,950,10.0,0.0,40.50325772268196,27.56,36.0,0.2,0,1.0,31.38504470000001,18.516433415999987,0.6289401814319597
1731102,948,10.0,0.0,43.42721184299677,69.58,42.0,0.2,0,1.0,14.047956699999983,35.880381766000006,0.2813623912112819
4029911,950,10.0,0.0,40.50325772268196,9.32,36.0,0.2,0,1.0,42.76015508,7.156705325999996,0.8566274948426091
3284509,950,10.0,0.0,40.50325772268196,44.88,17.0,0.2,0,1.0,22.35331417,27.564777546,0.44779985375192544
5379348,914,10.0,0.0,34.2312934930983,11.0,37.0,0.2,0,1.0,43.105395478999995,6.8383902680000075,0.8630782555683463
443099,950,10.0,0.0,40.50325772268196,62.48,24.0,0.2,0,1.0,8.66253325000001,41.296142846,0.17339397131649742
1777046,867,10.0,0.0,28.73941890393202,32.43,42.0,0.2,0,1.0,30.45174887000001,19.482391375999992,0.6098382533469044
5382750,867,10.0,0.0,28.73941890393202,26.0,24.0,0.2,0,1.0,41.381362829000004,8.550133127999992,0.828762728531843
17860,164,10.0,0.0,29.619921050056337,61.36,41.0,0.2,0,1.0,21.018050920000007,28.912963066,0.4209418003386271
5332391,950,10.0,0.0,40.50325772268196,54.0,35.0,0.2,0,1.0,19.29484037,30.638880936000014,0.3864090211053736
2994233,950,10.0,0.0,40.50325772268196,48.98,13.0,0.2,0,1.0,16.129586100000008,33.830543595999984,0.32284916388620605
1451878,740,10.0,0.0,36.14524838793688,49.66,42.0,0.2,0,1.0,23.99074397,25.943594556,0.4804458150078109
5317803,605,10.0,0.0,32.73170446904399,66.0,44.0,0.2,0,1.0,17.244769330000008,32.657348815999995,0.3455718909475247
5218025,278,10.0,0.0,34.49645655757421,59.0,40.0,0.2,0,1.0,21.870869459999994,28.037104756000012,0.4382239472462581
596519,870,10.0,0.0,42.34701669711429,65.86,44.0,0.2,0,1.0,16.27480918000001,33.66849340599999,0.32586569844826657
5232207,510,10.0,0.0,40.973935613974454,14.0,36.0,0.2,0,1.0,45.176967181,4.7508020040000085,0.9048464996223524
4150527,870,10.0,0.0,42.34701669711429,38.71,43.0,0.2,0,1.0,26.550338000000004,23.359001835999997,0.5319713321643464
201033,950,10.0,0.0,40.50325772268196,26.94,38.0,0.2,0,1.0,31.29651623000001,18.611915955999986,0.6270787291687178
4657358,870,10.0,0.0,42.34701669711429,62.33,30.0,0.2,0,1.0,13.814091129999984,36.14564157600001,0.2765045043633902
2403133,950,10.0,0.0,40.50325772268196,64.88,44.0,0.2,0,1.0,16.162688610000007,33.79322631599999,0.323539037047803
4971731,917,10.0,0.0,41.937580446432364,57.0,22.0,0.2,0,1.0,18.229204199999995,31.692900376,0.3651529588911536
4010573,948,10.0,0.0,43.42721184299677,45.96,35.0,0.2,0,1.0,23.64131934,26.266710875999998,0.4736977043109354
4561656,179,10.0,0.0,26.408239126718197,55.05,22.0,0.2,0,1.0,22.71305597,27.229618356000003,0.4547825337053617
3614855,950,10.0,0.0,40.50325772268196,33.23,12.0,0.2,0,1.0,38.22214488,11.720890546000009,0.7653148142473898
1909307,948,10.0,0.0,43.42721184299677,35.18,12.0,0.2,0,1.0,36.27543716,13.680599686000008,0.7261472176391146
5119361,164,10.0,0.0,29.619921050056337,51.0,3.0,0.2,0,1.0,30.432012820000004,19.51186610599999,0.6093241749422386
4006796,164,10.0,0.0,29.619921050056337,63.41,41.0,0.2,0,1.0,20.28290853000001,29.669886245999994,0.4060415162145244
3420173,870,10.0,0.0,42.34701669711429,33.2,32.0,0.2,0,1.0,29.93231719000001,19.998764736,0.5994726337867261
1139250,381,10.0,0.0,13.256834560828414,44.39,21.0,0.2,0,1.0,37.75743129999999,12.169726086000006,0.7562503710773548
5050728,517,10.0,0.0,14.504035866170769,60.0,40.0,0.2,0,1.0,23.23180137,26.719226916000004,0.4650915540113371
1009004,906,10.0,0.0,17.051747934134937,27.91,39.0,0.2,0,1.0,38.21479086,11.735598586000009,0.7650549131616473
4958934,517,10.0,0.0,14.504035866170769,32.0,36.0,0.2,0,1.0,36.27714447999999,13.677185046000009,0.7262062132396079
5031253,948,10.0,0.0,43.42721184299677,81.0,40.0,0.2,0,1.0,5.007391929999997,44.918578846,0.1002963357981836
1988706,948,10.0,0.0,43.42721184299677,60.71,37.0,0.2,0,1.0,17.012739010000004,32.909807786,0.34078267439999943
4326198,950,10.0,0.0,40.50325772268196,41.15,34.0,0.2,0,1.0,25.21719318000001,24.705660965999993,0.5051232268542182
1748863,950,10.0,0.0,40.50325772268196,22.95,39.0,0.2,0,1.0,32.95589632000001,16.970307715999994,0.660092169159039
1457189,899,10.0,0.0,44.37160371546218,69.08,45.0,0.2,0,1.0,16.216826960000013,33.730674415999985,0.32467744157853456
4213066,950,10.0,0.0,40.50325772268196,46.64,8.0,0.2,0,1.0,15.411455950000002,34.500961415999996,0.3087699767572905
1284851,950,10.0,0.0,40.50325772268196,52.7,15.0,0.2,0,1.0,12.411195769999996,37.508723006,0.2486221146651169
2900086,453,10.0,0.0,31.06511686001145,49.69,21.0,0.2,0,1.0,24.39274939000001,25.55878574599999,0.4883283231153428
2378414,950,10.0,0.0,40.50325772268196,36.07,35.0,0.2,0,1.0,27.58101043000001,22.347104435999988,0.5524144162867664
5115723,186,10.0,0.0,23.529012376626852,52.0,14.0,0.2,0,1.0,23.90963049,26.031196836,0.4787591990401861
703729,948,10.0,0.0,43.42721184299677,70.25,28.0,0.2,0,1.0,3.593800180000004,46.355550336,0.07194888708009971
5173579,696,10.0,0.0,21.003292267416693,57.0,23.0,0.2,0,1.0,18.642888319999987,31.302092696000013,0.3732685034764092
5193785,464,10.0,0.0,26.4655685066928,42.0,27.0,0.2,0,1.0,28.679757770000005,21.261016876,0.5742753886637421
1858307,870,10.0,0.0,42.34701669711429,13.99,37.0,0.2,0,1.0,39.34005939000001,10.619594436000003,0.7874365888725724
4979317,463,10.0,0.0,36.82945307840063,29.0,36.0,0.2,0,1.0,35.38565016,14.470078336000006,0.7097609688491271
5098264,678,10.0,0.0,39.90542332846381,47.0,27.0,0.2,0,1.0,25.68302774,24.259247966,0.5142542540750595
3330467,870,10.0,0.0,42.34701669711429,51.64,16.0,0.2,0,1.0,15.85142813000002,34.08038295599999,0.31746150971168113
2509780,870,10.0,0.0,42.34701669711429,22.25,29.0,0.2,0,1.0,37.61926832,12.323203526000006,0.7532520303760858
1952745,870,10.0,0.0,42.34701669711429,25.45,23.0,0.2,0,1.0,38.71724268,11.236342736,0.7750643393777091
4252496,867,10.0,0.0,28.73941890393202,66.1,45.0,0.2,0,1.0,17.874051939999994,32.083832105999996,0.3577824057468488
