,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
4901113,950,10.0,0.0,40.50325772268196,58.55,25.0,0.2,0,1.0,13.37761668,36.560649096,0.2678830846871177
3299051,991,10.0,0.0,40.50325772268196,28.86,35.0,0.2,0,1.0,30.94266149000001,19.003300405999997,0.6195227865353835
2169396,899,10.0,0.0,44.37160371546218,62.39,34.0,0.2,0,1.0,16.71444323,33.241054206,0.3345866638884649
3473632,899,10.0,0.0,44.37160371546218,20.28,30.0,0.2,0,1.0,40.863451546000015,9.056645323999987,0.8185771684781591
5422925,991,10.0,0.0,40.50325772268196,30.0,29.0,0.2,0,1.0,31.64751277000001,18.288559425999992,0.6337605538093373
4936634,248,10.0,0.0,36.95849457752373,44.0,41.0,0.2,0,1.0,29.71069037,20.245538046000004,0.5947344567846569
5378624,251,10.0,0.0,21.672161319172073,67.0,40.0,0.2,0,1.0,16.57349277,33.336405465999995,0.332068254109273
2700436,740,10.0,0.0,36.14524838793688,40.58,22.0,0.2,0,1.0,29.65356527,20.302663146000008,0.5935909537258529
4564117,899,10.0,0.0,44.37160371546218,39.67,42.0,0.2,0,1.0,27.15499149000001,22.747518145999997,0.5441608385645241
4424711,948,10.0,0.0,43.42721184299677,59.7,42.0,0.2,0,1.0,18.473362909999988,31.479446576000004,0.3698162946205743
4917194,303,10.0,0.0,14.095286960013842,16.61,45.0,0.2,0,1.0,43.210867241,6.72521925399999,0.8653234619282115
4403142,899,10.0,0.0,44.37160371546218,36.14,36.0,0.2,0,1.0,29.204819,20.740407135999998,0.5847369460391625
1846228,948,10.0,0.0,43.42721184299677,29.98,31.0,0.2,0,1.0,31.86918153,18.044208955999995,0.6384896161069014
221751,950,10.0,0.0,40.50325772268196,42.33,23.0,0.2,0,1.0,24.70726534000001,25.20629281599999,0.4950010829278057
5280769,492,10.0,0.0,17.037300021376776,74.0,45.0,0.2,0,1.0,29.72043887599998,20.23440387500001,0.5949461001036789
5350228,454,10.0,0.0,37.54629548970925,54.0,9.0,0.2,0,1.0,17.691902479999982,32.22785076600002,0.3544068495854917
1734965,870,10.0,0.0,42.34701669711429,73.11,39.0,0.2,0,1.0,10.86725509999999,39.037785156000005,0.21775866814762146
2977956,870,10.0,0.0,42.34701669711429,68.57,27.0,0.2,0,1.0,5.012987139999997,44.907388426000004,0.10041965997175442
4409770,870,10.0,0.0,42.34701669711429,69.48,30.0,0.2,0,1.0,7.706920559999998,42.231405496,0.15432877248143212
1399450,108,10.0,0.0,19.57368422433964,75.16,41.0,0.2,0,1.0,19.637257090000006,30.320653196,0.3930760309544627
4856889,899,10.0,0.0,44.37160371546218,56.63,38.0,0.2,0,1.0,20.28290853000001,29.669886245999994,0.4060415162145244
2249275,899,10.0,0.0,44.37160371546218,74.48,42.0,0.2,0,1.0,12.885324390000017,37.05033803599999,0.2580385192465378
314999,870,10.0,0.0,42.34701669711429,77.78,43.0,0.2,0,1.0,9.986982439999991,39.954346766000015,0.1999743018213489
1218201,807,10.0,0.0,19.91154060726036,56.24,3.0,0.2,0,1.0,16.72274067,33.232756766,0.33475276052298697
5109245,510,10.0,0.0,40.973935613974454,39.0,24.0,0.2,0,1.0,31.38504470000001,18.516433415999987,0.6289401814319598
3422510,948,10.0,0.0,43.42721184299677,33.08,38.0,0.2,0,1.0,29.20740823,20.735228676,0.5848191052661675
6967,870,10.0,0.0,42.34701669711429,53.01,33.0,0.2,0,1.0,19.994436970000013,29.918446296,0.4005866954919023
759841,948,10.0,0.0,43.42721184299677,48.5,26.0,0.2,0,1.0,21.57612782000001,28.35998551599999,0.4320746325374372
4994493,950,10.0,0.0,40.50325772268196,7.0,42.0,0.2,0,1.0,40.47815852100001,9.422726603999989,0.811171152968602
717682,870,10.0,0.0,42.34701669711429,32.9,33.0,0.2,0,1.0,29.93231719000001,19.998764736,0.5994726337867261
5392315,108,10.0,0.0,19.57368422433964,65.0,30.0,0.2,0,1.0,23.20359024,26.750774476,0.464495752711836
1158334,870,10.0,0.0,42.34701669711429,58.26,35.0,0.2,0,1.0,17.762128469999983,32.14557915600001,0.35589950560555506
2906081,870,10.0,0.0,42.34701669711429,40.62,40.0,0.2,0,1.0,25.890679800000008,24.024477695999995,0.5186937415167884
4639567,914,10.0,0.0,34.2312934930983,52.79,17.0,0.2,0,1.0,17.402136139999996,32.541843535999995,0.3484331095137457
5006086,278,10.0,0.0,34.49645655757421,51.0,16.0,0.2,0,1.0,25.61173995,24.339642626,0.5127333544978914
