,Alive,BH_ratio,Dead,Trans
0,153,0.0,135,212
1,189,0.05,120,191
2,216,0.1,114,170
3,205,0.15000000000000002,125,170
4,219,0.2,111,170
5,232,0.25,104,164
6,250,0.30000000000000004,89,161
7,283,0.35000000000000003,88,129
8,284,0.4,85,131
9,326,0.45,65,109
10,305,0.5,65,130
11,328,0.55,71,101
12,341,0.6000000000000001,71,88
13,353,0.65,44,103
14,375,0.7000000000000001,42,83
15,388,0.75,35,77
16,406,0.8,36,58
17,420,0.8500000000000001,31,49
18,434,0.9,20,46
19,458,0.9500000000000001,9,33
20,472,1.0,8,20
21,182,0.0,136,182
22,179,0.05,127,194
23,201,0.1,123,176
24,202,0.15000000000000002,136,162
25,221,0.2,125,154
26,256,0.25,100,144
27,256,0.30000000000000004,95,149
28,283,0.35000000000000003,104,113
29,278,0.4,92,130
30,302,0.45,72,126
31,303,0.5,69,128
32,329,0.55,58,113
33,357,0.6000000000000001,49,94
34,360,0.65,53,87
35,385,0.7000000000000001,43,72
36,412,0.75,31,57
37,401,0.8,41,58
38,429,0.8500000000000001,24,47
39,439,0.9,27,34
40,459,0.9500000000000001,12,29
41,470,1.0,7,23
42,163,0.0,121,216
43,183,0.05,136,181
44,194,0.1,133,173
45,202,0.15000000000000002,110,188
46,231,0.2,110,159
47,245,0.25,90,165
48,257,0.30000000000000004,100,143
49,257,0.35000000000000003,99,144
50,302,0.4,88,110
51,292,0.45,89,119
52,314,0.5,74,112
53,333,0.55,61,106
54,367,0.6000000000000001,49,84
55,369,0.65,57,74
56,381,0.7000000000000001,42,77
57,414,0.75,27,59
58,416,0.8,29,55
59,425,0.8500000000000001,24,51
60,435,0.9,21,44
61,457,0.9500000000000001,12,31
62,469,1.0,5,26
63,168,0.0,143,189
64,169,0.05,126,205
65,211,0.1,106,183
66,212,0.15000000000000002,99,189
67,227,0.2,114,159
68,260,0.25,84,156
69,256,0.30000000000000004,97,147
70,284,0.35000000000000003,82,134
71,283,0.4,100,117
72,289,0.45,86,125
73,322,0.5,72,106
74,342,0.55,65,93
75,344,0.6000000000000001,59,97
76,351,0.65,49,100
77,386,0.7000000000000001,43,71
78,396,0.75,38,66
79,409,0.8,36,55
80,428,0.8500000000000001,20,52
81,446,0.9,18,36
82,467,0.9500000000000001,8,25
83,467,1.0,7,26
84,163,0.0,150,187
85,189,0.05,118,193
86,211,0.1,123,166
87,208,0.15000000000000002,120,172
88,239,0.2,111,150
89,246,0.25,93,161
90,255,0.30000000000000004,95,150
91,246,0.35000000000000003,117,137
92,286,0.4,80,134
93,288,0.45,84,128
94,317,0.5,61,122
95,331,0.55,66,103
96,363,0.6000000000000001,41,96
97,349,0.65,47,104
98,371,0.7000000000000001,53,76
99,393,0.75,45,62
100,403,0.8,38,59
101,426,0.8500000000000001,26,48
102,444,0.9,18,38
103,446,0.9500000000000001,11,43
104,478,1.0,7,15
105,172,0.0,139,189
106,182,0.05,120,198
107,208,0.1,114,178
108,218,0.15000000000000002,108,174
109,233,0.2,99,168
110,239,0.25,110,151
111,283,0.30000000000000004,89,128
112,278,0.35000000000000003,90,132
113,300,0.4,78,122
114,305,0.45,58,137
115,307,0.5,87,106
116,328,0.55,64,108
117,346,0.6000000000000001,59,95
118,357,0.65,54,89
119,377,0.7000000000000001,47,76
120,382,0.75,45,73
121,426,0.8,29,45
122,424,0.8500000000000001,21,55
123,437,0.9,14,49
124,458,0.9500000000000001,14,28
125,470,1.0,7,23
126,154,0.0,144,202
127,176,0.05,128,196
128,174,0.1,122,204
129,202,0.15000000000000002,134,164
130,234,0.2,121,145
131,235,0.25,119,146
132,238,0.30000000000000004,108,154
133,288,0.35000000000000003,87,125
134,278,0.4,86,136
135,304,0.45,69,127
136,310,0.5,82,108
137,343,0.55,61,96
138,351,0.6000000000000001,56,93
139,358,0.65,59,83
140,386,0.7000000000000001,50,64
141,399,0.75,40,61
142,417,0.8,24,59
143,416,0.8500000000000001,30,54
144,448,0.9,13,39
145,458,0.9500000000000001,10,32
146,470,1.0,6,24
147,159,0.0,127,214
148,180,0.05,118,202
149,206,0.1,130,164
150,214,0.15000000000000002,119,167
151,219,0.2,120,161
152,236,0.25,100,164
153,251,0.30000000000000004,111,138
154,264,0.35000000000000003,88,148
155,281,0.4,87,132
156,292,0.45,94,114
157,310,0.5,75,115
158,345,0.55,50,105
159,342,0.6000000000000001,57,101
160,361,0.65,57,82
161,371,0.7000000000000001,47,82
162,402,0.75,37,61
163,417,0.8,31,52
164,413,0.8500000000000001,29,58
165,450,0.9,16,34
166,453,0.9500000000000001,11,36
167,464,1.0,8,28
168,159,0.0,140,201
169,175,0.05,149,176
170,202,0.1,125,173
171,203,0.15000000000000002,139,158
172,223,0.2,130,147
173,245,0.25,113,142
174,275,0.30000000000000004,86,139
175,265,0.35000000000000003,95,140
176,284,0.4,87,129
177,303,0.45,83,114
178,307,0.5,78,115
179,325,0.55,72,103
180,366,0.6000000000000001,47,87
181,363,0.65,45,92
182,375,0.7000000000000001,50,75
183,395,0.75,40,65
184,409,0.8,29,62
185,424,0.8500000000000001,29,47
186,451,0.9,14,35
187,444,0.9500000000000001,16,40
188,469,1.0,3,28
189,153,0.0,135,212
190,189,0.05,120,191
191,216,0.1,114,170
192,205,0.15000000000000002,125,170
193,219,0.2,111,170
194,232,0.25,104,164
195,250,0.30000000000000004,89,161
196,283,0.35000000000000003,88,129
197,284,0.4,85,131
198,326,0.45,65,109
199,305,0.5,65,130
200,328,0.55,71,101
201,341,0.6000000000000001,71,88
202,353,0.65,44,103
203,375,0.7000000000000001,42,83
204,388,0.75,35,77
205,406,0.8,36,58
206,420,0.8500000000000001,31,49
207,434,0.9,20,46
208,458,0.9500000000000001,9,33
209,472,1.0,8,20
210,182,0.0,136,182
211,179,0.05,127,194
212,201,0.1,123,176
213,202,0.15000000000000002,136,162
214,221,0.2,125,154
215,256,0.25,100,144
216,256,0.30000000000000004,95,149
217,283,0.35000000000000003,104,113
218,278,0.4,92,130
219,302,0.45,72,126
220,303,0.5,69,128
221,329,0.55,58,113
222,357,0.6000000000000001,49,94
223,360,0.65,53,87
224,385,0.7000000000000001,43,72
225,412,0.75,31,57
226,401,0.8,41,58
227,429,0.8500000000000001,24,47
228,439,0.9,27,34
229,459,0.9500000000000001,12,29
230,470,1.0,7,23
231,163,0.0,121,216
232,183,0.05,136,181
233,194,0.1,133,173
234,202,0.15000000000000002,110,188
235,231,0.2,110,159
236,245,0.25,90,165
237,257,0.30000000000000004,100,143
238,257,0.35000000000000003,99,144
239,302,0.4,88,110
240,292,0.45,89,119
241,314,0.5,74,112
242,333,0.55,61,106
243,367,0.6000000000000001,49,84
244,369,0.65,57,74
245,381,0.7000000000000001,42,77
246,414,0.75,27,59
247,416,0.8,29,55
248,425,0.8500000000000001,24,51
249,435,0.9,21,44
250,457,0.9500000000000001,12,31
251,469,1.0,5,26
252,168,0.0,143,189
253,169,0.05,126,205
254,211,0.1,106,183
255,212,0.15000000000000002,99,189
256,227,0.2,114,159
257,260,0.25,84,156
258,256,0.30000000000000004,97,147
259,284,0.35000000000000003,82,134
260,283,0.4,100,117
261,289,0.45,86,125
262,322,0.5,72,106
263,342,0.55,65,93
264,344,0.6000000000000001,59,97
