,bh_ratio,alive,dead,transient
0,0.0,127,141,325
1,0.05,129,145,296
2,0.1,158,123,286
3,0.15000000000000002,175,128,259
4,0.2,179,134,254
5,0.25,225,107,240
6,0.30000000000000004,222,117,222
7,0.35000000000000003,236,99,220
8,0.4,237,93,226
9,0.45,277,94,176
10,0.5,295,78,166
11,0.55,319,83,132
12,0.6000000000000001,315,84,133
13,0.65,338,75,127
14,0.7000000000000001,349,66,115
15,0.75,369,52,104
16,0.8,408,36,75
17,0.8500000000000001,416,29,72
18,0.9,433,33,45
19,0.9500000000000001,449,16,46
20,1.0,471,15,22
21,0.0,130,152,304
22,0.05,129,170,276
23,0.1,151,159,259
24,0.15000000000000002,170,132,264
25,0.2,183,126,258
26,0.25,213,115,232
27,0.30000000000000004,202,129,225
28,0.35000000000000003,253,103,198
29,0.4,267,93,196
30,0.45,276,84,185
31,0.5,276,100,170
32,0.55,296,76,163
33,0.6000000000000001,329,65,150
34,0.65,351,70,116
35,0.7000000000000001,348,65,110
36,0.75,358,58,115
37,0.8,392,42,88
38,0.8500000000000001,409,26,87
39,0.9,434,26,54
40,0.9500000000000001,443,26,40
41,1.0,467,13,27
42,0.0,105,158,303
43,0.05,137,140,298
44,0.1,149,132,284
45,0.15000000000000002,168,136,255
46,0.2,186,134,244
47,0.25,199,111,252
48,0.30000000000000004,227,99,229
49,0.35000000000000003,252,96,227
50,0.4,225,117,202
51,0.45,265,98,192
52,0.5,263,80,201
53,0.55,333,58,155
54,0.6000000000000001,324,69,155
55,0.65,337,68,128
56,0.7000000000000001,346,65,111
57,0.75,382,65,91
58,0.8,389,41,89
59,0.8500000000000001,417,31,73
60,0.9,429,30,55
61,0.9500000000000001,442,17,48
62,1.0,468,11,26
63,0.0,122,144,316
64,0.05,120,138,312
65,0.1,163,147,275
66,0.15000000000000002,180,137,254
67,0.2,194,118,259
68,0.25,196,139,225
69,0.30000000000000004,231,107,211
70,0.35000000000000003,234,116,199
71,0.4,252,93,199
72,0.45,277,78,189
73,0.5,282,90,175
74,0.55,309,71,156
75,0.6000000000000001,321,87,129
76,0.65,344,68,116
77,0.7000000000000001,361,55,115
78,0.75,371,53,98
79,0.8,384,58,76
80,0.8500000000000001,415,36,73
81,0.9,429,30,57
82,0.9500000000000001,447,27,38
83,1.0,469,9,29
84,0.0,112,156,299
85,0.05,140,137,280
86,0.1,148,145,274
87,0.15000000000000002,169,129,274
88,0.2,185,122,247
89,0.25,228,93,255
90,0.30000000000000004,213,128,217
91,0.35000000000000003,236,101,214
92,0.4,240,103,214
93,0.45,277,97,169
94,0.5,315,70,153
95,0.55,297,76,168
96,0.6000000000000001,324,66,138
97,0.65,332,79,118
98,0.7000000000000001,355,63,109
99,0.75,370,45,105
100,0.8,402,40,80
101,0.8500000000000001,408,37,75
102,0.9,437,24,48
103,0.9500000000000001,449,24,35
104,1.0,459,21,26
105,0.0,121,157,305
106,0.05,142,166,278
107,0.1,165,135,275
108,0.15000000000000002,181,128,257
109,0.2,184,141,236
110,0.25,198,106,253
111,0.30000000000000004,222,107,233
112,0.35000000000000003,227,108,209
113,0.4,260,97,204
114,0.45,284,85,185
115,0.5,290,78,170
116,0.55,317,76,150
117,0.6000000000000001,323,76,139
118,0.65,335,67,133
119,0.7000000000000001,369,49,117
120,0.75,382,51,90
121,0.8,404,46,66
122,0.8500000000000001,398,43,77
123,0.9,418,30,64
124,0.9500000000000001,447,26,32
125,1.0,471,10,27
126,0.0,105,175,290
127,0.05,129,157,297
128,0.1,139,143,287
129,0.15000000000000002,179,131,265
130,0.2,184,133,245
131,0.25,215,103,235
132,0.30000000000000004,220,114,218
133,0.35000000000000003,223,117,204
134,0.4,255,113,183
135,0.45,272,87,187
136,0.5,272,97,172
137,0.55,299,80,144
138,0.6000000000000001,309,64,157
139,0.65,351,55,131
140,0.7000000000000001,369,56,97
141,0.75,382,52,88
142,0.8,385,50,94
143,0.8500000000000001,423,34,62
144,0.9,429,35,53
145,0.9500000000000001,451,18,38
146,1.0,456,25,27
147,0.0,96,165,300
148,0.05,128,169,269
149,0.1,164,123,285
150,0.15000000000000002,166,146,257
151,0.2,181,127,255
152,0.25,197,131,236
153,0.30000000000000004,231,111,230
154,0.35000000000000003,243,98,217
155,0.4,281,86,187
156,0.45,294,72,174
157,0.5,297,75,166
158,0.55,304,74,152
159,0.6000000000000001,336,54,154
160,0.65,356,60,119
161,0.7000000000000001,364,57,118
162,0.75,399,40,93
163,0.8,409,41,68
164,0.8500000000000001,414,33,69
165,0.9,423,25,68
166,0.9500000000000001,445,24,39
167,1.0,462,13,36
168,0.0,114,161,313
169,0.05,150,149,290
170,0.1,144,160,261
171,0.15000000000000002,176,142,246
172,0.2,187,124,255
173,0.25,207,116,241
174,0.30000000000000004,216,125,211
175,0.35000000000000003,238,113,204
176,0.4,257,111,178
177,0.45,290,88,168
178,0.5,286,78,194
179,0.55,319,82,132
180,0.6000000000000001,318,59,153
181,0.65,346,66,123
182,0.7000000000000001,363,57,111
183,0.75,377,50,88
184,0.8,395,44,86
185,0.8500000000000001,401,40,83
186,0.9,415,43,59
187,0.9500000000000001,447,25,44
188,1.0,460,10,37
189,0.0,118,146,314
190,0.05,149,137,302
191,0.1,159,141,263
192,0.15000000000000002,170,145,250
193,0.2,200,123,252
194,0.25,209,117,243
195,0.30000000000000004,228,111,216
196,0.35000000000000003,248,117,189
197,0.4,268,97,198
198,0.45,270,102,166
199,0.5,264,94,184
200,0.55,308,73,151
201,0.6000000000000001,345,60,137
202,0.65,329,75,123
203,0.7000000000000001,379,46,110
204,0.75,379,45,97
205,0.8,415,33,71
206,0.8500000000000001,409,37,73
207,0.9,439,27,50
208,0.9500000000000001,451,8,52
209,1.0,458,17,35
210,0.0,123,160,304
211,0.05,126,151,290
212,0.1,166,135,278
213,0.15000000000000002,166,139,249
214,0.2,189,138,246
215,0.25,193,120,240
216,0.30000000000000004,213,116,222
217,0.35000000000000003,232,115,202
218,0.4,266,89,193
219,0.45,282,88,181
220,0.5,290,79,173
221,0.55,320,77,143
222,0.6000000000000001,310,75,144
223,0.65,357,60,119
224,0.7000000000000001,365,51,111
225,0.75,380,50,94
226,0.8,395,40,90
227,0.8500000000000001,409,45,64
228,0.9,423,34,59
229,0.9500000000000001,451,18,41
230,1.0,467,11,27
231,0.0,115,140,325
232,0.05,155,149,265
233,0.1,157,149,273
234,0.15000000000000002,150,148,269
235,0.2,192,124,243
236,0.25,218,118,248
237,0.30000000000000004,217,116,223
238,0.35000000000000003,238,108,211
239,0.4,266,100,171
240,0.45,282,96,173
241,0.5,278,95,166
242,0.55,308,77,163
243,0.6000000000000001,312,76,147
244,0.65,331,78,125
245,0.7000000000000001,381,47,103
246,0.75,378,51,95
247,0.8,382,53,83
248,0.8500000000000001,394,38,82
249,0.9,420,35,56
250,0.9500000000000001,442,22,47
251,1.0,462,20,27
252,0.0,131,145,316
253,0.05,153,136,294
254,0.1,135,152,274
255,0.15000000000000002,148,136,281
256,0.2,194,143,224
257,0.25,198,121,244
258,0.30000000000000004,220,120,205
259,0.35000000000000003,222,109,212
260,0.4,259,92,205
261,0.45,280,89,179
262,0.5,290,75,187
263,0.55,325,63,149
264,0.6000000000000001,327,76,133
265,0.65,347,63,118
266,0.7000000000000001,378,48,99
267,0.75,382,45,95
268,0.8,388,37,105
269,0.8500000000000001,399,36,87
270,0.9,434,25,58
271,0.9500000000000001,428,24,58
272,1.0,467,14,32
273,0.0,133,150,308
274,0.05,138,157,288
275,0.1,159,138,276
276,0.15000000000000002,169,150,258
277,0.2,168,136,251
278,0.25,197,117,240
279,0.30000000000000004,216,120,219
280,0.35000000000000003,231,105,216
281,0.4,257,102,191
282,0.45,269,96,182
283,0.5,279,88,174
284,0.55,309,84,139
285,0.6000000000000001,337,57,138
286,0.65,322,79,135
287,0.7000000000000001,364,62,105
288,0.75,377,56,91
289,0.8,386,46,92
290,0.8500000000000001,409,28,79
291,0.9,418,32,69
292,0.9500000000000001,452,18,40
293,1.0,467,12,27
294,0.0,121,153,303
295,0.05,131,149,293
296,0.1,157,150,259
297,0.15000000000000002,147,158,253
298,0.2,199,117,248
299,0.25,203,119,241
300,0.30000000000000004,216,120,227
301,0.35000000000000003,265,92,192
302,0.4,264,102,188
303,0.45,281,92,173
304,0.5,306,66,168
305,0.55,293,81,167
306,0.6000000000000001,326,68,155
307,0.65,342,62,136
308,0.7000000000000001,365,63,104
309,0.75,384,47,95
310,0.8,393,37,99
311,0.8500000000000001,433,29,57
312,0.9,430,32,50
313,0.9500000000000001,441,22,53
314,1.0,459,12,36
315,0.0,105,142,324
316,0.05,120,148,292
317,0.1,157,137,284
318,0.15000000000000002,153,155,255
319,0.2,173,141,251
320,0.25,213,120,228
321,0.30000000000000004,200,118,241
322,0.35000000000000003,248,109,200
323,0.4,260,109,180
324,0.45,272,86,193
325,0.5,293,89,148
326,0.55,307,73,161
327,0.6000000000000001,328,68,140
328,0.65,346,65,113
329,0.7000000000000001,352,72,107
330,0.75,383,59,76
331,0.8,379,43,100
332,0.8500000000000001,392,40,89
333,0.9,436,26,60
334,0.9500000000000001,459,18,38
335,1.0,468,14,24
336,0.0,125,149,307
337,0.05,147,140,300
338,0.1,141,149,276
339,0.15000000000000002,155,131,284
340,0.2,194,133,246
341,0.25,198,131,236
342,0.30000000000000004,238,111,212
343,0.35000000000000003,247,99,206
344,0.4,263,98,180
345,0.45,279,103,165
346,0.5,285,85,167
347,0.55,294,80,160
348,0.6000000000000001,312,73,143
349,0.65,353,68,109
350,0.7000000000000001,370,48,109
351,0.75,386,51,82
352,0.8,387,52,83
353,0.8500000000000001,416,40,63
354,0.9,427,25,64
355,0.9500000000000001,450,20,37
356,1.0,463,15,31
357,0.0,109,148,310
358,0.05,143,142,297
359,0.1,156,136,278
360,0.15000000000000002,180,122,264
361,0.2,206,122,247
362,0.25,218,106,243
363,0.30000000000000004,229,102,230
364,0.35000000000000003,235,95,233
365,0.4,248,106,194
366,0.45,264,96,183
367,0.5,283,85,177
368,0.55,308,81,152
369,0.6000000000000001,318,71,147
370,0.65,347,61,125
371,0.7000000000000001,350,58,115
372,0.75,373,52,92
373,0.8,396,36,85
374,0.8500000000000001,419,37,60
375,0.9,425,32,52
376,0.9500000000000001,444,27,37
377,1.0,467,14,21
378,0.0,103,172,287
379,0.05,134,159,286
380,0.1,149,130,293
381,0.15000000000000002,185,133,257
382,0.2,182,120,259
383,0.25,197,119,232
384,0.30000000000000004,205,130,217
385,0.35000000000000003,240,106,212
386,0.4,255,92,195
387,0.45,249,95,199
388,0.5,276,87,176
389,0.55,334,72,124
390,0.6000000000000001,331,70,150
391,0.65,344,62,125
392,0.7000000000000001,351,64,105
393,0.75,382,50,96
394,0.8,383,43,96
395,0.8500000000000001,412,36,76
396,0.9,425,35,51
397,0.9500000000000001,438,18,52
398,1.0,466,20,22
399,0.0,124,162,291
400,0.05,126,167,278
401,0.1,161,130,288
402,0.15000000000000002,176,130,274
403,0.2,180,123,257
404,0.25,192,109,266
405,0.30000000000000004,229,117,221
406,0.35000000000000003,231,114,206
407,0.4,243,104,202
408,0.45,279,89,182
409,0.5,293,87,161
410,0.55,296,78,162
411,0.6000000000000001,323,77,134
412,0.65,328,66,132
413,0.7000000000000001,362,64,99
414,0.75,380,43,99
415,0.8,391,47,77
416,0.8500000000000001,408,39,64
417,0.9,438,30,46
418,0.9500000000000001,446,27,32
419,1.0,465,12,33
420,0.0,120,159,291
421,0.05,143,154,281
422,0.1,146,143,273
423,0.15000000000000002,183,117,274
424,0.2,194,119,263
425,0.25,208,114,230
426,0.30000000000000004,210,117,222
427,0.35000000000000003,232,108,224
428,0.4,238,96,227
429,0.45,292,85,177
430,0.5,295,82,165
431,0.55,313,82,142
432,0.6000000000000001,319,77,144
433,0.65,345,61,119
434,0.7000000000000001,354,65,106
435,0.75,369,51,104
436,0.8,387,36,100
437,0.8500000000000001,405,47,74
438,0.9,435,21,60
439,0.9500000000000001,433,26,54
440,1.0,461,14,31
441,0.0,92,157,319
442,0.05,148,142,291
443,0.1,140,148,276
444,0.15000000000000002,185,137,246
445,0.2,192,135,241
446,0.25,218,112,221
447,0.30000000000000004,224,116,219
448,0.35000000000000003,212,119,221
449,0.4,256,91,202
450,0.45,270,89,181
451,0.5,289,92,160
452,0.55,314,88,146
453,0.6000000000000001,312,75,141
454,0.65,335,70,131
455,0.7000000000000001,372,50,108
456,0.75,370,58,101
457,0.8,397,42,92
458,0.8500000000000001,420,27,69
459,0.9,443,28,46
460,0.9500000000000001,438,20,50
461,1.0,460,12,36
462,0.0,124,160,292
463,0.05,130,157,282
464,0.1,148,130,289
465,0.15000000000000002,166,135,276
466,0.2,185,122,265
467,0.25,190,123,241
468,0.30000000000000004,261,99,210
469,0.35000000000000003,245,103,208
470,0.4,289,97,175
471,0.45,271,88,192
472,0.5,292,88,163
473,0.55,317,70,148
474,0.6000000000000001,328,80,120
475,0.65,344,58,132
476,0.7000000000000001,354,49,126
477,0.75,374,43,112
478,0.8,382,50,88
479,0.8500000000000001,408,34,80
480,0.9,435,26,51
481,0.9500000000000001,457,24,30
482,1.0,465,11,32
483,0.0,117,137,328
484,0.05,124,162,283
485,0.1,170,124,283
486,0.15000000000000002,172,127,269
487,0.2,157,136,262
488,0.25,211,109,250
489,0.30000000000000004,236,105,217
490,0.35000000000000003,237,94,220
491,0.4,267,85,201
492,0.45,283,93,162
493,0.5,305,82,150
494,0.55,293,95,153
495,0.6000000000000001,326,73,136
496,0.65,332,64,132
497,0.7000000000000001,365,56,111
498,0.75,400,36,96
499,0.8,408,38,80
500,0.8500000000000001,418,37,64
501,0.9,429,26,58
502,0.9500000000000001,452,27,34
503,1.0,466,17,23
504,0.0,134,142,311
505,0.05,132,150,289
506,0.1,140,148,276
507,0.15000000000000002,162,124,281
508,0.2,201,112,251
509,0.25,210,109,263
510,0.30000000000000004,220,125,222
511,0.35000000000000003,251,100,209
512,0.4,274,88,191
513,0.45,255,97,200
514,0.5,280,100,156
515,0.55,311,83,162
516,0.6000000000000001,343,58,134
517,0.65,337,65,134
518,0.7000000000000001,367,51,102
519,0.75,383,52,92
520,0.8,403,43,79
521,0.8500000000000001,416,32,73
522,0.9,439,30,50
523,0.9500000000000001,443,13,61
524,1.0,459,21,25
525,0.0,106,152,317
526,0.05,128,148,305
527,0.1,151,143,276
528,0.15000000000000002,173,149,240
529,0.2,172,124,270
530,0.25,201,119,239
531,0.30000000000000004,232,119,203
532,0.35000000000000003,262,94,206
533,0.4,263,97,189
