,alive,bh_ratio,dead,transient
0,124,0.0,141,317
1,118,0.05,164,285
2,140,0.1,143,283
3,159,0.15000000000000002,136,274
4,172,0.2,140,250
5,206,0.25,107,248
6,220,0.30000000000000004,109,227
7,241,0.35000000000000003,107,204
8,243,0.4,90,212
9,264,0.45,110,165
10,287,0.5,88,166
11,321,0.55,67,152
12,336,0.6000000000000001,62,135
13,340,0.65,76,122
14,360,0.7000000000000001,58,109
15,382,0.75,50,90
16,406,0.8,45,79
17,411,0.8500000000000001,34,81
18,431,0.9,28,60
19,447,0.9500000000000001,24,39
20,460,1.0,18,25
21,112,0.0,157,306
22,141,0.05,141,293
23,159,0.1,141,272
24,172,0.15000000000000002,134,255
25,193,0.2,138,236
26,206,0.25,124,226
27,233,0.30000000000000004,108,217
28,248,0.35000000000000003,112,196
29,265,0.4,79,223
30,300,0.45,86,166
31,302,0.5,81,163
32,310,0.55,73,162
33,336,0.6000000000000001,68,132
34,342,0.65,63,131
35,357,0.7000000000000001,57,111
36,381,0.75,47,98
37,386,0.8,49,91
38,420,0.8500000000000001,29,74
39,425,0.9,33,56
40,434,0.9500000000000001,29,50
41,464,1.0,10,38
42,123,0.0,157,297
43,130,0.05,138,308
44,154,0.1,150,270
45,161,0.15000000000000002,145,264
46,188,0.2,127,257
47,205,0.25,107,249
48,203,0.30000000000000004,121,213
49,249,0.35000000000000003,100,227
50,269,0.4,97,184
51,277,0.45,93,179
52,303,0.5,83,156
53,307,0.55,95,135
54,320,0.6000000000000001,71,146
55,336,0.65,71,131
56,355,0.7000000000000001,51,119
57,378,0.75,57,87
58,392,0.8,41,95
59,409,0.8500000000000001,41,66
60,432,0.9,24,56
61,451,0.9500000000000001,17,43
62,463,1.0,17,27
63,104,0.0,165,305
64,145,0.05,136,299
65,142,0.1,126,301
66,146,0.15000000000000002,142,276
67,195,0.2,126,234
68,202,0.25,126,229
69,209,0.30000000000000004,99,250
70,242,0.35000000000000003,111,198
71,276,0.4,95,181
72,275,0.45,99,184
73,269,0.5,87,177
74,305,0.55,77,152
75,326,0.6000000000000001,69,133
76,354,0.65,53,123
77,346,0.7000000000000001,72,111
78,386,0.75,43,104
79,388,0.8,44,86
80,429,0.8500000000000001,31,55
81,425,0.9,27,68
82,441,0.9500000000000001,19,49
83,459,1.0,14,36
84,128,0.0,145,316
85,161,0.05,133,290
86,142,0.1,132,288
87,186,0.15000000000000002,119,266
88,186,0.2,119,256
89,217,0.25,116,228
90,220,0.30000000000000004,108,230
91,252,0.35000000000000003,100,207
92,259,0.4,104,187
93,276,0.45,95,169
94,276,0.5,89,181
95,314,0.55,71,151
96,350,0.6000000000000001,71,113
97,342,0.65,62,137
98,371,0.7000000000000001,62,91
99,370,0.75,55,97
100,397,0.8,43,72
101,405,0.8500000000000001,37,79
102,424,0.9,35,50
103,440,0.9500000000000001,30,42
104,467,1.0,16,21
105,101,0.0,149,317
106,134,0.05,164,276
107,155,0.1,126,291
108,168,0.15000000000000002,124,276
109,211,0.2,112,243
110,180,0.25,124,252
111,224,0.30000000000000004,106,225
112,215,0.35000000000000003,119,212
113,251,0.4,100,192
114,278,0.45,90,185
115,277,0.5,97,170
116,299,0.55,74,169
117,317,0.6000000000000001,77,137
118,338,0.65,60,136
119,361,0.7000000000000001,55,116
120,371,0.75,65,93
121,396,0.8,33,91
122,420,0.8500000000000001,34,66
123,437,0.9,19,57
124,451,0.9500000000000001,20,43
125,477,1.0,8,21
126,121,0.0,154,309
127,137,0.05,143,295
128,133,0.1,137,294
129,185,0.15000000000000002,122,268
130,169,0.2,131,255
131,210,0.25,110,243
132,216,0.30000000000000004,123,222
133,215,0.35000000000000003,128,208
134,247,0.4,100,200
135,280,0.45,90,180
136,283,0.5,94,172
137,311,0.55,80,150
138,320,0.6000000000000001,65,148
139,333,0.65,75,122
140,347,0.7000000000000001,68,118
141,365,0.75,59,100
142,398,0.8,50,83
143,402,0.8500000000000001,45,74
144,425,0.9,34,55
145,443,0.9500000000000001,21,45
146,462,1.0,13,37
147,133,0.0,132,320
148,143,0.05,148,295
149,164,0.1,130,280
150,156,0.15000000000000002,150,254
151,184,0.2,113,260
152,208,0.25,112,238
153,206,0.30000000000000004,124,228
154,231,0.35000000000000003,112,216
155,245,0.4,105,196
156,277,0.45,89,181
157,283,0.5,78,185
158,296,0.55,81,154
159,320,0.6000000000000001,66,149
160,350,0.65,49,131
161,374,0.7000000000000001,52,106
162,371,0.75,42,115
163,388,0.8,49,89
164,418,0.8500000000000001,32,72
165,432,0.9,29,59
166,453,0.9500000000000001,20,35
167,466,1.0,12,31
168,110,0.0,146,318
169,155,0.05,143,289
170,158,0.1,123,297
171,175,0.15000000000000002,125,261
172,195,0.2,120,258
173,209,0.25,116,236
174,220,0.30000000000000004,107,231
175,249,0.35000000000000003,100,209
176,266,0.4,86,203
177,268,0.45,93,183
178,292,0.5,83,166
179,325,0.55,84,139
180,338,0.6000000000000001,69,125
181,348,0.65,67,127
182,351,0.7000000000000001,59,122
183,360,0.75,66,96
184,408,0.8,36,79
185,412,0.8500000000000001,38,65
186,431,0.9,30,53
187,429,0.9500000000000001,24,59
188,464,1.0,16,27
189,135,0.0,125,339
190,130,0.05,147,296
191,130,0.1,143,279
192,158,0.15000000000000002,129,275
193,190,0.2,122,247
194,200,0.25,115,240
195,232,0.30000000000000004,108,219
196,236,0.35000000000000003,113,203
197,262,0.4,77,209
198,267,0.45,89,188
199,291,0.5,79,181
200,288,0.55,83,166
201,302,0.6000000000000001,92,141
202,346,0.65,59,132
203,350,0.7000000000000001,66,113
204,379,0.75,68,74
205,388,0.8,44,89
206,417,0.8500000000000001,36,75
207,435,0.9,23,58
208,449,0.9500000000000001,21,36
209,467,1.0,17,22
210,111,0.0,159,308
211,135,0.05,156,276
212,155,0.1,141,282
213,191,0.15000000000000002,122,263
214,179,0.2,117,272
215,202,0.25,128,238
216,223,0.30000000000000004,115,216
217,241,0.35000000000000003,109,205
218,251,0.4,87,206
219,245,0.45,99,203
220,285,0.5,90,170
221,312,0.55,70,155
222,321,0.6000000000000001,69,148
223,343,0.65,60,132
224,358,0.7000000000000001,55,109
225,389,0.75,53,99
226,386,0.8,53,72
227,413,0.8500000000000001,35,62
228,438,0.9,30,53
229,442,0.9500000000000001,31,43
230,467,1.0,16,23
231,109,0.0,160,306
232,144,0.05,131,295
233,153,0.1,144,283
234,165,0.15000000000000002,135,269
235,174,0.2,131,269
236,221,0.25,116,234
237,200,0.30000000000000004,130,222
238,222,0.35000000000000003,129,206
239,250,0.4,101,199
240,280,0.45,88,184
241,303,0.5,80,162
242,311,0.55,77,148
243,324,0.6000000000000001,64,156
244,331,0.65,75,131
245,352,0.7000000000000001,46,134
246,390,0.75,35,102
247,391,0.8,44,80
248,420,0.8500000000000001,27,72
249,434,0.9,27,54
250,443,0.9500000000000001,27,38
251,457,1.0,17,32
252,118,0.0,145,308
253,139,0.05,145,302
254,143,0.1,158,262
255,166,0.15000000000000002,122,285
256,175,0.2,147,249
257,186,0.25,114,250
258,220,0.30000000000000004,105,231
259,249,0.35000000000000003,100,214
260,240,0.4,114,199
261,289,0.45,82,181
262,280,0.5,93,171
263,304,0.55,94,137
264,340,0.6000000000000001,61,142
265,341,0.65,55,133
266,365,0.7000000000000001,55,110
267,372,0.75,58,92
268,389,0.8,45,84
269,402,0.8500000000000001,38,72
270,417,0.9,39,59
271,444,0.9500000000000001,19,48
272,477,1.0,7,21
273,118,0.0,158,299
274,140,0.05,136,290
275,145,0.1,139,284
276,156,0.15000000000000002,156,260
277,202,0.2,135,222
278,189,0.25,124,250
279,220,0.30000000000000004,104,234
280,225,0.35000000000000003,105,216
281,259,0.4,96,193
282,272,0.45,101,174
283,292,0.5,100,152
284,299,0.55,85,154
285,334,0.6000000000000001,71,141
286,345,0.65,61,128
287,352,0.7000000000000001,64,102
288,382,0.75,58,90
289,405,0.8,33,81
290,418,0.8500000000000001,33,72
291,426,0.9,29,62
292,448,0.9500000000000001,18,45
293,459,1.0,13,41
294,118,0.0,157,298
295,139,0.05,140,289
296,160,0.1,143,281
297,179,0.15000000000000002,140,247
298,205,0.2,120,249
299,206,0.25,116,241
300,206,0.30000000000000004,105,240
301,269,0.35000000000000003,109,186
302,250,0.4,98,200
303,277,0.45,72,194
304,307,0.5,85,152
305,309,0.55,70,154
306,324,0.6000000000000001,60,156
307,343,0.65,65,130
308,363,0.7000000000000001,55,110
309,388,0.75,45,92
310,396,0.8,36,92
311,404,0.8500000000000001,38,70
312,421,0.9,32,72
313,442,0.9500000000000001,24,47
314,461,1.0,15,28
315,115,0.0,158,299
316,137,0.05,147,286
317,154,0.1,146,275
318,194,0.15000000000000002,108,275
319,197,0.2,135,242
320,205,0.25,121,237
321,229,0.30000000000000004,104,231
322,252,0.35000000000000003,105,205
323,258,0.4,105,182
324,275,0.45,88,185
325,310,0.5,80,152
326,303,0.55,75,162
327,330,0.6000000000000001,67,149
328,337,0.65,71,126
329,358,0.7000000000000001,56,113
330,374,0.75,57,91
331,399,0.8,44,79
332,414,0.8500000000000001,36,72
333,428,0.9,25,56
334,449,0.9500000000000001,17,46
335,459,1.0,20,36
336,120,0.0,164,310
337,125,0.05,148,305
338,133,0.1,139,295
339,155,0.15000000000000002,145,258
340,206,0.2,107,252
341,209,0.25,117,235
342,229,0.30000000000000004,114,218
343,245,0.35000000000000003,104,219
344,230,0.4,106,198
345,276,0.45,87,185
346,303,0.5,72,168
347,313,0.55,71,157
348,339,0.6000000000000001,65,137
349,335,0.65,78,120
350,361,0.7000000000000001,60,99
351,365,0.75,59,103
352,393,0.8,42,91
353,406,0.8500000000000001,35,84
354,424,0.9,29,59
355,448,0.9500000000000001,25,38
356,462,1.0,15,28
357,127,0.0,156,303
358,151,0.05,135,306
359,156,0.1,122,303
360,163,0.15000000000000002,135,275
361,197,0.2,126,242
362,212,0.25,123,233
363,236,0.30000000000000004,101,218
364,221,0.35000000000000003,115,217
365,262,0.4,108,191
366,277,0.45,96,174
367,282,0.5,87,174
368,306,0.55,79,161
369,340,0.6000000000000001,62,141
370,337,0.65,62,129
371,356,0.7000000000000001,67,118
372,388,0.75,42,102
373,401,0.8,36,82
374,417,0.8500000000000001,32,77
375,422,0.9,25,62
376,452,0.9500000000000001,22,45
377,458,1.0,17,37
378,122,0.0,160,293
379,131,0.05,159,289
380,167,0.1,128,282
381,179,0.15000000000000002,136,256
382,197,0.2,120,252
383,207,0.25,112,244
384,227,0.30000000000000004,105,224
385,243,0.35000000000000003,106,212
386,258,0.4,96,182
387,281,0.45,76,192
388,282,0.5,94,163
389,308,0.55,75,142
390,339,0.6000000000000001,54,148
391,346,0.65,52,128
392,360,0.7000000000000001,53,113
393,395,0.75,37,93
394,381,0.8,56,93
395,409,0.8500000000000001,24,97
396,439,0.9,25,46
397,444,0.9500000000000001,20,51
398,459,1.0,13,31
399,124,0.0,147,311
400,124,0.05,158,276
401,159,0.1,132,283
402,165,0.15000000000000002,133,282
403,196,0.2,114,269
404,198,0.25,132,223
405,226,0.30000000000000004,112,231
406,244,0.35000000000000003,93,220
407,261,0.4,94,195
408,281,0.45,81,183
409,275,0.5,90,185
410,295,0.55,85,157
411,326,0.6000000000000001,74,138
412,344,0.65,58,130
413,354,0.7000000000000001,67,110
414,378,0.75,44,105
415,394,0.8,47,73
416,408,0.8500000000000001,33,73
417,438,0.9,26,57
418,449,0.9500000000000001,28,36
419,472,1.0,13,24
420,116,0.0,164,297
421,145,0.05,145,293
422,160,0.1,150,271
423,163,0.15000000000000002,143,271
424,182,0.2,138,244
425,184,0.25,139,223
426,226,0.30000000000000004,115,222
427,219,0.35000000000000003,98,234
428,265,0.4,93,197
429,288,0.45,82,178
430,280,0.5,90,174
431,311,0.55,80,142
432,320,0.6000000000000001,69,141
433,352,0.65,56,115
434,362,0.7000000000000001,50,116
435,377,0.75,45,102
436,403,0.8,35,88
437,414,0.8500000000000001,29,72
438,435,0.9,24,57
439,442,0.9500000000000001,21,46
440,463,1.0,14,30
441,101,0.0,148,330
442,128,0.05,147,291
443,151,0.1,140,279
444,174,0.15000000000000002,128,274
445,189,0.2,122,247
446,198,0.25,132,227
447,234,0.30000000000000004,110,204
448,235,0.35000000000000003,89,225
449,243,0.4,84,224
450,266,0.45,98,180
451,291,0.5,75,187
452,312,0.55,69,156
453,312,0.6000000000000001,70,149
454,329,0.65,66,135
455,360,0.7000000000000001,62,108
456,370,0.75,53,109
457,410,0.8,27,82
458,425,0.8500000000000001,28,73
459,433,0.9,20,53
460,441,0.9500000000000001,25,46
461,471,1.0,15,26
462,111,0.0,146,319
463,141,0.05,136,309
464,162,0.1,136,277
465,161,0.15000000000000002,132,261
466,192,0.2,112,271
