,alive,bh_ratio,dead,transient
0,118,0.0,155,312
1,155,0.05,136,295
2,158,0.1,156,271
3,156,0.15000000000000002,136,266
4,193,0.2,134,242
5,195,0.25,120,235
6,212,0.30000000000000004,116,231
7,232,0.35000000000000003,108,212
8,250,0.4,109,191
9,248,0.45,115,183
10,263,0.5,79,199
11,308,0.55,73,159
12,322,0.6000000000000001,70,156
13,348,0.65,63,132
14,368,0.7000000000000001,57,102
15,388,0.75,41,104
16,407,0.8,35,75
17,415,0.8500000000000001,36,61
18,429,0.9,25,65
19,445,0.9500000000000001,22,44
20,460,1.0,12,34
21,122,0.0,160,301
22,130,0.05,148,292
23,142,0.1,149,272
24,158,0.15000000000000002,156,258
25,168,0.2,149,243
26,219,0.25,114,241
27,219,0.30000000000000004,118,221
28,230,0.35000000000000003,108,216
29,241,0.4,111,192
30,290,0.45,85,171
31,290,0.5,75,183
32,299,0.55,92,147
33,334,0.6000000000000001,69,150
34,351,0.65,59,120
35,336,0.7000000000000001,67,126
36,367,0.75,57,101
37,381,0.8,50,92
38,406,0.8500000000000001,33,75
39,430,0.9,29,59
40,444,0.9500000000000001,26,47
41,468,1.0,11,31
42,120,0.0,169,293
43,124,0.05,160,285
44,142,0.1,138,295
45,184,0.15000000000000002,127,263
46,202,0.2,105,263
47,192,0.25,123,234
48,232,0.30000000000000004,105,220
49,252,0.35000000000000003,109,199
50,285,0.4,95,187
51,272,0.45,99,178
52,288,0.5,91,160
53,300,0.55,90,146
54,316,0.6000000000000001,68,143
55,351,0.65,60,128
56,365,0.7000000000000001,58,109
57,378,0.75,49,107
58,386,0.8,52,80
59,416,0.8500000000000001,38,63
60,423,0.9,32,58
61,439,0.9500000000000001,25,47
62,461,1.0,19,32
63,118,0.0,154,305
64,122,0.05,165,285
65,147,0.1,155,260
66,181,0.15000000000000002,131,247
67,194,0.2,113,253
68,198,0.25,124,239
69,216,0.30000000000000004,106,230
70,258,0.35000000000000003,110,201
71,260,0.4,94,192
72,269,0.45,91,183
73,302,0.5,80,165
74,329,0.55,75,127
75,315,0.6000000000000001,70,149
76,337,0.65,69,132
77,367,0.7000000000000001,49,124
78,394,0.75,40,94
79,389,0.8,44,83
80,409,0.8500000000000001,34,72
81,421,0.9,31,62
82,452,0.9500000000000001,22,31
83,461,1.0,19,26
84,115,0.0,156,312
85,121,0.05,154,290
86,161,0.1,134,283
87,156,0.15000000000000002,149,263
88,217,0.2,118,245
89,204,0.25,100,246
90,226,0.30000000000000004,92,244
91,226,0.35000000000000003,106,214
92,255,0.4,110,174
93,250,0.45,89,208
94,279,0.5,90,175
