,alive,bh_ratio,dead,transient
0,122,0.0,164,296
1,152,0.05,124,317
2,172,0.1,146,263
3,154,0.15000000000000002,147,258
4,178,0.2,121,263
5,205,0.25,125,240
6,216,0.30000000000000004,122,223
7,238,0.35000000000000003,98,222
8,258,0.4,102,186
9,285,0.45,83,191
10,296,0.5,89,153
11,316,0.55,84,140
12,329,0.6000000000000001,63,149
13,364,0.65,58,102
14,341,0.7000000000000001,61,124
15,362,0.75,51,114
16,388,0.8,49,84
17,400,0.8500000000000001,37,77
18,426,0.9,29,58
19,444,0.9500000000000001,27,42
20,466,1.0,11,32
21,127,0.0,150,309
22,145,0.05,145,301
23,146,0.1,147,267
24,169,0.15000000000000002,136,264
25,194,0.2,131,245
26,208,0.25,105,258
27,218,0.30000000000000004,113,225
28,223,0.35000000000000003,109,224
29,256,0.4,102,201
30,268,0.45,87,184
31,302,0.5,80,169
32,296,0.55,78,154
33,317,0.6000000000000001,70,151
34,354,0.65,64,116
35,354,0.7000000000000001,58,115
36,380,0.75,41,105
37,393,0.8,51,81
38,427,0.8500000000000001,30,59
39,430,0.9,32,52
40,459,0.9500000000000001,13,38
41,462,1.0,14,31
42,86,0.0,172,304
43,143,0.05,161,279
44,177,0.1,134,263
45,173,0.15000000000000002,125,261
46,184,0.2,116,256
47,203,0.25,126,223
48,212,0.30000000000000004,102,247
49,255,0.35000000000000003,105,199
50,253,0.4,96,205
51,272,0.45,95,185
52,277,0.5,91,165
53,297,0.55,81,160
54,337,0.6000000000000001,52,147
55,335,0.65,66,127
56,347,0.7000000000000001,55,122
57,362,0.75,62,108
58,407,0.8,35,81
59,419,0.8500000000000001,29,72
60,437,0.9,23,62
61,453,0.9500000000000001,17,44
62,456,1.0,22,32
63,111,0.0,157,302
64,123,0.05,146,300
65,148,0.1,147,277
66,164,0.15000000000000002,151,248
67,195,0.2,116,266
68,194,0.25,124,240
69,246,0.30000000000000004,101,217
70,242,0.35000000000000003,102,207
71,254,0.4,106,177
72,279,0.45,93,177
73,286,0.5,84,174
74,308,0.55,91,148
75,310,0.6000000000000001,74,155
76,349,0.65,62,115
77,359,0.7000000000000001,58,106
78,371,0.75,51,109
79,385,0.8,47,102
80,416,0.8500000000000001,40,73
81,433,0.9,20,59
82,454,0.9500000000000001,20,37
83,473,1.0,9,28
84,123,0.0,158,299
85,152,0.05,147,287
86,152,0.1,140,278
87,161,0.15000000000000002,137,271
88,179,0.2,124,251
89,203,0.25,137,222
90,224,0.30000000000000004,114,221
91,236,0.35000000000000003,127,196
92,242,0.4,112,194
93,273,0.45,114,151
94,300,0.5,70,177
95,322,0.55,71,165
96,331,0.6000000000000001,67,135
97,341,0.65,74,119
98,365,0.7000000000000001,49,114
99,389,0.75,42,94
100,397,0.8,37,87
101,406,0.8500000000000001,31,80
102,428,0.9,23,66
103,452,0.9500000000000001,27,31
104,463,1.0,16,32
105,101,0.0,154,315
106,144,0.05,137,280
107,148,0.1,118,296
108,185,0.15000000000000002,127,262
109,182,0.2,140,242
110,186,0.25,149,228
111,217,0.30000000000000004,103,229
112,244,0.35000000000000003,112,203
113,266,0.4,86,199
114,296,0.45,85,182
115,310,0.5,81,164
116,307,0.55,79,151
117,330,0.6000000000000001,66,134
118,333,0.65,72,124
119,358,0.7000000000000001,71,96
120,379,0.75,51,89
121,399,0.8,28,96
122,414,0.8500000000000001,30,71
123,441,0.9,27,45
124,451,0.9500000000000001,19,47
125,474,1.0,12,18
126,122,0.0,149,313
127,129,0.05,137,310
128,142,0.1,151,280
129,166,0.15000000000000002,138,265
130,195,0.2,121,247
131,203,0.25,114,246
132,231,0.30000000000000004,124,211
133,249,0.35000000000000003,113,200
134,272,0.4,98,177
135,286,0.45,80,173
136,309,0.5,86,152
137,289,0.55,81,165
138,341,0.6000000000000001,63,132
139,346,0.65,59,126
140,351,0.7000000000000001,61,119
141,368,0.75,49,108
142,397,0.8,48,81
143,412,0.8500000000000001,32,76
144,425,0.9,24,68
145,440,0.9500000000000001,27,44
146,465,1.0,16,29
147,120,0.0,152,306
148,136,0.05,144,303
149,147,0.1,149,272
150,159,0.15000000000000002,131,265
151,207,0.2,112,257
152,216,0.25,105,249
153,222,0.30000000000000004,118,227
154,251,0.35000000000000003,99,202
155,260,0.4,112,183
156,263,0.45,108,167
157,286,0.5,94,170
158,304,0.55,83,160
159,338,0.6000000000000001,66,132
160,351,0.65,60,124
161,373,0.7000000000000001,56,102
162,367,0.75,50,108
163,389,0.8,45,93
164,401,0.8500000000000001,39,77
165,440,0.9,31,38
166,460,0.9500000000000001,20,26
167,467,1.0,10,27
168,126,0.0,142,318
169,144,0.05,146,281
170,151,0.1,132,290
171,174,0.15000000000000002,135,269
172,163,0.2,145,262
173,188,0.25,135,234
174,211,0.30000000000000004,119,228
175,241,0.35000000000000003,102,227
176,266,0.4,102,181
177,268,0.45,96,190
178,296,0.5,86,152
179,302,0.55,78,165
180,313,0.6000000000000001,85,133
181,341,0.65,54,145
182,363,0.7000000000000001,52,120
183,355,0.75,63,96
184,404,0.8,41,80
185,412,0.8500000000000001,23,85
186,423,0.9,33,54
187,435,0.9500000000000001,25,54
188,459,1.0,11,38
189,116,0.0,146,316
190,127,0.05,151,305
191,159,0.1,153,261
192,169,0.15000000000000002,132,268
193,185,0.2,135,243
194,203,0.25,108,245
195,221,0.30000000000000004,118,216
196,253,0.35000000000000003,92,205
197,275,0.4,86,196
198,273,0.45,98,177
199,270,0.5,105,172
200,315,0.55,78,144
201,333,0.6000000000000001,55,153
202,352,0.65,59,125
203,368,0.7000000000000001,55,108
204,392,0.75,36,92
205,387,0.8,51,80
206,410,0.8500000000000001,40,65
207,432,0.9,31,54
208,445,0.9500000000000001,25,44
209,459,1.0,17,33
210,115,0.0,160,307
211,155,0.05,153,274
212,149,0.1,131,285
213,168,0.15000000000000002,135,255
214,199,0.2,116,258
215,196,0.25,132,224
216,202,0.30000000000000004,116,238
217,245,0.35000000000000003,101,212
218,247,0.4,96,213
219,292,0.45,75,180
220,261,0.5,90,190
221,315,0.55,69,158
222,320,0.6000000000000001,66,147
223,329,0.65,69,122
224,351,0.7000000000000001,60,109
225,376,0.75,36,116
226,380,0.8,55,88
227,416,0.8500000000000001,33,62
228,420,0.9,36,56
229,445,0.9500000000000001,22,46
230,466,1.0,15,25
231,123,0.0,151,302
232,138,0.05,148,277
233,130,0.1,147,284
234,160,0.15000000000000002,150,259
235,212,0.2,113,243
236,199,0.25,125,231
237,223,0.30000000000000004,119,219
238,230,0.35000000000000003,97,229
239,267,0.4,97,197
240,260,0.45,90,189
241,294,0.5,89,163
242,313,0.55,76,144
243,327,0.6000000000000001,71,130
244,342,0.65,61,133
245,344,0.7000000000000001,62,126
246,377,0.75,56,99
247,393,0.8,41,91
248,425,0.8500000000000001,26,68
249,447,0.9,26,37
250,437,0.9500000000000001,23,54
251,464,1.0,17,31
252,121,0.0,143,325
253,133,0.05,159,284
254,141,0.1,156,275
255,161,0.15000000000000002,156,244
256,204,0.2,117,252
257,227,0.25,114,230
258,203,0.30000000000000004,128,218
259,207,0.35000000000000003,115,219
260,257,0.4,87,198
261,279,0.45,103,179
262,291,0.5,75,182
263,290,0.55,80,168
264,325,0.6000000000000001,76,132
265,331,0.65,73,122
266,341,0.7000000000000001,65,125
267,371,0.75,54,95
268,387,0.8,43,94
269,402,0.8500000000000001,46,69
270,428,0.9,30,54
271,452,0.9500000000000001,25,27
272,463,1.0,14,29
273,122,0.0,145,310
274,139,0.05,126,303
275,155,0.1,141,280
276,173,0.15000000000000002,137,259
277,202,0.2,115,252
278,199,0.25,115,244
279,232,0.30000000000000004,99,239
280,246,0.35000000000000003,108,199
281,250,0.4,101,192
282,270,0.45,89,184
283,274,0.5,93,175
284,301,0.55,81,156
285,320,0.6000000000000001,74,153
286,349,0.65,56,129
287,363,0.7000000000000001,55,118
288,376,0.75,51,97
289,401,0.8,42,82
290,427,0.8500000000000001,30,61
291,434,0.9,26,65
292,450,0.9500000000000001,16,45
293,452,1.0,19,34
294,122,0.0,159,301
295,122,0.05,155,289
296,135,0.1,164,254
297,173,0.15000000000000002,149,247
298,193,0.2,107,258
299,198,0.25,109,256
300,237,0.30000000000000004,94,227
301,226,0.35000000000000003,114,207
302,259,0.4,87,198
303,271,0.45,95,182
304,290,0.5,71,189
305,315,0.55,67,159
