,alive,bh_ratio,dead,transient
0,122,0.0,163,297
1,133,0.05,147,292
2,155,0.1,144,271
3,162,0.15000000000000002,129,278
4,180,0.2,122,259
5,180,0.25,117,251
6,241,0.30000000000000004,110,210
7,227,0.35000000000000003,118,200
8,255,0.4,100,184
9,267,0.45,87,194
10,295,0.5,80,170
11,329,0.55,60,148
12,331,0.6000000000000001,78,139
13,363,0.65,57,105
14,357,0.7000000000000001,59,114
15,386,0.75,47,91
16,393,0.8,43,83
17,412,0.8500000000000001,35,70
18,426,0.9,37,48
19,440,0.9500000000000001,28,41
20,458,1.0,22,29
21,128,0.0,154,303
22,137,0.05,139,290
23,153,0.1,136,277
24,174,0.15000000000000002,130,254
25,188,0.2,141,244
26,208,0.25,125,225
27,207,0.30000000000000004,118,241
28,263,0.35000000000000003,94,196
29,271,0.4,102,179
30,267,0.45,92,184
31,291,0.5,86,161
32,309,0.55,84,140
33,353,0.6000000000000001,58,124
34,367,0.65,58,117
35,358,0.7000000000000001,52,116
36,365,0.75,60,104
37,407,0.8,34,85
38,406,0.8500000000000001,23,84
39,430,0.9,21,64
40,447,0.9500000000000001,21,51
41,458,1.0,27,24
42,118,0.0,156,304
43,120,0.05,164,290
44,154,0.1,131,293
45,176,0.15000000000000002,128,265
46,156,0.2,134,266
47,194,0.25,131,232
48,237,0.30000000000000004,99,222
49,227,0.35000000000000003,103,214
50,253,0.4,94,203
51,286,0.45,92,176
52,302,0.5,93,136
53,298,0.55,69,174
54,308,0.6000000000000001,66,160
55,333,0.65,74,116
56,358,0.7000000000000001,51,114
57,381,0.75,54,87
58,401,0.8,37,85
59,423,0.8500000000000001,36,65
60,416,0.9,26,71
61,457,0.9500000000000001,19,37
62,454,1.0,23,30
63,107,0.0,154,308
64,146,0.05,160,264
65,146,0.1,148,259
66,163,0.15000000000000002,148,257
67,173,0.2,147,240
68,217,0.25,102,254
69,245,0.30000000000000004,92,224
70,236,0.35000000000000003,107,207
71,267,0.4,102,189
72,266,0.45,94,189
73,258,0.5,87,197
74,315,0.55,83,142
75,340,0.6000000000000001,71,127
76,359,0.65,57,112
77,349,0.7000000000000001,61,115
78,383,0.75,43,100
79,378,0.8,45,98
80,399,0.8500000000000001,48,78
81,429,0.9,26,64
82,450,0.9500000000000001,19,43
83,453,1.0,18,39
84,125,0.0,144,319
85,135,0.05,144,299
86,135,0.1,154,273
87,179,0.15000000000000002,129,257
88,200,0.2,127,244
89,221,0.25,116,241
90,226,0.30000000000000004,111,211
91,232,0.35000000000000003,103,221
92,259,0.4,97,191
93,259,0.45,108,177
94,289,0.5,73,175
95,310,0.55,79,157
96,349,0.6000000000000001,61,124
97,344,0.65,60,128
98,365,0.7000000000000001,48,114
99,361,0.75,52,112
100,394,0.8,52,79
101,414,0.8500000000000001,29,83
102,435,0.9,30,54
103,436,0.9500000000000001,23,58
104,462,1.0,18,23
105,108,0.0,138,326
106,131,0.05,153,283
107,156,0.1,149,268
108,178,0.15000000000000002,118,268
109,194,0.2,127,241
110,226,0.25,104,237
111,226,0.30000000000000004,121,208
112,240,0.35000000000000003,98,227
113,258,0.4,88,204
114,276,0.45,76,196
115,287,0.5,90,165
116,308,0.55,81,158
117,321,0.6000000000000001,67,141
118,354,0.65,58,124
119,366,0.7000000000000001,47,118
120,382,0.75,50,96
121,381,0.8,49,102
122,425,0.8500000000000001,36,60
123,430,0.9,23,54
124,441,0.9500000000000001,18,52
125,472,1.0,14,22
126,129,0.0,139,321
127,133,0.05,155,283
128,162,0.1,121,307
129,186,0.15000000000000002,126,265
130,183,0.2,131,255
131,207,0.25,116,242
132,231,0.30000000000000004,113,210
133,248,0.35000000000000003,108,194
134,262,0.4,91,205
135,270,0.45,94,187
136,282,0.5,87,182
137,320,0.55,65,156
138,335,0.6000000000000001,77,131
139,350,0.65,64,118
140,337,0.7000000000000001,54,132
141,390,0.75,45,90
142,408,0.8,45,67
143,421,0.8500000000000001,34,67
144,426,0.9,24,67
145,458,0.9500000000000001,16,38
146,468,1.0,17,19
147,108,0.0,153,322
148,125,0.05,165,272
149,172,0.1,127,284
150,170,0.15000000000000002,135,273
151,176,0.2,125,258
152,184,0.25,118,251
153,227,0.30000000000000004,110,220
154,227,0.35000000000000003,98,224
155,242,0.4,101,205
156,267,0.45,95,177
157,293,0.5,87,168
158,315,0.55,67,172
159,322,0.6000000000000001,72,143
160,356,0.65,58,125
161,359,0.7000000000000001,52,117
162,380,0.75,42,103
163,392,0.8,37,89
164,406,0.8500000000000001,42,71
165,421,0.9,32,62
166,444,0.9500000000000001,20,46
167,474,1.0,7,25
168,111,0.0,144,322
169,131,0.05,145,297
170,149,0.1,140,275
171,151,0.15000000000000002,146,255
172,208,0.2,118,234
173,194,0.25,131,230
174,217,0.30000000000000004,109,234
175,249,0.35000000000000003,99,213
176,264,0.4,102,180
177,267,0.45,102,171
178,290,0.5,97,152
179,322,0.55,68,146
180,324,0.6000000000000001,66,152
181,356,0.65,61,112
182,353,0.7000000000000001,66,105
183,381,0.75,57,79
184,399,0.8,38,90
185,405,0.8500000000000001,38,77
186,425,0.9,33,56
187,442,0.9500000000000001,27,43
188,462,1.0,10,41
189,116,0.0,157,301
190,144,0.05,151,285
191,145,0.1,146,287
192,166,0.15000000000000002,140,269
193,181,0.2,114,275
194,193,0.25,132,236
195,215,0.30000000000000004,115,230
196,237,0.35000000000000003,92,223
197,261,0.4,96,191
198,280,0.45,85,167
199,286,0.5,78,189
200,315,0.55,70,158
201,326,0.6000000000000001,67,133
202,347,0.65,57,121
203,353,0.7000000000000001,65,113
204,361,0.75,52,113
205,397,0.8,47,81
206,417,0.8500000000000001,30,67
207,425,0.9,32,60
208,442,0.9500000000000001,25,38
209,464,1.0,19,26
210,116,0.0,141,326
211,144,0.05,138,297
212,155,0.1,158,256
213,171,0.15000000000000002,125,287
214,202,0.2,122,237
215,225,0.25,115,228
216,201,0.30000000000000004,132,214
217,234,0.35000000000000003,107,211
218,245,0.4,120,182
219,269,0.45,93,189
220,315,0.5,76,163
221,294,0.55,80,158
222,333,0.6000000000000001,73,132
223,345,0.65,72,120
224,359,0.7000000000000001,62,107
225,373,0.75,38,118
226,402,0.8,43,74
227,405,0.8500000000000001,43,74
228,443,0.9,22,48
229,446,0.9500000000000001,23,45
230,466,1.0,11,25
231,129,0.0,154,304
232,135,0.05,155,282
233,144,0.1,143,296
234,169,0.15000000000000002,132,266
235,169,0.2,135,263
236,214,0.25,116,229
237,227,0.30000000000000004,106,229
238,235,0.35000000000000003,102,218
239,239,0.4,100,203
240,282,0.45,78,190
241,288,0.5,71,182
242,298,0.55,71,172
243,331,0.6000000000000001,64,141
244,337,0.65,69,128
245,361,0.7000000000000001,50,118
246,384,0.75,49,95
247,404,0.8,33,87
248,409,0.8500000000000001,38,79
249,438,0.9,18,61
250,434,0.9500000000000001,28,47
251,467,1.0,6,35
252,112,0.0,136,332
253,133,0.05,159,275
254,167,0.1,125,286
255,173,0.15000000000000002,128,278
256,182,0.2,141,236
