,alive,bh_ratio,dead,transient
0,200,0.0,115,255
1,217,0.05,116,221
2,221,0.1,107,236
3,223,0.15000000000000002,105,234
4,233,0.2,108,204
5,270,0.25,116,156
6,269,0.30000000000000004,102,166
7,288,0.35000000000000003,77,179
8,300,0.4,87,156
9,296,0.45,83,168
10,322,0.5,60,148
11,340,0.55,64,128
12,333,0.6000000000000001,69,129
13,369,0.65,45,102
14,369,0.7000000000000001,61,105
15,381,0.75,53,87
16,389,0.8,42,86
17,425,0.8500000000000001,33,57
18,418,0.9,23,73
19,443,0.9500000000000001,27,42
20,463,1.0,16,29
21,193,0.0,111,260
22,210,0.05,117,225
23,197,0.1,124,226
24,227,0.15000000000000002,100,228
25,229,0.2,100,220
26,248,0.25,104,189
27,283,0.30000000000000004,92,181
28,289,0.35000000000000003,82,158
29,306,0.4,75,163
30,301,0.45,82,152
31,325,0.5,76,131
32,339,0.55,67,128
33,360,0.6000000000000001,57,111
34,360,0.65,68,100
35,382,0.7000000000000001,49,97
36,382,0.75,43,100
37,416,0.8,40,62
38,423,0.8500000000000001,36,61
39,441,0.9,29,49
40,452,0.9500000000000001,24,39
41,466,1.0,10,32
42,203,0.0,130,244
43,202,0.05,122,224
44,210,0.1,119,223
45,251,0.15000000000000002,121,184
46,251,0.2,99,204
47,275,0.25,110,159
48,269,0.30000000000000004,93,180
49,289,0.35000000000000003,89,173
50,279,0.4,85,164
51,346,0.45,63,129
52,323,0.5,68,151
53,333,0.55,75,126
54,336,0.6000000000000001,73,112
55,377,0.65,40,104
56,383,0.7000000000000001,50,93
57,406,0.75,30,88
58,415,0.8,33,78
59,421,0.8500000000000001,27,64
60,440,0.9,23,53
61,442,0.9500000000000001,25,44
62,457,1.0,17,35
63,175,0.0,136,254
64,215,0.05,140,208
65,223,0.1,106,237
66,216,0.15000000000000002,109,212
67,252,0.2,100,182
68,259,0.25,106,191
69,260,0.30000000000000004,89,200
70,296,0.35000000000000003,87,162
71,326,0.4,69,148
72,315,0.45,80,138
73,333,0.5,69,136
74,328,0.55,69,125
75,349,0.6000000000000001,68,109
76,378,0.65,47,103
77,368,0.7000000000000001,50,101
78,391,0.75,41,91
79,416,0.8,39,65
80,432,0.8500000000000001,36,45
81,428,0.9,28,57
82,440,0.9500000000000001,23,50
83,461,1.0,18,29
84,200,0.0,127,241
85,213,0.05,109,248
86,219,0.1,121,214
87,246,0.15000000000000002,111,201
88,264,0.2,104,186
89,272,0.25,88,191
90,279,0.30000000000000004,84,186
91,269,0.35000000000000003,79,185
92,284,0.4,99,167
93,331,0.45,63,150
94,313,0.5,85,140
95,342,0.55,77,102
96,347,0.6000000000000001,62,123
97,366,0.65,58,93
98,383,0.7000000000000001,46,94
99,402,0.75,44,79
100,406,0.8,37,74
101,435,0.8500000000000001,24,53
102,430,0.9,32,55
103,442,0.9500000000000001,18,50
104,467,1.0,13,25
105,202,0.0,115,243
106,217,0.05,121,236
107,212,0.1,123,223
108,240,0.15000000000000002,115,198
109,236,0.2,113,195
110,256,0.25,86,218
111,277,0.30000000000000004,87,182
112,287,0.35000000000000003,80,172
113,298,0.4,87,160
114,307,0.45,80,149
115,320,0.5,69,149
116,359,0.55,49,126
117,336,0.6000000000000001,67,122
118,373,0.65,54,109
119,367,0.7000000000000001,49,110
120,394,0.75,47,83
121,410,0.8,32,73
122,418,0.8500000000000001,40,59
123,425,0.9,24,67
124,454,0.9500000000000001,21,36
125,461,1.0,15,28
126,204,0.0,135,237
127,209,0.05,125,231
128,217,0.1,112,244
129,226,0.15000000000000002,118,210
130,232,0.2,94,237
131,264,0.25,102,192
132,275,0.30000000000000004,86,183
133,276,0.35000000000000003,95,171
134,307,0.4,74,154
135,316,0.45,74,147
136,336,0.5,67,138
137,347,0.55,70,110
138,349,0.6000000000000001,72,123
139,367,0.65,50,113
140,364,0.7000000000000001,55,109
141,376,0.75,53,93
142,406,0.8,34,80
143,405,0.8500000000000001,31,77
144,427,0.9,29,55
145,451,0.9500000000000001,27,35
146,463,1.0,19,27
147,192,0.0,135,236
148,186,0.05,129,235
149,219,0.1,112,223
150,242,0.15000000000000002,103,218
151,247,0.2,109,199
152,241,0.25,111,207
153,279,0.30000000000000004,94,169
154,292,0.35000000000000003,68,184
155,287,0.4,98,159
156,331,0.45,71,133
157,319,0.5,67,151
158,311,0.55,82,140
159,364,0.6000000000000001,65,99
160,377,0.65,50,100
161,374,0.7000000000000001,49,104
162,402,0.75,38,81
163,413,0.8,45,63
164,413,0.8500000000000001,37,64
165,434,0.9,31,51
166,452,0.9500000000000001,18,40
167,461,1.0,15,29
168,207,0.0,116,246
169,219,0.05,112,242
170,220,0.1,108,226
171,238,0.15000000000000002,106,224
172,248,0.2,99,213
173,275,0.25,102,172
174,275,0.30000000000000004,80,192
175,280,0.35000000000000003,88,174
176,294,0.4,83,164
177,323,0.45,77,142
178,350,0.5,69,119
179,320,0.55,74,148
180,344,0.6000000000000001,64,126
181,365,0.65,55,117
182,387,0.7000000000000001,42,94
183,389,0.75,47,88
184,410,0.8,35,75
185,411,0.8500000000000001,40,64
