,alive,bh_ratio,dead,transient
0,206,0.0,124,224
1,198,0.05,120,230
2,220,0.1,118,205
3,256,0.15000000000000002,96,211
4,254,0.2,100,183
5,250,0.25,93,202
6,269,0.30000000000000004,95,182
7,285,0.35000000000000003,84,179
8,313,0.4,64,161
9,321,0.45,66,153
10,324,0.5,60,145
11,354,0.55,57,126
12,341,0.6000000000000001,60,143
13,376,0.65,47,103
14,381,0.7000000000000001,53,89
15,389,0.75,44,84
16,402,0.8,42,85
17,420,0.8500000000000001,33,66
18,429,0.9,26,61
19,453,0.9500000000000001,15,35
20,455,1.0,19,35
21,210,0.0,119,242
22,225,0.05,113,225
23,212,0.1,116,229
24,216,0.15000000000000002,122,215
25,242,0.2,96,215
26,269,0.25,94,188
27,278,0.30000000000000004,93,177
28,300,0.35000000000000003,94,139
29,299,0.4,72,165
30,304,0.45,81,148
31,325,0.5,75,140
32,338,0.55,66,128
33,365,0.6000000000000001,64,100
34,360,0.65,54,105
35,382,0.7000000000000001,58,82
36,385,0.75,49,80
37,406,0.8,33,79
38,419,0.8500000000000001,29,74
39,420,0.9,26,64
40,447,0.9500000000000001,26,37
41,459,1.0,15,34
42,192,0.0,123,257
43,223,0.05,111,240
44,205,0.1,118,233
45,232,0.15000000000000002,125,190
46,231,0.2,120,202
47,268,0.25,86,184
48,279,0.30000000000000004,92,187
49,288,0.35000000000000003,88,186
50,289,0.4,103,147
51,308,0.45,83,149
52,311,0.5,71,150
53,340,0.55,76,112
54,364,0.6000000000000001,52,113
55,385,0.65,52,86
56,372,0.7000000000000001,56,98
57,404,0.75,40,84
58,384,0.8,51,84
59,422,0.8500000000000001,28,66
60,439,0.9,27,51
61,437,0.9500000000000001,23,50
62,454,1.0,18,35
63,201,0.0,121,241
64,192,0.05,112,254
65,222,0.1,107,221
66,223,0.15000000000000002,131,191
67,255,0.2,91,207
68,258,0.25,87,201
69,279,0.30000000000000004,97,167
70,283,0.35000000000000003,75,180
71,307,0.4,84,160
72,336,0.45,66,142
73,327,0.5,67,139
74,366,0.55,62,109
75,342,0.6000000000000001,69,129
76,365,0.65,56,101
77,382,0.7000000000000001,48,98
78,394,0.75,39,85
79,403,0.8,39,79
80,407,0.8500000000000001,40,69
81,425,0.9,21,61
82,450,0.9500000000000001,23,43
83,450,1.0,18,41
84,203,0.0,135,220
85,217,0.05,122,229
86,220,0.1,132,209
87,212,0.15000000000000002,130,207
88,242,0.2,95,217
89,250,0.25,104,180
90,286,0.30000000000000004,84,169
91,295,0.35000000000000003,68,172
