,alive,bh_ratio,dead,transient
0,188,0.0,130,244
1,200,0.05,126,236
2,202,0.1,111,255
3,238,0.15000000000000002,98,229
4,249,0.2,115,193
5,264,0.25,94,196
6,276,0.30000000000000004,95,182
7,312,0.35000000000000003,75,155
8,282,0.4,85,169
9,313,0.45,71,144
10,302,0.5,85,146
11,346,0.55,52,141
12,347,0.6000000000000001,71,108
13,366,0.65,45,118
14,380,0.7000000000000001,53,100
15,396,0.75,42,90
16,385,0.8,47,87
17,428,0.8500000000000001,27,63
18,440,0.9,23,52
19,451,0.9500000000000001,17,38
20,458,1.0,18,32
21,180,0.0,120,266
22,197,0.05,124,234
23,219,0.1,111,225
24,221,0.15000000000000002,116,209
25,225,0.2,109,216
26,252,0.25,110,194
27,280,0.30000000000000004,97,170
28,287,0.35000000000000003,85,167
29,303,0.4,86,146
30,311,0.45,62,162
31,334,0.5,77,117
32,340,0.55,68,125
33,346,0.6000000000000001,72,114
34,381,0.65,44,103
35,361,0.7000000000000001,54,107
36,386,0.75,55,80
37,407,0.8,31,79
38,406,0.8500000000000001,41,71
39,424,0.9,30,56
40,444,0.9500000000000001,18,46
41,457,1.0,17,45
42,195,0.0,117,261
43,206,0.05,131,230
44,219,0.1,118,214
45,227,0.15000000000000002,127,196
46,255,0.2,94,193
47,253,0.25,91,198
48,266,0.30000000000000004,94,191
49,289,0.35000000000000003,82,175
50,293,0.4,79,168
51,317,0.45,60,163
52,321,0.5,65,140
53,334,0.55,63,132
54,343,0.6000000000000001,65,118
55,381,0.65,50,97
56,384,0.7000000000000001,46,102
57,397,0.75,49,69
58,401,0.8,43,73
59,416,0.8500000000000001,33,65
60,430,0.9,37,55
61,447,0.9500000000000001,29,38
62,460,1.0,18,31
63,224,0.0,114,242
64,210,0.05,108,242
65,245,0.1,104,216
66,257,0.15000000000000002,109,195
67,264,0.2,96,190
68,272,0.25,90,181
69,280,0.30000000000000004,90,176
70,285,0.35000000000000003,87,180
71,287,0.4,77,174
72,301,0.45,83,151
73,312,0.5,87,136
74,332,0.55,63,138
75,358,0.6000000000000001,52,118
76,355,0.65,58,114
77,378,0.7000000000000001,42,110
78,394,0.75,46,88
79,394,0.8,39,84
80,410,0.8500000000000001,36,70
81,427,0.9,35,49
82,449,0.9500000000000001,25,38
83,449,1.0,21,39
84,185,0.0,120,265
