,alive,bh_ratio,dead,transient
0,190,0.0,123,255
1,219,0.05,108,224
2,243,0.1,93,231
3,231,0.15000000000000002,113,201
4,240,0.2,108,204
5,258,0.25,103,179
6,269,0.30000000000000004,83,196
7,298,0.35000000000000003,87,163
8,299,0.4,87,164
9,329,0.45,67,147
10,334,0.5,76,129
11,342,0.55,68,121
12,360,0.6000000000000001,55,119
13,366,0.65,50,116
14,380,0.7000000000000001,54,89
15,374,0.75,63,92
16,404,0.8,35,80
17,416,0.8500000000000001,35,64
18,416,0.9,40,52
19,436,0.9500000000000001,28,38
20,450,1.0,23,36
21,202,0.0,117,245
22,202,0.05,117,243
23,227,0.1,103,223
24,224,0.15000000000000002,115,215
25,244,0.2,93,221
26,271,0.25,94,184
27,273,0.30000000000000004,97,169
28,285,0.35000000000000003,85,173
29,291,0.4,79,167
30,300,0.45,86,165
31,314,0.5,80,142
32,355,0.55,64,118
33,348,0.6000000000000001,72,111
34,369,0.65,59,102
35,373,0.7000000000000001,52,106
36,389,0.75,42,94
37,411,0.8,29,86
38,424,0.8500000000000001,33,52
39,434,0.9,24,61
40,451,0.9500000000000001,25,41
41,453,1.0,12,44
42,208,0.0,126,235
43,217,0.05,120,220
44,234,0.1,112,224
45,234,0.15000000000000002,104,224
46,265,0.2,91,197
47,266,0.25,92,188
48,267,0.30000000000000004,94,172
49,265,0.35000000000000003,100,178
50,291,0.4,75,173
51,322,0.45,72,145
52,316,0.5,83,132
53,341,0.55,69,127
54,340,0.6000000000000001,64,125
55,360,0.65,58,110
56,383,0.7000000000000001,54,89
57,386,0.75,47,91
58,400,0.8,36,78
59,407,0.8500000000000001,27,86
60,435,0.9,25,56
61,440,0.9500000000000001,22,50
62,464,1.0,12,32
63,195,0.0,129,244
64,208,0.05,112,235
65,231,0.1,101,227
66,244,0.15000000000000002,104,222
67,247,0.2,109,197
68,270,0.25,100,181
69,257,0.30000000000000004,112,168
70,288,0.35000000000000003,86,176
71,316,0.4,68,159
72,305,0.45,80,154
73,334,0.5,68,129
74,331,0.55,68,131
75,353,0.6000000000000001,58,119
76,374,0.65,55,96
77,382,0.7000000000000001,48,81
78,416,0.75,36,80
79,407,0.8,38,69
80,422,0.8500000000000001,37,51
81,446,0.9,17,47
82,459,0.9500000000000001,14,42
83,461,1.0,15,37
84,201,0.0,121,241
