,alive,bh_ratio,dead,transient
0,186,0.0,124,255
1,221,0.05,107,244
2,224,0.1,123,224
3,251,0.15000000000000002,91,210
4,244,0.2,101,204
5,269,0.25,89,199
6,279,0.30000000000000004,89,184
7,267,0.35000000000000003,91,177
8,300,0.4,74,166
9,285,0.45,84,156
10,319,0.5,67,147
11,347,0.55,60,130
12,341,0.6000000000000001,78,106
13,380,0.65,50,100
14,393,0.7000000000000001,42,87
15,397,0.75,39,88
16,391,0.8,38,81
17,417,0.8500000000000001,26,74
18,445,0.9,20,46
19,448,0.9500000000000001,23,43
20,461,1.0,10,39
21,193,0.0,118,253
22,186,0.05,140,235
23,228,0.1,96,234
24,231,0.15000000000000002,120,210
25,239,0.2,112,199
26,265,0.25,111,173
27,291,0.30000000000000004,95,159
28,299,0.35000000000000003,76,164
29,306,0.4,82,151
30,319,0.45,67,150
31,325,0.5,69,138
32,344,0.55,68,114
33,363,0.6000000000000001,61,104
34,375,0.65,54,106
35,390,0.7000000000000001,38,100
36,388,0.75,44,90
37,402,0.8,43,67
38,417,0.8500000000000001,36,65
39,437,0.9,32,52
40,441,0.9500000000000001,26,45
41,467,1.0,8,38
42,197,0.0,133,233
43,228,0.05,116,219
44,237,0.1,99,233
45,230,0.15000000000000002,107,216
46,279,0.2,91,200
47,261,0.25,93,190
48,287,0.30000000000000004,86,168
49,306,0.35000000000000003,86,152
50,298,0.4,85,170
51,307,0.45,75,152
52,328,0.5,65,145
53,340,0.55,66,128
54,344,0.6000000000000001,52,127
55,360,0.65,48,121
56,384,0.7000000000000001,41,103
57,393,0.75,48,89
58,400,0.8,38,78
59,427,0.8500000000000001,37,52
60,430,0.9,24,57
61,438,0.9500000000000001,20,54
62,454,1.0,18,35
63,171,0.0,127,258
64,197,0.05,138,233
65,207,0.1,114,229
66,233,0.15000000000000002,96,230
67,242,0.2,94,205
68,252,0.25,100,201
69,274,0.30000000000000004,91,172
70,286,0.35000000000000003,90,169
71,286,0.4,89,171
72,299,0.45,72,170
73,311,0.5,70,154
74,347,0.55,64,120
75,362,0.6000000000000001,55,124
76,381,0.65,46,105
77,375,0.7000000000000001,53,91
78,402,0.75,44,76
79,414,0.8,38,74
80,419,0.8500000000000001,35,66
81,433,0.9,33,48
82,457,0.9500000000000001,16,42
83,455,1.0,18,35
84,207,0.0,132,226
85,227,0.05,113,221
86,228,0.1,98,233
87,243,0.15000000000000002,112,217
88,245,0.2,92,208
89,255,0.25,119,171
90,275,0.30000000000000004,88,186
91,280,0.35000000000000003,69,203
92,317,0.4,81,144
93,305,0.45,80,146
94,319,0.5,78,137
95,336,0.55,53,139
96,354,0.6000000000000001,53,119
97,367,0.65,47,118
98,392,0.7000000000000001,43,95
99,390,0.75,49,84
100,410,0.8,38,73
101,421,0.8500000000000001,24,79
102,429,0.9,28,59
103,448,0.9500000000000001,23,39
104,456,1.0,14,40
105,213,0.0,114,251
106,241,0.05,102,233
107,221,0.1,112,230
108,246,0.15000000000000002,100,210
109,256,0.2,111,195
110,255,0.25,105,184
111,266,0.30000000000000004,110,175
112,267,0.35000000000000003,97,179
113,295,0.4,91,156
114,297,0.45,83,144
115,343,0.5,70,118
116,337,0.55,73,120
117,346,0.6000000000000001,66,117
118,365,0.65,56,101
119,394,0.7000000000000001,46,86
120,374,0.75,55,87
121,394,0.8,42,80
122,432,0.8500000000000001,27,56
123,437,0.9,33,43
124,441,0.9500000000000001,27,44
125,463,1.0,13,31
