,alive,bh_ratio,dead,transient
0,175,0.0,135,238
1,209,0.05,121,242
2,241,0.1,116,201
3,236,0.15000000000000002,111,204
4,261,0.2,98,193
5,267,0.25,106,174
6,267,0.30000000000000004,88,195
7,291,0.35000000000000003,88,155
8,291,0.4,85,160
9,312,0.45,91,142
10,336,0.5,58,144
11,331,0.55,57,156
12,357,0.6000000000000001,62,104
13,383,0.65,51,91
14,369,0.7000000000000001,50,111
15,405,0.75,35,90
16,408,0.8,40,67
17,430,0.8500000000000001,26,56
18,418,0.9,39,61
19,449,0.9500000000000001,17,49
20,465,1.0,12,31
21,181,0.0,112,271
22,213,0.05,110,236
23,235,0.1,108,215
24,233,0.15000000000000002,104,219
25,257,0.2,102,203
26,253,0.25,102,193
27,269,0.30000000000000004,104,171
28,298,0.35000000000000003,83,169
29,302,0.4,86,161
30,305,0.45,81,143
31,330,0.5,70,131
32,329,0.55,71,135
33,346,0.6000000000000001,56,130
34,388,0.65,44,99
35,375,0.7000000000000001,48,110
36,387,0.75,40,98
37,418,0.8,30,69
38,403,0.8500000000000001,37,74
39,421,0.9,35,54
40,447,0.9500000000000001,22,44
41,450,1.0,22,40
42,189,0.0,129,248
43,190,0.05,127,237
44,218,0.1,100,238
45,227,0.15000000000000002,99,225
46,278,0.2,96,197
47,280,0.25,87,200
48,245,0.30000000000000004,87,204
49,266,0.35000000000000003,94,174
50,294,0.4,82,169
51,316,0.45,68,153
52,312,0.5,71,146
53,330,0.55,70,141
54,358,0.6000000000000001,57,117
55,377,0.65,45,101
56,378,0.7000000000000001,52,97
57,396,0.75,37,94
58,407,0.8,34,81
59,433,0.8500000000000001,20,70
60,428,0.9,31,53
61,431,0.9500000000000001,27,51
62,462,1.0,12,34
63,177,0.0,129,238
64,196,0.05,126,242
65,244,0.1,102,214
66,234,0.15000000000000002,107,219
67,240,0.2,93,221
68,260,0.25,97,193
69,271,0.30000000000000004,93,180
70,293,0.35000000000000003,86,157
71,312,0.4,84,151
72,316,0.45,75,154
73,318,0.5,67,145
74,355,0.55,57,122
75,352,0.6000000000000001,66,115
76,383,0.65,40,115
77,400,0.7000000000000001,37,86
78,398,0.75,39,84
79,408,0.8,40,75
80,412,0.8500000000000001,33,70
81,415,0.9,34,72
82,449,0.9500000000000001,23,44
83,461,1.0,19,29
84,191,0.0,126,247
85,195,0.05,120,235
86,239,0.1,106,209
87,208,0.15000000000000002,123,218
88,275,0.2,89,194
89,242,0.25,113,185
90,258,0.30000000000000004,103,177
91,294,0.35000000000000003,87,170
92,297,0.4,80,174
93,308,0.45,73,163
94,332,0.5,73,137
95,357,0.55,63,120
96,355,0.6000000000000001,62,118
97,361,0.65,43,136
98,364,0.7000000000000001,49,118
99,395,0.75,34,88
100,392,0.8,44,84
101,424,0.8500000000000001,32,54
102,428,0.9,23,59
