,alive,bh_ratio,dead,transient
0,207,0.0,119,229
1,178,0.05,131,248
2,219,0.1,108,217
3,241,0.15000000000000002,113,192
4,257,0.2,102,191
5,279,0.25,90,184
6,288,0.30000000000000004,94,180
7,298,0.35000000000000003,89,148
8,305,0.4,80,156
9,284,0.45,78,178
10,338,0.5,70,129
11,356,0.55,61,120
12,346,0.6000000000000001,59,128
13,346,0.65,75,104
14,371,0.7000000000000001,49,104
15,403,0.75,36,83
16,403,0.8,34,78
17,417,0.8500000000000001,36,59
18,426,0.9,28,58
19,453,0.9500000000000001,24,36
20,461,1.0,18,28
21,185,0.0,133,244
22,204,0.05,117,233
23,204,0.1,112,246
24,244,0.15000000000000002,111,189
25,249,0.2,94,200
26,259,0.25,106,190
27,266,0.30000000000000004,96,186
28,288,0.35000000000000003,98,156
29,298,0.4,73,165
30,310,0.45,79,146
31,314,0.5,68,152
32,346,0.55,65,127
33,355,0.6000000000000001,57,123
34,376,0.65,42,124
35,374,0.7000000000000001,62,85
36,392,0.75,45,84
37,404,0.8,38,76
38,422,0.8500000000000001,34,62
39,423,0.9,38,52
40,455,0.9500000000000001,15,36
41,464,1.0,15,31
42,196,0.0,120,243
43,207,0.05,128,220
44,189,0.1,117,241
45,229,0.15000000000000002,114,220
46,229,0.2,114,214
47,256,0.25,95,200
48,243,0.30000000000000004,107,197
49,289,0.35000000000000003,94,167
50,286,0.4,91,172
51,327,0.45,67,147
52,303,0.5,82,148
53,360,0.55,57,117
54,365,0.6000000000000001,55,110
55,360,0.65,47,123
56,368,0.7000000000000001,59,97
57,391,0.75,45,83
58,395,0.8,53,70
59,418,0.8500000000000001,30,70
60,441,0.9,22,54
61,442,0.9500000000000001,26,40
62,458,1.0,15,36
63,191,0.0,130,228
64,214,0.05,116,240
65,227,0.1,126,196
66,228,0.15000000000000002,110,211
67,218,0.2,111,220
68,260,0.25,85,205
69,268,0.30000000000000004,96,176
70,289,0.35000000000000003,90,166
71,298,0.4,83,144
72,306,0.45,72,160
73,325,0.5,83,126
74,353,0.55,70,113
75,375,0.6000000000000001,54,103
76,371,0.65,41,118
77,385,0.7000000000000001,58,74
78,392,0.75,49,75
79,392,0.8,49,80
80,416,0.8500000000000001,27,69
81,424,0.9,32,56
