,bh_ratio,alive,dead,transient
0,0.0,193,129,247
1,0.05,196,110,257
2,0.1,227,89,236
3,0.15000000000000002,238,107,207
4,0.2,237,106,207
5,0.25,273,90,191
6,0.30000000000000004,277,94,168
7,0.35000000000000003,294,81,162
8,0.4,310,82,159
9,0.45,326,73,149
10,0.5,334,56,145
11,0.55,342,70,124
12,0.6000000000000001,351,58,116
13,0.65,370,52,104
14,0.7000000000000001,376,36,118
15,0.75,399,45,75
16,0.8,404,39,76
17,0.8500000000000001,415,36,65
18,0.9,424,30,62
19,0.9500000000000001,451,21,39
20,1.0,457,18,30
21,0.0,187,126,247
22,0.05,202,127,225
23,0.1,227,110,229
24,0.15000000000000002,222,125,209
25,0.2,266,92,197
26,0.25,259,106,186
27,0.30000000000000004,272,97,190
28,0.35000000000000003,263,100,173
29,0.4,309,77,154
30,0.45,312,76,142
31,0.5,331,68,140
32,0.55,346,63,124
33,0.6000000000000001,340,66,126
34,0.65,368,53,115
35,0.7000000000000001,381,47,96
36,0.75,391,45,78
37,0.8,404,32,85
38,0.8500000000000001,427,27,79
39,0.9,434,26,52
40,0.9500000000000001,438,27,45
41,1.0,453,15,40
42,0.0,205,113,250
43,0.05,205,137,212
44,0.1,214,114,229
45,0.15000000000000002,242,97,222
46,0.2,218,117,199
47,0.25,252,89,206
48,0.30000000000000004,263,100,185
49,0.35000000000000003,288,80,165
50,0.4,297,75,170
51,0.45,323,65,154
52,0.5,322,72,129
53,0.55,354,64,112
54,0.6000000000000001,355,56,123
55,0.65,369,44,113
56,0.7000000000000001,368,49,114
57,0.75,393,45,81
58,0.8,402,35,84
59,0.8500000000000001,427,28,64
60,0.9,439,18,59
61,0.9500000000000001,445,19,48
62,1.0,452,21,34
63,0.0,179,124,262
64,0.05,213,112,238
65,0.1,210,119,222
66,0.15000000000000002,237,107,207
67,0.2,271,96,204
68,0.25,263,90,197
69,0.30000000000000004,266,94,179
70,0.35000000000000003,289,92,167
71,0.4,312,82,147
72,0.45,318,85,133
73,0.5,316,75,139
74,0.55,333,80,112
75,0.6000000000000001,357,59,114
76,0.65,376,42,123
77,0.7000000000000001,380,56,94
78,0.75,387,36,101
79,0.8,397,40,83
80,0.8500000000000001,413,36,66
81,0.9,434,29,44
82,0.9500000000000001,438,27,46
83,1.0,459,22,28
84,0.0,215,112,246
85,0.05,204,131,219
86,0.1,221,117,214
87,0.15000000000000002,230,103,217
88,0.2,244,94,208
89,0.25,251,93,199
90,0.30000000000000004,280,74,194
91,0.35000000000000003,278,100,164
92,0.4,299,77,164
93,0.45,315,72,149
94,0.5,336,63,133
95,0.55,338,71,126
96,0.6000000000000001,344,61,123
97,0.65,363,55,106
98,0.7000000000000001,375,47,98
99,0.75,389,50,88
100,0.8,396,47,71
101,0.8500000000000001,421,34,64
102,0.9,435,22,54
103,0.9500000000000001,436,29,46
104,1.0,455,19,38
105,0.0,198,130,237
106,0.05,216,108,234
107,0.1,194,123,230
108,0.15000000000000002,223,116,210
109,0.2,267,91,188
110,0.25,256,87,208
111,0.30000000000000004,279,93,177
112,0.35000000000000003,299,86,169
113,0.4,309,75,153
114,0.45,300,76,153
115,0.5,316,68,155
116,0.55,337,69,119
117,0.6000000000000001,343,66,126
118,0.65,368,49,107
119,0.7000000000000001,359,64,102
120,0.75,365,60,96
121,0.8,408,37,69
122,0.8500000000000001,420,36,66
123,0.9,432,36,48
124,0.9500000000000001,442,21,49
125,1.0,462,12,41
126,0.0,194,126,249
127,0.05,215,116,226
128,0.1,224,126,203
129,0.15000000000000002,239,104,213
130,0.2,250,94,217
131,0.25,255,110,189
132,0.30000000000000004,270,87,182
133,0.35000000000000003,286,100,151
134,0.4,294,77,171
135,0.45,310,78,151
136,0.5,345,60,125
137,0.55,331,65,133
138,0.6000000000000001,346,62,123
139,0.65,366,48,120
140,0.7000000000000001,370,52,103
141,0.75,373,50,102
142,0.8,409,40,73
143,0.8500000000000001,413,33,67
144,0.9,425,23,72
145,0.9500000000000001,448,21,47
146,1.0,450,21,35
147,0.0,199,116,252
148,0.05,202,115,241
149,0.1,221,113,227
150,0.15000000000000002,236,97,230
151,0.2,260,106,190
152,0.25,240,105,207
153,0.30000000000000004,282,83,185
154,0.35000000000000003,295,79,168
155,0.4,294,83,171
156,0.45,305,81,149
157,0.5,333,68,150
158,0.55,359,68,111
159,0.6000000000000001,334,72,123
160,0.65,364,57,108
161,0.7000000000000001,378,51,92
162,0.75,410,35,75
163,0.8,400,40,81
164,0.8500000000000001,424,32,63
165,0.9,446,25,45
166,0.9500000000000001,438,30,43
167,1.0,468,11,31
168,0.0,198,114,251
169,0.05,205,113,239
170,0.1,229,112,215
171,0.15000000000000002,242,98,221
172,0.2,265,94,204
173,0.25,253,102,199
174,0.30000000000000004,293,76,181
175,0.35000000000000003,293,94,169
176,0.4,297,70,169
177,0.45,325,59,158
178,0.5,331,72,134
179,0.55,328,83,112
180,0.6000000000000001,351,52,130
181,0.65,369,51,109
182,0.7000000000000001,367,51,108
183,0.75,390,37,94
184,0.8,400,42,76
185,0.8500000000000001,419,33,64
186,0.9,430,32,53
187,0.9500000000000001,437,29,44
188,1.0,470,14,27
189,0.0,197,116,251
190,0.05,202,104,256
191,0.1,224,105,223
192,0.15000000000000002,213,120,211
193,0.2,264,105,194
194,0.25,244,113,202
195,0.30000000000000004,265,98,185
196,0.35000000000000003,305,84,151
197,0.4,317,74,158
198,0.45,313,86,142
199,0.5,319,78,133
200,0.55,345,69,127
201,0.6000000000000001,331,58,146
202,0.65,372,36,118
203,0.7000000000000001,388,43,96
204,0.75,390,38,102
205,0.8,397,48,73
206,0.8500000000000001,406,42,62
207,0.9,414,39,58
208,0.9500000000000001,449,19,39
209,1.0,457,15,35
210,0.0,213,125,238
211,0.05,230,107,234
212,0.1,222,114,227
213,0.15000000000000002,245,96,213
214,0.2,244,123,183
215,0.25,259,109,193
216,0.30000000000000004,246,90,209
217,0.35000000000000003,302,75,167
218,0.4,305,80,161
219,0.45,327,72,137
220,0.5,306,83,146
221,0.55,347,57,124
222,0.6000000000000001,341,63,129
223,0.65,389,38,106
224,0.7000000000000001,390,44,99
225,0.75,393,39,92
226,0.8,384,48,92
227,0.8500000000000001,403,33,81
228,0.9,445,24,48
229,0.9500000000000001,445,26,34
230,1.0,451,21,36
231,0.0,189,126,245
232,0.05,200,122,248
233,0.1,209,120,224
234,0.15000000000000002,226,119,216
235,0.2,267,84,208
236,0.25,272,82,182
237,0.30000000000000004,263,94,189
238,0.35000000000000003,289,90,166
239,0.4,284,78,195
240,0.45,319,70,157
241,0.5,326,62,145
242,0.55,334,79,118
243,0.6000000000000001,347,61,121
244,0.65,356,64,110
245,0.7000000000000001,390,50,91
246,0.75,397,36,91
247,0.8,410,31,81
248,0.8500000000000001,416,31,69
249,0.9,443,24,47
250,0.9500000000000001,447,23,42
251,1.0,466,15,30
252,0.0,192,126,246
253,0.05,212,120,234
254,0.1,239,113,216
255,0.15000000000000002,246,112,205
256,0.2,244,119,185
257,0.25,264,107,177
258,0.30000000000000004,296,99,155
259,0.35000000000000003,282,82,171
260,0.4,309,76,161
261,0.45,308,79,155
262,0.5,321,81,137
263,0.55,328,73,129
264,0.6000000000000001,344,72,122
265,0.65,354,47,132
266,0.7000000000000001,374,49,103
267,0.75,388,42,93
268,0.8,399,43,73
269,0.8500000000000001,433,30,53
270,0.9,423,31,66
271,0.9500000000000001,448,24,35
272,1.0,457,17,34
273,0.0,183,128,257
274,0.05,217,105,248
275,0.1,215,123,214
276,0.15000000000000002,235,105,214
277,0.2,243,114,187
278,0.25,275,87,198
279,0.30000000000000004,256,89,197
280,0.35000000000000003,276,94,171
281,0.4,290,88,159
282,0.45,302,82,149
283,0.5,326,68,143
284,0.55,324,74,134
285,0.6000000000000001,367,55,108
286,0.65,355,59,108
287,0.7000000000000001,373,56,93
288,0.75,401,44,87
289,0.8,408,29,84
290,0.8500000000000001,429,28,60
291,0.9,435,28,57
292,0.9500000000000001,457,15,35
293,1.0,463,19,23
294,0.0,219,117,230
295,0.05,205,113,243
296,0.1,210,130,221
297,0.15000000000000002,220,106,226
298,0.2,229,108,207
299,0.25,262,113,182
300,0.30000000000000004,267,81,199
301,0.35000000000000003,281,87,166
302,0.4,306,73,168
303,0.45,310,79,155
304,0.5,328,73,134
305,0.55,347,64,117
306,0.6000000000000001,343,70,137
307,0.65,364,52,107
308,0.7000000000000001,379,51,96
309,0.75,397,41,84
310,0.8,402,40,70
311,0.8500000000000001,413,36,71
312,0.9,419,30,60
313,0.9500000000000001,452,22,34
314,1.0,456,19,33
315,0.0,213,131,227
316,0.05,216,99,254
317,0.1,217,126,226
318,0.15000000000000002,231,112,217
319,0.2,254,96,202
320,0.25,263,77,209
321,0.30000000000000004,277,89,191
322,0.35000000000000003,290,99,160
323,0.4,292,73,177
324,0.45,316,71,153
325,0.5,322,80,134
326,0.55,344,68,125
327,0.6000000000000001,369,59,99
328,0.65,350,51,129
329,0.7000000000000001,377,44,107
330,0.75,395,46,82
331,0.8,390,45,86
332,0.8500000000000001,436,22,60
333,0.9,436,22,59
334,0.9500000000000001,439,25,47
335,1.0,462,13,34
336,0.0,209,111,249
337,0.05,218,132,213
338,0.1,226,112,224
339,0.15000000000000002,220,108,234
340,0.2,227,115,210
341,0.25,263,101,182
342,0.30000000000000004,263,110,168
343,0.35000000000000003,286,88,164
344,0.4,300,73,171
345,0.45,308,76,154
346,0.5,333,70,139
347,0.55,324,74,120
348,0.6000000000000001,360,56,121
349,0.65,365,53,107
350,0.7000000000000001,386,45,90
351,0.75,377,42,102
352,0.8,389,43,85
353,0.8500000000000001,424,28,74
354,0.9,438,22,55
355,0.9500000000000001,442,25,44
356,1.0,461,10,39
357,0.0,187,125,251
358,0.05,214,112,240
359,0.1,207,130,217
360,0.15000000000000002,228,111,203
361,0.2,244,111,198
362,0.25,256,95,193
363,0.30000000000000004,263,93,184
364,0.35000000000000003,277,82,176
365,0.4,306,83,152
366,0.45,320,64,152
367,0.5,306,81,152
368,0.55,352,59,124
369,0.6000000000000001,379,43,113
370,0.65,360,61,109
371,0.7000000000000001,378,48,103
372,0.75,380,49,98
373,0.8,428,27,65
374,0.8500000000000001,403,36,76
375,0.9,428,35,46
376,0.9500000000000001,443,23,44
377,1.0,463,8,43
378,0.0,177,127,249
379,0.05,224,110,222
380,0.1,212,114,227
381,0.15000000000000002,237,101,210
382,0.2,241,94,213
383,0.25,262,110,191
384,0.30000000000000004,285,82,185
385,0.35000000000000003,287,79,175
386,0.4,277,93,163
387,0.45,296,86,162
388,0.5,316,73,143
389,0.55,347,72,124
390,0.6000000000000001,369,42,123
391,0.65,384,41,97
392,0.7000000000000001,386,49,90
393,0.75,415,39,74
394,0.8,414,45,63
395,0.8500000000000001,431,29,59
396,0.9,440,23,56
397,0.9500000000000001,447,21,40
398,1.0,459,20,31
399,0.0,197,123,239
400,0.05,221,109,242
401,0.1,248,103,219
402,0.15000000000000002,211,115,222
403,0.2,231,107,205
404,0.25,258,93,196
405,0.30000000000000004,283,90,173
406,0.35000000000000003,305,83,167
407,0.4,299,88,158
408,0.45,334,72,135
409,0.5,319,86,133
410,0.55,339,68,123
411,0.6000000000000001,341,65,128
412,0.65,355,67,99
413,0.7000000000000001,375,51,110
414,0.75,404,43,79
415,0.8,399,44,73
416,0.8500000000000001,414,41,59
417,0.9,425,28,57
418,0.9500000000000001,446,19,51
419,1.0,456,16,42
420,0.0,201,121,243
421,0.05,196,119,233
422,0.1,214,101,240
423,0.15000000000000002,235,99,216
424,0.2,244,110,204
425,0.25,275,81,209
426,0.30000000000000004,260,94,185
427,0.35000000000000003,290,90,159
428,0.4,301,84,154
429,0.45,315,84,136
430,0.5,301,71,162
431,0.55,324,72,136
432,0.6000000000000001,357,59,113
433,0.65,357,48,113
434,0.7000000000000001,385,45,92
435,0.75,374,48,93
436,0.8,408,34,72
437,0.8500000000000001,417,31,64
438,0.9,429,28,54
439,0.9500000000000001,431,30,51
440,1.0,456,20,35
441,0.0,189,122,241
442,0.05,207,128,228
443,0.1,198,126,232
444,0.15000000000000002,232,105,229
445,0.2,244,86,230
446,0.25,261,108,185
447,0.30000000000000004,265,103,185
448,0.35000000000000003,284,93,168
449,0.4,299,82,167
450,0.45,308,81,146
451,0.5,338,63,128
452,0.55,325,66,151
453,0.6000000000000001,360,54,119
454,0.65,379,49,102
455,0.7000000000000001,398,41,89
456,0.75,389,34,91
457,0.8,401,40,87
458,0.8500000000000001,423,33,64
459,0.9,419,39,57
460,0.9500000000000001,445,22,41
461,1.0,453,16,43
462,0.0,192,129,240
463,0.05,202,134,207
464,0.1,207,117,228
465,0.15000000000000002,230,107,206
466,0.2,240,98,205
467,0.25,256,107,192
468,0.30000000000000004,285,81,185
469,0.35000000000000003,276,83,175
470,0.4,303,87,149
471,0.45,301,81,153
472,0.5,337,69,128
473,0.55,336,56,140
474,0.6000000000000001,381,45,109
475,0.65,368,48,111
476,0.7000000000000001,380,47,89
477,0.75,389,40,94
478,0.8,405,31,84
479,0.8500000000000001,413,42,66
480,0.9,410,34,74
481,0.9500000000000001,447,22,46
482,1.0,463,19,30
483,0.0,181,115,268
484,0.05,192,133,230
485,0.1,223,101,234
486,0.15000000000000002,240,110,209
487,0.2,237,88,214
488,0.25,266,95,177
489,0.30000000000000004,279,81,198
490,0.35000000000000003,299,80,164
491,0.4,282,96,154
492,0.45,320,77,144
493,0.5,335,61,148
494,0.55,343,73,118
495,0.6000000000000001,366,48,126
496,0.65,364,58,107
497,0.7000000000000001,377,50,97
498,0.75,402,44,79
499,0.8,403,41,76
500,0.8500000000000001,413,32,67
501,0.9,420,30,66
502,0.9500000000000001,446,29,33
503,1.0,459,21,29
504,0.0,203,129,239
505,0.05,208,114,245
506,0.1,217,113,226
507,0.15000000000000002,206,101,243
508,0.2,253,105,193
509,0.25,254,92,202
510,0.30000000000000004,288,85,183
511,0.35000000000000003,273,99,173
512,0.4,305,78,157
513,0.45,325,68,150
514,0.5,346,63,131
515,0.55,358,63,117
516,0.6000000000000001,354,51,125
517,0.65,361,55,109
518,0.7000000000000001,385,47,91
519,0.75,385,47,94
520,0.8,397,31,87
521,0.8500000000000001,414,34,83
522,0.9,427,32,54
523,0.9500000000000001,447,24,39
524,1.0,454,16,41
525,0.0,189,120,258
526,0.05,200,133,232
527,0.1,217,111,218
528,0.15000000000000002,215,121,219
529,0.2,257,92,201
530,0.25,277,89,185
531,0.30000000000000004,273,96,177
532,0.35000000000000003,279,92,166
533,0.4,307,74,173
534,0.45,318,85,139
535,0.5,324,67,155
536,0.55,345,68,123
537,0.6000000000000001,354,61,113
538,0.65,369,42,123
539,0.7000000000000001,390,42,91
540,0.75,383,43,99
541,0.8,399,44,82
542,0.8500000000000001,415,27,78
543,0.9,417,39,61
544,0.9500000000000001,438,26,46
545,1.0,462,16,28
546,0.0,196,123,233
547,0.05,199,126,230
