,alive,bh_ratio,dead,transient
0,186,0.0,119,257
1,222,0.05,118,223
2,217,0.1,117,215
3,246,0.15000000000000002,94,212
4,229,0.2,115,216
5,257,0.25,106,190
6,285,0.30000000000000004,89,168
7,299,0.35000000000000003,81,161
8,314,0.4,79,150
9,323,0.45,71,142
10,308,0.5,70,152
11,339,0.55,64,127
12,353,0.6000000000000001,57,127
13,362,0.65,54,111
14,376,0.7000000000000001,47,103
15,393,0.75,41,90
16,417,0.8,35,68
17,415,0.8500000000000001,35,69
18,434,0.9,27,53
19,438,0.9500000000000001,19,52
20,459,1.0,14,29
21,173,0.0,127,247
22,202,0.05,106,255
23,225,0.1,101,254
24,224,0.15000000000000002,120,221
25,248,0.2,106,207
26,272,0.25,99,175
27,286,0.30000000000000004,88,168
28,282,0.35000000000000003,98,169
29,299,0.4,73,161
30,324,0.45,68,148
31,324,0.5,62,147
32,335,0.55,79,117
33,352,0.6000000000000001,59,110
34,366,0.65,54,105
35,373,0.7000000000000001,56,93
36,404,0.75,47,71
37,403,0.8,37,77
38,424,0.8500000000000001,31,67
39,432,0.9,34,50
40,444,0.9500000000000001,27,39
41,461,1.0,15,36
42,193,0.0,121,255
43,217,0.05,127,229
44,199,0.1,112,250
45,229,0.15000000000000002,126,206
46,245,0.2,93,217
47,257,0.25,95,203
48,267,0.30000000000000004,93,188
49,307,0.35000000000000003,78,160
50,295,0.4,73,178
51,313,0.45,76,145
52,326,0.5,63,153
53,341,0.55,57,135
54,360,0.6000000000000001,65,107
55,348,0.65,57,111
56,383,0.7000000000000001,52,89
57,395,0.75,46,78
58,411,0.8,35,87
59,420,0.8500000000000001,24,71
60,422,0.9,30,59
61,443,0.9500000000000001,27,41
62,454,1.0,16,34
63,187,0.0,127,236
64,223,0.05,123,214
65,213,0.1,114,232
66,242,0.15000000000000002,99,223
67,247,0.2,116,202
68,251,0.25,112,191
69,266,0.30000000000000004,103,168
70,291,0.35000000000000003,85,161
71,298,0.4,77,171
72,309,0.45,76,156
73,328,0.5,72,135
74,337,0.55,63,142
75,341,0.6000000000000001,66,117
76,368,0.65,54,105
77,395,0.7000000000000001,45,86
78,389,0.75,44,90
79,405,0.8,39,72
80,409,0.8500000000000001,38,73
81,437,0.9,21,54
82,456,0.9500000000000001,21,35
83,460,1.0,15,37
84,204,0.0,123,234
85,206,0.05,117,246
86,222,0.1,102,235
87,231,0.15000000000000002,115,205
88,248,0.2,110,189
89,264,0.25,100,192
90,267,0.30000000000000004,87,199
91,287,0.35000000000000003,91,171
92,295,0.4,74,166
93,332,0.45,67,147
94,350,0.5,68,120
95,340,0.55,74,110
96,356,0.6000000000000001,69,102
97,346,0.65,69,118
98,394,0.7000000000000001,42,99
99,392,0.75,42,95
100,402,0.8,41,73
101,417,0.8500000000000001,28,71
102,434,0.9,36,40
103,454,0.9500000000000001,18,35
104,453,1.0,26,27
105,178,0.0,136,239
106,219,0.05,107,240
107,232,0.1,108,220
108,244,0.15000000000000002,95,219
109,247,0.2,112,198
110,245,0.25,91,207
111,280,0.30000000000000004,88,183
112,283,0.35000000000000003,76,187
113,303,0.4,78,163
114,328,0.45,66,150
115,335,0.5,56,147
116,340,0.55,73,123
117,356,0.6000000000000001,55,115
118,362,0.65,49,113
119,362,0.7000000000000001,61,99
120,376,0.75,47,99
121,423,0.8,29,69
122,405,0.8500000000000001,45,63
123,431,0.9,24,67
124,444,0.9500000000000001,21,45
125,456,1.0,14,43
126,209,0.0,123,241
127,212,0.05,123,228
128,228,0.1,108,228
129,229,0.15000000000000002,133,192
130,248,0.2,113,194
131,259,0.25,98,190
132,293,0.30000000000000004,77,187
133,278,0.35000000000000003,112,143
134,274,0.4,99,167
135,324,0.45,73,153
136,331,0.5,78,124
137,325,0.55,69,131
138,353,0.6000000000000001,61,123
139,357,0.65,56,114
140,360,0.7000000000000001,46,112
141,393,0.75,37,95
142,394,0.8,45,80
143,412,0.8500000000000001,42,61
144,442,0.9,23,50
145,456,0.9500000000000001,11,42
146,459,1.0,12,36
147,190,0.0,121,242
148,221,0.05,112,231
149,233,0.1,118,209
150,218,0.15000000000000002,109,218
151,241,0.2,116,189
152,272,0.25,101,179
153,279,0.30000000000000004,98,178
154,289,0.35000000000000003,77,187
155,307,0.4,75,176
156,328,0.45,76,135
157,299,0.5,78,155
158,333,0.55,74,125
