,alive,bh_ratio,dead,transient
0,112,0.0,149,351
1,100,0.05,173,300
2,116,0.1,150,312
3,133,0.15000000000000002,150,283
4,158,0.2,138,275
5,173,0.25,139,255
6,203,0.30000000000000004,120,239
7,226,0.35000000000000003,108,223
8,258,0.4,100,192
9,254,0.45,99,197
10,275,0.5,96,181
11,295,0.55,85,166
12,323,0.6000000000000001,78,139
13,332,0.65,57,140
14,344,0.7000000000000001,67,121
15,380,0.75,42,103
16,391,0.8,43,78
17,398,0.8500000000000001,39,74
18,430,0.9,29,57
19,446,0.9500000000000001,22,43
20,458,1.0,17,33
21,82,0.0,174,326
22,98,0.05,153,324
23,136,0.1,125,328
24,142,0.15000000000000002,140,292
25,167,0.2,125,280
26,190,0.25,125,245
27,177,0.30000000000000004,120,255
28,213,0.35000000000000003,94,252
29,253,0.4,96,213
30,239,0.45,111,194
31,287,0.5,75,186
32,280,0.55,85,166
33,309,0.6000000000000001,86,137
34,334,0.65,68,133
35,333,0.7000000000000001,71,123
36,367,0.75,55,114
37,389,0.8,48,88
38,407,0.8500000000000001,35,74
39,427,0.9,33,56
40,442,0.9500000000000001,28,37
41,456,1.0,12,36
42,91,0.0,159,341
43,110,0.05,161,320
44,143,0.1,114,344
45,150,0.15000000000000002,142,281
46,170,0.2,137,271
47,193,0.25,126,265
48,196,0.30000000000000004,116,249
49,207,0.35000000000000003,115,236
50,228,0.4,108,221
51,254,0.45,99,188
52,285,0.5,75,202
53,314,0.55,72,150
54,329,0.6000000000000001,73,132
55,317,0.65,74,129
56,361,0.7000000000000001,66,103
57,368,0.75,53,96
58,378,0.8,42,103
59,413,0.8500000000000001,27,76
60,434,0.9,23,54
61,443,0.9500000000000001,23,45
62,471,1.0,11,28
63,87,0.0,148,352
64,109,0.05,155,322
65,135,0.1,143,312
66,138,0.15000000000000002,142,292
67,155,0.2,127,289
68,190,0.25,112,270
69,204,0.30000000000000004,140,216
70,201,0.35000000000000003,124,227
71,255,0.4,91,219
72,250,0.45,81,219
73,286,0.5,95,155
74,299,0.55,67,185
75,306,0.6000000000000001,68,169
76,327,0.65,67,141
77,356,0.7000000000000001,52,118
78,363,0.75,54,110
79,392,0.8,51,83
80,409,0.8500000000000001,37,81
81,425,0.9,27,65
82,443,0.9500000000000001,21,42
83,467,1.0,18,23
84,85,0.0,170,330
85,103,0.05,166,310
86,116,0.1,143,310
87,158,0.15000000000000002,131,297
88,146,0.2,142,282
89,187,0.25,126,261
90,200,0.30000000000000004,113,246
91,225,0.35000000000000003,115,220
92,234,0.4,108,205
93,258,0.45,102,203
94,262,0.5,111,167
95,290,0.55,80,158
96,315,0.6000000000000001,74,151
97,324,0.65,60,138
98,376,0.7000000000000001,56,96
99,398,0.75,50,82
100,389,0.8,44,88
101,410,0.8500000000000001,30,78
102,421,0.9,26,64
