,bh_ratio,alive,dead,transient
0,0.0,74,176,324
1,0.05,109,162,313
2,0.1,130,156,289
3,0.15000000000000002,145,144,277
4,0.2,176,132,276
5,0.25,198,139,238
6,0.30000000000000004,204,118,234
7,0.35000000000000003,219,130,209
8,0.4,257,95,209
9,0.45,231,103,210
10,0.5,263,90,190
11,0.55,278,83,182
12,0.6000000000000001,302,74,169
13,0.65,321,62,148
14,0.7000000000000001,339,63,130
15,0.75,363,56,109
16,0.8,380,47,98
17,0.8500000000000001,410,31,73
18,0.9,431,23,65
19,0.9500000000000001,446,20,43
20,1.0,460,17,29
21,0.0,103,160,340
22,0.05,109,161,320
23,0.1,111,160,300
24,0.15000000000000002,140,158,279
25,0.2,168,124,275
26,0.25,188,125,254
27,0.30000000000000004,215,125,220
28,0.35000000000000003,213,119,237
29,0.4,246,103,214
30,0.45,253,80,211
31,0.5,276,79,193
32,0.55,291,89,164
33,0.6000000000000001,311,72,167
34,0.65,350,74,119
35,0.7000000000000001,347,59,122
36,0.75,380,54,93
37,0.8,394,45,76
38,0.8500000000000001,391,47,74
39,0.9,423,31,64
40,0.9500000000000001,452,17,41
41,1.0,468,11,31
42,0.0,63,183,317
43,0.05,98,152,324
44,0.1,131,144,307
45,0.15000000000000002,143,121,313
46,0.2,162,147,251
47,0.25,185,139,251
48,0.30000000000000004,205,149,213
49,0.35000000000000003,228,116,218
50,0.4,242,91,227
51,0.45,249,97,211
52,0.5,293,77,176
53,0.55,292,77,172
54,0.6000000000000001,318,69,154
55,0.65,327,72,126
56,0.7000000000000001,356,58,114
57,0.75,370,46,109
58,0.8,402,32,95
59,0.8500000000000001,397,40,79
60,0.9,431,35,42
61,0.9500000000000001,442,25,42
62,1.0,452,19,35
63,0.0,85,163,337
64,0.05,105,149,332
65,0.1,122,147,301
66,0.15000000000000002,142,139,290
67,0.2,171,127,275
68,0.25,187,129,258
69,0.30000000000000004,196,114,242
70,0.35000000000000003,210,123,215
71,0.4,236,109,219
72,0.45,264,89,202
73,0.5,305,86,166
74,0.55,316,65,172
75,0.6000000000000001,305,83,165
76,0.65,330,83,122
77,0.7000000000000001,338,66,129
78,0.75,395,47,85
79,0.8,383,47,92
80,0.8500000000000001,406,37,68
81,0.9,433,26,50
82,0.9500000000000001,438,19,53
83,1.0,466,11,30
84,0.0,91,168,332
85,0.05,104,156,320
86,0.1,136,139,314
87,0.15000000000000002,143,141,296
88,0.2,178,116,299
89,0.25,191,111,268
90,0.30000000000000004,214,122,218
91,0.35000000000000003,217,100,235
92,0.4,237,109,217
93,0.45,248,91,219
94,0.5,288,85,181
95,0.55,288,89,169
96,0.6000000000000001,306,76,148
97,0.65,328,67,146
98,0.7000000000000001,364,49,109
99,0.75,369,44,107
100,0.8,394,43,86
101,0.8500000000000001,421,32,60
102,0.9,419,36,57
103,0.9500000000000001,451,10,52
104,1.0,468,11,28
105,0.0,78,172,328
106,0.05,96,153,324
107,0.1,141,145,296
108,0.15000000000000002,140,131,304
109,0.2,171,146,251
110,0.25,183,126,258
111,0.30000000000000004,183,121,254
112,0.35000000000000003,220,102,230
113,0.4,242,119,192
114,0.45,260,90,207
115,0.5,273,91,187
116,0.55,305,89,148
117,0.6000000000000001,319,78,142
118,0.65,351,52,135
119,0.7000000000000001,365,61,102
120,0.75,371,42,111
121,0.8,397,35,87
122,0.8500000000000001,404,36,79
123,0.9,418,24,64
124,0.9500000000000001,444,19,45
125,1.0,465,15,23
126,0.0,78,186,314
127,0.05,104,171,309
128,0.1,123,149,308
129,0.15000000000000002,141,162,265
130,0.2,155,133,279
131,0.25,160,145,255
132,0.30000000000000004,204,108,249
133,0.35000000000000003,208,115,229
134,0.4,243,109,214
135,0.45,246,106,205
136,0.5,262,96,183
137,0.55,293,85,166
138,0.6000000000000001,305,84,149
139,0.65,312,72,151
140,0.7000000000000001,348,64,126
141,0.75,379,47,95
142,0.8,385,47,78
143,0.8500000000000001,408,40,73
144,0.9,430,25,62
145,0.9500000000000001,453,21,37
146,1.0,454,13,33
147,0.0,83,157,343
148,0.05,112,172,306
149,0.1,132,154,301
150,0.15000000000000002,142,139,298
151,0.2,167,136,282
152,0.25,186,109,280
153,0.30000000000000004,201,118,235
154,0.35000000000000003,224,114,219
155,0.4,242,111,202
156,0.45,239,102,215
157,0.5,258,101,185
158,0.55,300,87,153
159,0.6000000000000001,318,71,147
160,0.65,332,63,149
161,0.7000000000000001,339,63,124
162,0.75,368,62,100
163,0.8,397,29,94
164,0.8500000000000001,405,43,65
165,0.9,413,33,67
166,0.9500000000000001,434,20,53
167,1.0,463,11,31
168,0.0,87,173,327
169,0.05,102,166,308
170,0.1,140,144,308
171,0.15000000000000002,139,134,308
172,0.2,163,153,253
173,0.25,187,124,270
174,0.30000000000000004,197,125,237
175,0.35000000000000003,225,117,218
176,0.4,242,111,196
177,0.45,274,96,183
178,0.5,277,92,179
179,0.55,302,80,162
180,0.6000000000000001,326,70,149
181,0.65,306,76,153
182,0.7000000000000001,351,59,120
183,0.75,377,52,100
184,0.8,375,56,90
185,0.8500000000000001,395,41,83
186,0.9,429,19,66
187,0.9500000000000001,459,20,30
188,1.0,464,11,31
189,0.0,76,180,320
190,0.05,102,160,314
191,0.1,108,141,321
192,0.15000000000000002,134,145,290
193,0.2,168,137,261
194,0.25,191,120,260
195,0.30000000000000004,189,129,234
196,0.35000000000000003,211,99,251
197,0.4,237,84,227
198,0.45,263,92,195
199,0.5,271,86,187
200,0.55,303,79,155
201,0.6000000000000001,303,66,167
202,0.65,346,59,132
203,0.7000000000000001,331,61,138
204,0.75,370,49,110
205,0.8,396,44,78
206,0.8500000000000001,407,37,73
207,0.9,441,25,51
208,0.9500000000000001,446,18,45
209,1.0,455,11,39
210,0.0,82,191,309
211,0.05,105,179,302
212,0.1,125,142,305
213,0.15000000000000002,128,157,280
214,0.2,161,145,271
215,0.25,190,128,246
216,0.30000000000000004,211,122,246
217,0.35000000000000003,237,98,233
218,0.4,242,109,209
219,0.45,262,83,203
220,0.5,296,71,187
221,0.55,299,78,161
222,0.6000000000000001,329,68,136
223,0.65,335,56,148
224,0.7000000000000001,366,55,105
225,0.75,371,46,105
226,0.8,400,48,82
227,0.8500000000000001,398,40,82
228,0.9,421,23,74
229,0.9500000000000001,444,16,50
230,1.0,478,7,18
231,0.0,75,171,329
232,0.05,107,171,312
233,0.1,122,163,288
234,0.15000000000000002,137,167,261
235,0.2,140,158,263
236,0.25,177,126,264
237,0.30000000000000004,197,114,248
238,0.35000000000000003,204,115,229
239,0.4,244,106,202
240,0.45,275,82,208
241,0.5,291,87,180
242,0.55,300,96,138
243,0.6000000000000001,305,76,157
244,0.65,334,61,144
245,0.7000000000000001,363,63,107
246,0.75,381,49,97
247,0.8,389,46,87
248,0.8500000000000001,413,35,79
249,0.9,432,24,59
250,0.9500000000000001,451,19,38
251,1.0,464,14,26
252,0.0,81,170,330
253,0.05,100,162,310
254,0.1,125,152,297
255,0.15000000000000002,133,140,295
256,0.2,163,125,274
257,0.25,190,134,247
258,0.30000000000000004,221,123,217
259,0.35000000000000003,222,108,216
260,0.4,241,102,208
261,0.45,245,114,198
262,0.5,277,87,199
263,0.55,283,82,173
264,0.6000000000000001,314,68,160
265,0.65,332,61,151
266,0.7000000000000001,352,53,124
267,0.75,370,47,103
268,0.8,389,42,85
269,0.8500000000000001,415,34,73
270,0.9,423,29,64
271,0.9500000000000001,446,19,46
272,1.0,477,7,25
273,0.0,88,172,328
274,0.05,100,155,318
275,0.1,102,176,295
276,0.15000000000000002,136,122,304
277,0.2,157,138,279
278,0.25,164,119,285
279,0.30000000000000004,189,125,262
280,0.35000000000000003,219,115,216
281,0.4,234,117,200
282,0.45,244,110,198
283,0.5,251,96,195
284,0.55,283,89,169
285,0.6000000000000001,303,79,157
286,0.65,332,65,140
287,0.7000000000000001,339,53,140
288,0.75,384,52,84
289,0.8,399,44,78
290,0.8500000000000001,409,37,78
291,0.9,426,23,65
292,0.9500000000000001,446,17,49
293,1.0,464,12,30
294,0.0,78,172,328
295,0.05,118,166,304
296,0.1,131,156,298
297,0.15000000000000002,137,159,278
298,0.2,155,143,268
299,0.25,189,107,275
300,0.30000000000000004,191,120,240
301,0.35000000000000003,220,119,217
302,0.4,237,86,227
303,0.45,251,100,194
304,0.5,278,82,183
305,0.55,292,86,171
306,0.6000000000000001,316,83,132
307,0.65,322,76,130
308,0.7000000000000001,347,54,123
309,0.75,367,47,111
310,0.8,395,42,83
311,0.8500000000000001,415,33,65
312,0.9,425,31,58
313,0.9500000000000001,439,21,52
314,1.0,455,20,33
315,0.0,92,164,336
316,0.05,110,147,332
317,0.1,127,159,298
318,0.15000000000000002,152,149,281
319,0.2,169,130,277
320,0.25,181,125,252
321,0.30000000000000004,205,121,240
322,0.35000000000000003,227,119,207
323,0.4,241,118,195
324,0.45,253,84,207
325,0.5,281,91,180
326,0.55,280,95,166
327,0.6000000000000001,316,63,157
328,0.65,324,72,145
329,0.7000000000000001,353,57,117
330,0.75,365,42,106
331,0.8,390,36,92
332,0.8500000000000001,401,32,83
333,0.9,432,27,59
334,0.9500000000000001,456,19,31
335,1.0,456,17,34
336,0.0,73,167,333
337,0.05,94,145,337
338,0.1,117,164,292
339,0.15000000000000002,137,153,300
340,0.2,161,124,287
341,0.25,174,134,251
342,0.30000000000000004,182,130,250
343,0.35000000000000003,226,109,232
344,0.4,234,108,212
345,0.45,279,81,193
346,0.5,280,82,180
347,0.55,282,92,153
348,0.6000000000000001,312,70,171
349,0.65,305,78,147
350,0.7000000000000001,359,51,124
351,0.75,360,53,109
352,0.8,393,40,89
353,0.8500000000000001,413,36,68
354,0.9,436,26,54
355,0.9500000000000001,455,16,38
356,1.0,458,19,29
357,0.0,107,159,341
358,0.05,90,173,304
359,0.1,128,150,306
360,0.15000000000000002,151,143,281
361,0.2,176,142,256
362,0.25,176,131,254
363,0.30000000000000004,193,133,231
364,0.35000000000000003,220,100,248
365,0.4,234,118,196
366,0.45,254,94,217
367,0.5,293,75,176
368,0.55,294,79,163
369,0.6000000000000001,328,77,135
370,0.65,325,71,131
371,0.7000000000000001,343,61,127
372,0.75,372,44,110
373,0.8,392,46,87
374,0.8500000000000001,398,39,79
375,0.9,423,40,46
376,0.9500000000000001,458,13,37
377,1.0,471,10,22
378,0.0,81,169,331
379,0.05,112,157,324
380,0.1,133,133,310
381,0.15000000000000002,136,141,291
382,0.2,183,123,270
383,0.25,172,132,258
384,0.30000000000000004,199,122,237
385,0.35000000000000003,199,111,239
386,0.4,242,118,201
387,0.45,262,90,204
388,0.5,269,98,179
389,0.55,277,86,164
390,0.6000000000000001,291,72,161
391,0.65,331,71,132
392,0.7000000000000001,343,57,126
393,0.75,371,50,105
394,0.8,386,52,80
395,0.8500000000000001,416,36,71
396,0.9,433,31,51
397,0.9500000000000001,445,16,48
398,1.0,463,15,26
399,0.0,77,171,329
400,0.05,101,143,334
401,0.1,116,156,311
402,0.15000000000000002,140,135,298
403,0.2,154,122,291
404,0.25,168,126,277
405,0.30000000000000004,202,125,246
406,0.35000000000000003,221,114,224
407,0.4,247,104,208
408,0.45,275,82,206
409,0.5,271,93,165
410,0.55,282,91,168
411,0.6000000000000001,294,90,155
412,0.65,327,70,133
413,0.7000000000000001,366,56,108
414,0.75,363,60,108
415,0.8,367,45,105
416,0.8500000000000001,398,36,79
417,0.9,442,23,48
418,0.9500000000000001,434,18,57
419,1.0,466,10,34
420,0.0,81,159,341
421,0.05,98,164,314
422,0.1,120,143,313
423,0.15000000000000002,143,145,284
424,0.2,160,145,271
425,0.25,179,119,262
426,0.30000000000000004,186,116,253
427,0.35000000000000003,201,125,225
428,0.4,243,105,204
429,0.45,250,92,217
430,0.5,273,103,174
431,0.55,284,99,159
432,0.6000000000000001,317,66,146
433,0.65,349,58,135
434,0.7000000000000001,330,66,129
435,0.75,366,49,101
436,0.8,397,33,91
437,0.8500000000000001,393,42,85
438,0.9,440,22,48
439,0.9500000000000001,454,19,34
440,1.0,456,18,30
441,0.0,91,176,324
442,0.05,105,150,329
443,0.1,129,160,288
444,0.15000000000000002,143,138,284
445,0.2,146,135,281
446,0.25,194,130,247
447,0.30000000000000004,194,119,253
448,0.35000000000000003,213,125,206
449,0.4,242,99,216
450,0.45,259,110,179
451,0.5,270,96,182
452,0.55,314,94,142
453,0.6000000000000001,335,68,134
454,0.65,337,68,137
455,0.7000000000000001,366,51,116
456,0.75,346,56,113
457,0.8,381,52,84
458,0.8500000000000001,390,46,77
459,0.9,421,32,61
460,0.9500000000000001,447,25,37
461,1.0,471,10,24
462,0.0,99,141,359
463,0.05,113,144,328
464,0.1,130,141,309
465,0.15000000000000002,135,147,291
466,0.2,153,143,276
467,0.25,180,130,257
468,0.30000000000000004,206,117,237
469,0.35000000000000003,221,119,220
470,0.4,265,87,208
471,0.45,261,100,196
472,0.5,263,108,164
473,0.55,299,90,155
474,0.6000000000000001,319,74,154
475,0.65,340,74,115
476,0.7000000000000001,364,41,124
477,0.75,371,49,105
478,0.8,393,40,85
479,0.8500000000000001,409,33,77
480,0.9,431,27,56
481,0.9500000000000001,436,20,54
482,1.0,465,14,23
483,0.0,89,190,310
484,0.05,112,164,307
485,0.1,123,137,319
486,0.15000000000000002,148,145,284
487,0.2,165,147,264
488,0.25,159,137,266
489,0.30000000000000004,192,131,238
490,0.35000000000000003,216,97,247
491,0.4,213,108,227
492,0.45,245,94,205
493,0.5,267,102,172
494,0.55,295,77,177
495,0.6000000000000001,305,76,157
496,0.65,347,59,122
497,0.7000000000000001,351,61,113
498,0.75,379,45,96
499,0.8,392,47,83
500,0.8500000000000001,421,37,61
501,0.9,438,24,56
502,0.9500000000000001,433,36,41
503,1.0,462,12,34
504,0.0,80,168,332
505,0.05,96,160,323
506,0.1,130,143,312
507,0.15000000000000002,149,142,278
508,0.2,153,132,281
509,0.25,174,126,272
510,0.30000000000000004,211,129,230
511,0.35000000000000003,227,121,214
512,0.4,237,112,217
513,0.45,252,98,187
514,0.5,288,87,175
515,0.55,318,72,159
516,0.6000000000000001,312,69,148
517,0.65,315,72,149
518,0.7000000000000001,362,53,124
519,0.75,367,47,113
520,0.8,373,50,98
521,0.8500000000000001,405,39,70
522,0.9,420,26,72
523,0.9500000000000001,438,24,50
524,1.0,458,14,33
525,0.0,71,179,321
526,0.05,118,174,303
527,0.1,142,150,304
528,0.15000000000000002,148,144,285
529,0.2,149,146,264
530,0.25,174,140,245
531,0.30000000000000004,228,111,234
532,0.35000000000000003,217,104,236
533,0.4,252,97,204
534,0.45,258,103,192
535,0.5,306,74,170
536,0.55,281,85,178
537,0.6000000000000001,326,76,138
538,0.65,343,59,138
539,0.7000000000000001,377,49,106
540,0.75,360,59,101
541,0.8,379,51,100
542,0.8500000000000001,408,38,73
543,0.9,428,26,59
544,0.9500000000000001,448,18,42
545,1.0,478,8,19
546,0.0,93,168,332
547,0.05,105,160,312
548,0.1,105,161,301
549,0.15000000000000002,144,139,298
550,0.2,176,121,282
551,0.25,200,124,241
552,0.30000000000000004,188,115,260
553,0.35000000000000003,227,112,220
554,0.4,245,106,204
555,0.45,251,100,187
556,0.5,264,98,195
557,0.55,301,70,172
558,0.6000000000000001,298,70,177
559,0.65,341,70,115
560,0.7000000000000001,357,41,136
561,0.75,368,51,113
562,0.8,382,36,101
563,0.8500000000000001,409,31,78
564,0.9,421,32,66
565,0.9500000000000001,447,23,43
566,1.0,458,16,36
567,0.0,77,168,332
568,0.05,101,160,316
569,0.1,126,144,306
570,0.15000000000000002,142,150,284
571,0.2,143,149,271
572,0.25,188,115,259
573,0.30000000000000004,205,113,248
574,0.35000000000000003,232,106,227
575,0.4,250,96,208
576,0.45,243,98,208
577,0.5,273,94,179
578,0.55,305,64,171
579,0.6000000000000001,295,80,161
580,0.65,331,61,142
581,0.7000000000000001,354,49,134
582,0.75,361,59,101
583,0.8,397,41,83
584,0.8500000000000001,422,32,71
585,0.9,432,30,54
586,0.9500000000000001,455,16,45
587,1.0,462,9,39
588,0.0,81,176,324
589,0.05,99,168,314
590,0.1,139,148,303
591,0.15000000000000002,145,131,305
592,0.2,164,133,278
