,alive,bh_ratio,dead,transient
0,84,0.0,155,345
1,105,0.05,156,319
2,110,0.1,154,305
3,140,0.15000000000000002,128,305
4,167,0.2,140,263
5,164,0.25,139,253
6,193,0.30000000000000004,115,259
7,205,0.35000000000000003,106,243
8,237,0.4,114,193
9,266,0.45,96,178
10,260,0.5,79,193
11,293,0.55,82,161
12,321,0.6000000000000001,63,156
13,331,0.65,64,141
14,350,0.7000000000000001,51,132
15,378,0.75,45,107
16,403,0.8,38,89
17,409,0.8500000000000001,34,75
18,437,0.9,21,54
19,449,0.9500000000000001,16,43
20,472,1.0,8,27
21,78,0.0,177,323
22,112,0.05,138,338
23,142,0.1,137,321
24,150,0.15000000000000002,144,283
25,178,0.2,128,269
26,190,0.25,131,244
27,209,0.30000000000000004,124,227
28,234,0.35000000000000003,102,226
29,235,0.4,96,229
30,261,0.45,101,188
31,280,0.5,93,178
32,288,0.55,82,168
33,318,0.6000000000000001,82,144
34,339,0.65,72,121
35,365,0.7000000000000001,57,110
36,362,0.75,51,109
37,387,0.8,43,87
38,403,0.8500000000000001,39,67
39,429,0.9,31,57
40,438,0.9500000000000001,21,55
41,472,1.0,7,26
42,90,0.0,163,337
43,114,0.05,166,315
44,122,0.1,149,301
45,164,0.15000000000000002,135,282
46,161,0.2,142,269
47,166,0.25,121,271
48,204,0.30000000000000004,135,223
49,215,0.35000000000000003,111,225
50,254,0.4,111,198
51,255,0.45,105,186
52,265,0.5,94,180
53,287,0.55,96,159
54,309,0.6000000000000001,81,154
55,306,0.65,81,145
56,359,0.7000000000000001,57,117
57,367,0.75,66,84
58,395,0.8,39,85
59,401,0.8500000000000001,39,80
60,408,0.9,41,60
61,447,0.9500000000000001,22,41
62,471,1.0,13,20
63,81,0.0,174,326
64,110,0.05,157,320
65,111,0.1,157,309
66,143,0.15000000000000002,155,285
67,175,0.2,136,271
68,179,0.25,137,246
69,208,0.30000000000000004,126,235
70,204,0.35000000000000003,121,225
71,266,0.4,103,189
72,251,0.45,104,193
73,294,0.5,83,171
74,262,0.55,97,175
75,336,0.6000000000000001,64,120
76,322,0.65,75,127
77,334,0.7000000000000001,62,133
78,369,0.75,52,111
79,392,0.8,46,83
80,416,0.8500000000000001,31,64
81,419,0.9,28,63
82,433,0.9500000000000001,23,54
83,460,1.0,14,38
84,84,0.0,189,311
85,110,0.05,155,328
86,110,0.1,126,339
87,135,0.15000000000000002,143,295
88,146,0.2,163,258
89,195,0.25,120,257
90,207,0.30000000000000004,102,241
91,217,0.35000000000000003,118,226
92,229,0.4,110,204
93,252,0.45,89,197
94,276,0.5,97,178
95,284,0.55,86,169
96,308,0.6000000000000001,74,148
97,323,0.65,75,144
98,356,0.7000000000000001,61,113
99,348,0.75,60,110
100,393,0.8,46,81
101,411,0.8500000000000001,33,68
102,431,0.9,20,67
103,434,0.9500000000000001,17,55
104,454,1.0,14,38
105,75,0.0,164,336
106,117,0.05,155,322
107,132,0.1,158,298
108,144,0.15000000000000002,149,289
109,169,0.2,125,278
110,175,0.25,125,269
111,214,0.30000000000000004,109,234
112,229,0.35000000000000003,118,215
113,249,0.4,100,218
114,253,0.45,99,208
115,296,0.5,83,170
116,261,0.55,93,180
117,305,0.6000000000000001,88,141
118,332,0.65,68,133
119,339,0.7000000000000001,70,116
120,371,0.75,39,119
121,383,0.8,46,90
122,417,0.8500000000000001,36,68
123,426,0.9,27,57
124,450,0.9500000000000001,18,45
125,473,1.0,11,28
126,90,0.0,166,334
127,107,0.05,166,311
128,123,0.1,149,304
129,162,0.15000000000000002,151,270
130,158,0.2,128,273
131,159,0.25,132,271
132,200,0.30000000000000004,108,263
133,219,0.35000000000000003,125,213
134,234,0.4,103,214
135,264,0.45,89,198
136,282,0.5,95,180
137,291,0.55,80,164
138,316,0.6000000000000001,81,143
139,326,0.65,69,136
140,357,0.7000000000000001,57,111
141,360,0.75,53,105
142,396,0.8,41,90
143,400,0.8500000000000001,41,80
144,428,0.9,25,67
145,438,0.9500000000000001,21,47
146,460,1.0,14,34
147,91,0.0,181,319
148,109,0.05,147,324
149,126,0.1,138,311
150,138,0.15000000000000002,145,290
151,163,0.2,130,287
152,194,0.25,111,264
153,208,0.30000000000000004,122,236
154,228,0.35000000000000003,117,214
155,246,0.4,99,212
156,267,0.45,101,185
157,268,0.5,104,173
158,304,0.55,82,162
159,292,0.6000000000000001,73,170
160,338,0.65,59,129
161,354,0.7000000000000001,52,123
162,352,0.75,54,124
163,395,0.8,38,94
164,414,0.8500000000000001,36,72
165,423,0.9,28,57
166,438,0.9500000000000001,27,45
167,458,1.0,11,36
168,81,0.0,152,348
169,106,0.05,152,325
170,125,0.1,146,320
171,135,0.15000000000000002,150,288
172,141,0.2,133,280
173,190,0.25,116,255
174,199,0.30000000000000004,121,249
175,213,0.35000000000000003,114,231
176,240,0.4,103,210
177,257,0.45,85,216
178,271,0.5,82,189
179,302,0.55,75,154
180,313,0.6000000000000001,71,153
181,338,0.65,60,131
182,351,0.7000000000000001,58,131
183,364,0.75,64,112
184,382,0.8,42,98
185,402,0.8500000000000001,36,68
186,422,0.9,21,74
187,444,0.9500000000000001,15,51
188,451,1.0,23,33
189,96,0.0,169,331
190,116,0.05,158,315
191,128,0.1,139,312
192,154,0.15000000000000002,135,300
193,139,0.2,144,279
194,174,0.25,133,251
195,208,0.30000000000000004,117,249
196,228,0.35000000000000003,98,247
197,235,0.4,97,225
198,285,0.45,94,187
199,275,0.5,91,194
200,293,0.55,80,176
201,307,0.6000000000000001,85,148
202,328,0.65,69,140
203,356,0.7000000000000001,50,118
204,381,0.75,48,103
205,380,0.8,55,90
206,416,0.8500000000000001,26,76
207,425,0.9,28,63
208,437,0.9500000000000001,26,49
209,466,1.0,12,26
210,101,0.0,163,337
211,101,0.05,161,322
212,130,0.1,135,315
213,142,0.15000000000000002,140,293
214,145,0.2,139,281
215,186,0.25,128,253
216,188,0.30000000000000004,134,251
217,203,0.35000000000000003,114,236
218,249,0.4,95,206
219,275,0.45,76,198
220,294,0.5,86,168
221,298,0.55,83,173
222,327,0.6000000000000001,70,134
223,300,0.65,78,154
224,323,0.7000000000000001,72,132
225,373,0.75,49,106
226,395,0.8,36,90
227,418,0.8500000000000001,39,61
228,431,0.9,28,48
229,454,0.9500000000000001,19,42
230,455,1.0,12,41
231,84,0.0,159,341
232,122,0.05,143,329
233,124,0.1,163,284
234,130,0.15000000000000002,152,282
235,160,0.2,157,237
236,175,0.25,133,260
237,207,0.30000000000000004,130,222
238,206,0.35000000000000003,118,230
239,230,0.4,96,218
240,267,0.45,88,183
241,259,0.5,102,184
242,298,0.55,79,169
243,333,0.6000000000000001,71,139
244,335,0.65,60,137
245,355,0.7000000000000001,69,114
246,363,0.75,55,110
247,391,0.8,44,85
248,413,0.8500000000000001,32,78
249,423,0.9,22,70
250,440,0.9500000000000001,20,46
251,458,1.0,17,33
252,110,0.0,150,350
253,123,0.05,141,337
254,125,0.1,142,311
255,128,0.15000000000000002,160,286
256,168,0.2,147,258
257,188,0.25,133,251
258,217,0.30000000000000004,99,249
259,220,0.35000000000000003,119,221
260,237,0.4,95,215
261,254,0.45,87,213
262,266,0.5,85,188
263,279,0.55,101,166
264,299,0.6000000000000001,92,158
265,339,0.65,75,104
266,354,0.7000000000000001,60,116
267,369,0.75,52,106
268,381,0.8,40,102
269,410,0.8500000000000001,35,75
270,417,0.9,32,66
271,445,0.9500000000000001,24,39
272,469,1.0,11,24
273,101,0.0,171,329
274,108,0.05,159,309
275,111,0.1,139,324
276,149,0.15000000000000002,146,268
277,146,0.2,156,260
278,186,0.25,136,248
279,198,0.30000000000000004,112,258
280,241,0.35000000000000003,111,210
281,240,0.4,112,194
282,272,0.45,86,207
283,296,0.5,102,156
284,300,0.55,76,163
285,319,0.6000000000000001,72,148
286,330,0.65,71,134
287,337,0.7000000000000001,66,128
288,362,0.75,52,124
289,401,0.8,32,93
290,413,0.8500000000000001,38,68
291,432,0.9,15,74
292,437,0.9500000000000001,18,55
293,465,1.0,14,27
294,61,0.0,171,329
295,109,0.05,148,328
296,148,0.1,128,317
297,138,0.15000000000000002,128,304
298,174,0.2,151,257
299,194,0.25,132,238
300,188,0.30000000000000004,131,248
301,220,0.35000000000000003,99,234
302,252,0.4,102,191
303,245,0.45,115,187
304,274,0.5,95,176
305,286,0.55,79,178
306,308,0.6000000000000001,80,146
307,326,0.65,64,142
308,358,0.7000000000000001,42,130
309,370,0.75,48,108
310,385,0.8,45,94
311,412,0.8500000000000001,32,76
312,414,0.9,38,58
313,448,0.9500000000000001,13,50
314,463,1.0,13,28
315,75,0.0,163,337
316,104,0.05,146,331
317,134,0.1,155,294
318,131,0.15000000000000002,148,287
319,164,0.2,149,261
320,185,0.25,109,278
321,216,0.30000000000000004,118,240
322,215,0.35000000000000003,102,236
323,219,0.4,110,226
324,248,0.45,101,199
325,282,0.5,88,179
326,264,0.55,101,173
327,334,0.6000000000000001,73,136
328,330,0.65,79,133
329,367,0.7000000000000001,53,102
330,371,0.75,56,95
331,384,0.8,60,77
332,400,0.8500000000000001,39,81
333,427,0.9,28,58
334,442,0.9500000000000001,19,52
335,465,1.0,15,24
336,97,0.0,149,351
337,113,0.05,161,313
338,130,0.1,137,300
339,153,0.15000000000000002,141,290
340,145,0.2,137,282
341,175,0.25,125,257
342,220,0.30000000000000004,114,230
343,217,0.35000000000000003,116,240
344,241,0.4,103,220
345,247,0.45,104,190
346,278,0.5,87,180
347,281,0.55,80,185
348,302,0.6000000000000001,72,152
349,343,0.65,67,113
350,364,0.7000000000000001,63,101
351,382,0.75,42,103
352,380,0.8,45,94
353,424,0.8500000000000001,27,68
354,428,0.9,23,60
355,438,0.9500000000000001,20,51
356,460,1.0,13,34
357,83,0.0,184,316
358,109,0.05,175,300
359,127,0.1,144,311
360,142,0.15000000000000002,149,285
361,167,0.2,129,272
362,179,0.25,125,261
363,213,0.30000000000000004,126,226
364,213,0.35000000000000003,116,230
365,261,0.4,107,191
366,259,0.45,100,178
367,283,0.5,95,174
368,300,0.55,86,156
369,320,0.6000000000000001,74,141
370,342,0.65,59,138
371,348,0.7000000000000001,49,136
372,375,0.75,58,102
373,391,0.8,49,79
374,408,0.8500000000000001,35,71
375,428,0.9,24,61
376,446,0.9500000000000001,16,45
377,475,1.0,8,23
378,75,0.0,178,322
379,107,0.05,157,325
380,121,0.1,135,321
381,123,0.15000000000000002,143,297
382,173,0.2,129,263
383,185,0.25,122,262
384,196,0.30000000000000004,120,252
385,221,0.35000000000000003,104,238
386,229,0.4,114,200
387,266,0.45,100,187
388,262,0.5,105,169
389,292,0.55,70,182
390,300,0.6000000000000001,78,161
391,329,0.65,79,121
392,350,0.7000000000000001,62,128
393,368,0.75,58,100
394,396,0.8,36,91
395,396,0.8500000000000001,41,93
396,424,0.9,29,58
397,448,0.9500000000000001,17,44
398,453,1.0,10,45
399,73,0.0,162,338
400,104,0.05,174,299
401,131,0.1,150,299
402,122,0.15000000000000002,147,294
403,174,0.2,139,254
404,177,0.25,132,244
405,209,0.30000000000000004,120,245
406,230,0.35000000000000003,109,226
407,252,0.4,115,187
408,259,0.45,88,214
409,271,0.5,103,168
410,305,0.55,76,158
411,311,0.6000000000000001,66,161
412,323,0.65,62,147
413,357,0.7000000000000001,55,128
414,366,0.75,47,116
415,390,0.8,34,98
416,406,0.8500000000000001,37,75
417,425,0.9,25,68
418,450,0.9500000000000001,19,39
419,461,1.0,14,30
420,83,0.0,162,338
421,100,0.05,166,307
422,134,0.1,169,277
423,154,0.15000000000000002,136,295
424,143,0.2,159,260
425,191,0.25,122,262
426,201,0.30000000000000004,124,234
427,224,0.35000000000000003,110,224
428,233,0.4,103,223
429,246,0.45,106,197
430,279,0.5,97,163
431,301,0.55,83,155
432,319,0.6000000000000001,68,155
433,339,0.65,60,137
434,342,0.7000000000000001,64,116
435,359,0.75,60,104
436,382,0.8,46,100
437,397,0.8500000000000001,40,76
438,416,0.9,32,61
439,444,0.9500000000000001,23,42
440,464,1.0,15,27
441,83,0.0,165,335
442,105,0.05,157,320
443,119,0.1,153,304
444,122,0.15000000000000002,151,290
445,160,0.2,137,263
446,173,0.25,128,258
447,206,0.30000000000000004,101,257
448,225,0.35000000000000003,104,231
449,236,0.4,118,194
450,268,0.45,84,187
451,268,0.5,89,190
452,276,0.55,84,187
453,336,0.6000000000000001,71,130
454,315,0.65,80,146
455,342,0.7000000000000001,65,120
456,382,0.75,37,107
457,390,0.8,41,95
458,417,0.8500000000000001,31,75
459,428,0.9,27,61
460,440,0.9500000000000001,21,44
461,468,1.0,14,24
462,89,0.0,154,346
463,108,0.05,173,300
464,126,0.1,153,298
465,153,0.15000000000000002,130,303
466,179,0.2,135,260
467,184,0.25,139,245
468,173,0.30000000000000004,129,250
469,218,0.35000000000000003,112,228
470,240,0.4,106,211
471,260,0.45,90,190
472,278,0.5,101,167
473,311,0.55,74,159
474,318,0.6000000000000001,65,161
475,315,0.65,68,149
476,355,0.7000000000000001,56,126
477,358,0.75,63,102
478,390,0.8,42,92
479,411,0.8500000000000001,39,70
480,446,0.9,16,52
481,440,0.9500000000000001,20,50
482,471,1.0,14,24
483,84,0.0,145,355
484,111,0.05,154,319
485,141,0.1,145,306
486,132,0.15000000000000002,142,280
487,164,0.2,145,261
488,205,0.25,104,267
489,204,0.30000000000000004,128,230
490,211,0.35000000000000003,97,241
491,248,0.4,109,195
492,261,0.45,94,196
493,290,0.5,84,162
494,291,0.55,90,157
495,312,0.6000000000000001,67,166
