,alive,bh_ratio,dead,transient
0,75,0.0,181,319
1,122,0.05,148,319
2,141,0.1,155,303
3,151,0.15000000000000002,143,279
4,163,0.2,131,288
5,186,0.25,125,254
6,207,0.30000000000000004,111,245
7,219,0.35000000000000003,99,234
8,251,0.4,102,216
9,256,0.45,104,193
10,262,0.5,97,181
11,282,0.55,82,177
12,316,0.6000000000000001,78,150
13,347,0.65,69,122
14,369,0.7000000000000001,58,105
15,362,0.75,44,103
16,387,0.8,45,82
17,398,0.8500000000000001,35,92
18,422,0.9,25,76
19,451,0.9500000000000001,23,38
20,479,1.0,11,16
21,93,0.0,161,339
22,103,0.05,152,324
23,109,0.1,159,299
24,149,0.15000000000000002,141,282
25,154,0.2,143,266
26,182,0.25,131,244
27,196,0.30000000000000004,124,239
28,200,0.35000000000000003,118,237
29,216,0.4,118,215
30,263,0.45,103,193
31,289,0.5,85,173
32,281,0.55,83,170
33,310,0.6000000000000001,76,148
34,330,0.65,59,143
35,330,0.7000000000000001,68,141
36,372,0.75,45,117
37,392,0.8,46,95
38,414,0.8500000000000001,27,74
39,422,0.9,31,61
40,443,0.9500000000000001,15,50
41,463,1.0,17,25
42,93,0.0,161,339
43,87,0.05,177,305
44,114,0.1,140,311
45,144,0.15000000000000002,150,285
46,150,0.2,143,276
47,190,0.25,117,263
48,191,0.30000000000000004,127,240
49,221,0.35000000000000003,104,232
50,253,0.4,92,206
51,257,0.45,89,197
52,260,0.5,105,186
53,301,0.55,71,172
54,324,0.6000000000000001,76,134
55,332,0.65,61,135
56,332,0.7000000000000001,67,127
57,369,0.75,54,99
58,411,0.8,34,84
59,408,0.8500000000000001,38,67
60,426,0.9,29,52
61,445,0.9500000000000001,22,40
62,459,1.0,15,31
63,86,0.0,162,338
64,101,0.05,159,314
65,118,0.1,161,286
66,146,0.15000000000000002,117,307
67,152,0.2,143,278
68,168,0.25,120,270
69,207,0.30000000000000004,126,232
70,214,0.35000000000000003,119,210
71,245,0.4,97,210
72,259,0.45,100,205
73,277,0.5,93,171
74,316,0.55,76,160
75,305,0.6000000000000001,73,147
76,318,0.65,76,133
77,353,0.7000000000000001,56,126
78,385,0.75,40,106
79,383,0.8,51,94
80,409,0.8500000000000001,28,78
81,424,0.9,32,50
82,448,0.9500000000000001,17,44
83,461,1.0,18,29
84,81,0.0,166,334
85,95,0.05,169,311
86,121,0.1,150,306
87,137,0.15000000000000002,141,308
88,162,0.2,131,268
89,181,0.25,124,254
90,207,0.30000000000000004,130,230
91,237,0.35000000000000003,109,208
92,267,0.4,92,199
93,256,0.45,101,193
94,274,0.5,83,185
95,292,0.55,87,158
96,310,0.6000000000000001,82,146
97,310,0.65,82,141
98,351,0.7000000000000001,65,112
99,369,0.75,49,104
100,408,0.8,29,88
101,407,0.8500000000000001,39,64
102,428,0.9,23,61
103,447,0.9500000000000001,20,41
104,456,1.0,19,29
105,75,0.0,182,318
106,126,0.05,130,343
107,121,0.1,141,321
108,153,0.15000000000000002,141,270
109,164,0.2,138,269
110,154,0.25,148,253
111,186,0.30000000000000004,135,236
112,217,0.35000000000000003,126,214
113,257,0.4,94,207
114,260,0.45,89,203
115,278,0.5,98,169
116,306,0.55,80,158
117,293,0.6000000000000001,80,155
118,309,0.65,71,162
119,359,0.7000000000000001,55,118
120,366,0.75,57,100
121,399,0.8,41,92
122,424,0.8500000000000001,33,63
123,413,0.9,35,67
124,450,0.9500000000000001,19,43
125,464,1.0,17,23
126,92,0.0,155,345
127,111,0.05,161,305
128,116,0.1,146,315
129,147,0.15000000000000002,147,278
130,156,0.2,129,278
131,197,0.25,120,268
132,201,0.30000000000000004,117,255
133,211,0.35000000000000003,107,238
134,235,0.4,107,226
135,254,0.45,93,204
136,283,0.5,82,175
137,285,0.55,91,173
138,302,0.6000000000000001,88,144
139,352,0.65,69,108
140,325,0.7000000000000001,69,123
141,361,0.75,61,101
142,382,0.8,51,93
143,413,0.8500000000000001,40,65
144,431,0.9,33,51
145,452,0.9500000000000001,14,39
146,464,1.0,12,33
147,94,0.0,149,351
148,100,0.05,164,313
149,103,0.1,166,291
150,143,0.15000000000000002,136,293
151,150,0.2,133,282
152,186,0.25,137,239
153,191,0.30000000000000004,124,245
154,235,0.35000000000000003,108,214
155,235,0.4,107,214
156,259,0.45,96,198
157,294,0.5,80,182
158,289,0.55,72,187
159,306,0.6000000000000001,90,144
160,320,0.65,69,146
161,351,0.7000000000000001,49,130
162,373,0.75,49,107
163,390,0.8,45,89
164,400,0.8500000000000001,43,81
165,448,0.9,21,48
166,444,0.9500000000000001,23,44
167,468,1.0,14,23
168,78,0.0,168,332
169,97,0.05,169,318
170,119,0.1,153,304
171,141,0.15000000000000002,157,280
172,160,0.2,122,293
173,178,0.25,124,261
174,199,0.30000000000000004,114,251
175,207,0.35000000000000003,100,254
176,232,0.4,116,196
177,272,0.45,70,213
178,276,0.5,82,181
179,292,0.55,81,176
180,310,0.6000000000000001,80,144
181,330,0.65,66,138
182,365,0.7000000000000001,54,101
183,361,0.75,61,102
184,380,0.8,47,90
185,400,0.8500000000000001,36,80
186,418,0.9,35,66
187,458,0.9500000000000001,18,35
188,467,1.0,11,24
189,87,0.0,163,337
190,105,0.05,146,333
191,132,0.1,141,302
192,142,0.15000000000000002,152,280
193,166,0.2,128,282
194,179,0.25,130,266
195,195,0.30000000000000004,120,256
