,alive,bh_ratio,dead,transient
0,78,0.0,168,332
1,103,0.05,159,320
2,126,0.1,151,299
3,137,0.15000000000000002,154,273
4,165,0.2,140,274
5,189,0.25,132,243
6,209,0.30000000000000004,114,252
7,225,0.35000000000000003,117,212
8,255,0.4,101,202
9,246,0.45,99,199
10,291,0.5,66,193
11,293,0.55,82,166
12,309,0.6000000000000001,82,142
13,345,0.65,65,134
14,347,0.7000000000000001,60,123
15,361,0.75,46,113
16,393,0.8,30,99
17,411,0.8500000000000001,36,70
18,427,0.9,27,53
19,453,0.9500000000000001,15,43
20,460,1.0,17,31
21,94,0.0,155,345
22,106,0.05,138,337
23,148,0.1,141,304
24,137,0.15000000000000002,148,276
25,142,0.2,134,276
26,178,0.25,124,267
27,195,0.30000000000000004,134,231
28,221,0.35000000000000003,112,237
29,255,0.4,101,191
30,263,0.45,100,181
31,276,0.5,83,190
32,302,0.55,75,162
33,338,0.6000000000000001,67,133
34,350,0.65,62,125
35,354,0.7000000000000001,64,120
36,377,0.75,59,92
37,389,0.8,42,88
38,422,0.8500000000000001,26,72
39,436,0.9,23,57
40,454,0.9500000000000001,16,34
41,470,1.0,9,31
42,92,0.0,173,327
43,111,0.05,163,318
44,120,0.1,158,295
45,126,0.15000000000000002,149,292
46,155,0.2,148,259
47,168,0.25,142,255
48,190,0.30000000000000004,116,259
49,220,0.35000000000000003,106,244
50,236,0.4,117,201
51,260,0.45,106,181
52,253,0.5,107,188
53,287,0.55,104,154
54,301,0.6000000000000001,84,164
55,339,0.65,66,136
56,331,0.7000000000000001,65,140
57,373,0.75,47,111
58,392,0.8,37,102
59,392,0.8500000000000001,45,85
60,439,0.9,22,52
61,449,0.9500000000000001,17,41
62,465,1.0,12,26
63,96,0.0,159,341
64,111,0.05,159,316
65,127,0.1,172,290
66,137,0.15000000000000002,134,296
67,170,0.2,129,276
68,213,0.25,124,241
69,201,0.30000000000000004,115,252
70,226,0.35000000000000003,99,239
71,229,0.4,98,214
72,257,0.45,94,202
73,278,0.5,82,178
74,266,0.55,82,186
75,314,0.6000000000000001,80,166
76,327,0.65,70,134
77,358,0.7000000000000001,57,112
78,358,0.75,57,111
79,384,0.8,48,96
80,408,0.8500000000000001,35,71
81,429,0.9,24,67
82,449,0.9500000000000001,19,42
83,462,1.0,17,26
84,83,0.0,159,341
85,98,0.05,170,305
86,121,0.1,170,281
87,130,0.15000000000000002,146,287
88,155,0.2,144,265
89,189,0.25,112,258
90,193,0.30000000000000004,116,257
91,225,0.35000000000000003,113,219
92,251,0.4,116,185
93,262,0.45,111,181
94,269,0.5,84,193
95,272,0.55,102,159
96,329,0.6000000000000001,65,145
97,327,0.65,82,120
98,352,0.7000000000000001,62,112
99,379,0.75,45,97
100,399,0.8,34,91
101,404,0.8500000000000001,41,75
102,443,0.9,27,44
103,462,0.9500000000000001,14,31
104,460,1.0,16,29
105,101,0.0,163,337
106,97,0.05,174,306
107,130,0.1,125,320
108,131,0.15000000000000002,138,304
109,145,0.2,157,279
110,183,0.25,118,270
111,196,0.30000000000000004,120,240
112,207,0.35000000000000003,135,215
113,225,0.4,107,213
114,243,0.45,106,194
115,288,0.5,82,190
116,296,0.55,77,180
117,319,0.6000000000000001,83,140
118,332,0.65,64,127
119,361,0.7000000000000001,48,122
120,379,0.75,47,99
121,406,0.8,36,84
122,412,0.8500000000000001,35,68
123,424,0.9,30,63
124,434,0.9500000000000001,22,51
125,470,1.0,12,28
126,89,0.0,161,339
127,116,0.05,145,329
128,124,0.1,149,302
129,153,0.15000000000000002,168,263
130,161,0.2,138,267
131,167,0.25,128,272
132,183,0.30000000000000004,137,236
133,219,0.35000000000000003,103,226
134,248,0.4,109,199
135,246,0.45,94,209
136,272,0.5,90,195
137,300,0.55,88,154
138,329,0.6000000000000001,64,148
139,327,0.65,64,142
140,337,0.7000000000000001,68,123
141,361,0.75,57,106
142,374,0.8,49,101
143,411,0.8500000000000001,39,70
