,alive,dead,percent,b,z,tage,Lx,dincl,inclination
0-5.0-66.18.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,5.0,66.18
0-5.0-0.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,5.0,0
0-10.0-0.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,10.0,0
0-10.0-84.83.txt,0.0,49.9689445,0.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,10.0,84.83
0-15.0-81.34.txt,0.0,49.9689445,0.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,15.0,81.34
0-15.0-0.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,15.0,0
0-20.0-0.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,20.0,0
0-20.0-54.2.txt,24.48563624599998,25.452703592000017,0.49031738590893087,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,20.0,54.2
0-25.0-0.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,25.0,0
0-25.0-2.28.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,25.0,2.28
0-30.0-7.16.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,30.0,7.16
0-30.0-0.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,30.0,0
0-35.0-0.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,35.0,0
0-35.0-53.5.txt,25.10719777299997,24.825801489000025,0.5028177386513821,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,35.0,53.5
0-40.0-4.82.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,40.0,4.82
0-40.0-0.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,40.0,0
0-45.0-0.txt,49.9689445,0.0,1.0,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,45.0,0
0-45.0-64.82.txt,21.078833354999986,28.832917371000015,0.4223220594027292,0.021966780277582528,0.0002,10.0,6.7922638197189744e+41,45.0,64.82
1-5.0-88.68.txt,0.0,49.9689445,0.0,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,5.0,88.68
1-5.0-0.txt,49.9689445,0.0,1.0,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,5.0,0
1-10.0-0.txt,37.85228574599994,12.454668328000057,0.7524265072840701,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,10.0,0
1-10.0-21.79.txt,0.0,49.9689445,0.0,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,10.0,21.79
1-15.0-31.83.txt,0.0,49.9689445,0.0,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,15.0,31.83
1-15.0-0.txt,21.252991985999948,28.69820214800005,0.42547515338644915,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,15.0,0
1-20.0-36.19.txt,0.0,49.9689445,0.0,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,20.0,36.19
1-20.0-0.txt,15.32857577399998,34.59000432400001,0.30707155019046956,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,20.0,0
1-25.0-0.txt,12.148147655999962,37.78646284300004,0.2432811137325932,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,25.0,0
1-25.0-17.76.txt,19.467584601000013,30.458983034999985,0.3899243533609696,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,25.0,17.76
1-30.0-63.3.txt,0.0,49.9689445,0.0,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,30.0,63.3
1-30.0-0.txt,9.857128136999984,40.087901537000015,0.19735954110627615,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,30.0,0
1-35.0-0.txt,8.325219844000015,41.62715778599998,0.16666313474936822,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,35.0,0
1-35.0-54.31.txt,0.0,49.9689445,0.0,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,35.0,54.31
1-40.0-18.48.txt,8.384176564999978,41.52434066800002,0.16799089674129367,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,40.0,18.48
1-40.0-0.txt,7.446427814999995,42.511438553999994,0.14905416015966358,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,40.0,0
1-45.0-0.txt,6.598286456999979,43.30194263300002,0.13222958245540953,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,45.0,0
1-45.0-11.63.txt,7.032472020999952,42.909062447000046,0.14081409584052734,0.8692337159997686,0.0002,10.0,1.2783767163372629e+40,45.0,11.63
2-5.0-0.txt,49.9689445,0.0,1.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,5.0,0
2-5.0-74.88.txt,0.0,49.9689445,0.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,5.0,74.88
2-10.0-0.txt,49.9689445,0.0,1.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,10.0,0
2-10.0-83.04.txt,0.0,49.9689445,0.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,10.0,83.04
2-15.0-0.txt,49.9689445,0.0,1.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,15.0,0
2-15.0-71.52.txt,0.0,49.9689445,0.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,15.0,71.52
2-20.0-0.txt,49.9689445,0.0,1.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,20.0,0
2-20.0-71.87.txt,0.0,49.9689445,0.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,20.0,71.87
2-25.0-50.79.txt,23.441867916999982,26.506176153000013,0.46932504272133724,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,25.0,50.79
2-25.0-0.txt,49.9689445,0.0,1.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,25.0,0
2-30.0-0.txt,49.9689445,0.0,1.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,30.0,0
2-30.0-25.49.txt,38.778433129999975,11.139592495000025,0.776842285817068,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,30.0,25.49
2-35.0-72.41.txt,12.93275614600001,36.996493751999985,0.25902163906768516,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,35.0,72.41
2-35.0-0.txt,49.9689445,0.0,1.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,35.0,0
2-40.0-50.9.txt,24.14322300699997,25.799600471000026,0.48341726249488387,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,40.0,50.9
2-40.0-0.txt,49.9689445,0.0,1.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,40.0,0
2-45.0-0.txt,49.9689445,0.0,1.0,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,45.0,0
2-45.0-18.09.txt,36.89505839099998,13.043940529000025,0.7388025228560183,0.2352805557003881,0.0002,10.0,4.853973417605937e+40,45.0,18.09
3-5.0-0.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,5.0,0
3-5.0-8.07.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,5.0,8.07
3-10.0-21.4.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,10.0,21.4
3-10.0-0.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,10.0,0
3-15.0-0.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,15.0,0
3-15.0-59.42.txt,17.98225271800001,31.95869215399999,0.36007033435368535,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,15.0,59.42
3-20.0-23.14.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,20.0,23.14
3-20.0-0.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,20.0,0
3-25.0-62.35.txt,19.058415416000024,30.873514640999975,0.3816879378434563,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,25.0,62.35
3-25.0-0.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,25.0,0
3-30.0-0.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,30.0,0
3-30.0-15.43.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,30.0,15.43
3-35.0-16.72.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,35.0,16.72
3-35.0-0.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,35.0,0
3-40.0-0.txt,49.9689445,0.0,1.0,0.004679314141970242,0.0002,10.0,1.2254554634607142e+42,40.0,0
