,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
5036541,251,10.0,0.0,21.672161319172073,60.0,13.0,0.2,0,1.0,4.47497901000001,45.43946132600001,0.0896529938005235
5309522,251,10.0,0.0,21.672161319172073,49.0,18.0,0.2,0,1.0,23.20024975,26.757455456,0.4643978272087168
430219,251,10.0,0.0,21.672161319172073,70.17,29.0,0.2,0,1.0,10.13868958,39.782763146,0.20309283937804126
5262134,251,10.0,0.0,21.672161319172073,44.0,30.0,0.2,0,1.0,26.51302741000001,23.399229715999994,0.5311927157104862
5347029,251,10.0,0.0,21.672161319172073,69.0,40.0,0.2,0,1.0,15.66060486000001,34.283992376,0.3135595385022319
5059813,251,10.0,0.0,21.672161319172073,43.0,36.0,0.2,0,1.0,26.74851799,23.205566116000014,0.5354620842059883
4932220,251,10.0,0.0,21.672161319172073,46.0,25.0,0.2,0,1.0,25.61173995,24.339642626,0.5127333544978914
5201287,251,10.0,0.0,21.672161319172073,62.0,26.0,0.2,0,1.0,15.124323940000007,34.81833849599999,0.30283375379479155
5337640,251,10.0,0.0,21.672161319172073,56.0,31.0,0.2,0,1.0,20.28290853000001,29.669886245999994,0.4060415162145243
3537312,251,10.0,0.0,21.672161319172073,80.15,45.0,0.2,0,1.0,11.726707269999993,38.206450176,0.23484810233924805
1130372,251,10.0,0.0,21.672161319172073,42.34,15.0,0.2,0,1.0,30.01690537000001,19.901720025999992,0.6013167456411024
4384943,251,10.0,0.0,21.672161319172073,57.26,20.0,0.2,0,1.0,16.279002960000007,33.660105845999986,0.3259770418258675
3815840,251,10.0,0.0,21.672161319172073,32.99,21.0,0.2,0,1.0,36.54786985,13.386135805999999,0.7319234531629941
2544387,251,10.0,0.0,21.672161319172073,52.82,44.0,0.2,0,1.0,22.875842069999994,27.053277686000005,0.4581663402397755
2927106,251,10.0,0.0,21.672161319172073,64.17,26.0,0.2,0,1.0,13.37761668,36.560649096,0.2678830846871177
990836,251,10.0,0.0,21.672161319172073,53.34,28.0,0.2,0,1.0,21.28473980000002,28.62117348599999,0.4264973506851137
5093917,251,10.0,0.0,21.672161319172073,43.0,21.0,0.2,0,1.0,27.985938650000005,21.962864196000005,0.5602924806082951
5228465,251,10.0,0.0,21.672161319172073,48.0,41.0,0.2,0,1.0,24.57640424,25.356071716,0.4921927817410153
5019124,251,10.0,0.0,21.672161319172073,16.0,39.0,0.2,0,1.0,39.540560020000015,10.392708505999996,0.7918680508449278
3291463,251,10.0,0.0,21.672161319172073,43.63,35.0,0.2,0,1.0,26.497668730000008,23.420433695999993,0.5308228366509102
5192731,251,10.0,0.0,21.672161319172073,11.0,38.0,0.2,0,1.0,44.673355796999985,5.2382504820000015,0.8950494509690031
4966498,251,10.0,0.0,21.672161319172073,76.0,34.0,0.2,0,1.0,8.598200730000002,41.303434166,0.1723029866239756
5131422,251,10.0,0.0,21.672161319172073,40.0,32.0,0.2,0,1.0,28.47717002000001,21.482300935999998,0.570005435907843
4989496,251,10.0,0.0,21.672161319172073,22.0,29.0,0.2,0,1.0,41.38350674800001,8.545845289999994,0.8288412538681463
5300835,251,10.0,0.0,21.672161319172073,42.0,15.0,0.2,0,1.0,30.444449330000005,19.49699045599999,0.6096029561913923
5140415,251,10.0,0.0,21.672161319172073,12.0,40.0,0.2,0,1.0,41.862662945,8.083010516000003,0.8381639498301768
3908291,251,10.0,0.0,21.672161319172073,10.99,41.0,0.2,0,1.0,42.01156260799999,7.923022840000002,0.8413319592239182
5015935,251,10.0,0.0,21.672161319172073,71.0,39.0,0.2,0,1.0,14.39709377,35.562302765999995,0.288175894190909
3529751,251,10.0,0.0,21.672161319172073,21.8,43.0,0.2,0,1.0,34.922389630000005,14.988632305999994,0.6996929390622447
5222831,251,10.0,0.0,21.672161319172073,66.0,42.0,0.2,0,1.0,17.501638189999994,32.438291236000005,0.3504538030221604
3791068,251,10.0,0.0,21.672161319172073,19.71,43.0,0.2,0,1.0,35.94228332999999,13.991387306000002,0.7198005448469309
