,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
4546090,867,10.0,0.0,28.73941890393202,56.24,12.0,0.2,0,1.0,12.019309430000002,37.885408485999996,0.2408451531622921
3498614,870,10.0,0.0,42.34701669711429,51.37,44.0,0.2,0,1.0,21.90273435,27.998248726000014,0.43892390489866256
5384790,950,10.0,0.0,40.50325772268196,24.0,19.0,0.2,0,1.0,45.08436925499999,4.84955014600001,0.9028806429742646
3687884,870,10.0,0.0,42.34701669711429,38.2,42.0,0.2,0,1.0,26.80406091,23.141347146000005,0.5366671722843196
4982607,164,10.0,0.0,29.619921050056337,56.0,21.0,0.2,0,1.0,21.57966047000001,28.35292021599999,0.4321759495208801
2142172,870,10.0,0.0,42.34701669711429,23.51,37.0,0.2,0,1.0,33.78898278999999,16.114551906,0.6770859618629047
4890601,870,10.0,0.0,42.34701669711429,52.86,10.0,0.2,0,1.0,1.4486269199999882,48.487906726000006,0.02900936076719505
4370981,899,10.0,0.0,44.37160371546218,88.45,43.0,0.2,0,1.0,0.491271880000018,49.43056755599999,0.009840820882207885
3723402,899,10.0,0.0,44.37160371546218,37.8,16.0,0.2,0,1.0,32.95801586,16.966068636,0.6601626488041188
3726531,899,10.0,0.0,44.37160371546218,26.57,26.0,0.2,0,1.0,37.96210856,11.945422566,0.7606488981424113
3381601,899,10.0,0.0,44.37160371546218,69.55,36.0,0.2,0,1.0,13.360621490000002,36.586754496,0.26749396191993985
1347111,948,10.0,0.0,43.42721184299677,51.98,27.0,0.2,0,1.0,19.628601060000005,30.329309226000003,0.3929027644997521
5067029,914,10.0,0.0,34.2312934930983,20.0,36.0,0.2,0,1.0,37.02115560000001,12.927133275999992,0.7411896670155713
2754470,678,10.0,0.0,39.90542332846381,43.65,23.0,0.2,0,1.0,28.144617050000004,21.787787606000013,0.5636543491926154
5182135,950,10.0,0.0,40.50325772268196,73.0,41.0,0.2,0,1.0,11.127807270000002,38.805473366,0.22285351830012293
4508778,948,10.0,0.0,43.42721184299677,32.35,11.0,0.2,0,1.0,45.866437598999994,4.042351658000005,0.9190052149495284
5238208,807,10.0,0.0,19.91154060726036,59.0,39.0,0.2,0,1.0,22.606747469999995,27.349549145999998,0.4525304916769894
17099,381,10.0,0.0,13.256834560828414,24.36,42.0,0.2,0,1.0,40.827162392000005,9.10435562199999,0.8176631517702452
4214144,899,10.0,0.0,44.37160371546218,57.67,37.0,0.2,0,1.0,19.685899780000007,30.268232515999998,0.3940795060427128
3779907,950,10.0,0.0,40.50325772268196,20.64,44.0,0.2,0,1.0,32.90402944,17.024296886,0.65902528406736
3897428,870,10.0,0.0,42.34701669711429,62.9,33.0,0.2,0,1.0,14.592471609999995,35.340430426,0.2922416085385804
304805,950,10.0,0.0,40.50325772268196,44.14,8.0,0.2,0,1.0,20.977137570000007,28.964700865999998,0.4200313449990835
2143167,870,10.0,0.0,42.34701669711429,54.99,44.0,0.2,0,1.0,20.57492069,29.344748206000013,0.4121606001206599
4098006,492,10.0,0.0,17.037300021376776,72.82,39.0,0.2,0,1.0,22.324996,27.603433786,0.4471399580497114
307845,948,10.0,0.0,43.42721184299677,14.07,37.0,0.2,0,1.0,39.34005939000001,10.619594436000003,0.7874365888725724
526801,870,10.0,0.0,42.34701669711429,64.3,24.0,0.2,0,1.0,7.417503960000001,42.485020716,0.14863985355769702
4706510,278,10.0,0.0,34.49645655757421,69.79,20.0,0.2,0,1.0,6.477501990000008,43.469862566,0.12968656199542938
5342536,463,10.0,0.0,36.82945307840063,53.0,19.0,0.2,0,1.0,23.07562538,26.865418416,0.4620573305247623
3512981,914,10.0,0.0,34.2312934930983,57.5,22.0,0.2,0,1.0,15.178413420000007,34.759912175999986,0.30394317868790904
2284597,950,10.0,0.0,40.50325772268196,29.49,34.0,0.2,0,1.0,30.90352640000001,19.056702576,0.6185625453167061
425819,870,10.0,0.0,42.34701669711429,28.43,27.0,0.2,0,1.0,34.03934382,15.902316456,0.6815821426817477
987072,899,10.0,0.0,44.37160371546218,54.55,43.0,0.2,0,1.0,21.57966047000001,28.35292021599999,0.4321759495208801
3358562,899,10.0,0.0,44.37160371546218,12.18,40.0,0.2,0,1.0,40.65392202500001,9.289159945999993,0.814005071785641
1241279,870,10.0,0.0,42.34701669711429,5.02,45.0,0.2,0,1.0,40.879287126000015,9.036280923999987,0.8189686849812383
2323361,899,10.0,0.0,44.37160371546218,49.99,5.0,0.2,0,1.0,7.1883468499999985,42.746023386,0.14395589282545088
2110183,870,10.0,0.0,42.34701669711429,59.93,43.0,0.2,0,1.0,18.630448839999982,31.318443906000013,0.3729902269253396
5027425,605,10.0,0.0,32.73170446904399,30.0,22.0,0.2,0,1.0,37.55712874,12.396176966000006,0.7518447119604524
