,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
2903696,251,10.0,0.0,21.672161319172073,16.78,32.0,0.2,0,1.0,44.418713219,5.510534127999997,0.8896331424805446
3520813,251,10.0,0.0,21.672161319172073,25.53,31.0,0.2,0,1.0,37.12115121000001,12.814213465999991,0.7433840015158881
2544372,251,10.0,0.0,21.672161319172073,52.82,22.0,0.2,0,1.0,20.65172699,29.260630806000012,0.4137597962093274
5129245,251,10.0,0.0,21.672161319172073,85.0,43.0,0.2,0,1.0,7.701655319999998,42.241935976,0.15420707882928766
3815860,251,10.0,0.0,21.672161319172073,32.99,42.0,0.2,0,1.0,30.429570580000004,19.516750585999986,0.6092454833433129
5009595,251,10.0,0.0,21.672161319172073,39.0,32.0,0.2,0,1.0,28.89797529,21.008506426000004,0.579042527069892
4932781,251,10.0,0.0,21.672161319172073,42.0,8.0,0.2,0,1.0,38.22507362,11.715033066000009,0.765418341221042
5115791,251,10.0,0.0,21.672161319172073,58.0,25.0,0.2,0,1.0,17.691902479999982,32.22785076600002,0.3544068495854917
5052068,251,10.0,0.0,21.672161319172073,55.0,19.0,0.2,0,1.0,17.97307858,31.976819875999993,0.35982212448003625
5044958,251,10.0,0.0,21.672161319172073,38.0,12.0,0.2,0,1.0,39.80385584000001,10.099869285999997,0.7976129184645189
4982614,251,10.0,0.0,21.672161319172073,14.0,39.0,0.2,0,1.0,40.982169262000006,8.931142751999989,0.8210669179898354
4979467,251,10.0,0.0,21.672161319172073,73.0,33.0,0.2,0,1.0,10.491860520000003,39.457213026,0.2100511536082376
5020753,251,10.0,0.0,21.672161319172073,12.0,45.0,0.2,0,1.0,39.10407136999999,10.810883206000003,0.7834139428186904
5126516,251,10.0,0.0,21.672161319172073,36.0,17.0,0.2,0,1.0,36.12487173,13.786156896000008,0.7237853581559242
5174653,251,10.0,0.0,21.672161319172073,59.0,18.0,0.2,0,1.0,13.331184180000005,36.620755376,0.26688021122892963
4644256,251,10.0,0.0,21.672161319172073,57.13,40.0,0.2,0,1.0,20.90409519,29.044982106000003,0.41850813511772383
919968,251,10.0,0.0,21.672161319172073,36.41,27.0,0.2,0,1.0,31.29651623000001,18.611915955999986,0.6270787291687178
3529747,251,10.0,0.0,21.672161319172073,21.8,37.0,0.2,0,1.0,36.87291198,13.085154555999994,0.7380772423093921
4384951,251,10.0,0.0,21.672161319172073,57.26,21.0,0.2,0,1.0,16.78079057,33.170570065999996,0.3359426120998607
5067782,251,10.0,0.0,21.672161319172073,14.0,38.0,0.2,0,1.0,41.595430474000004,8.310686958000003,0.833473582285302
5158675,251,10.0,0.0,21.672161319172073,53.0,41.0,0.2,0,1.0,22.622595869999994,27.326881256000004,0.4529095632559554
3380828,251,10.0,0.0,21.672161319172073,27.04,40.0,0.2,0,1.0,33.28996436999999,16.666896576,0.6663742224713479
4957029,251,10.0,0.0,21.672161319172073,42.0,32.0,0.2,0,1.0,27.439855810000008,22.502259465999998,0.5494331919734765
5350513,251,10.0,0.0,21.672161319172073,61.0,16.0,0.2,0,1.0,7.8508814299999905,42.06645091600001,0.15727766411037192
5337640,251,10.0,0.0,21.672161319172073,56.0,31.0,0.2,0,1.0,20.28290853000001,29.669886245999994,0.4060415162145243
5120713,251,10.0,0.0,21.672161319172073,63.0,19.0,0.2,0,1.0,8.879855730000003,41.05829109600001,0.17781708562274393
3815834,251,10.0,0.0,21.672161319172073,32.99,15.0,0.2,0,1.0,44.255051923,5.7017493399999974,0.8858664046566381
5044667,251,10.0,0.0,21.672161319172073,49.0,45.0,0.2,0,1.0,24.233921790000004,25.671415975999995,0.4855977912348752
5254747,251,10.0,0.0,21.672161319172073,87.0,41.0,0.2,0,1.0,3.2388528900000098,46.688833496,0.06487087875372094
5150261,251,10.0,0.0,21.672161319172073,86.0,42.0,0.2,0,1.0,5.887559730000016,44.057528856000005,0.11788065446840244
5160426,251,10.0,0.0,21.672161319172073,71.0,32.0,0.2,0,1.0,11.3688938,38.540316336,0.2277914991846265
5286716,251,10.0,0.0,21.672161319172073,52.0,23.0,0.2,0,1.0,21.46954805000001,28.484295045999993,0.4297877144054841
5113436,251,10.0,0.0,21.672161319172073,49.0,2.0,0.2,0,1.0,20.455648280000005,29.475021496,0.4096810311531681
2544386,251,10.0,0.0,21.672161319172073,52.82,43.0,0.2,0,1.0,22.85664291999999,27.075859286000004,0.4577508017864462
5029128,251,10.0,0.0,21.672161319172073,57.0,11.0,0.2,0,1.0,8.887174230000008,41.050972596,0.17796363691599687
990825,251,10.0,0.0,21.672161319172073,53.34,22.0,0.2,0,1.0,20.28290853000001,29.669886245999994,0.4060415162145244
5325543,251,10.0,0.0,21.672161319172073,38.0,26.0,0.2,0,1.0,30.481473810000004,19.447815215999988,0.6104928470767368
5101263,251,10.0,0.0,21.672161319172073,35.0,17.0,0.2,0,1.0,37.38920782999999,12.515972346000009,0.7492049462228154
5136999,251,10.0,0.0,21.672161319172073,54.0,43.0,0.2,0,1.0,22.35331417,27.564777546,0.44779985375192544
4969824,251,10.0,0.0,21.672161319172073,31.0,23.0,0.2,0,1.0,37.12436211000001,12.807791665999991,0.7434961102728141
5307217,251,10.0,0.0,21.672161319172073,19.0,40.0,0.2,0,1.0,37.25381012,12.662407755999995,0.7463267792552818
4956204,251,10.0,0.0,21.672161319172073,62.0,38.0,0.2,0,1.0,18.527031909999987,31.425777576000005,0.3708906886446989
1130358,251,10.0,0.0,21.672161319172073,42.34,12.0,0.2,0,1.0,32.325435930000005,17.609984725999997,0.6473448206772227
5010531,251,10.0,0.0,21.672161319172073,37.0,19.0,0.2,0,1.0,33.640029899999995,16.273626496,0.6739644483888353
5214788,251,10.0,0.0,21.672161319172073,29.0,34.0,0.2,0,1.0,33.87806247,16.083628546,0.6780807811158895
2544361,251,10.0,0.0,21.672161319172073,52.82,34.0,0.2,0,1.0,22.20269175,27.729192486,0.4446596015696169
3534509,251,10.0,0.0,21.672161319172073,28.15,35.0,0.2,0,1.0,34.037351949999994,15.906300195999998,0.681515077241424
5190087,251,10.0,0.0,21.672161319172073,55.0,43.0,0.2,0,1.0,21.993282369999992,27.962904586000015,0.4402514224988999
4384939,251,10.0,0.0,21.672161319172073,57.26,32.0,0.2,0,1.0,19.764294670000005,30.182295976,0.3957085841970845
5026811,251,10.0,0.0,21.672161319172073,9.0,42.0,0.2,0,1.0,42.87039626899999,7.033044687999997,0.8590669390100749
5266230,251,10.0,0.0,21.672161319172073,57.0,29.0,0.2,0,1.0,19.31491543,30.614985216000004,0.3868406541992059
5018850,251,10.0,0.0,21.672161319172073,83.0,41.0,0.2,0,1.0,7.8135698699999905,42.114246216000005,0.15649732919503673
4966871,251,10.0,0.0,21.672161319172073,51.0,12.0,0.2,0,1.0,20.455648280000005,29.475021496,0.4096810311531681
2927111,251,10.0,0.0,21.672161319172073,64.17,42.0,0.2,0,1.0,18.262560149999988,31.655593586000013,0.36585007223192617
5145217,251,10.0,0.0,21.672161319172073,6.0,43.0,0.2,0,1.0,44.94132770900001,4.999445837999996,0.8998925030006805
5157561,251,10.0,0.0,21.672161319172073,63.0,26.0,0.2,0,1.0,14.326904300000002,35.579176595999996,0.2870773269064354
383889,251,10.0,0.0,21.672161319172073,84.13,39.0,0.2,0,1.0,4.7474533499999945,45.200968826,0.0950471134658008
