,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
4864807,251,10.0,0.0,21.672161319172073,67.7,28.0,0.2,0,1.0,11.644421599999996,38.29826280600001,0.233155701150118
5202331,251,10.0,0.0,21.672161319172073,30.0,30.0,0.2,0,1.0,34.534189469999994,15.416783076000009,0.6913617034822966
5131940,251,10.0,0.0,21.672161319172073,12.0,44.0,0.2,0,1.0,39.54316272000001,10.387503105999997,0.7919614542654267
4723619,251,10.0,0.0,21.672161319172073,24.5,27.0,0.2,0,1.0,40.581195308000005,9.373595279999988,0.8123584311000658
5031066,251,10.0,0.0,21.672161319172073,58.0,17.0,0.2,0,1.0,13.706658079999995,36.20441271600001,0.2746215992043689
3520822,251,10.0,0.0,21.672161319172073,25.53,29.0,0.2,0,1.0,38.21626524,11.732649826000006,0.7651070136258802
2060501,251,10.0,0.0,21.672161319172073,14.68,42.0,0.2,0,1.0,38.93293843,11.002543985999994,0.779664810397934
5104641,251,10.0,0.0,21.672161319172073,53.0,12.0,0.2,0,1.0,17.650565259999983,32.273213216000016,0.3535502680047583
5201160,251,10.0,0.0,21.672161319172073,58.0,45.0,0.2,0,1.0,21.014447220000008,28.920170466,0.4208392532840349
5003233,251,10.0,0.0,21.672161319172073,76.0,43.0,0.2,0,1.0,13.17736227,36.73069629599999,0.2640327564049369
2426883,251,10.0,0.0,21.672161319172073,71.9,34.0,0.2,0,1.0,11.832780259999993,38.090873816000006,0.2370175116185739
247600,251,10.0,0.0,21.672161319172073,33.83,23.0,0.2,0,1.0,34.63085936,15.312422996000002,0.6934037517427922
5349921,251,10.0,0.0,21.672161319172073,8.0,45.0,0.2,0,1.0,41.579860491999995,8.330434332000003,0.8330918628836829
5113828,251,10.0,0.0,21.672161319172073,34.0,16.0,0.2,0,1.0,40.05523341,9.895578776,0.8018935360019332
5350309,251,10.0,0.0,21.672161319172073,39.0,45.0,0.2,0,1.0,27.80905429000001,22.094078356,0.5572606931767248
5176449,251,10.0,0.0,21.672161319172073,83.0,43.0,0.2,0,1.0,9.098591829999997,40.814036096,0.18229037836856607
5286097,251,10.0,0.0,21.672161319172073,51.0,8.0,0.2,0,1.0,18.70043899999999,31.232835906000012,0.3745085623805727
1130382,251,10.0,0.0,21.672161319172073,42.34,34.0,0.2,0,1.0,27.12160431000001,22.789421156,0.5433990597623679
5133458,251,10.0,0.0,21.672161319172073,45.0,19.0,0.2,0,1.0,26.550338000000004,23.359001835999997,0.5319713321643464
5267836,251,10.0,0.0,21.672161319172073,76.0,40.0,0.2,0,1.0,11.999156330000005,37.905561586,0.24044132160404305
75596,251,10.0,0.0,21.672161319172073,82.43,45.0,0.2,0,1.0,10.504298580000004,39.439858055999984,0.21032087210035008
4449011,251,10.0,0.0,21.672161319172073,16.84,43.0,0.2,0,1.0,37.33001448,12.583039945999994,0.7479008229268891
5257108,251,10.0,0.0,21.672161319172073,59.0,21.0,0.2,0,1.0,15.199512510000007,34.73448149599999,0.3043920842417224
5011922,251,10.0,0.0,21.672161319172073,69.0,42.0,0.2,0,1.0,16.16689789000001,33.78480775599999,0.323650567701778
247602,251,10.0,0.0,21.672161319172073,33.83,22.0,0.2,0,1.0,35.11142812,14.841254955999998,0.7028937377914231
5138286,251,10.0,0.0,21.672161319172073,78.0,35.0,0.2,0,1.0,7.49927387,42.454866496,0.15012316927195465
4899394,251,10.0,0.0,21.672161319172073,68.08,32.0,0.2,0,1.0,13.456788320000005,36.476930816,0.26949301099221057
5399351,251,10.0,0.0,21.672161319172073,76.0,42.0,0.2,0,1.0,12.798259450000018,37.146650045999976,0.2562475251061373
5288449,251,10.0,0.0,21.672161319172073,56.0,43.0,0.2,0,1.0,21.57612782000001,28.35998551599999,0.4320746325374371
3815842,251,10.0,0.0,21.672161319172073,32.99,16.0,0.2,0,1.0,41.849210355,8.098495446000003,0.8378605119869618
5169980,251,10.0,0.0,21.672161319172073,20.0,39.0,0.2,0,1.0,37.12275767000001,12.81100054599999,0.7434400893563219
5249458,251,10.0,0.0,21.672161319172073,59.0,33.0,0.2,0,1.0,19.02688850999999,30.933709236000013,0.3808378876236192
5075202,251,10.0,0.0,21.672161319172073,40.0,27.0,0.2,0,1.0,29.14469968,20.808313446000003,0.5834422761743375
5011676,251,10.0,0.0,21.672161319172073,46.0,17.0,0.2,0,1.0,25.86280245000001,24.058355095999993,0.5180729718890964
56045,251,10.0,0.0,21.672161319172073,12.52,36.0,0.2,0,1.0,45.195481826999995,4.726817112000008,0.9053165176191966
5160868,251,10.0,0.0,21.672161319172073,16.0,45.0,0.2,0,1.0,37.06979364,12.870402595999991,0.7422836999842983
2544354,251,10.0,0.0,21.672161319172073,52.82,29.0,0.2,0,1.0,21.68080769000001,28.241201036,0.4342935759856229
5119098,251,10.0,0.0,21.672161319172073,48.0,24.0,0.2,0,1.0,24.233921790000004,25.671415975999995,0.4855977912348752
5169724,251,10.0,0.0,21.672161319172073,60.0,30.0,0.2,0,1.0,17.762128469999983,32.14557915600001,0.35589950560555506
5006738,251,10.0,0.0,21.672161319172073,54.0,25.0,0.2,0,1.0,20.398545140000003,29.539481276,0.4084771987197389
5158398,251,10.0,0.0,21.672161319172073,41.0,15.0,0.2,0,1.0,31.55359908,18.391625055999995,0.6317640900775635
4214092,251,10.0,0.0,21.672161319172073,72.63,28.0,0.2,0,1.0,6.465068940000006,43.487712966000004,0.1294236015156438
4989062,251,10.0,0.0,21.672161319172073,66.0,27.0,0.2,0,1.0,12.411195769999996,37.508723006,0.248622114665117
4974717,251,10.0,0.0,21.672161319172073,66.0,37.0,0.2,0,1.0,16.366059120000006,33.56886114599999,0.3277477771631375
4943019,251,10.0,0.0,21.672161319172073,46.0,15.0,0.2,0,1.0,26.098641789999995,23.860788596000003,0.5223967044530906
1130375,251,10.0,0.0,21.672161319172073,42.34,21.0,0.2,0,1.0,28.479850800000005,21.476939376,0.5700896854994929
5163777,251,10.0,0.0,21.672161319172073,48.0,14.0,0.2,0,1.0,24.32417884,25.633741145999995,0.4868933463766407
