,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
1784829,991,10.0,0.0,40.50325772268196,33.64,23.0,0.2,0,1.0,30.91067323000001,19.042408915999992,0.6187941144383458
1628095,991,10.0,0.0,40.50325772268196,72.43,36.0,0.2,0,1.0,8.704986590000008,41.248547766,0.1742616754194578
5417713,108,10.0,0.0,19.57368422433964,47.0,38.0,0.2,0,1.0,31.27709274000001,18.640652075999988,0.6265726317422667
5340245,881,10.0,0.0,29.938962136889728,50.0,37.0,0.2,0,1.0,26.10161773,23.854836716000005,0.5224873946611707
4964050,142,10.0,0.0,31.52863959628417,14.0,45.0,0.2,0,1.0,44.397939689,5.540344317999997,0.8890561734715716
2977447,991,10.0,0.0,40.50325772268196,41.47,37.0,0.2,0,1.0,25.13331415000001,24.804984755999993,0.503287350602571
5148176,248,10.0,0.0,36.95849457752373,62.0,7.0,0.2,0,1.0,7.888193919999987,42.02913842600001,0.15802514976808624
5393649,991,10.0,0.0,40.50325772268196,51.0,33.0,0.2,0,1.0,20.451972350000005,29.482373356,0.4095772571130844
194700,991,10.0,0.0,40.50325772268196,30.23,23.0,0.2,0,1.0,33.56150425999999,16.368478206,0.6721713608222039
806260,991,10.0,0.0,40.50325772268196,18.09,41.0,0.2,0,1.0,34.73127253,15.196743525999999,0.6956269299994795
4100880,991,10.0,0.0,40.50325772268196,48.38,38.0,0.2,0,1.0,22.15294148,27.782401726,0.4436325067119635
3900634,991,10.0,0.0,40.50325772268196,56.44,27.0,0.2,0,1.0,15.992764350000016,33.922072525999994,0.3204010140257442
5261429,103,10.0,0.0,20.11121775969163,41.0,40.0,0.2,0,1.0,30.759542970000005,19.150461325999988,0.6163001467115724
147497,991,10.0,0.0,40.50325772268196,68.41,32.0,0.2,0,1.0,9.203165559999997,40.751332946000005,0.1842309668846863
3930477,991,10.0,0.0,40.50325772268196,81.76,43.0,0.2,0,1.0,5.8820746800000165,44.06849895599999,0.1177579004970772
5272100,22,10.0,0.0,40.11796100648079,61.0,41.0,0.2,0,1.0,22.9955094,26.910051506,0.4607805018625754
135514,991,10.0,0.0,40.50325772268196,54.77,40.0,0.2,0,1.0,19.751860190000013,30.198498896,0.3954297937276696
3293586,991,10.0,0.0,40.50325772268196,70.04,39.0,0.2,0,1.0,11.999156330000005,37.905561586,0.24044132160404305
3176240,991,10.0,0.0,40.50325772268196,48.39,13.0,0.2,0,1.0,16.95478853000001,32.980076405999995,0.3395380873009358
1976885,991,10.0,0.0,40.50325772268196,64.15,39.0,0.2,0,1.0,15.199512510000007,34.73448149599999,0.3043920842417224
5250593,881,10.0,0.0,29.938962136889728,52.0,12.0,0.2,0,1.0,26.395953840000004,23.528008676,0.528723132334306
5401991,22,10.0,0.0,40.11796100648079,30.0,34.0,0.2,0,1.0,38.92739937,11.013622105999994,0.7794674241636652
1510495,991,10.0,0.0,40.50325772268196,46.85,30.0,0.2,0,1.0,22.33398056,27.594449226,0.4473199068291645
1414373,991,10.0,0.0,40.50325772268196,13.28,39.0,0.2,0,1.0,37.96210856,11.945422566,0.7606488981424113
4136473,991,10.0,0.0,40.50325772268196,28.64,20.0,0.2,0,1.0,36.66403594,13.248291626000002,0.7345687474004986
381992,991,10.0,0.0,40.50325772268196,34.87,22.0,0.2,0,1.0,30.30782228000001,19.650755865999987,0.6066590244307554
4414053,991,10.0,0.0,40.50325772268196,43.41,2.0,0.2,0,1.0,14.009656869999981,35.932102896000025,0.2805198882786997
3525114,991,10.0,0.0,40.50325772268196,42.27,29.0,0.2,0,1.0,24.688540170000003,25.22816105599999,0.4945947861863224
2893178,48,10.0,0.0,32.96606060778068,68.05,27.0,0.2,0,1.0,17.940191189999982,31.977962546000015,0.3593921218496884
4485300,991,10.0,0.0,40.50325772268196,24.52,22.0,0.2,0,1.0,39.63281382000001,10.293960176,0.7938188400311079
916293,888,10.0,0.0,18.6150978894912,74.77,17.0,0.2,0,1.0,9.036411790000002,40.881307326000005,0.18102613560930075
5174151,221,10.0,0.0,29.31704943779373,31.0,45.0,0.2,0,1.0,35.10957250999999,14.844966176,0.7028304821447511
2824461,991,10.0,0.0,40.50325772268196,26.66,34.0,0.2,0,1.0,32.31079323000001,17.624627425999993,0.6470515879416687
2924999,991,10.0,0.0,40.50325772268196,59.74,43.0,0.2,0,1.0,18.16362311,31.770363526,0.3637527130049917
2342853,51,10.0,0.0,44.76357392073154,84.84,34.0,0.2,0,1.0,5.318295010000001,44.625267696,0.1064860959420719
1738824,991,10.0,0.0,40.50325772268196,61.4,22.0,0.2,0,1.0,7.7958820699999904,42.131934016,0.1561430617468164
5351041,789,10.0,0.0,41.76806868092354,22.0,43.0,0.2,0,1.0,35.51230609999999,14.398327446000009,0.7115178385237321
5250309,991,10.0,0.0,40.50325772268196,54.0,22.0,0.2,0,1.0,15.86386452000002,34.06369508599998,0.317737631183832
