,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
5176885,251,10.0,0.0,21.672161319172073,21.0,42.0,0.2,0,1.0,35.52834188999999,14.37689505600001,0.7119161046854353
1130393,251,10.0,0.0,21.672161319172073,42.34,22.0,0.2,0,1.0,28.31985478000001,21.593572716,0.5673794848544417
4946731,251,10.0,0.0,21.672161319172073,59.0,40.0,0.2,0,1.0,20.126250720000012,29.782910595999994,0.4032576422707365
5021653,251,10.0,0.0,21.672161319172073,11.0,36.0,0.2,0,1.0,48.670480252,1.2783997320000031,0.9744058378804588
5303443,251,10.0,0.0,21.672161319172073,57.0,31.0,0.2,0,1.0,19.760526230000007,30.189832856,0.39560328677473816
4985838,251,10.0,0.0,21.672161319172073,51.0,34.0,0.2,0,1.0,23.03282185,26.872739056,0.4615281630314434
1305547,251,10.0,0.0,21.672161319172073,55.47,12.0,0.2,0,1.0,13.681784369999995,36.233804936000006,0.2740984241641599
1305566,251,10.0,0.0,21.672161319172073,55.47,26.0,0.2,0,1.0,19.641035080000005,30.313097216000003,0.3931813881506001
4989496,251,10.0,0.0,21.672161319172073,22.0,29.0,0.2,0,1.0,41.38350674800001,8.545845289999994,0.8288412538681463
4975585,251,10.0,0.0,21.672161319172073,28.0,24.0,0.2,0,1.0,39.42662474000001,10.521074546000003,0.7893581747227948
56067,251,10.0,0.0,21.672161319172073,12.52,41.0,0.2,0,1.0,40.83060366600001,9.097473073999987,0.817788433522585
430206,251,10.0,0.0,21.672161319172073,70.17,39.0,0.2,0,1.0,14.821463589999995,35.093885115999996,0.29693198533577314
4973861,251,10.0,0.0,21.672161319172073,48.0,40.0,0.2,0,1.0,24.57640424,25.356071716,0.4921927817410153
5088884,251,10.0,0.0,21.672161319172073,13.0,45.0,0.2,0,1.0,38.555283640000006,11.353081785999999,0.7725214663094224
5252535,251,10.0,0.0,21.672161319172073,57.0,24.0,0.2,0,1.0,18.11784788,31.820109146,0.3628071502918514
5036541,251,10.0,0.0,21.672161319172073,60.0,13.0,0.2,0,1.0,4.47497901000001,45.43946132600001,0.0896529938005235
1130363,251,10.0,0.0,21.672161319172073,42.34,33.0,0.2,0,1.0,27.15215646000001,22.753188206,0.5440731176534382
5150491,251,10.0,0.0,21.672161319172073,14.0,40.0,0.2,0,1.0,40.32583602300001,9.58699285999999,0.807925275434243
3023233,251,10.0,0.0,21.672161319172073,18.42,41.0,0.2,0,1.0,37.18210228,12.740466235999994,0.7447954579517133
5006126,251,10.0,0.0,21.672161319172073,14.0,42.0,0.2,0,1.0,39.36759960000001,10.588054516000003,0.7880509283010506
5184148,251,10.0,0.0,21.672161319172073,64.0,39.0,0.2,0,1.0,17.762128469999983,32.14557915600001,0.35589950560555506
5182681,251,10.0,0.0,21.672161319172073,42.0,28.0,0.2,0,1.0,27.70403385000001,22.201860636,0.5551254843808433
3529752,251,10.0,0.0,21.672161319172073,21.8,42.0,0.2,0,1.0,35.19528828999999,14.748151056000006,0.7047029349775609
387656,251,10.0,0.0,21.672161319172073,47.35,34.0,0.2,0,1.0,24.7384216,25.171997295999994,0.4956564610597294
5064056,251,10.0,0.0,21.672161319172073,44.0,20.0,0.2,0,1.0,27.31383684000001,22.642366115999998,0.5467556624360993
4958540,251,10.0,0.0,21.672161319172073,61.0,21.0,0.2,0,1.0,13.268999690000005,36.687509156,0.26561102840280737
5214149,251,10.0,0.0,21.672161319172073,56.0,20.0,0.2,0,1.0,17.493247289999992,32.446682136000014,0.3502857831611704
5122032,251,10.0,0.0,21.672161319172073,11.0,39.0,0.2,0,1.0,43.63600911199999,6.321015682000003,0.8734709341065647
5152342,251,10.0,0.0,21.672161319172073,45.0,25.0,0.2,0,1.0,26.225417449999995,23.722131346000012,0.5250591486904004
5068675,251,10.0,0.0,21.672161319172073,33.0,39.0,0.2,0,1.0,30.78920925000001,19.113612566,0.616983331394063
5211714,251,10.0,0.0,21.672161319172073,44.0,43.0,0.2,0,1.0,26.098641789999995,23.860788596000003,0.5223967044530906
5092357,251,10.0,0.0,21.672161319172073,43.0,38.0,0.2,0,1.0,26.64322328,23.260292696000004,0.5338947118037428
5365023,251,10.0,0.0,21.672161319172073,29.0,25.0,0.2,0,1.0,37.68606797,12.251789526000008,0.7546592877561604
5133736,251,10.0,0.0,21.672161319172073,62.0,27.0,0.2,0,1.0,15.560702920000008,34.396728156,0.3114792451262673
3291476,251,10.0,0.0,21.672161319172073,43.63,42.0,0.2,0,1.0,26.27516487999999,23.666465406000015,0.5261174841415948
2881657,251,10.0,0.0,21.672161319172073,72.65,37.0,0.2,0,1.0,12.785819970000016,37.163721756,0.2559747202514307
2881652,251,10.0,0.0,21.672161319172073,72.65,34.0,0.2,0,1.0,11.301909679999998,38.61691063600001,0.2264057846009936
5282287,251,10.0,0.0,21.672161319172073,72.0,37.0,0.2,0,1.0,13.140051419999995,36.77259359600001,0.26326097155916744
4384948,251,10.0,0.0,21.672161319172073,57.26,34.0,0.2,0,1.0,19.994436970000013,29.918446296,0.4005866954919023
4996251,251,10.0,0.0,21.672161319172073,66.0,45.0,0.2,0,1.0,18.02680935,31.915123305999995,0.3609553814060152
5093544,251,10.0,0.0,21.672161319172073,69.0,38.0,0.2,0,1.0,15.124323940000007,34.81833849599999,0.30283375379479155
5018850,251,10.0,0.0,21.672161319172073,83.0,41.0,0.2,0,1.0,7.8135698699999905,42.114246216000005,0.15649732919503673
5208648,251,10.0,0.0,21.672161319172073,72.0,33.0,0.2,0,1.0,11.202422769999998,38.726031796,0.22436950767606093
5184793,251,10.0,0.0,21.672161319172073,70.0,37.0,0.2,0,1.0,14.230968459999987,35.68399877600001,0.285104233219575
5073108,251,10.0,0.0,21.672161319172073,31.0,25.0,0.2,0,1.0,35.97416563,13.954247405999999,0.7205149020871435
5107933,251,10.0,0.0,21.672161319172073,75.0,29.0,0.2,0,1.0,3.9095730800000137,46.011024626,0.0783158307323335
5136989,251,10.0,0.0,21.672161319172073,33.0,30.0,0.2,0,1.0,32.68962509,17.266531716000006,0.6543662919657142
3815851,251,10.0,0.0,21.672161319172073,32.99,32.0,0.2,0,1.0,32.170914100000005,17.775575845999995,0.6441076066562799
4976186,251,10.0,0.0,21.672161319172073,37.0,14.0,0.2,0,1.0,38.30406869,11.63020210600001,0.7670897778098394
4644248,251,10.0,0.0,21.672161319172073,57.13,22.0,0.2,0,1.0,17.30288243,32.657348815999995,0.34633311332771977
5202331,251,10.0,0.0,21.672161319172073,30.0,30.0,0.2,0,1.0,34.534189469999994,15.416783076000009,0.6913617034822966
