,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
3291458,251,10.0,0.0,21.672161319172073,43.63,9.0,0.2,0,1.0,32.590136169999994,17.312486666000005,0.6530746144767627
5168713,251,10.0,0.0,21.672161319172073,46.0,11.0,0.2,0,1.0,27.439855810000008,22.502259465999998,0.5494331919734765
4342679,251,10.0,0.0,21.672161319172073,87.98,44.0,0.2,0,1.0,5.808899300000008,44.147166556,0.11628015938533574
5215120,251,10.0,0.0,21.672161319172073,60.0,37.0,0.2,0,1.0,19.22021925999999,30.717327226000013,0.3848851337818205
3772910,251,10.0,0.0,21.672161319172073,25.91,28.0,0.2,0,1.0,38.484534720000006,11.433836185999994,0.7709493323103281
2881664,251,10.0,0.0,21.672161319172073,72.65,44.0,0.2,0,1.0,15.05403712000001,34.89731519599999,0.3013739653086034
4989076,251,10.0,0.0,21.672161319172073,64.0,30.0,0.2,0,1.0,15.369836580000005,34.55119532599999,0.3078829902583145
4968239,251,10.0,0.0,21.672161319172073,32.0,39.0,0.2,0,1.0,31.237446930000008,18.682633195999987,0.6257491344396007
5193748,251,10.0,0.0,21.672161319172073,66.0,44.0,0.2,0,1.0,17.874051939999994,32.083832105999996,0.35778240574684883
4899394,251,10.0,0.0,21.672161319172073,68.08,32.0,0.2,0,1.0,13.456788320000005,36.476930816,0.26949301099221057
5245228,251,10.0,0.0,21.672161319172073,29.0,23.0,0.2,0,1.0,39.12056576999999,10.788978966000004,0.783829345207033
919959,251,10.0,0.0,21.672161319172073,36.41,22.0,0.2,0,1.0,32.89977701,17.032801745999993,0.6588839957729341
5256430,251,10.0,0.0,21.672161319172073,23.0,37.0,0.2,0,1.0,36.14420426,13.761651036000002,0.7242477670329996
3534508,251,10.0,0.0,21.672161319172073,28.15,22.0,0.2,0,1.0,41.239603906000006,8.711428963999994,0.825600623981652
5066259,251,10.0,0.0,21.672161319172073,67.0,29.0,0.2,0,1.0,12.798259450000018,37.146650045999976,0.2562475251061373
4994610,251,10.0,0.0,21.672161319172073,24.0,30.0,0.2,0,1.0,38.77258753,11.174000536,0.7762810039950166
5236971,251,10.0,0.0,21.672161319172073,54.0,13.0,0.2,0,1.0,16.71444323,33.241054206,0.3345866638884649
5272998,251,10.0,0.0,21.672161319172073,34.0,39.0,0.2,0,1.0,30.39470428000001,19.551616885999987,0.6085474079058023
4644231,251,10.0,0.0,21.672161319172073,57.13,30.0,0.2,0,1.0,19.455548489999988,30.459117686000013,0.3897761916587678
5176338,251,10.0,0.0,21.672161319172073,65.0,41.0,0.2,0,1.0,17.712380289999984,32.203352746000014,0.3548456410972777
2927080,251,10.0,0.0,21.672161319172073,64.17,19.0,0.2,0,1.0,6.767287740000016,43.15308974599999,0.13556162995558033
990827,251,10.0,0.0,21.672161319172073,53.34,35.0,0.2,0,1.0,22.03059150999999,27.918630286000013,0.44105975464394975
4644237,251,10.0,0.0,21.672161319172073,57.13,28.0,0.2,0,1.0,19.08434259999999,30.87240135600001,0.3820173431801071
5305216,251,10.0,0.0,21.672161319172073,28.0,45.0,0.2,0,1.0,31.86918153,18.044208955999995,0.6384896161069014
5357143,251,10.0,0.0,21.672161319172073,14.0,36.0,0.2,0,1.0,43.31221741200001,6.609558961999992,0.8676016872379896
5159644,251,10.0,0.0,21.672161319172073,58.0,44.0,0.2,0,1.0,20.977137570000007,28.964700865999998,0.4200313449990835
5053995,251,10.0,0.0,21.672161319172073,42.0,21.0,0.2,0,1.0,28.742776280000008,21.187387546,0.5756595628278883
5071296,251,10.0,0.0,21.672161319172073,33.0,37.0,0.2,0,1.0,31.16588820000001,18.763562605999986,0.6241984980186248
5200344,251,10.0,0.0,21.672161319172073,7.0,42.0,0.2,0,1.0,44.897073861,5.050012534,0.8988927503385756
5305753,251,10.0,0.0,21.672161319172073,63.0,45.0,0.2,0,1.0,19.203952439999988,30.741258726000012,0.3845003753447538
3772910,251,10.0,0.0,21.672161319172073,25.91,28.0,0.2,0,1.0,38.484534720000006,11.433836185999994,0.7709493323103281
5353846,251,10.0,0.0,21.672161319172073,52.0,28.0,0.2,0,1.0,22.04998255999999,27.895763086000013,0.4414786940269837
2060501,251,10.0,0.0,21.672161319172073,14.68,42.0,0.2,0,1.0,38.93293843,11.002543985999994,0.779664810397934
5219236,251,10.0,0.0,21.672161319172073,11.0,41.0,0.2,0,1.0,41.959810091999984,7.975777072000008,0.8402786965174613
3537312,251,10.0,0.0,21.672161319172073,80.15,45.0,0.2,0,1.0,11.726707269999993,38.206450176,0.23484810233924805
5341723,251,10.0,0.0,21.672161319172073,49.0,44.0,0.2,0,1.0,24.233921790000004,25.671415975999995,0.4855977912348752
5291645,251,10.0,0.0,21.672161319172073,25.0,27.0,0.2,0,1.0,40.08508732,9.859499155999996,0.8025912345727838
5163205,251,10.0,0.0,21.672161319172073,47.0,4.0,0.2,0,1.0,30.30782228000001,19.650755865999987,0.6066590244307554
5067497,251,10.0,0.0,21.672161319172073,49.0,26.0,0.2,0,1.0,23.706787190000004,26.253603576,0.4745116446553777
5184793,251,10.0,0.0,21.672161319172073,70.0,37.0,0.2,0,1.0,14.230968459999987,35.68399877600001,0.285104233219575
5307696,251,10.0,0.0,21.672161319172073,56.0,9.0,0.2,0,1.0,6.594838170000006,43.341711246,0.13206435460850996
919979,251,10.0,0.0,21.672161319172073,36.41,42.0,0.2,0,1.0,29.01513114,20.886123726000005,0.5814509318035073
5091069,251,10.0,0.0,21.672161319172073,67.0,44.0,0.2,0,1.0,17.489197039999993,32.454782636000004,0.3501762805738972
5030869,251,10.0,0.0,21.672161319172073,58.0,14.0,0.2,0,1.0,11.301909679999998,38.61691063600001,0.2264057846009936
5197796,251,10.0,0.0,21.672161319172073,29.0,45.0,0.2,0,1.0,31.521835260000003,18.430282745999992,0.6310410152421116
5380848,251,10.0,0.0,21.672161319172073,32.0,33.0,0.2,0,1.0,32.400796899999996,17.517055515999996,0.6490823489356422
5315132,251,10.0,0.0,21.672161319172073,46.0,29.0,0.2,0,1.0,25.55590014,24.401572846000004,0.5115530993163273
3815861,251,10.0,0.0,21.672161319172073,32.99,41.0,0.2,0,1.0,30.464186690000005,19.467526455999987,0.6101169932007525
5005476,251,10.0,0.0,21.672161319172073,46.0,28.0,0.2,0,1.0,25.55590014,24.401572846000004,0.5115530993163273
3537286,251,10.0,0.0,21.672161319172073,80.15,38.0,0.2,0,1.0,7.998145459999987,41.90872889600001,0.16026139811816167
2544383,251,10.0,0.0,21.672161319172073,52.82,38.0,0.2,0,1.0,22.47554573,27.428821896,0.4503723180792361
5018654,251,10.0,0.0,21.672161319172073,67.0,22.0,0.2,0,1.0,6.594838170000006,43.341711246,0.13206435460850996
1305564,251,10.0,0.0,21.672161319172073,55.47,27.0,0.2,0,1.0,19.833991630000007,30.101321335999998,0.3971936982452596
5209397,251,10.0,0.0,21.672161319172073,23.0,27.0,0.2,0,1.0,42.25149158400001,7.653613167999993,0.8466366676107765
5104641,251,10.0,0.0,21.672161319172073,53.0,12.0,0.2,0,1.0,17.650565259999983,32.273213216000016,0.3535502680047583
4976900,251,10.0,0.0,21.672161319172073,50.0,18.0,0.2,0,1.0,22.33398056,27.594449226,0.4473199068291645
56065,251,10.0,0.0,21.672161319172073,12.52,43.0,0.2,0,1.0,39.74519736000001,10.168708115999998,0.7962750456205155
5158232,251,10.0,0.0,21.672161319172073,57.0,43.0,0.2,0,1.0,21.20654065000001,28.706522085999993,0.4248695529297726
4723648,251,10.0,0.0,21.672161319172073,24.5,41.0,0.2,0,1.0,34.17306169,15.750782635999999,0.6845038107813124
56063,251,10.0,0.0,21.672161319172073,12.52,35.0,0.2,0,1.0,46.92343198800001,3.0081119499999933,0.9397552786724328
5114773,251,10.0,0.0,21.672161319172073,49.0,7.0,0.2,0,1.0,22.61015948,27.342725125999998,0.4526297061388167
5057994,251,10.0,0.0,21.672161319172073,74.0,31.0,0.2,0,1.0,7.998145459999987,41.90872889600001,0.16026139811816162
4944138,251,10.0,0.0,21.672161319172073,34.0,14.0,0.2,0,1.0,45.23110842599999,4.6804319340000085,0.9062254560720592
5035960,251,10.0,0.0,21.672161319172073,43.0,44.0,0.2,0,1.0,26.39301843,23.533879495999997,0.5286332523426324
5043613,251,10.0,0.0,21.672161319172073,39.0,29.0,0.2,0,1.0,29.3643537,20.560248985999998,0.5881740088085755
4990775,251,10.0,0.0,21.672161319172073,68.0,39.0,0.2,0,1.0,15.88479525000002,34.038518125999985,0.3181839140035211
5146014,251,10.0,0.0,21.672161319172073,48.0,5.0,0.2,0,1.0,25.9374327,23.977724796,0.5196303888669193
5169782,251,10.0,0.0,21.672161319172073,57.0,22.0,0.2,0,1.0,17.389700229999995,32.558334945999995,0.34815584174081265
5328202,251,10.0,0.0,21.672161319172073,62.0,16.0,0.2,0,1.0,5.460639370000001,44.477376286,0.10934834510878108
5103186,251,10.0,0.0,21.672161319172073,85.0,45.0,0.2,0,1.0,8.912047890000009,41.02098247599999,0.17848001262243296
5195864,251,10.0,0.0,21.672161319172073,21.0,35.0,0.2,0,1.0,38.2236102,11.717959906000008,0.7653666097976322
5063427,251,10.0,0.0,21.672161319172073,72.0,35.0,0.2,0,1.0,12.289897269999996,37.648747136,0.24609993755704346
5305216,251,10.0,0.0,21.672161319172073,28.0,45.0,0.2,0,1.0,31.86918153,18.044208955999995,0.6384896161069014
5057874,251,10.0,0.0,21.672161319172073,37.0,33.0,0.2,0,1.0,29.87756149000001,20.061031575999987,0.5982860079881133
4946515,251,10.0,0.0,21.672161319172073,48.0,45.0,0.2,0,1.0,24.635642300000004,25.293670795999994,0.4934103990702337
815602,251,10.0,0.0,21.672161319172073,14.16,36.0,0.2,0,1.0,43.19416560700001,6.74533212199999,0.8649299166242324
5298092,251,10.0,0.0,21.672161319172073,76.0,37.0,0.2,0,1.0,10.596268539999997,39.338072406,0.21220403312139466
5415703,251,10.0,0.0,21.672161319172073,45.0,43.0,0.2,0,1.0,25.71093083,24.225292386,0.5148753584905074
5237822,251,10.0,0.0,21.672161319172073,69.0,33.0,0.2,0,1.0,13.331184180000005,36.620755376,0.26688021122892963
5225754,251,10.0,0.0,21.672161319172073,46.0,10.0,0.2,0,1.0,27.83668989,22.066442756,0.5578144780502323
4644246,251,10.0,0.0,21.672161319172073,57.13,18.0,0.2,0,1.0,15.399017420000002,34.517704595999994,0.30849416384080863
5136999,251,10.0,0.0,21.672161319172073,54.0,43.0,0.2,0,1.0,22.35331417,27.564777546,0.44779985375192544
5158675,251,10.0,0.0,21.672161319172073,53.0,41.0,0.2,0,1.0,22.622595869999994,27.326881256000004,0.4529095632559554
2881637,251,10.0,0.0,21.672161319172073,72.65,27.0,0.2,0,1.0,4.7983842499999945,45.150037926,0.09606678331283901
919978,251,10.0,0.0,21.672161319172073,36.41,43.0,0.2,0,1.0,28.89273557,21.018985865999998,0.5788767595813763
5107933,251,10.0,0.0,21.672161319172073,75.0,29.0,0.2,0,1.0,3.9095730800000137,46.011024626,0.0783158307323335
5143008,251,10.0,0.0,21.672161319172073,32.0,38.0,0.2,0,1.0,31.38504470000001,18.516433415999987,0.6289401814319598
4998903,251,10.0,0.0,21.672161319172073,47.0,30.0,0.2,0,1.0,24.95609236000001,24.997747625999995,0.4995830624231124
990845,251,10.0,0.0,21.672161319172073,53.34,33.0,0.2,0,1.0,21.870869459999994,28.037104756000012,0.4382239472462581
4990323,251,10.0,0.0,21.672161319172073,59.0,15.0,0.2,0,1.0,10.20581891,39.705732526,0.20447809407580925
1284009,251,10.0,0.0,21.672161319172073,38.59,11.0,0.2,0,1.0,40.41002830400001,9.494424337999993,0.8097479516284805
5035960,251,10.0,0.0,21.672161319172073,43.0,44.0,0.2,0,1.0,26.39301843,23.533879495999997,0.5286332523426324
5372808,251,10.0,0.0,21.672161319172073,33.0,16.0,0.2,0,1.0,41.833716709,8.116026438000004,0.8375161527034307
5129629,251,10.0,0.0,21.672161319172073,29.0,19.0,0.2,0,1.0,44.418023236,5.511914093999997,0.8896070295948838
5011922,251,10.0,0.0,21.672161319172073,69.0,42.0,0.2,0,1.0,16.16689789000001,33.78480775599999,0.323650567701778
919960,251,10.0,0.0,21.672161319172073,36.41,34.0,0.2,0,1.0,29.93980043000001,19.983798256,0.5997123848845453
5073717,251,10.0,0.0,21.672161319172073,51.0,39.0,0.2,0,1.0,23.341277429999995,26.599766366000004,0.467376643654963
5328770,251,10.0,0.0,21.672161319172073,37.0,23.0,0.2,0,1.0,32.079398850000004,17.875996155999996,0.6421608486159911
815598,251,10.0,0.0,21.672161319172073,14.16,33.0,0.2,0,1.0,47.887629217,2.073438501999999,0.9584989153221904
5321740,251,10.0,0.0,21.672161319172073,40.0,9.0,0.2,0,1.0,41.575662358,8.338830600000003,0.8329376879172825
5100425,251,10.0,0.0,21.672161319172073,57.0,18.0,0.2,0,1.0,15.560702920000008,34.396728156,0.3114792451262673
3534506,251,10.0,0.0,21.672161319172073,28.15,26.0,0.2,0,1.0,37.80718149000001,12.118454906000002,0.7572698961736035
5163777,251,10.0,0.0,21.672161319172073,48.0,14.0,0.2,0,1.0,24.32417884,25.633741145999995,0.4868933463766407
942734,251,10.0,0.0,21.672161319172073,30.27,32.0,0.2,0,1.0,33.640029899999995,16.273626496,0.6739644483888353
5162802,251,10.0,0.0,21.672161319172073,40.0,37.0,0.2,0,1.0,28.003860820000003,21.942200456000005,0.5606820659040911
4967199,251,10.0,0.0,21.672161319172073,64.0,31.0,0.2,0,1.0,15.66060486000001,34.283992376,0.3135595385022319
5081982,251,10.0,0.0,21.672161319172073,75.0,38.0,0.2,0,1.0,11.726707269999993,38.206450176,0.2348481023392481
3520822,251,10.0,0.0,21.672161319172073,25.53,29.0,0.2,0,1.0,38.21626524,11.732649826000006,0.7651070136258802
5009031,251,10.0,0.0,21.672161319172073,68.0,29.0,0.2,0,1.0,11.986720180000004,37.922722956,0.2401693833236521
1305559,251,10.0,0.0,21.672161319172073,55.47,9.0,0.2,0,1.0,8.598200730000002,41.303434166,0.17230298662397564
