,mdot,m,Z,tage,is_bh,mdot_gs,LEdd,MEdd,mdot_ratio,XLsph,XLsph2,LXtot,b,Lx,ratio,ratio_beamed,theta,theta_deg,theta_half_deg,zeta,R_g,a*,r_schw,r_isco_nospin,r_isco,r_sph,r_out,P_inflow_at_rsph,P_envelope,P_wind,P_inflow_days,P_envelope_days,P_wind_days
3,36.0,24.6,0.0002,10,1,2.2689938398357288e+21,2.952000000000001e+39,3.936000000000001e+19,57.64720121533863,9.090313078723894e+41,1.798515736068894e+41,1.4920416691514013e+40,0.021966780277582528,6.7922638197189744e+41,5.054341697667348,230.09023779535815,0.41997788487797627,24.062960292339202,12.031480146169601,4.691952563854292,3628386.8400000012,0.998,2.0,5.999999999999999,1.25,72.0590015191733,13670.812079953577,11.113106295742405,399988.6013594701,34855964.85352237,0.00012862391545998158,4.629497700919792,403.42551913799036
22,11.0,24.6,0.0002,10,1,6.933036732831395e+20,2.952000000000001e+39,3.936000000000001e+19,17.614422593575693,6.496234423895943e+40,1.6791697844470386e+40,1.1420455630492365e+40,0.2352805557003881,4.853973417605937e+40,3.868718032009608,16.442999382133927,1.400381017499576,80.23592201296158,40.11796100648079,2.0,3628386.8400000012,0.998,2.0,5.999999999999999,1.25,22.018028241969613,914.9312969447093,0.3962673940800103,684.23999750796,14676.191126822132,4.586428172222342e-06,0.007919444415601388,0.169863323227108
35,9.5,13.8,0.0002,10,1,5.98762263289984e+20,1.6560000000000005e+39,2.2080000000000004e+19,27.11785612726377,9.60064386619314e+40,2.2326079751707353e+40,7.121118628629829e+39,0.0992686591039573,7.173581967267602e+40,4.300192408592891,43.318731686398564,0.8986921672643325,51.4912682657113,25.74563413285565,2.073618355615625,2035436.5200000003,0.998,2.0,5.999999999999999,1.25,33.89732015907971,3219.959974787612,0.7506504305362894,6773.419193537088,302266.55389711744,8.688083686762609e-06,0.07839605548075335,3.4984554849203406
48,14.0,25.9,0.0002,10,1,8.823864932694503e+20,3.108e+39,4.144e+19,21.293110358818783,1.048464536153408e+41,2.5834535347936573e+40,1.261345611398837e+40,0.16100696002385145,7.834106123188602e+40,4.058383563059321,25.206261657620985,1.1507325980355516,65.93212121556135,32.96606060778068,2.0,3820130.86,0.998,2.0,5.999999999999999,1.25,26.616387948523478,1616.2203262670237,0.7130812246087985,2629.310612542898,78550.79234423165,8.253254914453689e-06,0.03043183579332058,0.909152689169348
51,5.8,14.4,0.0002,10,1,3.655601186402008e+20,1.7280000000000002e+39,2.3040000000000004e+19,15.866324593758712,3.0019980623047804e+40,7.975131313707756e+39,6.504535721871316e+39,0.2899814321583652,2.2430869705888774e+40,3.764198913119973,12.980827376093039,1.5625434997532648,89.52714784146308,44.76357392073154,2.0,2123933.76,0.998,2.0,6.0,1.25,19.832905742198392,668.670638978037,0.1724603925515367,196.03841498009896,3515.673366460377,1.9960693582353784e-06,0.002268963136343738,0.040690663963661784
69,3.7,8.3,0.0002,10,1,2.3320214464978328e+20,9.96e+38,1.3280000000000002e+19,17.560402458568014,2.1766662374308361e+40,5.630794832095658e+39,3.8501839209691937e+39,0.2367303444270397,1.626400675539853e+40,3.8656465069971815,16.329324051604946,1.404874939747036,80.493404791201,40.2467023956005,2.0,1224211.8200000005,0.998,2.0,5.999999999999999,1.25,21.95050307321001,906.5393174962653,0.13254198595306568,226.06733083948845,4823.269008227192,1.5340507633456674e-06,0.0026165200328644497,0.05582487278040731
77,9.4,19.4,0.0002,10,1,5.924595026237738e+20,2.328e+39,3.104e+19,19.08696851236385,6.140250642748572e+40,1.5548851823217235e+40,9.193285561429306e+39,0.2003774963851536,4.587983045640277e+40,3.9490058253562315,19.70783095206305,1.2882600116047458,73.81186158042641,36.90593079021321,2.0,2861410.76,0.998,2.0,6.0,1.25,23.858710640454806,1164.1102696607902,0.39220107891923295,933.6908117528444,23019.79420608812,4.539364339342974e-06,0.010806606617509772,0.2664328033112051
103,13.0,14.8,0.0002,10,1,8.193588866073466e+20,1.776e+39,2.368e+19,34.60130433308051,1.771321026161704e+41,3.8982468516082846e+40,8.069951088821657e+39,0.0609730499498609,1.3235275413412491e+41,4.543891378841024,74.52294714759284,0.7020139329843533,40.22243551938325,20.11121775969163,2.730971539946732,2182931.9200000004,0.998,2.0,6.0,1.25,43.25163041635064,5078.94467006395,1.596375517150225,22012.88959008636,1202903.0335616537,1.847656848553501e-05,0.2547788147000737,13.922488814370992
108,24.0,26.6,0.0002,10,1,1.512662559890486e+21,3.192e+39,4.256e+19,35.54188345607345,3.378850949603378e+41,7.392395506649089e+40,1.4589712118937833e+40,0.057788574707043024,2.5246706970884507e+41,4.570711816709848,79.09369351780863,0.6832504729207981,39.14736844867927,19.57368422433964,2.8124131656671567,3923377.6400000006,0.998,2.0,6.0,1.25,44.42735432009181,5345.0951190082815,3.093500684546243,44777.535799599435,2504673.6751836874,3.5804406071137075e-05,0.5182585161990676,28.989278647959342
127,12.0,23.9,0.0002,10,1,7.56331279945243e+20,2.868e+39,3.824e+19,19.77853765547184,8.195838372150627e+40,2.056879921306128e+40,1.1427825323124261e+40,0.18660982394940376,6.123914101233345e+40,3.98459739300009,21.352559627731328,1.2416797386990053,71.14300853435988,35.57150426717994,2.0,3525140.0600000005,0.998,2.0,6.0,1.25,24.7231720693398,1295.2863380058998,0.5342970676780425,1466.580740390661,38479.01649812235,6.183993838866232e-06,0.01697431412489191,0.4453589872467865
