,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
5018351,251,10.0,0.0,21.672161319172073,56.0,39.0,0.2,0,1.0,21.20654065000001,28.706522085999993,0.4248695529297726
3815854,251,10.0,0.0,21.672161319172073,32.99,31.0,0.2,0,1.0,32.371545510000004,17.550682606,0.6484395174586564
4448989,251,10.0,0.0,21.672161319172073,16.84,34.0,0.2,0,1.0,42.248592712,7.659410911999991,0.8465294069924147
4934331,251,10.0,0.0,21.672161319172073,33.0,42.0,0.2,0,1.0,30.429570580000004,19.516750585999986,0.6092454833433129
5334871,251,10.0,0.0,21.672161319172073,23.0,39.0,0.2,0,1.0,35.50869714999999,14.40554534600001,0.7113940906314579
5019124,251,10.0,0.0,21.672161319172073,16.0,39.0,0.2,0,1.0,39.540560020000015,10.392708505999996,0.7918680508449278
4986565,251,10.0,0.0,21.672161319172073,36.0,34.0,0.2,0,1.0,30.17852579000001,19.725253515999988,0.604734274832199
5154549,251,10.0,0.0,21.672161319172073,31.0,40.0,0.2,0,1.0,31.521835260000003,18.430282745999992,0.6310410152421116
56046,251,10.0,0.0,21.672161319172073,12.52,40.0,0.2,0,1.0,41.424024143000004,8.502121999999995,0.8297060226589901
5093917,251,10.0,0.0,21.672161319172073,43.0,21.0,0.2,0,1.0,27.985938650000005,21.962864196000005,0.5602924806082951
4899408,251,10.0,0.0,21.672161319172073,68.08,25.0,0.2,0,1.0,8.912047890000009,41.02098247599999,0.17848001262243296
5148464,251,10.0,0.0,21.672161319172073,71.0,36.0,0.2,0,1.0,13.331184180000005,36.620755376,0.26688021122892963
4723646,251,10.0,0.0,21.672161319172073,24.5,42.0,0.2,0,1.0,33.95228697,15.995356425999999,0.6797575353218572
5201361,251,10.0,0.0,21.672161319172073,50.0,31.0,0.2,0,1.0,23.42916119999999,26.501935536000005,0.4692298533692675
5185977,251,10.0,0.0,21.672161319172073,59.0,44.0,0.2,0,1.0,20.5624831,29.360848146000013,0.4118812304146374
5136439,251,10.0,0.0,21.672161319172073,67.0,21.0,0.2,0,1.0,4.541679990000012,45.367108866,0.09099960335851774
