,system_id,period,phase,theta,inclination,dincl,beta,dopulse,norm,alive,dead,ratio
5109946,251,10.0,0.0,21.672161319172073,48.0,39.0,0.2,0,1.0,24.57323757,25.362405056,0.4920981542992188
5035885,251,10.0,0.0,21.672161319172073,50.0,28.0,0.2,0,1.0,23.235133739999995,26.712562176,0.4651893008053044
5070874,251,10.0,0.0,21.672161319172073,18.0,38.0,0.2,0,1.0,38.71864565,11.233536796,0.7751141942968391
5120239,251,10.0,0.0,21.672161319172073,30.0,40.0,0.2,0,1.0,31.933619660000005,17.975268285999988,0.6398383328947598
4960639,251,10.0,0.0,21.672161319172073,64.0,21.0,0.2,0,1.0,9.787986899999991,40.168314996000014,0.19593097424178452
5268090,251,10.0,0.0,21.672161319172073,66.0,34.0,0.2,0,1.0,15.453061669999995,34.450762376,0.3096568642867084
387659,251,10.0,0.0,21.672161319172073,47.35,10.0,0.2,0,1.0,25.68302774,24.259247966,0.5142542540750595
3815836,251,10.0,0.0,21.672161319172073,32.99,37.0,0.2,0,1.0,31.16588820000001,18.763562605999986,0.6241984980186247
4864801,251,10.0,0.0,21.672161319172073,67.7,25.0,0.2,0,1.0,9.36484150999999,40.58459155600001,0.18748644249126686
990837,251,10.0,0.0,21.672161319172073,53.34,18.0,0.2,0,1.0,19.21638929999999,30.724987146000014,0.3847789281654672
5157475,251,10.0,0.0,21.672161319172073,67.0,42.0,0.2,0,1.0,17.012739010000004,32.909807786,0.34078267439999943
3772919,251,10.0,0.0,21.672161319172073,25.91,32.0,0.2,0,1.0,36.44563034,13.500194076,0.7297032487930011
5120954,251,10.0,0.0,21.672161319172073,50.0,7.0,0.2,0,1.0,20.28290853000001,29.669886245999994,0.4060415162145243
4999296,251,10.0,0.0,21.672161319172073,18.0,37.0,0.2,0,1.0,39.26543835999999,10.636041986000002,0.7868591891011392
5366424,251,10.0,0.0,21.672161319172073,53.0,7.0,0.2,0,1.0,12.140664889999995,37.812084836,0.2430429747430076
5177332,251,10.0,0.0,21.672161319172073,64.0,29.0,0.2,0,1.0,14.93340573000001,34.96883495599999,0.2992532103711639
2544347,251,10.0,0.0,21.672161319172073,52.82,8.0,0.2,0,1.0,14.546341649999995,35.399782836,0.29124064779194964
5184793,251,10.0,0.0,21.672161319172073,70.0,37.0,0.2,0,1.0,14.230968459999987,35.68399877600001,0.285104233219575
5135868,251,10.0,0.0,21.672161319172073,43.0,43.0,0.2,0,1.0,26.44206327,23.478967416,0.5296778312995747
4989991,251,10.0,0.0,21.672161319172073,38.0,38.0,0.2,0,1.0,28.79252068000001,21.134998846,0.5766863836487242
4723645,251,10.0,0.0,21.672161319172073,24.5,45.0,0.2,0,1.0,33.34387715,16.608820415999993,0.6675090390452768
5126516,251,10.0,0.0,21.672161319172073,36.0,17.0,0.2,0,1.0,36.12487173,13.786156896000008,0.7237853581559242
5271031,251,10.0,0.0,21.672161319172073,37.0,34.0,0.2,0,1.0,29.760441140000008,20.193258606,0.5957605000495092
4644251,251,10.0,0.0,21.672161319172073,57.13,39.0,0.2,0,1.0,20.76002021,29.199949006000015,0.41553308650461424
5052786,251,10.0,0.0,21.672161319172073,42.0,35.0,0.2,0,1.0,27.15499149000001,22.747518145999997,0.5441608385645241
4984053,251,10.0,0.0,21.672161319172073,50.0,26.0,0.2,0,1.0,23.03282185,26.872739056,0.4615281630314434
5152637,251,10.0,0.0,21.672161319172073,64.0,32.0,0.2,0,1.0,16.005199550000018,33.905407065999995,0.3206773196154498
4980726,251,10.0,0.0,21.672161319172073,15.0,42.0,0.2,0,1.0,38.71583792,11.239152255999999,0.7750144236561245
201779,251,10.0,0.0,21.672161319172073,33.46,42.0,0.2,0,1.0,30.17605911000002,19.730186875999987,0.6046549587894305
5046176,251,10.0,0.0,21.672161319172073,18.0,32.0,0.2,0,1.0,42.885490506,7.016180013999996,0.8593998970197201
5201377,251,10.0,0.0,21.672161319172073,66.0,29.0,0.2,0,1.0,13.55173994,36.37743827600001,0.271419246705272
3291473,251,10.0,0.0,21.672161319172073,43.63,24.0,0.2,0,1.0,27.12160431000001,22.789421156,0.5433990597623679
5279681,251,10.0,0.0,21.672161319172073,30.0,43.0,0.2,0,1.0,31.49234796000001,18.466689545999987,0.6303633843269665
1567571,251,10.0,0.0,21.672161319172073,33.55,41.0,0.2,0,1.0,30.31027978000001,19.645840865999986,0.6067380610833512
5070734,251,10.0,0.0,21.672161319172073,50.0,5.0,0.2,0,1.0,19.455548489999988,30.459117686000013,0.38977619165876776
5328770,251,10.0,0.0,21.672161319172073,37.0,23.0,0.2,0,1.0,32.079398850000004,17.875996155999996,0.6421608486159911
3380819,251,10.0,0.0,21.672161319172073,27.04,27.0,0.2,0,1.0,38.16651962,11.785346226000009,0.7640659457579854
5071038,251,10.0,0.0,21.672161319172073,40.0,34.0,0.2,0,1.0,28.217657290000005,21.701175396,0.5652707760114309
383853,251,10.0,0.0,21.672161319172073,84.13,38.0,0.2,0,1.0,3.102044100000012,46.84310978599999,0.06210901075768911
2544387,251,10.0,0.0,21.672161319172073,52.82,44.0,0.2,0,1.0,22.875842069999994,27.053277686000005,0.4581663402397755
5262836,251,10.0,0.0,21.672161319172073,29.0,30.0,0.2,0,1.0,35.17731359,14.769816356000009,0.7042909898533051
5161738,251,10.0,0.0,21.672161319172073,70.0,32.0,0.2,0,1.0,12.140664889999995,37.812084836,0.2430429747430076
3815857,251,10.0,0.0,21.672161319172073,32.99,39.0,0.2,0,1.0,30.78920925000001,19.113612566,0.6169833313940629
5231827,251,10.0,0.0,21.672161319172073,30.0,39.0,0.2,0,1.0,32.13137854000001,17.817333465999997,0.6432874292362188
247619,251,10.0,0.0,21.672161319172073,33.83,19.0,0.2,0,1.0,37.06979364,12.870402595999991,0.7422836999842983
5091069,251,10.0,0.0,21.672161319172073,67.0,44.0,0.2,0,1.0,17.489197039999993,32.454782636000004,0.3501762805738972
5029128,251,10.0,0.0,21.672161319172073,57.0,11.0,0.2,0,1.0,8.887174230000008,41.050972596,0.17796363691599687
5384705,251,10.0,0.0,21.672161319172073,47.0,9.0,0.2,0,1.0,26.333767639999994,23.596069516000014,0.5274154521618643
3529754,251,10.0,0.0,21.672161319172073,21.8,44.0,0.2,0,1.0,34.69687807,15.240661615999999,0.6948055168149839
5025440,251,10.0,0.0,21.672161319172073,68.0,25.0,0.2,0,1.0,8.95668800000001,40.971232096,0.17939237169860753
1283997,251,10.0,0.0,21.672161319172073,38.59,17.0,0.2,0,1.0,33.15932711000001,16.745799056,0.6644473154862238
383890,251,10.0,0.0,21.672161319172073,84.13,45.0,0.2,0,1.0,9.506724339999991,40.427548646000005,0.19038475522944684
5221920,251,10.0,0.0,21.672161319172073,30.0,32.0,0.2,0,1.0,33.88208853,16.075576425999998,0.6782160166981684
5043245,251,10.0,0.0,21.672161319172073,53.0,24.0,0.2,0,1.0,20.90771677,29.037738946000005,0.41861099213681263
5112234,251,10.0,0.0,21.672161319172073,30.0,44.0,0.2,0,1.0,31.27942531000001,18.635986935999988,0.6266486422238575
4449014,251,10.0,0.0,21.672161319172073,16.84,42.0,0.2,0,1.0,37.68760219,12.248721086000009,0.7547131970789911
4932177,251,10.0,0.0,21.672161319172073,41.0,17.0,0.2,0,1.0,30.70979408000001,19.205013395999988,0.6152441656669891
5135090,251,10.0,0.0,21.672161319172073,46.0,44.0,0.2,0,1.0,25.28244663000001,24.634256556,0.5064927171931279
5043245,251,10.0,0.0,21.672161319172073,53.0,24.0,0.2,0,1.0,20.90771677,29.037738946000005,0.41861099213681263
5282287,251,10.0,0.0,21.672161319172073,72.0,37.0,0.2,0,1.0,13.140051419999995,36.77259359600001,0.26326097155916744
919965,251,10.0,0.0,21.672161319172073,36.41,16.0,0.2,0,1.0,36.45976272,13.482674366000008,0.7300357140605078
5133708,251,10.0,0.0,21.672161319172073,40.0,29.0,0.2,0,1.0,28.82003364,21.102206826000003,0.5772984820188137
5270137,251,10.0,0.0,21.672161319172073,65.0,45.0,0.2,0,1.0,18.303186919999987,31.599212356000013,0.3667796976808428
