,Alive,BH_ratio,Dead,Trans
0,160,0.0,144,196
1,175,0.05,118,207
2,194,0.1,116,190
3,210,0.15000000000000002,115,175
4,225,0.2,108,167
5,248,0.25,107,145
6,263,0.30000000000000004,105,132
7,282,0.35000000000000003,87,131
8,260,0.4,81,159
9,299,0.45,79,122
10,314,0.5,73,113
11,340,0.55,67,93
12,362,0.6000000000000001,44,94
13,389,0.65,43,68
14,375,0.7000000000000001,40,85
15,382,0.75,53,65
16,426,0.8,27,47
17,439,0.8500000000000001,26,35
18,448,0.9,17,35
19,452,0.9500000000000001,12,36
20,476,1.0,7,17
21,171,0.0,129,200
22,189,0.05,128,183
23,205,0.1,119,176
24,213,0.15000000000000002,120,167
25,237,0.2,109,154
26,259,0.25,106,135
27,254,0.30000000000000004,99,147
28,260,0.35000000000000003,92,148
29,286,0.4,81,133
30,299,0.45,73,128
31,326,0.5,71,103
32,320,0.55,73,107
33,344,0.6000000000000001,52,104
34,367,0.65,42,91
35,385,0.7000000000000001,44,71
36,393,0.75,49,58
37,412,0.8,31,57
38,436,0.8500000000000001,15,49
39,442,0.9,18,40
40,449,0.9500000000000001,16,35
41,474,1.0,8,18
42,177,0.0,114,209
43,198,0.05,121,181
44,193,0.1,113,194
45,234,0.15000000000000002,117,149
46,215,0.2,103,182
47,255,0.25,94,151
48,237,0.30000000000000004,108,155
49,255,0.35000000000000003,99,146
50,311,0.4,64,125
51,307,0.45,64,129
52,332,0.5,63,105
53,333,0.55,62,105
54,341,0.6000000000000001,59,100
55,368,0.65,43,89
56,384,0.7000000000000001,46,70
57,394,0.75,45,61
58,422,0.8,32,46
59,421,0.8500000000000001,26,53
60,435,0.9,22,43
61,467,0.9500000000000001,14,19
62,476,1.0,7,17
63,169,0.0,135,196
64,174,0.05,137,189
65,196,0.1,129,175
66,213,0.15000000000000002,115,172
67,214,0.2,107,179
68,252,0.25,97,151
69,277,0.30000000000000004,100,123
70,287,0.35000000000000003,101,112
71,284,0.4,85,131
72,305,0.45,86,109
73,322,0.5,56,122
74,328,0.55,80,92
75,361,0.6000000000000001,54,85
76,371,0.65,52,77
77,382,0.7000000000000001,56,62
78,392,0.75,45,63
79,399,0.8,31,70
80,426,0.8500000000000001,26,48
81,430,0.9,17,53
82,453,0.9500000000000001,14,33
83,462,1.0,14,24
84,173,0.0,136,191
85,178,0.05,138,184
86,197,0.1,115,188
87,229,0.15000000000000002,111,160
88,231,0.2,102,167
89,258,0.25,111,131
90,254,0.30000000000000004,109,137
91,278,0.35000000000000003,85,137
92,281,0.4,98,121
93,295,0.45,80,125
94,335,0.5,67,98
95,355,0.55,55,90
96,337,0.6000000000000001,67,96
97,373,0.65,59,68
98,393,0.7000000000000001,42,65
99,388,0.75,37,75
100,400,0.8,35,65
101,421,0.8500000000000001,26,53
102,438,0.9,23,39
103,455,0.9500000000000001,9,36
104,467,1.0,8,25
105,175,0.0,128,197
106,184,0.05,117,199
107,185,0.1,129,186
108,196,0.15000000000000002,129,175
109,225,0.2,107,168
110,255,0.25,88,157
111,234,0.30000000000000004,104,162
112,265,0.35000000000000003,105,130
113,282,0.4,86,132
114,303,0.45,82,115
115,305,0.5,71,124
116,335,0.55,65,100
117,350,0.6000000000000001,66,84
118,357,0.65,55,88
119,377,0.7000000000000001,47,76
120,385,0.75,42,73
121,406,0.8,33,61
122,403,0.8500000000000001,31,66
123,442,0.9,19,39
124,457,0.9500000000000001,11,32
125,472,1.0,4,24
126,154,0.0,139,207
127,199,0.05,113,188
128,206,0.1,134,160
129,203,0.15000000000000002,116,181
130,253,0.2,78,169
131,219,0.25,109,172
132,260,0.30000000000000004,99,141
133,272,0.35000000000000003,86,142
134,283,0.4,88,129
135,303,0.45,70,127
136,327,0.5,55,118
137,334,0.55,61,105
138,362,0.6000000000000001,60,78
139,348,0.65,55,97
140,382,0.7000000000000001,42,76
141,402,0.75,34,64
142,397,0.8,37,66
143,445,0.8500000000000001,17,38
144,452,0.9,16,32
145,467,0.9500000000000001,8,25
146,478,1.0,7,15
147,168,0.0,134,198
148,164,0.05,142,194
149,201,0.1,118,181
150,185,0.15000000000000002,128,187
151,231,0.2,99,170
152,206,0.25,123,171
153,273,0.30000000000000004,101,126
154,281,0.35000000000000003,82,137
155,284,0.4,87,129
156,315,0.45,73,112
157,307,0.5,76,117
158,329,0.55,64,107
159,342,0.6000000000000001,57,101
160,358,0.65,51,91
161,375,0.7000000000000001,46,79
162,401,0.75,33,66
163,414,0.8,26,60
164,425,0.8500000000000001,25,50
165,440,0.9,18,42
166,460,0.9500000000000001,8,32
167,459,1.0,12,29
168,163,0.0,131,206
169,177,0.05,128,195
170,193,0.1,111,196
171,209,0.15000000000000002,111,180
172,221,0.2,122,157
173,234,0.25,107,159
174,241,0.30000000000000004,110,149
175,275,0.35000000000000003,97,128
176,283,0.4,84,133
177,286,0.45,91,123
178,297,0.5,83,120
179,332,0.55,63,105
180,349,0.6000000000000001,62,89
181,353,0.65,59,88
182,362,0.7000000000000001,43,95
183,373,0.75,52,75
184,412,0.8,44,44
185,426,0.8500000000000001,23,51
186,441,0.9,17,42
187,461,0.9500000000000001,12,27
188,478,1.0,9,13
189,160,0.0,144,196
190,175,0.05,118,207
191,194,0.1,116,190
192,210,0.15000000000000002,115,175
193,225,0.2,108,167
194,248,0.25,107,145
195,263,0.30000000000000004,105,132
196,282,0.35000000000000003,87,131
197,260,0.4,81,159
198,299,0.45,79,122
199,314,0.5,73,113
200,340,0.55,67,93
201,362,0.6000000000000001,44,94
202,389,0.65,43,68
203,375,0.7000000000000001,40,85
204,382,0.75,53,65
205,426,0.8,27,47
206,439,0.8500000000000001,26,35
207,448,0.9,17,35
208,452,0.9500000000000001,12,36
209,476,1.0,7,17
210,171,0.0,129,200
211,189,0.05,128,183
212,205,0.1,119,176
213,213,0.15000000000000002,120,167
214,237,0.2,109,154
215,259,0.25,106,135
216,254,0.30000000000000004,99,147
217,260,0.35000000000000003,92,148
218,286,0.4,81,133
219,299,0.45,73,128
220,326,0.5,71,103
221,320,0.55,73,107
222,344,0.6000000000000001,52,104
223,367,0.65,42,91
224,385,0.7000000000000001,44,71
225,393,0.75,49,58
226,412,0.8,31,57
227,436,0.8500000000000001,15,49
228,442,0.9,18,40
229,449,0.9500000000000001,16,35
230,474,1.0,8,18
231,177,0.0,114,209
232,198,0.05,121,181
233,193,0.1,113,194
234,234,0.15000000000000002,117,149
235,215,0.2,103,182
236,255,0.25,94,151
237,237,0.30000000000000004,108,155
238,255,0.35000000000000003,99,146
239,311,0.4,64,125
240,307,0.45,64,129
241,332,0.5,63,105
242,333,0.55,62,105
243,341,0.6000000000000001,59,100
244,368,0.65,43,89
245,384,0.7000000000000001,46,70
246,394,0.75,45,61
247,422,0.8,32,46
248,421,0.8500000000000001,26,53
249,435,0.9,22,43
250,467,0.9500000000000001,14,19
251,476,1.0,7,17
252,169,0.0,135,196
253,174,0.05,137,189
254,196,0.1,129,175
255,213,0.15000000000000002,115,172
256,214,0.2,107,179
257,252,0.25,97,151
258,277,0.30000000000000004,100,123
259,287,0.35000000000000003,101,112
260,284,0.4,85,131
261,305,0.45,86,109
262,322,0.5,56,122
263,328,0.55,80,92
264,361,0.6000000000000001,54,85
265,371,0.65,52,77
266,382,0.7000000000000001,56,62
267,392,0.75,45,63
268,399,0.8,31,70
269,426,0.8500000000000001,26,48
270,430,0.9,17,53
271,453,0.9500000000000001,14,33
272,462,1.0,14,24
273,173,0.0,136,191
274,178,0.05,138,184
275,197,0.1,115,188
276,229,0.15000000000000002,111,160
277,231,0.2,102,167
278,258,0.25,111,131
279,254,0.30000000000000004,109,137
280,278,0.35000000000000003,85,137
281,281,0.4,98,121
282,295,0.45,80,125
283,335,0.5,67,98
284,355,0.55,55,90
285,337,0.6000000000000001,67,96
286,373,0.65,59,68
287,393,0.7000000000000001,42,65
288,388,0.75,37,75
289,400,0.8,35,65
290,421,0.8500000000000001,26,53
291,438,0.9,23,39
292,455,0.9500000000000001,9,36
293,467,1.0,8,25
294,175,0.0,128,197
295,184,0.05,117,199
296,185,0.1,129,186
297,196,0.15000000000000002,129,175
298,225,0.2,107,168
299,255,0.25,88,157
300,234,0.30000000000000004,104,162
301,265,0.35000000000000003,105,130
302,282,0.4,86,132
303,303,0.45,82,115
304,305,0.5,71,124
305,335,0.55,65,100
306,350,0.6000000000000001,66,84
307,357,0.65,55,88
308,377,0.7000000000000001,47,76
309,385,0.75,42,73
310,406,0.8,33,61
311,403,0.8500000000000001,31,66
312,442,0.9,19,39
313,457,0.9500000000000001,11,32
314,472,1.0,4,24
315,154,0.0,139,207
316,199,0.05,113,188
317,206,0.1,134,160
318,203,0.15000000000000002,116,181
319,253,0.2,78,169
320,219,0.25,109,172
321,260,0.30000000000000004,99,141
322,272,0.35000000000000003,86,142
323,283,0.4,88,129
324,303,0.45,70,127
325,327,0.5,55,118
326,334,0.55,61,105
327,362,0.6000000000000001,60,78
328,348,0.65,55,97
