,alive,bh_ratio,dead,transient
0,108,0.0,149,318
1,135,0.05,152,287
2,159,0.1,125,285
3,178,0.15000000000000002,125,263
4,193,0.2,116,252
5,197,0.25,117,236
6,207,0.30000000000000004,113,230
7,255,0.35000000000000003,94,198
8,247,0.4,93,222
9,270,0.45,101,163
10,299,0.5,84,164
11,317,0.55,77,151
12,321,0.6000000000000001,70,153
13,330,0.65,69,132
14,377,0.7000000000000001,55,109
15,392,0.75,37,93
16,386,0.8,49,87
17,408,0.8500000000000001,41,71
18,436,0.9,22,56
19,452,0.9500000000000001,22,37
20,465,1.0,14,24
21,123,0.0,153,310
22,138,0.05,150,287
23,146,0.1,136,287
24,163,0.15000000000000002,149,254
25,164,0.2,120,270
26,193,0.25,117,247
27,236,0.30000000000000004,118,215
28,254,0.35000000000000003,100,190
29,271,0.4,98,188
30,270,0.45,90,184
31,287,0.5,73,188
32,321,0.55,57,165
33,313,0.6000000000000001,77,145
34,350,0.65,68,106
35,363,0.7000000000000001,48,131
36,370,0.75,52,107
37,395,0.8,55,74
38,404,0.8500000000000001,34,80
39,432,0.9,27,50
40,438,0.9500000000000001,29,41
41,458,1.0,18,34
42,123,0.0,161,304
43,130,0.05,153,283
44,156,0.1,138,282
45,170,0.15000000000000002,149,251
46,185,0.2,122,256
47,201,0.25,127,235
48,219,0.30000000000000004,108,228
49,241,0.35000000000000003,102,216
50,254,0.4,100,194
51,278,0.45,91,181
52,269,0.5,94,187
53,287,0.55,96,155
54,307,0.6000000000000001,77,146
55,360,0.65,51,127
56,361,0.7000000000000001,50,110
57,387,0.75,56,83
58,400,0.8,31,85
59,404,0.8500000000000001,30,86
60,425,0.9,36,57
61,434,0.9500000000000001,27,47
62,457,1.0,17,33
63,117,0.0,138,331
64,131,0.05,151,298
65,163,0.1,141,282
66,175,0.15000000000000002,132,270
67,199,0.2,127,246
68,205,0.25,116,234
69,212,0.30000000000000004,116,233
70,239,0.35000000000000003,110,213
71,250,0.4,97,201
72,275,0.45,89,178
73,296,0.5,79,176
74,291,0.55,81,160
75,322,0.6000000000000001,75,134
76,335,0.65,68,133
77,368,0.7000000000000001,44,123
78,375,0.75,44,111
79,388,0.8,44,92
