,bh_ratio,alive,dead,transient
0,0.0,113,147,326
1,0.05,137,132,295
2,0.1,165,137,271
3,0.15000000000000002,179,131,261
4,0.2,201,118,244
5,0.25,195,110,254
6,0.30000000000000004,242,101,221
7,0.35000000000000003,229,98,236
8,0.4,239,121,196
9,0.45,277,76,194
10,0.5,284,91,166
11,0.55,312,85,147
12,0.6000000000000001,334,68,137
13,0.65,331,65,136
14,0.7000000000000001,360,53,111
15,0.75,373,55,98
16,0.8,411,32,78
17,0.8500000000000001,409,45,64
18,0.9,425,32,57
19,0.9500000000000001,441,21,53
20,1.0,464,15,30
21,0.0,92,166,304
22,0.05,143,133,306
23,0.1,160,134,282
24,0.15000000000000002,171,132,272
25,0.2,182,123,262
26,0.25,182,114,274
27,0.30000000000000004,233,94,223
28,0.35000000000000003,256,101,197
29,0.4,236,88,217
30,0.45,281,92,166
31,0.5,291,71,173
32,0.55,315,78,151
33,0.6000000000000001,334,74,126
34,0.65,341,56,132
35,0.7000000000000001,364,54,112
36,0.75,377,44,97
37,0.8,400,43,81
38,0.8500000000000001,423,28,69
39,0.9,419,34,61
40,0.9500000000000001,452,16,41
41,1.0,467,14,29
42,0.0,114,163,304
43,0.05,139,151,277
44,0.1,161,120,297
45,0.15000000000000002,170,133,256
46,0.2,176,136,248
47,0.25,216,112,241
48,0.30000000000000004,222,128,206
49,0.35000000000000003,240,103,209
50,0.4,266,82,198
51,0.45,257,97,191
52,0.5,269,98,166
53,0.55,297,92,144
54,0.6000000000000001,331,67,133
55,0.65,342,65,122
56,0.7000000000000001,353,53,116
57,0.75,379,42,97
58,0.8,403,45,75
59,0.8500000000000001,424,28,60
60,0.9,420,33,61
61,0.9500000000000001,446,21,48
62,1.0,467,16,24
63,0.0,118,146,311
64,0.05,132,142,310
65,0.1,155,141,277
66,0.15000000000000002,163,140,262
67,0.2,189,128,238
68,0.25,199,125,232
69,0.30000000000000004,237,105,214
70,0.35000000000000003,226,120,202
71,0.4,237,111,201
72,0.45,266,96,181
73,0.5,292,101,157
74,0.55,308,80,149
75,0.6000000000000001,319,72,138
76,0.65,344,56,127
77,0.7000000000000001,354,65,112
78,0.75,366,54,100
79,0.8,389,44,90
80,0.8500000000000001,429,22,71
81,0.9,426,22,64
82,0.9500000000000001,452,19,38
83,1.0,467,16,24
84,0.0,118,163,303
85,0.05,151,132,301
86,0.1,143,144,274
87,0.15000000000000002,184,130,255
88,0.2,186,117,269
89,0.25,201,123,245
90,0.30000000000000004,230,125,212
91,0.35000000000000003,239,108,208
92,0.4,248,97,210
93,0.45,266,95,191
94,0.5,296,82,162
95,0.55,323,67,146
96,0.6000000000000001,308,75,143
97,0.65,344,62,127
98,0.7000000000000001,371,44,107
99,0.75,366,51,109
100,0.8,395,45,89
101,0.8500000000000001,402,42,71
102,0.9,424,28,63
103,0.9500000000000001,448,20,43
104,1.0,462,16,32
105,0.0,135,133,324
106,0.05,129,142,296
107,0.1,165,136,268
108,0.15000000000000002,176,136,252
109,0.2,191,125,254
110,0.25,182,122,253
