,alive,bh_ratio,dead,transient
0,124,0.0,151,312
1,144,0.05,137,297
2,155,0.1,142,283
3,161,0.15000000000000002,127,272
4,191,0.2,125,250
5,205,0.25,126,236
6,214,0.30000000000000004,119,223
7,242,0.35000000000000003,103,219
8,249,0.4,101,203
9,265,0.45,85,181
10,291,0.5,73,174
11,303,0.55,77,155
12,334,0.6000000000000001,66,134
13,339,0.65,55,138
14,368,0.7000000000000001,61,98
15,388,0.75,48,90
16,400,0.8,36,90
17,413,0.8500000000000001,40,66
18,443,0.9,25,49
19,449,0.9500000000000001,21,44
20,452,1.0,23,30
21,107,0.0,159,298
22,126,0.05,145,299
23,141,0.1,142,288
24,168,0.15000000000000002,131,270
25,194,0.2,127,243
26,200,0.25,122,220
27,230,0.30000000000000004,118,205
28,246,0.35000000000000003,109,195
29,243,0.4,102,213
30,267,0.45,89,204
31,278,0.5,85,185
32,323,0.55,74,151
33,323,0.6000000000000001,57,159
34,336,0.65,74,121
35,366,0.7000000000000001,60,107
36,376,0.75,55,95
37,406,0.8,37,77
38,407,0.8500000000000001,39,71
39,423,0.9,28,73
40,459,0.9500000000000001,15,35
41,460,1.0,11,34
42,122,0.0,156,299
43,127,0.05,148,286
44,144,0.1,141,285
45,150,0.15000000000000002,127,275
46,190,0.2,129,259
47,198,0.25,116,257
48,213,0.30000000000000004,118,228
49,250,0.35000000000000003,99,205
50,230,0.4,103,207
51,274,0.45,94,174
52,299,0.5,92,148
53,307,0.55,80,146
54,328,0.6000000000000001,66,133
55,322,0.65,64,142
56,375,0.7000000000000001,61,96
57,358,0.75,57,106
58,406,0.8,33,78
59,428,0.8500000000000001,29,58
60,433,0.9,26,56
61,437,0.9500000000000001,26,47
62,467,1.0,12,29
63,110,0.0,155,314
64,131,0.05,134,309
65,148,0.1,143,279
66,150,0.15000000000000002,148,262
67,196,0.2,143,234
68,210,0.25,123,237
69,211,0.30000000000000004,124,229
70,244,0.35000000000000003,108,200
71,262,0.4,99,196
72,277,0.45,95,176
73,277,0.5,84,189
74,318,0.55,72,153
75,342,0.6000000000000001,62,142
76,327,0.65,61,144
77,345,0.7000000000000001,66,117
78,360,0.75,59,112
79,387,0.8,53,85
80,405,0.8500000000000001,48,64
81,441,0.9,24,57
82,448,0.9500000000000001,25,36
83,460,1.0,14,33
84,122,0.0,156,299
85,137,0.05,152,287
86,161,0.1,121,300
87,179,0.15000000000000002,112,284
88,171,0.2,125,269
89,199,0.25,111,246
90,229,0.30000000000000004,91,251
91,250,0.35000000000000003,94,216
92,245,0.4,110,196
93,271,0.45,92,181
94,285,0.5,78,177
95,305,0.55,81,161
