,bh_ratio,alive,dead,transient
0,0.0,111,169,293
1,0.05,128,154,289
2,0.1,153,143,280
3,0.15000000000000002,174,129,265
4,0.2,164,137,257
5,0.25,224,105,241
6,0.30000000000000004,212,126,216
7,0.35000000000000003,241,111,202
8,0.4,266,93,178
9,0.45,286,92,173
10,0.5,305,82,158
11,0.55,305,81,157
12,0.6000000000000001,324,73,145
13,0.65,346,61,126
14,0.7000000000000001,348,70,117
15,0.75,377,47,107
16,0.8,400,41,80
17,0.8500000000000001,409,38,62
18,0.9,432,29,58
19,0.9500000000000001,438,26,48
20,1.0,460,12,36
21,0.0,118,155,307
22,0.05,141,134,306
23,0.1,151,145,267
24,0.15000000000000002,178,128,254
25,0.2,194,135,239
26,0.25,204,120,235
27,0.30000000000000004,218,109,230
28,0.35000000000000003,254,103,208
29,0.4,256,104,194
30,0.45,263,73,208
31,0.5,274,97,177
32,0.55,296,77,166
33,0.6000000000000001,312,71,142
34,0.65,335,70,143
35,0.7000000000000001,358,64,108
36,0.75,354,65,107
37,0.8,399,36,88
38,0.8500000000000001,415,31,68
39,0.9,417,36,58
40,0.9500000000000001,450,21,44
41,1.0,454,13,43
42,0.0,109,144,310
43,0.05,128,155,291
44,0.1,158,135,285
45,0.15000000000000002,166,132,265
46,0.2,191,113,264
47,0.25,211,93,257
48,0.30000000000000004,225,105,229
49,0.35000000000000003,218,106,221
50,0.4,251,89,210
51,0.45,259,85,207
52,0.5,282,98,161
53,0.55,318,74,153
54,0.6000000000000001,326,76,134
55,0.65,330,71,126
56,0.7000000000000001,364,66,98
57,0.75,385,41,99
58,0.8,403,27,93
59,0.8500000000000001,402,45,69
60,0.9,434,36,44
61,0.9500000000000001,448,17,47
62,1.0,460,11,37
63,0.0,111,181,284
64,0.05,125,152,298
65,0.1,165,132,274
66,0.15000000000000002,155,163,245
67,0.2,180,123,258
68,0.25,207,133,220
69,0.30000000000000004,230,113,216
70,0.35000000000000003,258,90,213
71,0.4,263,91,192
72,0.45,281,91,182
73,0.5,291,84,176
74,0.55,307,81,159
75,0.6000000000000001,320,82,140
76,0.65,347,61,120
77,0.7000000000000001,350,65,116
78,0.75,374,44,112
79,0.8,389,39,90
80,0.8500000000000001,406,47,63
81,0.9,426,34,54
82,0.9500000000000001,441,24,48
83,1.0,453,14,42
84,0.0,122,149,303
