,alive,bh_ratio,dead,transient
0,120,0.0,146,311
1,129,0.05,148,299
2,175,0.1,112,299
3,182,0.15000000000000002,133,263
4,192,0.2,125,246
5,209,0.25,131,218
6,224,0.30000000000000004,117,218
7,232,0.35000000000000003,109,216
8,242,0.4,105,205
9,275,0.45,87,190
10,293,0.5,89,166
11,320,0.55,74,148
12,326,0.6000000000000001,76,143
13,350,0.65,59,123
14,346,0.7000000000000001,55,120
15,372,0.75,42,107
16,405,0.8,47,66
17,414,0.8500000000000001,36,67
18,418,0.9,31,59
19,448,0.9500000000000001,19,45
20,455,1.0,19,35
21,129,0.0,158,300
22,143,0.05,137,293
23,146,0.1,141,282
24,165,0.15000000000000002,134,264
25,179,0.2,135,247
26,205,0.25,119,240
27,231,0.30000000000000004,108,221
28,228,0.35000000000000003,97,233
29,257,0.4,101,195
30,275,0.45,96,176
31,304,0.5,84,160
32,311,0.55,73,150
33,331,0.6000000000000001,81,118
34,357,0.65,55,126
35,373,0.7000000000000001,63,98
36,378,0.75,46,99
37,385,0.8,50,92
38,422,0.8500000000000001,28,79
39,411,0.9,32,73
40,448,0.9500000000000001,20,44
41,466,1.0,10,28
42,141,0.0,141,322
43,129,0.05,157,287
44,154,0.1,144,281
45,171,0.15000000000000002,135,263
46,164,0.2,131,260
47,218,0.25,120,223
48,223,0.30000000000000004,115,212
49,251,0.35000000000000003,102,201
50,245,0.4,113,180
51,252,0.45,89,209
52,299,0.5,70,176
53,314,0.55,76,151
54,335,0.6000000000000001,61,137
55,347,0.65,61,125
56,361,0.7000000000000001,60,109
57,392,0.75,36,91
58,398,0.8,31,89
59,410,0.8500000000000001,40,67
60,436,0.9,29,48
61,444,0.9500000000000001,27,43
62,474,1.0,10,22
63,114,0.0,164,306
64,134,0.05,141,296
65,168,0.1,135,284
66,147,0.15000000000000002,135,282
67,172,0.2,139,249
68,215,0.25,122,235
69,232,0.30000000000000004,107,218
70,252,0.35000000000000003,92,205
71,260,0.4,100,181
72,275,0.45,82,191
73,308,0.5,81,152
74,327,0.55,65,155
75,327,0.6000000000000001,69,142
76,344,0.65,66,116
77,348,0.7000000000000001,53,121
78,389,0.75,46,102
79,387,0.8,45,91
80,407,0.8500000000000001,39,63
81,433,0.9,30,57
82,447,0.9500000000000001,23,41
83,466,1.0,11,32
84,130,0.0,126,328
85,116,0.05,154,290
86,150,0.1,124,297
87,180,0.15000000000000002,117,277
88,180,0.2,140,244
89,203,0.25,124,248
90,230,0.30000000000000004,106,224
91,251,0.35000000000000003,98,201
92,258,0.4,92,197
93,274,0.45,90,185
94,283,0.5,93,161
95,326,0.55,55,158
96,326,0.6000000000000001,77,139
97,357,0.65,59,116
98,352,0.7000000000000001,56,113
99,388,0.75,43,99
100,401,0.8,36,86
101,419,0.8500000000000001,33,65
102,441,0.9,22,57
103,443,0.9500000000000001,19,50
104,452,1.0,15,42
105,112,0.0,166,288
106,126,0.05,140,302
107,151,0.1,154,273
108,170,0.15000000000000002,143,250
109,189,0.2,128,241
110,180,0.25,128,246
111,210,0.30000000000000004,105,245
112,233,0.35000000000000003,115,202
113,263,0.4,92,204
114,288,0.45,78,184
115,289,0.5,93,157
116,294,0.55,90,150
117,335,0.6000000000000001,68,140
118,345,0.65,64,126
119,364,0.7000000000000001,59,106
120,389,0.75,41,92
121,410,0.8,38,72
122,415,0.8500000000000001,34,67
123,424,0.9,29,61
124,451,0.9500000000000001,20,44
125,468,1.0,13,28
126,115,0.0,167,283
127,142,0.05,141,292
128,142,0.1,138,281
129,145,0.15000000000000002,140,270
130,184,0.2,138,240
131,205,0.25,119,239
132,232,0.30000000000000004,109,220
133,260,0.35000000000000003,96,199
134,240,0.4,96,214
135,285,0.45,86,192
136,280,0.5,86,180
137,334,0.55,60,154
138,336,0.6000000000000001,70,132
139,351,0.65,46,132
140,354,0.7000000000000001,64,106
141,388,0.75,38,100
142,403,0.8,37,89
143,415,0.8500000000000001,41,61
144,420,0.9,30,61
145,449,0.9500000000000001,11,53
146,467,1.0,14,27
147,114,0.0,150,310
148,139,0.05,143,304
149,167,0.1,125,291
150,162,0.15000000000000002,146,257
151,197,0.2,119,252
152,177,0.25,136,231
153,212,0.30000000000000004,111,238
154,239,0.35000000000000003,88,229
155,259,0.4,101,177
156,280,0.45,100,169
157,289,0.5,86,164
158,316,0.55,81,142
159,326,0.6000000000000001,72,141
160,356,0.65,69,116
161,351,0.7000000000000001,57,125
162,377,0.75,44,112
163,400,0.8,40,77
164,398,0.8500000000000001,49,69
165,439,0.9,29,39
166,438,0.9500000000000001,26,45
167,460,1.0,24,24
168,124,0.0,145,316
169,142,0.05,145,301
170,143,0.1,140,287
171,152,0.15000000000000002,136,257
172,201,0.2,140,233
173,204,0.25,122,246
174,215,0.30000000000000004,110,231
175,242,0.35000000000000003,95,226
176,268,0.4,91,198
177,278,0.45,85,186
178,292,0.5,77,181
179,314,0.55,79,145
180,328,0.6000000000000001,73,131
181,339,0.65,81,114
182,378,0.7000000000000001,52,96
183,374,0.75,56,97
184,395,0.8,43,80
185,413,0.8500000000000001,33,86
186,425,0.9,19,74
187,441,0.9500000000000001,24,49
188,467,1.0,12,30
189,121,0.0,145,321
190,135,0.05,151,285
191,149,0.1,155,268
192,152,0.15000000000000002,131,282
193,172,0.2,132,251
194,199,0.25,125,243
195,222,0.30000000000000004,104,228
196,231,0.35000000000000003,114,205
197,248,0.4,110,205
198,264,0.45,102,174
199,303,0.5,86,151
200,306,0.55,75,159
201,310,0.6000000000000001,69,158
202,330,0.65,72,128
203,359,0.7000000000000001,52,117
204,374,0.75,43,114
205,410,0.8,37,72
206,399,0.8500000000000001,52,70
207,447,0.9,19,54
208,443,0.9500000000000001,29,41
209,465,1.0,11,30
210,121,0.0,157,308
211,136,0.05,164,273
212,162,0.1,138,286
213,179,0.15000000000000002,139,257
214,185,0.2,120,273
215,192,0.25,129,256
216,222,0.30000000000000004,95,237
217,221,0.35000000000000003,105,221
218,252,0.4,107,190
219,268,0.45,101,179
220,292,0.5,81,164
221,299,0.55,86,157
222,314,0.6000000000000001,77,145
223,345,0.65,70,119
224,366,0.7000000000000001,49,116
225,372,0.75,58,96
226,393,0.8,42,86
227,402,0.8500000000000001,33,82
228,430,0.9,40,46
229,444,0.9500000000000001,16,47
230,467,1.0,10,31
231,124,0.0,167,290
232,122,0.05,162,279
233,137,0.1,147,273
234,160,0.15000000000000002,132,268
235,174,0.2,125,264
236,195,0.25,129,232
237,235,0.30000000000000004,106,218
238,244,0.35000000000000003,109,203
239,242,0.4,96,211
240,265,0.45,87,200
241,296,0.5,84,155
242,307,0.55,84,150
243,333,0.6000000000000001,55,149
244,355,0.65,59,124
245,350,0.7000000000000001,71,110
246,366,0.75,50,113
247,402,0.8,46,65
248,403,0.8500000000000001,27,90
249,419,0.9,33,62
250,464,0.9500000000000001,14,30
251,456,1.0,22,30
252,123,0.0,148,319
253,140,0.05,150,293
254,151,0.1,140,284
255,175,0.15000000000000002,132,279
256,174,0.2,127,255
257,205,0.25,121,236
258,222,0.30000000000000004,113,220
259,217,0.35000000000000003,120,208
260,255,0.4,96,195
261,252,0.45,100,192
262,296,0.5,80,171
263,298,0.55,91,144
264,323,0.6000000000000001,82,130
265,353,0.65,55,116
266,358,0.7000000000000001,59,120
267,384,0.75,47,89
268,395,0.8,50,80
269,417,0.8500000000000001,29,79
270,433,0.9,21,62
271,454,0.9500000000000001,16,39
272,471,1.0,9,27
273,115,0.0,155,301
274,130,0.05,156,293
275,150,0.1,149,278
276,170,0.15000000000000002,130,276
277,184,0.2,141,243
278,228,0.25,105,242
279,210,0.30000000000000004,106,239
280,222,0.35000000000000003,127,205
281,267,0.4,87,209
282,280,0.45,99,165
283,317,0.5,67,159
284,312,0.55,77,148
285,302,0.6000000000000001,75,149
286,354,0.65,60,110
287,354,0.7000000000000001,62,116
288,372,0.75,49,114
289,403,0.8,37,80
290,411,0.8500000000000001,46,62
291,427,0.9,32,60
292,437,0.9500000000000001,21,53
293,454,1.0,16,37
294,126,0.0,158,311
295,152,0.05,136,301
296,173,0.1,129,283
297,162,0.15000000000000002,137,276
298,200,0.2,118,243
299,201,0.25,117,236
300,238,0.30000000000000004,97,236
301,238,0.35000000000000003,113,200
302,264,0.4,86,210
303,266,0.45,94,185
304,279,0.5,98,167
305,318,0.55,66,151
306,329,0.6000000000000001,68,131
307,318,0.65,75,139
308,353,0.7000000000000001,45,133
309,373,0.75,54,97
310,388,0.8,45,89
311,409,0.8500000000000001,39,69
312,414,0.9,35,67
313,440,0.9500000000000001,24,46
314,460,1.0,14,29
