,alive,bh_ratio,dead,transient
0,184,0.0,120,260
1,206,0.05,114,238
2,233,0.1,100,228
3,244,0.15000000000000002,116,190
4,228,0.2,97,219
5,258,0.25,95,194
6,284,0.30000000000000004,93,174
7,274,0.35000000000000003,86,176
8,291,0.4,101,143
9,313,0.45,80,145
10,328,0.5,71,137
11,334,0.55,68,139
12,340,0.6000000000000001,62,127
13,362,0.65,60,97
14,373,0.7000000000000001,47,113
15,401,0.75,46,76
16,406,0.8,35,76
17,415,0.8500000000000001,39,63
18,424,0.9,33,54
19,444,0.9500000000000001,21,41
20,459,1.0,20,31
21,196,0.0,128,250
22,200,0.05,133,216
23,237,0.1,111,223
24,230,0.15000000000000002,106,217
25,246,0.2,94,217
26,267,0.25,106,166
27,258,0.30000000000000004,108,177
28,289,0.35000000000000003,73,180
29,324,0.4,73,145
30,319,0.45,71,142
31,322,0.5,72,147
32,349,0.55,70,113
33,351,0.6000000000000001,62,117
34,353,0.65,72,96
35,372,0.7000000000000001,52,96
36,390,0.75,45,92
37,416,0.8,33,74
38,413,0.8500000000000001,31,66
39,436,0.9,24,57
40,456,0.9500000000000001,23,37
41,456,1.0,18,34
42,177,0.0,131,251
43,207,0.05,119,218
44,219,0.1,103,217
45,242,0.15000000000000002,106,214
46,251,0.2,104,200
47,277,0.25,97,172
48,261,0.30000000000000004,98,187
49,297,0.35000000000000003,87,162
50,319,0.4,76,148
51,318,0.45,74,149
52,332,0.5,68,141
53,353,0.55,66,122
54,376,0.6000000000000001,63,92
55,372,0.65,52,105
56,371,0.7000000000000001,51,97
57,392,0.75,45,88
58,394,0.8,45,80
59,411,0.8500000000000001,24,75
60,442,0.9,21,52
61,449,0.9500000000000001,23,43
62,463,1.0,12,32
63,190,0.0,137,239
64,211,0.05,121,227
65,229,0.1,112,210
66,225,0.15000000000000002,120,203
67,248,0.2,108,204
68,262,0.25,113,167
69,267,0.30000000000000004,89,194
70,287,0.35000000000000003,92,169
71,316,0.4,67,167
72,322,0.45,72,139
73,314,0.5,70,146
74,349,0.55,62,123
75,355,0.6000000000000001,51,128
76,394,0.65,46,79
77,396,0.7000000000000001,35,97
78,391,0.75,42,87
79,407,0.8,44,59
80,430,0.8500000000000001,28,62
81,426,0.9,31,64
82,445,0.9500000000000001,27,38
83,467,1.0,12,31
84,199,0.0,120,250
85,226,0.05,110,230
86,216,0.1,104,234
87,226,0.15000000000000002,92,236
88,254,0.2,91,207
89,260,0.25,102,189
90,263,0.30000000000000004,107,175
91,307,0.35000000000000003,83,159
92,321,0.4,75,151
93,302,0.45,73,157
94,328,0.5,74,143
95,342,0.55,60,148
96,359,0.6000000000000001,65,103
97,364,0.65,68,93
98,384,0.7000000000000001,43,99
99,407,0.75,46,72
100,406,0.8,38,75
101,400,0.8500000000000001,36,80
102,435,0.9,28,46
103,454,0.9500000000000001,18,41
104,468,1.0,11,32
105,198,0.0,116,247
106,191,0.05,121,237
107,220,0.1,114,222
108,216,0.15000000000000002,136,198
109,249,0.2,86,222
110,278,0.25,93,183
111,258,0.30000000000000004,85,198
112,275,0.35000000000000003,80,185
113,298,0.4,80,164
114,321,0.45,71,138
115,348,0.5,67,129
116,337,0.55,60,134
117,349,0.6000000000000001,61,121
118,354,0.65,60,111
119,384,0.7000000000000001,39,99
120,394,0.75,32,95
121,411,0.8,32,79
122,421,0.8500000000000001,33,68
123,428,0.9,34,52
124,430,0.9500000000000001,31,50
125,458,1.0,17,31
126,200,0.0,113,258
127,212,0.05,130,216
128,216,0.1,105,225
129,255,0.15000000000000002,108,189
130,239,0.2,108,200
131,230,0.25,121,185
132,274,0.30000000000000004,89,177
133,286,0.35000000000000003,81,185
134,309,0.4,73,165
135,302,0.45,84,147
136,312,0.5,74,141
137,345,0.55,57,128
138,360,0.6000000000000001,51,126
139,374,0.65,48,111
140,395,0.7000000000000001,38,86
141,396,0.75,40,78
142,399,0.8,33,79
143,425,0.8500000000000001,32,61
144,433,0.9,24,54
145,441,0.9500000000000001,28,43
146,455,1.0,17,34
147,205,0.0,115,238
148,205,0.05,113,239
149,232,0.1,112,213
150,243,0.15000000000000002,101,214
151,239,0.2,111,199
152,275,0.25,90,183
153,257,0.30000000000000004,103,183
154,301,0.35000000000000003,92,157
155,310,0.4,78,155
156,316,0.45,82,140
157,316,0.5,71,158
158,337,0.55,66,121
159,353,0.6000000000000001,61,119
160,367,0.65,41,114
161,391,0.7000000000000001,44,89
162,396,0.75,41,81
163,400,0.8,52,63
164,424,0.8500000000000001,34,60
165,438,0.9,21,52
166,437,0.9500000000000001,20,55
167,459,1.0,22,32
168,185,0.0,111,257
169,204,0.05,128,219
170,202,0.1,131,232
171,246,0.15000000000000002,106,210
172,258,0.2,94,217
173,275,0.25,96,188
174,270,0.30000000000000004,89,175
175,295,0.35000000000000003,73,170
176,294,0.4,77,178
177,304,0.45,91,146
178,321,0.5,77,150
179,334,0.55,80,127
180,344,0.6000000000000001,56,127
181,377,0.65,58,90
182,361,0.7000000000000001,49,122
183,395,0.75,42,92
184,403,0.8,48,68
185,416,0.8500000000000001,33,66
186,440,0.9,20,53
187,449,0.9500000000000001,17,47
188,450,1.0,22,37
189,188,0.0,129,244
190,194,0.05,121,245
191,232,0.1,95,227
192,246,0.15000000000000002,97,220
193,257,0.2,92,199
194,256,0.25,106,177
195,303,0.30000000000000004,69,177
196,272,0.35000000000000003,97,169
197,310,0.4,88,148
198,303,0.45,87,145
199,337,0.5,64,142
200,359,0.55,64,108
201,363,0.6000000000000001,61,122
202,363,0.65,56,113
203,379,0.7000000000000001,45,107
204,395,0.75,40,92
205,411,0.8,37,66
206,424,0.8500000000000001,33,61
207,427,0.9,25,59
208,446,0.9500000000000001,19,50
209,457,1.0,15,39
210,208,0.0,122,242
211,199,0.05,117,240
212,236,0.1,115,219
213,254,0.15000000000000002,108,193
214,243,0.2,101,207
215,255,0.25,100,182
216,281,0.30000000000000004,91,167
217,269,0.35000000000000003,84,184
218,282,0.4,84,170
219,303,0.45,104,137
220,340,0.5,55,141
221,323,0.55,71,139
222,357,0.6000000000000001,62,114
223,354,0.65,58,115
224,382,0.7000000000000001,40,107
225,401,0.75,33,89
226,414,0.8,36,70
227,434,0.8500000000000001,23,65
228,421,0.9,34,56
229,455,0.9500000000000001,21,34
230,466,1.0,12,29
231,189,0.0,131,234
232,195,0.05,111,243
233,221,0.1,110,227
234,248,0.15000000000000002,90,216
235,257,0.2,97,213
236,276,0.25,75,208
237,285,0.30000000000000004,79,190
238,292,0.35000000000000003,68,180
239,300,0.4,89,144
240,306,0.45,81,146
241,319,0.5,83,134
242,342,0.55,69,123
243,323,0.6000000000000001,75,138
244,370,0.65,56,90
245,400,0.7000000000000001,43,82
246,392,0.75,49,83
247,419,0.8,29,71
248,424,0.8500000000000001,28,59
249,441,0.9,28,57
250,443,0.9500000000000001,24,42
251,460,1.0,19,30
252,202,0.0,122,237
253,213,0.05,120,229
254,208,0.1,127,211
255,246,0.15000000000000002,97,223
256,252,0.2,105,193
257,255,0.25,103,188
258,256,0.30000000000000004,93,202
259,287,0.35000000000000003,93,166
260,302,0.4,83,149
261,331,0.45,62,143
262,322,0.5,74,148
263,344,0.55,63,132
264,345,0.6000000000000001,60,117
265,349,0.65,61,120
266,371,0.7000000000000001,55,97
267,400,0.75,37,91
268,409,0.8,42,81
269,414,0.8500000000000001,32,72
270,432,0.9,28,58
271,448,0.9500000000000001,21,40
272,464,1.0,17,30
273,194,0.0,130,235
274,232,0.05,104,231
275,210,0.1,122,220
276,243,0.15000000000000002,119,198
277,231,0.2,122,198
278,264,0.25,83,209
279,273,0.30000000000000004,83,189
280,275,0.35000000000000003,93,172
281,311,0.4,79,153
282,311,0.45,73,164
283,336,0.5,62,141
284,345,0.55,67,123
285,347,0.6000000000000001,76,109
286,381,0.65,52,89
287,378,0.7000000000000001,52,96
288,381,0.75,32,106
289,403,0.8,29,93
