,alive,bh_ratio,dead,transient
0,176,0.0,145,243
1,214,0.05,111,250
2,234,0.1,92,233
3,228,0.15000000000000002,112,214
4,245,0.2,94,203
5,267,0.25,95,202
6,251,0.30000000000000004,92,204
7,280,0.35000000000000003,78,182
8,296,0.4,90,152
9,301,0.45,67,175
10,334,0.5,70,128
11,353,0.55,54,127
12,348,0.6000000000000001,66,115
13,360,0.65,53,115
14,375,0.7000000000000001,52,95
15,403,0.75,38,84
16,407,0.8,38,78
17,413,0.8500000000000001,39,64
18,436,0.9,25,53
19,445,0.9500000000000001,29,35
20,457,1.0,23,30
21,201,0.0,122,228
22,193,0.05,113,249
23,231,0.1,110,219
24,237,0.15000000000000002,101,211
25,254,0.2,100,192
26,254,0.25,80,215
27,272,0.30000000000000004,71,206
28,309,0.35000000000000003,82,151
29,302,0.4,82,157
30,302,0.45,81,147
31,325,0.5,64,145
32,342,0.55,68,117
33,347,0.6000000000000001,57,119
34,363,0.65,67,98
35,372,0.7000000000000001,43,107
36,384,0.75,59,79
37,387,0.8,46,84
38,426,0.8500000000000001,30,60
39,427,0.9,27,57
40,444,0.9500000000000001,24,42
41,447,1.0,21,41
42,183,0.0,131,251
43,198,0.05,127,237
44,230,0.1,107,233
45,244,0.15000000000000002,99,229
46,243,0.2,92,213
47,268,0.25,102,191
48,261,0.30000000000000004,94,192
49,280,0.35000000000000003,89,177
50,287,0.4,83,167
51,317,0.45,72,144
52,345,0.5,61,134
53,347,0.55,80,100
54,348,0.6000000000000001,53,122
55,366,0.65,49,112
56,392,0.7000000000000001,41,91
57,386,0.75,44,88
58,389,0.8,43,94
59,418,0.8500000000000001,33,66
60,430,0.9,31,51
61,454,0.9500000000000001,18,42
62,453,1.0,20,34
63,172,0.0,134,247
64,206,0.05,109,245
65,226,0.1,125,206
66,220,0.15000000000000002,124,207
67,237,0.2,106,204
68,263,0.25,96,190
69,241,0.30000000000000004,103,202
70,269,0.35000000000000003,94,178
71,278,0.4,98,155
72,334,0.45,61,144
73,322,0.5,73,135
74,343,0.55,65,132
75,331,0.6000000000000001,68,127
76,376,0.65,47,110
77,380,0.7000000000000001,45,96
78,394,0.75,34,90
79,393,0.8,41,85
80,421,0.8500000000000001,35,66
81,444,0.9,19,56
82,448,0.9500000000000001,26,34
83,464,1.0,16,30
84,182,0.0,119,262
85,210,0.05,103,242
86,231,0.1,108,231
87,230,0.15000000000000002,100,225
88,241,0.2,104,213
89,277,0.25,93,183
90,267,0.30000000000000004,97,177
91,278,0.35000000000000003,92,171
92,299,0.4,83,156
93,301,0.45,89,152
94,329,0.5,70,130
95,334,0.55,66,135
96,344,0.6000000000000001,67,112
97,346,0.65,59,115
98,386,0.7000000000000001,48,89
99,392,0.75,46,86
100,400,0.8,33,85
101,418,0.8500000000000001,28,63
102,423,0.9,35,53
103,447,0.9500000000000001,23,43
104,456,1.0,17,30
105,208,0.0,113,246
106,217,0.05,114,232
107,236,0.1,104,219
108,229,0.15000000000000002,105,213
109,238,0.2,114,202
110,262,0.25,111,175
111,268,0.30000000000000004,94,173
112,295,0.35000000000000003,76,163
113,303,0.4,79,165
114,317,0.45,73,142
115,317,0.5,74,154
116,338,0.55,65,132
117,366,0.6000000000000001,55,105
118,369,0.65,53,108
119,379,0.7000000000000001,44,99
120,388,0.75,38,96
121,408,0.8,31,82
122,424,0.8500000000000001,27,67
123,420,0.9,33,63
124,445,0.9500000000000001,25,43
125,464,1.0,14,29
126,210,0.0,105,244
127,195,0.05,113,252
128,225,0.1,98,247
129,234,0.15000000000000002,103,222
130,236,0.2,107,198
131,275,0.25,98,185
132,286,0.30000000000000004,81,177
133,276,0.35000000000000003,101,161
134,313,0.4,65,165
135,326,0.45,62,156
136,346,0.5,70,127
137,349,0.55,60,123
138,353,0.6000000000000001,53,124
139,370,0.65,60,97
140,385,0.7000000000000001,48,94
141,400,0.75,44,79
142,416,0.8,42,53
143,435,0.8500000000000001,28,47
144,418,0.9,31,67
145,449,0.9500000000000001,22,38
146,451,1.0,19,38
147,196,0.0,138,237
148,190,0.05,114,251
