,alive,bh_ratio,dead,transient
0,195,0.0,121,242
1,190,0.05,128,231
2,218,0.1,119,223
3,237,0.15000000000000002,107,216
4,257,0.2,96,210
5,285,0.25,89,184
6,268,0.30000000000000004,94,177
7,299,0.35000000000000003,72,184
8,295,0.4,79,168
9,328,0.45,76,145
10,336,0.5,68,141
11,354,0.55,57,134
12,349,0.6000000000000001,59,116
13,347,0.65,60,116
14,354,0.7000000000000001,64,108
15,410,0.75,33,81
16,420,0.8,35,63
17,429,0.8500000000000001,35,58
18,417,0.9,31,61
19,444,0.9500000000000001,17,46
20,445,1.0,24,37
21,193,0.0,123,248
22,212,0.05,116,236
23,205,0.1,118,226
24,236,0.15000000000000002,111,208
25,239,0.2,103,203
26,240,0.25,92,214
27,270,0.30000000000000004,90,183
28,291,0.35000000000000003,90,164
29,299,0.4,77,162
30,300,0.45,87,149
31,330,0.5,60,146
32,338,0.55,85,103
33,335,0.6000000000000001,64,123
34,354,0.65,63,106
35,370,0.7000000000000001,52,97
36,389,0.75,40,98
37,414,0.8,42,67
38,409,0.8500000000000001,43,72
39,433,0.9,27,57
40,447,0.9500000000000001,24,43
41,455,1.0,17,39
42,192,0.0,119,247
43,211,0.05,117,236
44,227,0.1,96,241
45,258,0.15000000000000002,95,202
46,242,0.2,111,203
47,271,0.25,93,195
48,271,0.30000000000000004,101,166
49,299,0.35000000000000003,78,165
50,292,0.4,74,168
51,310,0.45,75,155
52,323,0.5,69,141
53,328,0.55,69,136
54,361,0.6000000000000001,52,111
55,372,0.65,48,109
56,378,0.7000000000000001,60,88
57,408,0.75,36,83
58,411,0.8,36,71
59,405,0.8500000000000001,36,77
60,418,0.9,45,51
61,435,0.9500000000000001,27,47
62,462,1.0,15,32
63,198,0.0,109,276
64,205,0.05,120,228
65,221,0.1,119,217
66,228,0.15000000000000002,107,225
67,250,0.2,94,212
68,257,0.25,84,197
69,261,0.30000000000000004,105,170
70,307,0.35000000000000003,83,153
71,316,0.4,75,150
72,323,0.45,71,154
73,318,0.5,62,154
74,351,0.55,53,134
75,343,0.6000000000000001,74,117
76,368,0.65,46,110
77,387,0.7000000000000001,39,102
78,386,0.75,53,77
79,403,0.8,31,93
80,430,0.8500000000000001,30,51
81,452,0.9,22,41
82,445,0.9500000000000001,23,46
83,454,1.0,20,32
84,184,0.0,136,241
85,190,0.05,134,234
86,218,0.1,127,212
87,232,0.15000000000000002,119,209
88,240,0.2,105,205
89,251,0.25,83,212
90,275,0.30000000000000004,98,169
91,285,0.35000000000000003,88,169
92,271,0.4,77,196
93,302,0.45,75,178
94,336,0.5,67,143
95,341,0.55,63,132
96,354,0.6000000000000001,67,108
97,367,0.65,51,119
98,381,0.7000000000000001,46,97
99,404,0.75,40,72
100,403,0.8,43,72
101,412,0.8500000000000001,46,58
102,426,0.9,28,55
103,438,0.9500000000000001,28,45
