,alive,bh_ratio,dead,transient
0,188,0.0,122,244
1,190,0.05,134,218
2,222,0.1,115,226
3,235,0.15000000000000002,102,212
4,225,0.2,119,207
5,267,0.25,96,189
6,276,0.30000000000000004,93,179
7,272,0.35000000000000003,80,194
8,309,0.4,78,151
9,318,0.45,74,143
10,340,0.5,63,132
11,334,0.55,57,148
12,338,0.6000000000000001,59,131
13,356,0.65,51,113
14,385,0.7000000000000001,48,88
15,393,0.75,39,89
16,416,0.8,28,72
17,413,0.8500000000000001,33,74
18,417,0.9,36,64
19,437,0.9500000000000001,20,56
20,464,1.0,13,35
21,176,0.0,128,242
22,219,0.05,116,228
23,213,0.1,103,242
24,236,0.15000000000000002,98,226
25,244,0.2,101,202
26,243,0.25,115,185
27,273,0.30000000000000004,92,189
28,274,0.35000000000000003,93,175
29,300,0.4,75,174
30,309,0.45,82,145
31,333,0.5,65,130
32,342,0.55,66,124
33,360,0.6000000000000001,53,119
34,365,0.65,60,100
35,392,0.7000000000000001,50,89
36,394,0.75,40,83
37,398,0.8,48,72
38,415,0.8500000000000001,36,75
39,415,0.9,45,50
40,454,0.9500000000000001,15,44
41,449,1.0,26,34
42,213,0.0,125,223
43,225,0.05,117,221
44,238,0.1,119,216
45,232,0.15000000000000002,130,183
46,244,0.2,107,193
47,246,0.25,107,197
48,265,0.30000000000000004,97,188
49,278,0.35000000000000003,84,173
50,288,0.4,88,153
51,302,0.45,87,157
52,341,0.5,63,135
53,343,0.55,69,124
54,360,0.6000000000000001,61,106
55,372,0.65,61,92
56,378,0.7000000000000001,49,98
57,403,0.75,38,85
58,395,0.8,49,72
59,416,0.8500000000000001,30,72
60,433,0.9,24,64
61,458,0.9500000000000001,21,31
62,449,1.0,22,37
63,204,0.0,132,234
64,200,0.05,121,244
65,214,0.1,120,221
66,233,0.15000000000000002,106,201
67,241,0.2,110,207
68,266,0.25,78,200
69,290,0.30000000000000004,92,172
70,275,0.35000000000000003,90,178
71,307,0.4,77,152
72,319,0.45,67,147
73,320,0.5,73,147
74,342,0.55,65,126
75,350,0.6000000000000001,64,121
76,371,0.65,59,97
77,381,0.7000000000000001,41,104
78,388,0.75,41,89
79,417,0.8,26,74
80,420,0.8500000000000001,34,58
81,429,0.9,25,62
82,455,0.9500000000000001,19,37
83,455,1.0,20,29
84,203,0.0,124,241
85,209,0.05,130,222
86,229,0.1,110,224
87,240,0.15000000000000002,94,217
88,272,0.2,89,196
89,253,0.25,115,173
90,267,0.30000000000000004,98,170
91,267,0.35000000000000003,100,172
92,298,0.4,84,169
93,315,0.45,76,137
94,334,0.5,66,135
95,352,0.55,58,132
96,359,0.6000000000000001,69,108
97,362,0.65,56,107
98,369,0.7000000000000001,56,101
99,397,0.75,35,89
100,405,0.8,44,65
101,414,0.8500000000000001,33,69
102,426,0.9,34,58
103,447,0.9500000000000001,19,38
104,447,1.0,21,36
105,203,0.0,125,246
106,211,0.05,109,242
107,212,0.1,104,239
108,238,0.15000000000000002,110,208
109,232,0.2,108,211
110,278,0.25,80,191
111,273,0.30000000000000004,92,192
112,297,0.35000000000000003,90,149
113,287,0.4,95,161
114,322,0.45,76,155
115,339,0.5,64,128
116,328,0.55,81,125
117,351,0.6000000000000001,63,114
118,365,0.65,53,117
119,368,0.7000000000000001,65,93
120,408,0.75,37,78
121,401,0.8,44,71
122,411,0.8500000000000001,32,72
123,442,0.9,29,49
124,447,0.9500000000000001,15,46
125,462,1.0,12,33
126,215,0.0,103,266
127,210,0.05,120,231
128,222,0.1,107,239
129,240,0.15000000000000002,87,216
130,226,0.2,107,215
131,251,0.25,99,204
132,275,0.30000000000000004,86,198
133,293,0.35000000000000003,83,166
134,304,0.4,84,147
135,310,0.45,68,169
136,329,0.5,75,138
137,331,0.55,76,126
138,340,0.6000000000000001,64,124
139,380,0.65,52,97
140,388,0.7000000000000001,36,101
141,390,0.75,48,87
142,406,0.8,33,76
143,416,0.8500000000000001,33,72
144,432,0.9,22,58
145,455,0.9500000000000001,17,31
146,464,1.0,13,29
147,203,0.0,113,260
148,204,0.05,122,234
149,221,0.1,117,214
150,235,0.15000000000000002,102,214
151,265,0.2,105,193
152,278,0.25,92,190
153,277,0.30000000000000004,89,187
154,288,0.35000000000000003,71,175
155,311,0.4,83,140
156,324,0.45,63,143
157,313,0.5,85,151
