,alive,bh_ratio,dead,transient
0,179,0.0,129,257
1,223,0.05,117,217
2,244,0.1,114,200
3,222,0.15000000000000002,121,204
4,237,0.2,104,203
5,265,0.25,102,179
6,263,0.30000000000000004,89,195
7,290,0.35000000000000003,84,168
8,300,0.4,80,159
9,292,0.45,76,171
10,322,0.5,69,143
11,342,0.55,61,147
12,352,0.6000000000000001,56,125
13,361,0.65,57,116
14,376,0.7000000000000001,42,111
15,395,0.75,37,87
16,423,0.8,31,63
17,429,0.8500000000000001,28,62
18,431,0.9,32,48
19,436,0.9500000000000001,28,51
20,456,1.0,18,36
21,206,0.0,114,256
22,214,0.05,111,237
23,214,0.1,110,236
24,242,0.15000000000000002,103,206
25,256,0.2,91,198
26,267,0.25,84,201
27,256,0.30000000000000004,97,191
28,283,0.35000000000000003,95,173
29,287,0.4,82,175
30,314,0.45,78,148
31,315,0.5,84,142
32,344,0.55,73,111
33,340,0.6000000000000001,67,123
34,371,0.65,50,107
35,372,0.7000000000000001,52,98
36,378,0.75,38,107
37,413,0.8,36,73
38,424,0.8500000000000001,23,67
39,433,0.9,28,54
40,455,0.9500000000000001,17,38
41,460,1.0,11,36
42,220,0.0,103,250
43,185,0.05,137,230
44,238,0.1,116,203
45,229,0.15000000000000002,125,212
46,233,0.2,104,205
47,286,0.25,75,186
48,278,0.30000000000000004,88,172
49,283,0.35000000000000003,88,174
50,316,0.4,67,168
51,327,0.45,72,139
52,331,0.5,70,139
53,331,0.55,70,141
54,362,0.6000000000000001,53,122
55,358,0.65,57,107
56,382,0.7000000000000001,48,93
57,393,0.75,39,91
58,381,0.8,46,89
59,415,0.8500000000000001,33,64
60,438,0.9,26,55
61,444,0.9500000000000001,17,53
62,461,1.0,21,26
63,198,0.0,126,238
64,204,0.05,109,251
65,228,0.1,111,219
66,238,0.15000000000000002,98,220
67,239,0.2,104,202
68,262,0.25,94,195
69,279,0.30000000000000004,97,159
70,260,0.35000000000000003,102,172
71,314,0.4,78,154
72,315,0.45,73,153
73,333,0.5,69,139
74,334,0.55,75,134
75,355,0.6000000000000001,65,119
76,370,0.65,57,100
77,368,0.7000000000000001,46,110
78,392,0.75,40,85
79,410,0.8,37,70
80,429,0.8500000000000001,35,55
81,434,0.9,41,34
82,446,0.9500000000000001,24,37
83,461,1.0,21,24
84,198,0.0,119,247
85,191,0.05,116,257
86,220,0.1,117,217
87,233,0.15000000000000002,102,214
88,238,0.2,123,189
89,260,0.25,80,210
90,278,0.30000000000000004,78,191
91,264,0.35000000000000003,93,175
92,293,0.4,88,170
93,324,0.45,64,139
94,321,0.5,66,155
95,336,0.55,66,124
96,369,0.6000000000000001,49,104
97,359,0.65,53,110
98,379,0.7000000000000001,53,95
99,394,0.75,36,87
100,405,0.8,34,74
101,428,0.8500000000000001,32,54
102,441,0.9,21,55
103,445,0.9500000000000001,21,47
104,454,1.0,22,32
105,204,0.0,120,234
106,211,0.05,127,235
107,215,0.1,116,231
108,233,0.15000000000000002,102,227
109,255,0.2,101,188
110,259,0.25,93,201
111,272,0.30000000000000004,86,184
112,292,0.35000000000000003,70,178
113,311,0.4,70,161
114,300,0.45,88,146
115,325,0.5,66,136
116,348,0.55,65,116
117,359,0.6000000000000001,61,116
118,365,0.65,52,106
119,380,0.7000000000000001,45,109
120,379,0.75,49,87
121,412,0.8,34,71
122,416,0.8500000000000001,40,55
123,433,0.9,24,54
124,442,0.9500000000000001,28,44
125,448,1.0,19,42
126,202,0.0,130,239
127,191,0.05,124,238
128,230,0.1,110,224
129,219,0.15000000000000002,104,231
130,246,0.2,102,201
131,237,0.25,98,213
132,264,0.30000000000000004,97,179
133,290,0.35000000000000003,81,179
134,311,0.4,71,158
135,318,0.45,61,156
136,324,0.5,62,152
137,343,0.55,48,154
