,alive,bh_ratio,dead,transient
0,188,0.0,140,228
1,219,0.05,111,239
2,230,0.1,104,236
3,230,0.15000000000000002,101,231
4,238,0.2,106,208
5,250,0.25,107,190
6,267,0.30000000000000004,106,181
7,284,0.35000000000000003,85,176
8,314,0.4,72,159
9,317,0.45,62,153
10,321,0.5,66,146
11,347,0.55,54,131
12,344,0.6000000000000001,60,118
13,364,0.65,59,115
14,372,0.7000000000000001,54,100
15,399,0.75,38,86
16,424,0.8,35,66
17,421,0.8500000000000001,31,71
18,433,0.9,22,58
19,440,0.9500000000000001,24,47
20,460,1.0,10,38
21,216,0.0,107,243
22,214,0.05,102,243
23,216,0.1,117,218
24,229,0.15000000000000002,112,211
25,234,0.2,108,213
26,237,0.25,111,203
27,274,0.30000000000000004,91,185
28,291,0.35000000000000003,97,159
29,285,0.4,88,164
30,307,0.45,77,150
31,318,0.5,63,152
32,367,0.55,53,109
33,340,0.6000000000000001,62,129
34,354,0.65,69,106
35,371,0.7000000000000001,59,88
36,396,0.75,42,84
37,415,0.8,39,59
38,417,0.8500000000000001,35,65
39,435,0.9,32,46
40,431,0.9500000000000001,30,47
41,447,1.0,25,36
42,192,0.0,127,244
43,208,0.05,103,257
44,245,0.1,104,220
45,219,0.15000000000000002,129,201
46,253,0.2,93,216
47,265,0.25,104,174
48,275,0.30000000000000004,105,165
49,291,0.35000000000000003,86,174
50,295,0.4,88,165
51,313,0.45,79,149
52,333,0.5,63,139
53,345,0.55,57,126
54,341,0.6000000000000001,65,128
55,385,0.65,50,92
56,375,0.7000000000000001,47,98
57,380,0.75,49,94
58,398,0.8,39,82
59,416,0.8500000000000001,29,71
60,428,0.9,26,57
61,449,0.9500000000000001,22,44
62,464,1.0,15,29
63,188,0.0,112,269
64,222,0.05,107,234
65,218,0.1,116,226
66,244,0.15000000000000002,94,225
67,241,0.2,106,199
68,265,0.25,97,182
69,274,0.30000000000000004,90,182
70,264,0.35000000000000003,91,192
71,287,0.4,85,174
72,311,0.45,74,155
73,344,0.5,59,140
74,343,0.55,73,119
75,346,0.6000000000000001,48,135
76,366,0.65,48,110
77,383,0.7000000000000001,51,100
78,402,0.75,43,76
79,408,0.8,42,73
80,413,0.8500000000000001,35,65
81,442,0.9,17,57
82,447,0.9500000000000001,15,53
83,462,1.0,18,28
84,191,0.0,129,242
85,202,0.05,117,245
86,219,0.1,108,234
87,242,0.15000000000000002,111,203
88,240,0.2,108,190
89,251,0.25,102,191
90,277,0.30000000000000004,93,172
91,298,0.35000000000000003,97,164
92,294,0.4,79,167
93,322,0.45,73,146
94,323,0.5,80,137
95,333,0.55,57,139
96,361,0.6000000000000001,48,123
97,367,0.65,54,113
98,376,0.7000000000000001,52,101
