,alive,bh_ratio,dead,transient
0,86,0.0,160,340
1,105,0.05,155,320
2,112,0.1,183,281
3,150,0.15000000000000002,150,284
4,149,0.2,135,289
5,187,0.25,122,256
6,193,0.30000000000000004,131,245
7,205,0.35000000000000003,126,224
8,236,0.4,103,201
9,262,0.45,89,199
10,269,0.5,97,171
11,292,0.55,76,171
12,311,0.6000000000000001,66,167
13,331,0.65,58,155
14,342,0.7000000000000001,67,116
15,360,0.75,48,117
16,387,0.8,51,95
17,410,0.8500000000000001,35,71
18,425,0.9,26,58
19,454,0.9500000000000001,18,36
20,457,1.0,19,31
21,91,0.0,141,359
22,105,0.05,164,317
23,107,0.1,151,314
24,133,0.15000000000000002,147,293
25,130,0.2,158,277
26,169,0.25,140,248
27,206,0.30000000000000004,115,235
28,229,0.35000000000000003,103,223
29,239,0.4,106,212
30,258,0.45,93,188
31,291,0.5,70,179
32,269,0.55,96,168
33,327,0.6000000000000001,70,135
34,329,0.65,67,143
35,344,0.7000000000000001,60,129
36,360,0.75,56,112
37,379,0.8,43,94
38,403,0.8500000000000001,44,70
39,426,0.9,30,59
40,445,0.9500000000000001,22,40
41,462,1.0,14,28
42,99,0.0,163,337
43,121,0.05,147,324
44,126,0.1,175,281
45,151,0.15000000000000002,146,274
46,157,0.2,150,266
47,194,0.25,119,266
48,200,0.30000000000000004,115,250
49,224,0.35000000000000003,115,226
50,203,0.4,107,238
51,269,0.45,75,212
52,266,0.5,86,199
53,284,0.55,86,170
54,337,0.6000000000000001,62,138
55,328,0.65,64,141
56,348,0.7000000000000001,58,112
57,383,0.75,49,90
58,392,0.8,39,86
59,404,0.8500000000000001,42,75
60,418,0.9,40,57
61,433,0.9500000000000001,26,48
62,466,1.0,14,23
63,90,0.0,151,349
64,111,0.05,151,325
65,137,0.1,148,293
66,145,0.15000000000000002,134,289
67,180,0.2,139,260
68,197,0.25,123,261
69,188,0.30000000000000004,133,236
70,205,0.35000000000000003,119,226
71,247,0.4,98,216
72,280,0.45,89,181
73,261,0.5,87,208
74,276,0.55,97,172
75,331,0.6000000000000001,72,140
76,337,0.65,69,119
77,357,0.7000000000000001,52,126
78,383,0.75,40,97
79,392,0.8,46,85
80,413,0.8500000000000001,29,77
81,427,0.9,28,61
82,443,0.9500000000000001,20,47
83,471,1.0,9,25
84,77,0.0,147,353
85,104,0.05,160,316
86,130,0.1,143,308
87,153,0.15000000000000002,164,262
88,165,0.2,132,275
89,155,0.25,114,293
90,201,0.30000000000000004,128,231
91,207,0.35000000000000003,120,234
92,230,0.4,108,210
93,271,0.45,90,201
94,268,0.5,98,186
95,286,0.55,66,191
96,314,0.6000000000000001,65,159
97,340,0.65,57,133
98,334,0.7000000000000001,74,125
99,361,0.75,62,102
100,404,0.8,40,86
101,412,0.8500000000000001,37,74
102,417,0.9,30,69
103,443,0.9500000000000001,16,49
104,461,1.0,19,30
105,89,0.0,151,349
106,114,0.05,151,325
107,113,0.1,168,291
108,134,0.15000000000000002,127,310
109,161,0.2,131,282
110,195,0.25,147,232
111,192,0.30000000000000004,135,223
112,235,0.35000000000000003,108,230
113,228,0.4,108,222
114,253,0.45,90,197
115,267,0.5,94,175
116,281,0.55,75,184
117,325,0.6000000000000001,70,140
118,347,0.65,53,135
119,349,0.7000000000000001,57,125
120,373,0.75,45,104
121,406,0.8,31,80
122,405,0.8500000000000001,38,71
123,424,0.9,34,49
124,439,0.9500000000000001,22,41
125,457,1.0,19,33
126,80,0.0,161,339
127,100,0.05,162,321
128,127,0.1,144,317
129,141,0.15000000000000002,156,281
130,179,0.2,135,268
131,171,0.25,128,260
132,211,0.30000000000000004,103,250
133,206,0.35000000000000003,111,223
134,235,0.4,114,213
135,250,0.45,94,204
136,262,0.5,89,199
137,306,0.55,68,176
138,306,0.6000000000000001,73,162
139,333,0.65,73,125
140,348,0.7000000000000001,64,122
141,360,0.75,60,100
142,381,0.8,39,98
143,414,0.8500000000000001,41,65
144,414,0.9,37,62
145,444,0.9500000000000001,26,43
146,469,1.0,12,23
147,116,0.0,142,358
148,98,0.05,146,335
149,117,0.1,157,294
150,159,0.15000000000000002,122,303
151,143,0.2,133,295
152,163,0.25,139,260
153,206,0.30000000000000004,112,247
154,221,0.35000000000000003,109,225
155,225,0.4,110,210
156,249,0.45,103,192
157,267,0.5,84,188
158,322,0.55,69,159
159,322,0.6000000000000001,76,140
160,326,0.65,64,144
161,346,0.7000000000000001,57,127
162,398,0.75,36,93
163,389,0.8,39,92
164,415,0.8500000000000001,33,66
165,427,0.9,37,48
166,443,0.9500000000000001,23,43
167,466,1.0,11,28
168,88,0.0,152,348
169,98,0.05,170,310
170,122,0.1,145,308
171,154,0.15000000000000002,142,290
172,168,0.2,146,252
173,201,0.25,125,238
174,201,0.30000000000000004,118,235
175,234,0.35000000000000003,113,216
176,217,0.4,111,232
177,244,0.45,105,194
178,275,0.5,89,185
179,295,0.55,73,185
180,314,0.6000000000000001,72,153
181,349,0.65,64,135
182,341,0.7000000000000001,60,126
183,362,0.75,67,100
184,376,0.8,50,94
185,402,0.8500000000000001,42,74
186,439,0.9,21,53
187,449,0.9500000000000001,21,40
188,461,1.0,16,28
189,82,0.0,163,337
190,124,0.05,150,327
191,128,0.1,156,289
192,140,0.15000000000000002,146,292
193,150,0.2,144,275
194,195,0.25,109,281
195,190,0.30000000000000004,135,228
196,237,0.35000000000000003,105,219
197,248,0.4,101,210
198,233,0.45,100,214
199,282,0.5,99,175
200,302,0.55,86,154
201,335,0.6000000000000001,70,143
202,344,0.65,68,127
203,348,0.7000000000000001,55,128
204,379,0.75,40,102
205,381,0.8,48,100
206,406,0.8500000000000001,41,75
207,412,0.9,32,68
208,463,0.9500000000000001,22,30
209,468,1.0,11,29
210,84,0.0,153,347
211,98,0.05,139,346
212,133,0.1,161,286
213,125,0.15000000000000002,158,280
214,163,0.2,155,265
215,179,0.25,129,266
216,193,0.30000000000000004,135,229
217,230,0.35000000000000003,95,234
218,241,0.4,96,209
219,241,0.45,92,216
220,277,0.5,83,192
221,308,0.55,72,172
222,300,0.6000000000000001,73,154
223,304,0.65,69,156
224,349,0.7000000000000001,68,113
225,380,0.75,42,114
226,391,0.8,41,91
227,409,0.8500000000000001,34,83
228,436,0.9,20,62
229,439,0.9500000000000001,18,50
230,459,1.0,19,28
231,88,0.0,172,328
232,116,0.05,128,357
233,124,0.1,140,319
234,149,0.15000000000000002,140,285
235,145,0.2,136,277
236,205,0.25,101,261
237,183,0.30000000000000004,129,244
238,221,0.35000000000000003,102,239
239,230,0.4,101,224
240,261,0.45,100,182
241,280,0.5,101,171
242,302,0.55,89,144
243,328,0.6000000000000001,57,152
244,336,0.65,73,121
245,361,0.7000000000000001,55,115
246,353,0.75,51,119
247,382,0.8,51,89
248,389,0.8500000000000001,45,79
249,433,0.9,24,71
250,445,0.9500000000000001,16,47
251,466,1.0,13,25
252,86,0.0,178,322
253,97,0.05,159,326
254,114,0.1,149,308
255,156,0.15000000000000002,135,297
256,152,0.2,133,283
257,180,0.25,126,266
258,214,0.30000000000000004,113,235
259,231,0.35000000000000003,105,235
260,231,0.4,95,232
261,266,0.45,90,201
262,271,0.5,88,190
263,292,0.55,89,160
264,298,0.6000000000000001,75,159
265,328,0.65,78,130
