,alive,bh_ratio,dead,transient
0,99,0.0,164,336
1,112,0.05,168,309
2,117,0.1,157,303
3,127,0.15000000000000002,147,302
4,176,0.2,130,265
5,174,0.25,128,254
6,203,0.30000000000000004,110,244
7,219,0.35000000000000003,110,232
8,245,0.4,102,204
9,253,0.45,108,188
10,277,0.5,99,162
11,297,0.55,83,164
12,322,0.6000000000000001,72,144
13,314,0.65,92,127
14,371,0.7000000000000001,56,107
15,370,0.75,52,103
16,371,0.8,54,92
17,407,0.8500000000000001,42,67
18,412,0.9,33,71
19,455,0.9500000000000001,16,38
20,470,1.0,13,23
21,77,0.0,166,334
22,97,0.05,184,300
23,136,0.1,153,300
24,147,0.15000000000000002,135,289
25,160,0.2,144,259
26,197,0.25,113,270
27,197,0.30000000000000004,140,219
28,226,0.35000000000000003,112,235
29,256,0.4,103,202
30,251,0.45,97,201
31,268,0.5,84,197
32,295,0.55,89,161
33,327,0.6000000000000001,66,145
34,335,0.65,70,132
35,345,0.7000000000000001,63,128
36,356,0.75,62,108
37,381,0.8,40,101
38,401,0.8500000000000001,40,71
39,427,0.9,33,53
40,445,0.9500000000000001,18,48
41,456,1.0,16,35
42,91,0.0,147,353
43,123,0.05,136,343
44,126,0.1,144,308
45,125,0.15000000000000002,140,303
46,156,0.2,157,258
47,167,0.25,142,260
48,203,0.30000000000000004,114,243
49,227,0.35000000000000003,107,217
50,233,0.4,106,223
51,263,0.45,100,184
52,299,0.5,76,178
53,297,0.55,80,169
54,324,0.6000000000000001,62,149
55,336,0.65,60,141
56,352,0.7000000000000001,60,129
57,370,0.75,44,111
58,390,0.8,43,84
59,419,0.8500000000000001,32,68
60,433,0.9,28,52
61,448,0.9500000000000001,21,48
62,456,1.0,16,32
63,90,0.0,166,334
64,100,0.05,163,312
65,136,0.1,144,297
66,137,0.15000000000000002,145,294
67,163,0.2,140,259
68,175,0.25,123,264
69,202,0.30000000000000004,126,240
70,205,0.35000000000000003,120,221
71,235,0.4,119,190
72,284,0.45,90,178
73,269,0.5,86,187
74,294,0.55,79,172
75,336,0.6000000000000001,56,150
76,330,0.65,60,152
77,346,0.7000000000000001,59,126
78,376,0.75,40,108
79,373,0.8,49,103
80,421,0.8500000000000001,35,67
81,417,0.9,32,68
82,450,0.9500000000000001,21,40
83,461,1.0,15,33
84,95,0.0,161,339
85,107,0.05,156,312
86,131,0.1,155,305
87,147,0.15000000000000002,149,275
88,132,0.2,142,283
89,151,0.25,136,274
90,223,0.30000000000000004,116,232
91,213,0.35000000000000003,114,227
92,227,0.4,116,220
93,262,0.45,96,190
94,270,0.5,91,184
95,312,0.55,65,178
96,310,0.6000000000000001,64,159
97,340,0.65,57,133
98,334,0.7000000000000001,56,136
99,344,0.75,66,113
100,391,0.8,52,81
101,403,0.8500000000000001,33,83
102,423,0.9,40,46
103,440,0.9500000000000001,19,50
104,462,1.0,12,34
105,74,0.0,181,319
106,105,0.05,149,322
107,145,0.1,146,302
108,144,0.15000000000000002,151,283
109,166,0.2,138,256
110,181,0.25,138,245
111,210,0.30000000000000004,119,233
112,218,0.35000000000000003,102,238
113,246,0.4,99,211
114,272,0.45,106,169
115,271,0.5,98,175
116,311,0.55,71,159
117,298,0.6000000000000001,91,149
118,338,0.65,62,129
119,339,0.7000000000000001,59,138
120,361,0.75,47,111
121,384,0.8,52,92
122,410,0.8500000000000001,36,75
123,432,0.9,31,56
124,434,0.9500000000000001,26,51
125,463,1.0,15,29
126,82,0.0,165,335
127,111,0.05,153,315
128,137,0.1,145,307
129,116,0.15000000000000002,147,300
130,144,0.2,131,287
131,184,0.25,130,254
132,193,0.30000000000000004,107,248
133,213,0.35000000000000003,119,219
134,237,0.4,113,206
135,246,0.45,98,192
136,287,0.5,86,188
137,288,0.55,80,184
138,308,0.6000000000000001,74,155
139,342,0.65,62,121
140,347,0.7000000000000001,68,112
141,365,0.75,46,113
142,402,0.8,34,84
143,425,0.8500000000000001,28,74
144,424,0.9,27,61
145,449,0.9500000000000001,19,40
146,457,1.0,18,31
147,94,0.0,163,337
148,108,0.05,165,311
149,102,0.1,173,292
150,146,0.15000000000000002,138,295
151,170,0.2,128,271
152,166,0.25,141,258
153,193,0.30000000000000004,125,245
154,220,0.35000000000000003,115,227
155,258,0.4,104,204
156,265,0.45,91,196
157,273,0.5,88,192
158,291,0.55,88,171
159,326,0.6000000000000001,77,135
160,334,0.65,70,128
161,347,0.7000000000000001,57,125
162,358,0.75,59,108
163,395,0.8,37,88
164,411,0.8500000000000001,27,80
165,418,0.9,30,62
166,452,0.9500000000000001,24,36
167,458,1.0,22,27
168,88,0.0,161,339
169,95,0.05,159,324
170,138,0.1,135,326
171,133,0.15000000000000002,147,295
172,172,0.2,132,269
173,196,0.25,111,274
174,184,0.30000000000000004,122,255
175,231,0.35000000000000003,121,208
176,234,0.4,119,178
177,254,0.45,105,196
