,bh_ratio,alive,dead,transient
0,0.0,91,173,327
1,0.05,113,160,310
2,0.1,129,148,296
3,0.15000000000000002,139,143,288
4,0.2,157,136,275
5,0.25,181,124,279
6,0.30000000000000004,219,116,237
7,0.35000000000000003,208,113,235
8,0.4,231,107,213
9,0.45,261,97,184
10,0.5,290,92,156
11,0.55,307,89,146
12,0.6000000000000001,320,65,159
13,0.65,336,76,125
14,0.7000000000000001,369,51,107
15,0.75,372,57,97
16,0.8,382,38,92
17,0.8500000000000001,410,42,63
18,0.9,415,30,69
19,0.9500000000000001,451,14,47
20,1.0,469,8,28
21,0.0,82,178,322
22,0.05,104,153,320
23,0.1,125,141,313
24,0.15000000000000002,124,158,278
25,0.2,157,141,275
26,0.25,179,129,257
27,0.30000000000000004,194,114,253
28,0.35000000000000003,205,116,244
29,0.4,245,100,220
30,0.45,265,119,165
31,0.5,286,81,182
32,0.55,296,85,153
33,0.6000000000000001,323,59,159
34,0.65,331,74,123
35,0.7000000000000001,351,52,129
36,0.75,352,61,105
37,0.8,379,46,99
38,0.8500000000000001,398,39,74
39,0.9,429,22,62
40,0.9500000000000001,452,12,45
41,1.0,463,15,27
42,0.0,90,147,353
43,0.05,98,147,331
44,0.1,137,124,334
45,0.15000000000000002,129,150,284
46,0.2,156,144,264
47,0.25,184,122,272
48,0.30000000000000004,197,118,242
49,0.35000000000000003,225,106,229
50,0.4,244,107,203
51,0.45,243,98,215
52,0.5,261,99,179
53,0.55,284,84,173
54,0.6000000000000001,320,69,148
55,0.65,341,61,128
56,0.7000000000000001,345,57,130
57,0.75,348,66,110
58,0.8,379,41,97
59,0.8500000000000001,404,31,83
60,0.9,426,35,53
61,0.9500000000000001,446,22,44
62,1.0,451,14,38
63,0.0,90,170,330
64,0.05,89,168,316
65,0.1,128,143,305
66,0.15000000000000002,151,151,287
67,0.2,171,132,275
68,0.25,181,131,250
69,0.30000000000000004,180,131,246
70,0.35000000000000003,216,121,221
71,0.4,229,117,215
72,0.45,248,107,191
73,0.5,276,85,190
74,0.55,293,86,162
75,0.6000000000000001,306,81,140
76,0.65,336,68,129
77,0.7000000000000001,330,63,145
78,0.75,369,51,111
79,0.8,384,47,98
80,0.8500000000000001,404,41,72
81,0.9,424,28,66
82,0.9500000000000001,440,18,53
83,1.0,462,15,27
84,0.0,85,172,328
85,0.05,110,156,323
86,0.1,108,157,304
87,0.15000000000000002,132,150,283
88,0.2,155,145,273
89,0.25,170,128,261
90,0.30000000000000004,178,128,251
91,0.35000000000000003,227,116,212
92,0.4,203,119,225
93,0.45,248,107,191
94,0.5,282,92,170
95,0.55,298,85,158
96,0.6000000000000001,320,68,144
97,0.65,322,60,144
98,0.7000000000000001,349,54,126
99,0.75,362,57,107
100,0.8,389,36,94
101,0.8500000000000001,420,25,76
102,0.9,420,30,65
103,0.9500000000000001,448,19,42
104,1.0,465,11,30
105,0.0,87,163,337
106,0.05,119,157,314
107,0.1,132,134,320
108,0.15000000000000002,143,143,299
109,0.2,192,118,275
110,0.25,196,123,252
111,0.30000000000000004,193,121,262
112,0.35000000000000003,206,124,217
113,0.4,233,118,204
114,0.45,263,107,193
115,0.5,273,83,198
116,0.55,301,89,157
117,0.6000000000000001,321,75,154
118,0.65,343,64,128
119,0.7000000000000001,328,55,146
120,0.75,374,51,99
121,0.8,389,50,78
122,0.8500000000000001,412,32,68
123,0.9,426,29,60
124,0.9500000000000001,443,20,49
125,1.0,459,14,33
126,0.0,84,167,333
127,0.05,119,166,312
128,0.1,103,167,301
129,0.15000000000000002,142,150,277
130,0.2,149,143,266
131,0.25,183,126,268
132,0.30000000000000004,201,120,254
133,0.35000000000000003,214,118,231
134,0.4,235,107,215
135,0.45,238,106,192
136,0.5,255,104,178
137,0.55,297,85,167
138,0.6000000000000001,324,71,149
139,0.65,333,64,134
140,0.7000000000000001,346,64,121
141,0.75,352,64,114
142,0.8,399,43,78
143,0.8500000000000001,408,39,66
144,0.9,431,30,55
145,0.9500000000000001,452,23,30
146,1.0,466,12,26
147,0.0,90,162,338
148,0.05,111,148,328
149,0.1,124,140,310
150,0.15000000000000002,129,156,286
151,0.2,163,138,272
152,0.25,195,117,259
153,0.30000000000000004,181,139,240
154,0.35000000000000003,219,106,233
155,0.4,241,102,204
156,0.45,252,101,190
157,0.5,272,91,181
158,0.55,289,88,162
159,0.6000000000000001,309,80,145
160,0.65,335,67,136
161,0.7000000000000001,359,39,135
162,0.75,374,49,101
163,0.8,396,45,76
164,0.8500000000000001,400,40,83
165,0.9,421,34,58
166,0.9500000000000001,439,18,53
167,1.0,461,14,28
168,0.0,90,151,349
169,0.05,120,166,314
170,0.1,132,134,307
171,0.15000000000000002,123,160,279
