,bh_ratio,alive,dead,transient
0,0.0,90,161,339
1,0.05,85,173,312
2,0.1,129,162,288
3,0.15000000000000002,143,150,278
4,0.2,166,123,276
5,0.25,171,130,270
6,0.30000000000000004,194,116,247
7,0.35000000000000003,226,109,221
8,0.4,230,116,200
9,0.45,255,93,205
10,0.5,249,99,199
11,0.55,287,86,163
12,0.6000000000000001,282,82,171
13,0.65,324,78,134
14,0.7000000000000001,363,53,118
15,0.75,377,50,101
16,0.8,392,46,80
17,0.8500000000000001,420,33,62
18,0.9,425,29,61
19,0.9500000000000001,440,20,48
20,1.0,462,12,31
21,0.0,75,171,329
22,0.05,92,172,310
23,0.1,116,139,326
24,0.15000000000000002,145,133,292
25,0.2,165,127,278
26,0.25,177,116,261
27,0.30000000000000004,197,114,271
28,0.35000000000000003,203,107,250
29,0.4,237,108,209
30,0.45,247,102,197
31,0.5,284,77,198
32,0.55,284,73,185
33,0.6000000000000001,313,76,157
34,0.65,343,63,128
35,0.7000000000000001,364,53,111
36,0.75,361,45,120
37,0.8,388,49,84
38,0.8500000000000001,411,42,68
39,0.9,428,25,64
40,0.9500000000000001,426,30,49
41,1.0,464,12,30
42,0.0,100,175,325
43,0.05,115,152,325
44,0.1,134,144,308
45,0.15000000000000002,128,157,281
46,0.2,174,134,268
47,0.25,171,121,275
48,0.30000000000000004,195,128,241
49,0.35000000000000003,215,133,208
50,0.4,237,102,213
51,0.45,245,90,199
52,0.5,287,74,187
53,0.55,281,85,180
54,0.6000000000000001,317,61,151
55,0.65,318,79,138
56,0.7000000000000001,346,55,124
57,0.75,366,53,108
58,0.8,383,45,95
59,0.8500000000000001,406,35,77
60,0.9,427,28,51
61,0.9500000000000001,431,27,52
62,1.0,459,13,35
63,0.0,82,162,338
64,0.05,113,147,332
65,0.1,113,156,294
66,0.15000000000000002,145,139,292
67,0.2,159,134,278
68,0.25,186,128,255
69,0.30000000000000004,197,108,253
70,0.35000000000000003,227,112,228
71,0.4,245,110,200
72,0.45,259,109,185
73,0.5,263,88,189
74,0.55,286,87,176
75,0.6000000000000001,315,73,155
76,0.65,325,61,142
77,0.7000000000000001,351,51,133
78,0.75,393,38,96
79,0.8,403,39,76
80,0.8500000000000001,410,41,62
81,0.9,434,23,56
82,0.9500000000000001,457,17,32
83,1.0,468,11,23
84,0.0,75,171,329
85,0.05,87,170,310
86,0.1,116,151,304
87,0.15000000000000002,132,168,268
88,0.2,168,138,273
89,0.25,196,131,247
90,0.30000000000000004,192,138,227
91,0.35000000000000003,232,118,199
92,0.4,245,92,223
93,0.45,231,92,220
94,0.5,277,96,178
95,0.55,290,83,169
96,0.6000000000000001,329,66,147
97,0.65,311,82,135
98,0.7000000000000001,345,57,127
99,0.75,374,55,98
100,0.8,404,43,75
101,0.8500000000000001,413,34,67
102,0.9,433,26,52
103,0.9500000000000001,439,22,52
104,1.0,465,19,21
105,0.0,76,173,327
106,0.05,126,138,335
107,0.1,130,159,295
108,0.15000000000000002,153,133,281
109,0.2,161,141,277
110,0.25,187,129,253
111,0.30000000000000004,198,121,237
112,0.35000000000000003,220,108,220
113,0.4,237,103,207
114,0.45,270,94,192
115,0.5,266,93,187
116,0.55,307,86,146
117,0.6000000000000001,321,86,141
118,0.65,327,69,132
119,0.7000000000000001,353,57,128
120,0.75,365,52,103
121,0.8,388,45,88
122,0.8500000000000001,407,35,82
123,0.9,422,41,53
124,0.9500000000000001,434,25,47
125,1.0,461,17,27
126,0.0,98,163,337
127,0.05,109,157,321
128,0.1,123,152,304
129,0.15000000000000002,139,132,304
130,0.2,162,148,256
131,0.25,167,133,264
132,0.30000000000000004,200,121,248
133,0.35000000000000003,233,125,194
134,0.4,241,107,206
135,0.45,234,100,210
136,0.5,302,74,171
137,0.55,294,83,164
138,0.6000000000000001,316,63,161
139,0.65,343,55,148
140,0.7000000000000001,356,59,117
141,0.75,379,54,90
142,0.8,385,39,102
143,0.8500000000000001,399,44,75
144,0.9,418,32,64
145,0.9500000000000001,447,15,43
146,1.0,471,11,22
147,0.0,82,171,329
148,0.05,95,165,307
149,0.1,123,152,300
150,0.15000000000000002,147,129,307
151,0.2,162,145,252
152,0.25,180,111,271
153,0.30000000000000004,202,122,247
154,0.35000000000000003,199,106,248
155,0.4,239,82,245
156,0.45,279,93,183
157,0.5,258,98,190
158,0.55,299,82,155
159,0.6000000000000001,313,78,157
160,0.65,331,63,144
161,0.7000000000000001,361,49,118
162,0.75,362,56,108
163,0.8,372,46,103
164,0.8500000000000001,407,36,79
165,0.9,410,40,63
166,0.9500000000000001,451,19,38
167,1.0,456,17,31
168,0.0,104,163,337
169,0.05,116,155,313
170,0.1,113,138,318
171,0.15000000000000002,146,138,289
172,0.2,172,128,277
173,0.25,186,121,258
174,0.30000000000000004,209,133,226
175,0.35000000000000003,215,122,218
176,0.4,227,112,207
177,0.45,246,90,216
178,0.5,270,102,172
179,0.55,302,82,158
180,0.6000000000000001,332,73,141
181,0.65,359,37,146
182,0.7000000000000001,344,70,113
183,0.75,368,50,109
184,0.8,402,44,68
185,0.8500000000000001,425,29,62
186,0.9,430,27,59
187,0.9500000000000001,447,20,45
188,1.0,462,10,36
189,0.0,96,169,331
190,0.05,99,159,326
191,0.1,144,156,286
192,0.15000000000000002,138,129,304
193,0.2,174,137,264
194,0.25,182,120,256
195,0.30000000000000004,191,120,250
196,0.35000000000000003,227,100,239
197,0.4,248,111,204
198,0.45,260,108,177
199,0.5,264,109,177
200,0.55,284,92,158
201,0.6000000000000001,311,76,153
202,0.65,325,72,133
203,0.7000000000000001,355,48,140
204,0.75,370,46,119
205,0.8,399,32,92
206,0.8500000000000001,415,31,73
207,0.9,431,27,57
208,0.9500000000000001,449,22,36
209,1.0,475,7,24
210,0.0,90,161,339
211,0.05,113,153,336
212,0.1,138,138,312
213,0.15000000000000002,135,153,280
214,0.2,177,119,275
215,0.25,174,127,270
216,0.30000000000000004,201,114,236
217,0.35000000000000003,237,89,233
218,0.4,255,101,190
219,0.45,263,88,191
220,0.5,295,93,158
221,0.55,285,89,174
222,0.6000000000000001,311,77,146
223,0.65,335,70,127
224,0.7000000000000001,364,70,98
225,0.75,378,48,103
226,0.8,391,45,93
227,0.8500000000000001,404,36,77
228,0.9,418,41,58
229,0.9500000000000001,455,16,37
230,1.0,468,13,26
231,0.0,75,166,334
232,0.05,101,162,315
233,0.1,121,164,287
234,0.15000000000000002,139,150,284
235,0.2,169,134,265
236,0.25,180,116,273
237,0.30000000000000004,193,120,246
238,0.35000000000000003,215,110,234
239,0.4,222,110,215
240,0.45,242,103,198
241,0.5,273,96,174
242,0.55,280,93,174
243,0.6000000000000001,312,74,152
244,0.65,335,66,136
245,0.7000000000000001,348,63,123
246,0.75,344,66,111
247,0.8,378,59,80
248,0.8500000000000001,396,47,73
249,0.9,435,28,51
250,0.9500000000000001,445,21,44
251,1.0,462,17,25
252,0.0,83,181,319
253,0.05,103,166,307
254,0.1,142,138,307
255,0.15000000000000002,156,144,292
256,0.2,180,131,274
257,0.25,195,124,249
258,0.30000000000000004,219,108,248
259,0.35000000000000003,214,110,239
260,0.4,245,104,209
261,0.45,261,103,181
262,0.5,270,94,178
263,0.55,301,78,161
264,0.6000000000000001,309,79,149
265,0.65,344,64,122
266,0.7000000000000001,351,44,133
267,0.75,361,44,115
268,0.8,384,47,85
269,0.8500000000000001,398,39,85
270,0.9,419,30,64
271,0.9500000000000001,449,24,39
272,1.0,473,4,29
273,0.0,77,183,317
274,0.05,118,161,312
275,0.1,133,148,303
276,0.15000000000000002,160,126,294
277,0.2,170,124,284
278,0.25,174,124,256
279,0.30000000000000004,200,124,234
280,0.35000000000000003,215,118,222
281,0.4,242,118,199
282,0.45,258,105,190
283,0.5,268,76,198
284,0.55,314,76,157
285,0.6000000000000001,313,77,151
286,0.65,327,72,133
