,Alive,BH_ratio,Dead,Trans
0,157,0.0,138,205
1,181,0.05,126,193
2,203,0.1,127,170
3,226,0.15000000000000002,110,164
4,223,0.2,120,157
5,229,0.25,120,151
6,276,0.30000000000000004,95,129
7,273,0.35000000000000003,86,141
8,283,0.4,83,134
9,310,0.45,87,103
10,317,0.5,80,103
11,331,0.55,75,94
12,353,0.6000000000000001,52,95
13,350,0.65,52,98
14,374,0.7000000000000001,50,76
15,382,0.75,40,78
16,408,0.8,31,61
17,424,0.8500000000000001,24,52
18,444,0.9,19,37
19,454,0.9500000000000001,14,32
20,472,1.0,5,23
21,175,0.0,127,198
22,176,0.05,137,187
23,192,0.1,123,185
24,213,0.15000000000000002,130,157
25,227,0.2,97,176
26,249,0.25,106,145
27,268,0.30000000000000004,92,140
28,276,0.35000000000000003,97,127
29,285,0.4,78,137
30,297,0.45,89,114
31,325,0.5,71,104
32,327,0.55,67,106
33,340,0.6000000000000001,57,103
34,374,0.65,39,87
35,381,0.7000000000000001,56,63
36,404,0.75,32,64
37,427,0.8,28,45
38,422,0.8500000000000001,32,46
39,449,0.9,25,26
40,453,0.9500000000000001,13,34
41,476,1.0,5,19
42,150,0.0,160,190
43,178,0.05,125,197
44,205,0.1,127,168
45,209,0.15000000000000002,113,178
46,240,0.2,107,153
47,228,0.25,99,173
48,279,0.30000000000000004,95,126
49,255,0.35000000000000003,89,156
50,281,0.4,82,137
51,307,0.45,74,119
52,334,0.5,67,99
53,354,0.55,49,97
54,346,0.6000000000000001,65,89
55,364,0.65,50,86
56,373,0.7000000000000001,60,67
57,405,0.75,41,54
58,406,0.8,39,55
59,421,0.8500000000000001,26,53
60,445,0.9,19,36
61,455,0.9500000000000001,12,33
62,465,1.0,8,27
63,185,0.0,107,208
64,185,0.05,129,186
65,193,0.1,119,188
66,203,0.15000000000000002,115,182
67,229,0.2,122,149
68,252,0.25,88,160
69,277,0.30000000000000004,81,142
70,269,0.35000000000000003,86,145
71,279,0.4,82,139
72,318,0.45,70,112
73,316,0.5,65,119
74,332,0.55,68,100
75,356,0.6000000000000001,60,84
76,361,0.65,49,90
77,392,0.7000000000000001,34,74
78,380,0.75,42,78
79,411,0.8,28,61
80,411,0.8500000000000001,23,66
81,436,0.9,20,44
82,454,0.9500000000000001,14,32
83,474,1.0,4,22
84,162,0.0,140,198
85,161,0.05,152,187
86,175,0.1,135,190
87,200,0.15000000000000002,133,167
88,224,0.2,114,162
89,241,0.25,97,162
90,286,0.30000000000000004,91,123
91,287,0.35000000000000003,79,134
92,268,0.4,88,144
93,307,0.45,82,111
94,320,0.5,69,111
95,320,0.55,71,109
96,340,0.6000000000000001,65,95
97,364,0.65,59,77
98,369,0.7000000000000001,52,79
99,397,0.75,44,59
100,419,0.8,27,54
101,425,0.8500000000000001,27,48
102,437,0.9,23,40
103,449,0.9500000000000001,13,38
104,472,1.0,7,21
105,155,0.0,146,199
106,178,0.05,130,192
107,191,0.1,122,187
108,210,0.15000000000000002,121,169
109,220,0.2,111,169
110,250,0.25,97,153
111,229,0.30000000000000004,100,171
112,262,0.35000000000000003,99,139
113,299,0.4,76,125
114,310,0.45,82,108
115,327,0.5,73,100
116,329,0.55,59,112
117,338,0.6000000000000001,72,90
118,370,0.65,42,88
119,370,0.7000000000000001,51,79
120,381,0.75,42,77
121,423,0.8,25,52
122,432,0.8500000000000001,27,41
123,431,0.9,19,50
124,467,0.9500000000000001,16,17
125,478,1.0,5,17
126,168,0.0,124,208
127,171,0.05,124,205
128,200,0.1,120,180
129,221,0.15000000000000002,103,176
130,224,0.2,111,165
131,238,0.25,109,153
132,259,0.30000000000000004,103,138
133,265,0.35000000000000003,95,140
134,282,0.4,83,135
135,300,0.45,85,115
136,330,0.5,65,105
137,315,0.55,62,123
138,348,0.6000000000000001,53,99
139,359,0.65,52,89
140,366,0.7000000000000001,45,89
141,386,0.75,37,77
142,407,0.8,29,64
143,430,0.8500000000000001,29,41
144,448,0.9,21,31
145,461,0.9500000000000001,10,29
146,467,1.0,6,27
147,162,0.0,143,195
148,177,0.05,157,166
149,209,0.1,131,160
150,208,0.15000000000000002,127,165
151,220,0.2,126,154
152,250,0.25,119,131
153,266,0.30000000000000004,97,137
154,269,0.35000000000000003,100,131
155,288,0.4,78,134
156,316,0.45,72,112
157,304,0.5,71,125
158,341,0.55,66,93
159,360,0.6000000000000001,51,89
